"number","title","pageid","namespace","length","touched"
"1","Ekonomika_Panamy","1640794","","11983","20220507215148"
"2","Statistika_zemědělství","858489","","2260","20220603115203"
"3","Ekonomické_důsledky_ruské_invaze_na_Ukrajinu_(2022)","1747008","","79248","20230415192121"
"4","Hypoteční_úvěr","270019","","23548","20230512112445"
"5","Agrokomplex","284641","","351","20140422082130"
"6","Startup","710324","","13630","20221214215154"
"7","Virtuální_ekonomika","513485","","16724","20230313020554"
"8","Exchange-traded_fund","433361","","34339","20230601195455"
"9","Index_specializace_průmyslové_výroby","1148740","","1450","20200606194904"
"10","Oddlužovací_agentura","730079","","6445","20200710160809"
"11","Ekonomika_Brazílie","385196","Category","108","20140602185710"
"12","Dobírka","434842","","1558","20210615100832"
"13","Socioekonomika","396393","Category","107","20190604135150"
"14","Paysafecard","1734906","","8474","20230510161517"
"15","Mezinárodní_investiční_pozice","1542644","","6083","20221222131501"
"16","Ekonomika_Evropy_podle_zemí","1781599","Category","120","20220819100306"
"17","Vinice","235499","","5311","20200608115445"
"18","Ekonomika_Afriky","1468061","","2372","20221116155657"
"19","Ekonomika_Malajsie","505703","Category","106","20160715200053"
"20","Mez_(zemědělství)","579589","","1876","20220521111450"
"21","Mezinárodní_hospodářské_organizace","1466420","Category","160","20191217163543"
"22","Tatranský_tygr","904898","","7182","20230326140239"
"23","Veletrhy_podle_zemí","1772974","Category","141","20220721115529"
"24","Ekonomika_Mongolska","497916","","25531","20220604172016"
"25","Corporate_raider","707051","","1699","20220819211257"
"26","Konsorcium","853308","","6123","20220526121805"
"27","Samoobslužná_pokladna","694741","","9257","20220624193201"
"28","Zahradnictví","30980","Category","90","20211113233846"
"29","Square_Deal","1641088","","10768","20220521184921"
"30","Ekonomická_mobilita","1681707","","5509","20230608192425"
"31","Zemědělské_školy","1535280","Category","118","20220524155530"
"32","Ekonomika_Nauru","1640478","","5062","20220728234302"
"33","Údržba","627166","","9979","20220521122436"
"34","Průmyslové_stavby","117097","Category","79","20190911081949"
"35","Služba","79936","","2612","20210314193933"
"36","Sociální_služby_v_ČR","769743","","9042","20230107152748"
"37","Jednotná_oblast_pro_platby_v_eurech","203403","","6569","20230606145523"
"38","Skóringový_model","318663","","11192","20211214120642"
"39","Čárový_kód","100756","","21157","20230627111510"
"40","Úvěrová_expanze","598953","","1425","20130716124222"
"41","Exit_(ekonomika)","963551","","485","20180305191417"
"42","Sociální_zemědělství","1116678","","6584","20221212091100"
"43","Akvakultura","1636288","Category","94","20201112194554"
"44","Komunitou_podporované_zemědělství","436347","","8741","20230122181823"
"45","Zelený_růst","1040076","","4038","20210809085042"
"46","Úrok_z_prodlení","419790","","4411","20160216172112"
"47","Mezinárodní_měnový_fond","10256","","15502","20221204192341"
"48","Ekonomika_Bruneje","505241","Category","102","20160715200051"
"49","Otevřená_ekonomika","914905","","1598","20210808142640"
"50","Hrouda","116766","","1021","20191002144136"
"51","Poměr_cena/výkon","810196","","1129","20210808150203"
"52","Cestovní_ruch","153555","Category","110","20140404074437"
"53","Fortune_500","610508","","6579","20230212160411"
"54","Ekonomika_Lesotha","1641180","","17133","20221004203939"
"55","Zemědělská_půda","305239","","6374","20230213102130"
"56","Ekonomika_Saúdské_Arábie","1430245","Category","124","20180905100558"
"57","Účetní_doklady","535865","Category","70","20100512003357"
"58","Fordismus","273167","","9863","20220121085131"
"59","Bezkontaktní_platba","698609","","3772","20221209165718"
"60","Ekonomika_Švýcarska","1405736","Category","167","20220819104624"
"61","Ekonomika_Ghany","1640445","","24181","20221122225955"
"62","Studie_proveditelnosti","223725","","1555","20210808190534"
"63","Botanická_nomenklatura","8962","","4093","20230329060717"
"64","Zemědělství","2447","","161714","20230308100757"
"65","Ekonomický_význam_Vánoc","1044548","","13910","20211016085648"
"66","Národní_dílny","1756783","","2788","20220505170445"
"67","Kolonizace","232364","","8712","20230320082601"
"68","Řízkování","11730","","26124","20230322185142"
"69","Bonita_(finančnictví)","847380","","9704","20221221135842"
"70","Ekonomika_Spojených_arabských_emirátů","1535230","Category","142","20210224204227"
"71","Ekonomika_Ománu","508960","Category","100","20140602194007"
"72","Ekologické_zemědělství","54264","Category","137","20191127192724"
"73","Pastvina","455960","","2714","20230331093115"
"74","Ekonomika_Hamburku","1716779","Category","122","20211102091328"
"75","Bezhotovostní_platební_styk","786572","","8188","20220111180255"
"76","Pastevectví","785160","Category","108","20190318004303"
"77","Podnikový_proces","1103374","","6030","20230612051715"
"78","Řemesla","5608","Category","136","20191104095321"
"79","Provozovna","781333","","2674","20230208191640"
"80","Místní_výměnný_obchodní_systém","779665","","5236","20220722180151"
"81","Ekonomika_Nigérie","1405442","Category","106","20180807134608"
"82","Industrializace","34806","","5239","20230530100145"
"83","Rezervační_systém","698886","","1154","20230714170956"
"84","Magický_čtyřúhelník","913425","","5985","20230413121518"
"85","Výnos","300964","","4183","20230113161712"
"86","Průmyslová_politika_Evropské_unie","1544857","","13552","20220227134050"
"87","Právo_pastvy","684058","","2075","20171005154311"
"88","Ekonomika_Čínské_lidové_republiky","193590","","20203","20230713181338"
"89","Telekomunikační_služby","1164909","Category","106","20221128173305"
"90","Školné","1140793","","4256","20210603100559"
"91","Ekonomika_Konžské_republiky","1466165","Category","104","20220511112702"
"92","Alokace","370837","","3499","20211225000644"
"93","Rostlinolékařství","893393","","12708","20230115145008"
"94","Batismus","793594","","768","20201119210425"
"95","Ekonomika_Kanady","1209996","","7478","20230606074804"
"96","Humno","767632","","4116","20230524045501"
"97","Intelektuální_kapitál","45964","","913","20230326135605"
"98","Trh_(ekonomie)","1503316","Category","62","20210225032122"
"99","Psychologická_analýza","474828","","8564","20210904220657"
"100","Udržitelný_rozvoj","47753","","48962","20230225113358"
"101","Podnikatel","89417","","4102","20230619164618"
"102","Dějiny_marketingu","50395","","2831","20230117101733"
"103","Ekonomika_Arménie","304161","Category","158","20220819104038"
"104","Adjutum","782828","","439","20170303113937"
"105","Holdingová_společnost","65163","","1555","20230312115302"
"106","Náklad","102066","","3487","20221030134500"
"107","Mezinárodní_ekonomika","67182","Category","86","20140606142934"
"108","Ekonomika_Nového_Zélandu","1275411","Category","116","20180424101645"
"109","Zemědělská_mechanizace","156673","Category","116","20191208094200"
"110","Outsourcing","76019","","4862","20210719103748"
"111","Úvěr","200071","","12197","20230103103833"
"112","Ekonomika_Moldavska","279920","Category","161","20220819104438"
"113","Agrovoltaika","1711417","","12953","20230425080630"
"114","Výkonnost_podniku","1452676","","13186","20221212091557"
"115","Vibrodiagnostika","1183781","","6986","20221212091512"
"116","Identifikátory_bankovních_plateb","170025","Category","197","20210422124140"
"117","Ekonomika_Myanmaru","1404554","Category","104","20180803071952"
"118","Terciární_sektor","736845","","3655","20211231033538"
"119","Práce","177078","Category","152","20190604140611"
"120","Ekonomika_Afghánistánu","1404654","Category","116","20180803122547"
"121","Wolfova_cena_za_zemědělství","122744","","2221","20230713202950"
"122","Kapitálový_trh","345980","","4823","20230301201300"
"123","Poradenství","750262","Category","105","20210225001553"
"124","Účetnictví","889","","5532","20221007110111"
"125","Konsolidace_úvěrů","836700","","8078","20221128124901"
"126","Ekonomika_Řecka","604612","Category","194","20220819100907"
"127","Podnikatelé_podle_měst","1809226","Category","137","20230420221104"
"128","Analýza_bodu_zvratu","1195302","","76","20210316155723"
"129","Ratingové_agentury","718712","Category","85","20221221154344"
"130","Chmelnice","112169","","4080","20210428213737"
"131","Ekonomika_Spojeného_království","349289","Category","197","20220819104744"
"132","Registr_dlužníků","370649","","13787","20220306140341"
"133","Ekonomika_Číny","713184","Category","120","20160121152208"
"134","Just-in-time_výroba","167735","","5672","20230502070129"
"135","Outplacement","999696","","8282","20210808142801"
"136","Hnojivo","196736","","11854","20221104152633"
"137","Ekonomika_zdravotnictví,_školství_a_sociální_péče","396391","Category","28","20130321005527"
"138","On_demand","329698","","2291","20230514141853"
"139","Zaniklé_firmy","68922","Category","128","20140606142959"
"140","Plánování_podnikových_zdrojů","4249","","19859","20230613155332"
"141","Ekonomika_Indonésie","1638707","","23303","20230618180749"
"142","Trojí_zodpovědnost","262251","","1265","20210808182327"
"143","Kontrolní_hlášení_DPH","1181849","","39983","20230615172254"
"144","Peníze","67194","Category","178","20230414223116"
"145","Sales_and_operation_planning","1141637","","112","20151008071844"
"146","Teplota_v_zemědělství","1033816","","8105","20190406051727"
"147","Dodavatelský_řetězec","1555189","","1801","20220521111247"
