"number","title","pageid","namespace","length","touched"
"1","Česká_digitální_knihovna","1263398","","12430","20220511200753"
"2","Fakulty","518928","Category","112","20211006234435"
"3","Klimatické_vzdělávání","1815939","","24359","20230414010901"
"4","BioLib","1124258","","3421","20220428204355"
"5","Rusifikace","1735431","Category","207","20220127152834"
"6","Cena_Gratias_Tibi","1630875","","4219","20230209105350"
"7","Aix-en-Provence","62322","","15171","20230112140014"
"8","Školní_třída","941898","","4116","20230424175902"
"9","Potvrzení_o_studiu","832191","","1627","20230111005440"
"10","Luck","207255","","8771","20221118150137"
"11","Bodový_systém","101580","","12548","20230220230723"
"12","Evropské_školy","908394","","7026","20220507220903"
"13","Nootka","1356636","","7913","20221127150031"
"14","Vzdělávací_politika","828400","","13727","20230106092634"
"15","Informační_centra","1685405","Category","97","20210516115523"
"16","Evropský_portál_pro_mládež","338750","","1652","20220824123125"
"17","Národní_institut_pro_další_vzdělávání","1243337","","4738","20201030123134"
"18","Fizir_F1V","1569700","","18159","20230212120144"
"19","Valencie","70397","","16270","20230702181259"
"20","Erasmův_Evropský_parlament_mládeže","1047970","","3919","20220107225307"
"21","FMA_IA-63_Pampa","1373620","","8844","20230210095414"
"22","Autoregulace_učení","47620","","3660","20221212084642"
"23","Paříž","824","","162422","20230517210155"
"24","Převrácená_třída","1236835","","4770","20211226105420"
"25","Roverský_kmen","772573","","3237","20220329200016"
"26","JK_Education","1461451","","10454","20230522125909"
"27","Heidelberg","146734","","10075","20221024100234"
"28","Nostrifikace","7882","","6937","20220130132659"
"29","Znakovaná_čeština","1639309","","4202","20230103140937"
"30","Tisk","305999","Category","99","20170520145625"
"31","Santiago_de_Chile","53150","","13272","20230630093753"
"32","Encefalizační_kvocient","1702942","","2589","20220521194549"
"33","Rovering","85795","","6722","20220322073022"
"34","Jönköping","289037","","6008","20220508005133"
"35","Port-au-Prince","305126","","4723","20230622145852"
"36","Učitel_IN","1329477","","5509","20230120002557"
"37","Talent","476987","","53754","20220630140649"
"38","Personalizovaný_obsah_mediálního_sdělení","1835989","","6625","20230330120531"
"39","Deficity_schopností","79630","Category","127","20140606143536"
"40","Další_vzdělávání","1132722","","14931","20230609124838"
"41","Jaroslav_Foglar_–_Jestřáb_kronikářem","1863304","","7419","20230704123353"
"42","Rogožarski_SIM-X","1536426","","12150","20230310050230"
"43","M-learning","346954","","19250","20220205060322"
"44","Greifswald","516602","","8377","20230530101533"
"45","Dokumentace_k_softwaru","679171","","6403","20211229132329"
"46","Online_vzdělávání","1282028","","3900","20230609060711"
"47","Mnichov","6994","","40352","20230607121626"
"48","Skautské_organizace","1214844","Category","154","20211025081459"
"49","Skautská_stezka","1367926","","5189","20220418091417"
"50","Učeň","452292","","1108","20230118151826"
"51","Informační_ekologie","1814823","","4591","20230322154119"
"52","Workshop","252171","","6191","20221212091621"
"53","Inteligence","585390","Category","178","20140602201752"
"54","Vodní_skaut","1228436","","7968","20230608125055"
"55","Skautské_muzeum_Václava_Rubeše_v_Ružomberku","1233878","","864","20200722144227"
"56","TOM_4312_Třicítka_a_Dvojka","1195195","","4380","20230315170854"
"57","Mezinárodní_zkoušky","197754","Category","28","20070406200048"
"58","Velká_ruská_encyklopedie","1370843","","994","20210531124331"
"59","Skautská_hymna","1552792","","4491","20220813140402"
"60","ČOSDAT","1474285","","3268","20211226171025"
"61","Vinnycja","174377","","8348","20230415185927"
"62","Přírodovědný_klokan","1276039","","1310","20230614170345"
"63","Stipendium","148724","","834","20200403100215"
"64","Kreslení","305211","Category","110","20140604100220"
"65","Britská_cvičná_letadla","247142","Category","88","20130402072854"
"66","Primární_vzdělávání","25939","","4654","20220408195826"
"67","Prohlášení_o_bezinfekčnosti","332660","","1787","20211130164246"
"68","Kolektivní_inteligence","378528","","64342","20230615141109"
"69","Univerzitní_teze","1314973","","4707","20230502083127"
"70","OpenCourseWare","353052","","1119","20220819204950"
"71","Matematičeskaja_encyklopedija","762262","","1008","20200605020420"
"72","Aviotehase_PN-3","333084","","3191","20220504155918"
"73","Farner_WF.21","1570604","","12235","20230609164416"
"74","Irapuato","529818","","5265","20230214075150"
"75","Vzdělávání_v_Ázerbájdžánu","684343","Category","238","20220819201438"
"76","Skautský_slib","564936","","10651","20230621091222"
"77","Preceptor","224030","","1766","20230713110026"
"78","Modena","57059","","10713","20230228121123"
"79","Biographisches_Lexikon_des_Kaiserthums_Oesterreich","1137677","","13655","20190531012003"
"80","Vzdělávání_ve_Švédsku","624355","Category","153","20220819202635"
"81","Výchova_nadaných_dětí","1271245","","5460","20220714101911"
"82","Světlušky_(skauting)","1361710","","3337","20221212091223"
"83","WISHES","578224","","14996","20230707204157"
"84","Vzdělávací_standardy","1730059","","7012","20221212091601"
"85","Školství_v_Třebíči","1806254","","15763","20230318212122"
"86","Daktylografika","372588","","1365","20210518195534"
"87","Vojenský_výcvik_v_Česku","1824962","Category","134","20230104185033"
"88","Mediální_výchova","1694366","","13500","20230314233523"
"89","Studentská_agora","1193299","","2259","20160420174502"
"90","Zrak","79629","Category","134","20140601160926"
"91","Mnemotechnická_pomůcka","20994","","29143","20230517161336"
"92","Aberdeen","131576","","12163","20230614220944"
"93","Veřejná_akvária","1149746","Category","244","20220623165114"
"94","PIAAC","1393521","","4119","20220404210225"
"95","Formativní_hodnocení","1386250","","11620","20230602074337"
"96","Příběhy_bezpráví","1630817","","7337","20220809081132"
"97","Mohuč","22862","","21425","20230510090409"
"98","Camerino","1240294","","13311","20221222170725"
"99","Čekatelská_zkouška","319719","","4229","20221220082619"
"100","Znalostní_ekonomika","739584","","4918","20200313172024"
"101","Salerno","58328","","9006","20230606123552"
"102","Kirkpatrickův_model","1564477","","2328","20220830164907"
"103","Informatické_myšlení","1590812","","3096","20210808104727"
"104","Rubižne","886182","","5048","20230415185258"
"105","Ikongruence_v_humoru","1824266","","6663","20230104134117"
"106","Jaderné_testovací_střelnice","401926","Category","134","20230104182642"
"107","Konstrukční_cvičení","759641","","1515","20220616210614"
"108","Vzdělávání_v_Dánsku","457408","Category","156","20221102105814"
"109","Skryté_kurikulum","956765","","5549","20220428160932"
"110","Kofoedova_škola","393019","","3241","20220724191133"
"111","Výcvik","461413","","676","20171005100118"
"112","Vídeň","5936","","51393","20230607121523"
"113","Heutagogika","1132969","","5883","20210806102952"
"114","Domov_mládeže","1034681","","2367","20230127195517"
"115","Církevní_školství","337170","Category","113","20210224200556"
"116","Letecký_skauting","1241695","","11905","20220521110200"
"117","Japonská_cvičná_letadla","1264628","Category","89","20170207095250"
"118","Deepfake_videa","1832073","","7690","20230314234504"
"119","Korespondenční_semináře","308652","Category","86","20221011180128"
"120","Skauting","4895","Category","194","20210416145303"
