"number","title","pageid","namespace","length","touched"
"1","Další_vzdělávání","1132722","","14931","20230609124838"
"2","První_palác_Záložního_úvěrního_ústavu","1660628","","4988","20210802120144"
"3","Reader","1668909","","1201","20221025222327"
"4","Užhorod","94290","","64045","20230620125149"
"5","Etiketa_(nálepka)","799972","","2628","20221224130400"
"6","Marburg","305307","","4115","20230512051238"
"7","Hudební_výchova","1688282","","21376","20221212085438"
"8","Odhad_vzdáleností","382931","","5683","20210618152312"
"9","Poitiers","223101","","9735","20230625073332"
"10","Lysyčansk","317729","","6304","20230529212314"
"11","Euromobil","233651","","3847","20190619143719"
"12","Schopnost","218867","","6835","20230529033345"
"13","Flemingovo_pravidlo_levé_ruky","299254","","1179","20221213085342"
"14","Encyklopedie_fantastického_filmu","468255","","3208","20220507215829"
"15","Monda.eu","1094261","","5548","20230323203943"
"16","Ferrara","62719","","10969","20230324121639"
"17","Analfabetismus","82862","","4308","20221020081713"
"18","Klub_zvídavých_dětí","1393065","","11791","20220430191210"
"19","Terciární_vzdělávání","1218151","","9521","20230420120240"
"20","ASJA_SK_10","1540088","","13983","20210722020153"
"21","Slovník_roku","1117763","","3285","20230604184114"
"22","Digitální_propast","1001795","","9229","20230607200905"
"23","Mezinárodní_astronomická_olympiáda","1320756","","2146","20221226090226"
"24","Efekt_velká_ryba_v_malém_rybníku","1456129","","13751","20210806075235"
"25","Oživená_prehistorie","1481300","","16520","20210719092009"
"26","Horizonty_(knižní_série)","1314423","","2548","20221012190826"
"27","Studium","351457","","2196","20220927075526"
"28","Edukační_realita","1652524","","6640","20220507214813"
"29","Letecký_skauting","1241695","","11905","20220521110200"
"30","Deepfake_videa","1832073","","7690","20230314234504"
"31","Cvičné_letadlo","142882","","1335","20230104183731"
"32","M-learning","346954","","19250","20220205060322"
"33","Religion_in_Geschichte_und_Gegenwart","201132","","2052","20190103143556"
"34","Lozova","921715","","3803","20220910195915"
"35","Institut_světelného_designu","1474309","","5908","20220521055211"
"36","Celoživotní_vzdělávání","1043661","","10692","20230126163347"
"37","Skautský_pozdrav","1245848","","2149","20220812182824"
"38","TrackTest","1176544","","3080","20190909070147"
"39","Stara_Zagora","95437","","6982","20230707063403"
"40","Mahikeng","1517174","","2000","20211208143644"
"41","Sociálně_znevýhodněný_žák","1731495","","5196","20230309172115"
"42","St_Andrews","125583","","12416","20230314084525"
"43","Diagnostický_ústav","670328","","5843","20230309171913"
"44","Grafomotorika","538289","","1235","20221212085328"
"45","Naučná_stezka","176342","","12990","20210607135117"
"46","Metoda_Michela_Thomase","561165","","6066","20210717224841"
"47","Seznam_jezuitských_institucí_na_Slovensku","1672638","","3506","20210325230318"
"48","Vzdělávání","255668","","3630","20230609125227"
"49","Domov_mládeže","1034681","","2367","20230127195517"
"50","Aritmetika","2421","","15302","20221110140852"
"51","Biologie","11","","21465","20230315163812"
"52","Irapuato","529818","","5265","20230214075150"
"53","Pontificium_Collegium_Germanicum_et_Hungaricum_de_Urbe","781941","","5586","20220406070455"
"54","Seznam_členů_Světového_sdružení_skautek","1246458","","18089","20211022120626"
"55","Prohlášení_o_bezinfekčnosti","332660","","1787","20211130164246"
"56","RE-WISE","452934","","5083","20220826232324"
"57","Světlušky_(skauting)","1361710","","3337","20221212091223"
"58","Slovjansk","242531","","8093","20230714111531"
"59","Mediální_systém_České_republiky","1542357","","14446","20230210084126"
"60","Čeljabinsk","32867","","8974","20230611185656"
"61","Kramatorsk","249008","","10087","20230701062216"
"62","Cíle_vzdělávací_politiky","1501318","","11988","20230711143707"
"63","Sdružení_rodičů_a_přátel_školy","824754","","2429","20210627122303"
"64","Absolvent","267046","","1329","20220327220409"
"65","Biskupské_gymnázium_Brno","125965","","15462","20230601092943"
"66","Česká_škola_bez_hranic","641811","","1344","20190423181201"
"67","Školství_v_Třebíči","1806254","","15763","20230318212122"
"68","Vědecký_mýtus","1285896","","7034","20230402063228"
"69","Povinná_školní_docházka","266091","","34912","20230514005707"
"70","Společný_evropský_referenční_rámec","144399","","23054","20230719064843"
"71","Rogožarski_SIM-XII-H","1522612","","9606","20230502080705"
"72","Školské_zařízení","123018","","26052","20230323194126"
"73","Fake_news","1295306","","28074","20230227092917"
"74","Informační_gramotnost","344564","","18790","20230210090508"
"75","Elixír_do_škol","1627979","","6757","20230517090531"
"76","Učitel_IN","1329477","","5509","20230120002557"
"77","Embraer_EMB_314_Super_Tucano","1398342","","27073","20230102200937"
"78","EUNI","1127014","","6076","20220622153240"
"79","Archives_et_Musée_de_la_littérature","1050992","","9524","20210719101506"
"80","Finanční_gramotnost","620313","","19283","20221225153844"
"81","Salamanca","228186","","7443","20230702235212"
"82","Občanská_gramotnost","1098668","","1180","20210612181900"
"83","Brána_jazyků_(vzdělávací_projekt)","85004","","2793","20220722190724"
"84","ANBO_V","1520825","","9879","20230707021829"
"85","Evropský_parlament_mládeže","58446","","5328","20211219111207"
"86","Encyklopedické_heslo","914890","","1562","20200520100703"
"87","Sekundární_vzdělávání","1218152","","11319","20230723115800"
"88","Selektivita_vzdělávacího_systému","1500141","","17311","20230114055645"
"89","Test_of_English_for_International_Communication","282478","","1658","20210809191256"
"90","Aviotehase_PN-3","333084","","3191","20220504155918"
"91","Leváctví","70236","","39713","20230723065905"
"92","Rekvalifikace","274823","","2454","20221104082515"
"93","Kolej_(vzdělávací_zařízení)","1615735","","2319","20230126162904"
"94","Turnaj_mladých_fyziků","1549469","","35340","20211022113812"
"95","Fairfield_(Connecticut)","1795820","","5801","20230309022158"
"96","Vzdělanostní_mobilita","1731659","","9192","20220206090428"
"97","Valbonne","1691674","","4483","20210827142938"
"98","Představitelé_světové_organizace_skautského_hnutí","1318983","","12192","20230111222519"
"99","Tutor","83460","","3644","20230707045133"
"100","The_Coptic_Encyclopedia","763302","","1632","20211007222511"
"101","Paříž","824","","162418","20230721083920"
"102","Stroopův_test","435211","","3899","20210808190114"
"103","BioLib","1124258","","3421","20220428204355"
"104","GAMSAT","581665","","1734","20190620005636"
"105","Teorie_nevzdělanosti","1556112","","6122","20210529140308"
"106","Rogožarski_SIM-VI","1541863","","12126","20230310050223"
"107","Celostní_vzdělávání","1758284","","10606","20221212084835"
"108","Vzdělávání_dospělých","1157199","","7168","20230126162508"
"109","Nedělní_škola","383928","","5003","20210606201615"
"110","Tipsy_Junior","1560661","","13500","20230118145437"
"111","Omluvný_list","910577","","881","20130826221713"
"112","Nízkoprahové_zařízení_pro_děti_a_mládež","1019328","","19155","20211223151019"
"113","Camerino","1240294","","13311","20221222170725"
"114","Tirana","14621","","61484","20230713075930"
"115","Embraer_EMB_312_Tucano","1487317","","10854","20230212075305"
"116","Encyclopaedia_of_Islam","307985","","1247","20220107180553"
"117","Příběhy_bezpráví","1630817","","7337","20220809081132"
"118","Školství","1386713","","10370","20221212091255"
"119","Logika","4517","","10798","20230219182829"
"120","Kirkpatrickův_model","1564477","","2328","20220830164907"
"121","Klávesa_Sys_Rq","1321517","","14674","20220718215021"
"122","Informatické_myšlení","1590812","","3096","20210808104727"
"123","Akademické_týdny","1667735","","5146","20220217110425"
"124","Institut_informačního_designu","1623939","","14653","20230311220938"
"125","Noelle_S2200","1708885","","4886","20230107204800"
"126","Kolektivní_inteligence","378528","","64342","20230615141109"
"127","Národní_institut_pro_další_vzdělávání","1243337","","4738","20201030123134"
"128","Podnikové_vzdělávání","347035","","8280","20220320194309"
"129","Velká_kniha_o_koních","486904","","2635","20230430083638"
"130","UK_media","179965","","4476","20211105160347"
"131","Doménový_expert","1366486","","1157","20210806065235"
"132","Semestr","678195","","528","20200329191911"
"133","Freiburg_im_Breisgau","203939","","9718","20230722211254"
"134","Jesuit_Forum_for_Social_Faith_and_Justice","1583375","","1130","20220108134449"
"135","Odklad_povinné_školní_docházky","1855293","","17821","20230523043738"
"136","Zákon_obecné_přitažlivosti","911354","","5713","20220723205944"
"137","BESIP","163321","","6547","20210204171802"
"138","Valladolid","74609","","7325","20230318101755"
"139","Editace","404955","","3273","20220613163404"
"140","Studentské_volby","1653703","","5866","20221212111417"
"141","Základní_škola","896","","8403","20230126163433"
"142","RICE","703423","","4211","20230112043239"
"143","Učení","33067","","6888","20230327141404"
"144","Jönköping","289037","","6008","20220508005133"
"145","Výcvik_zvířat","1789382","","99","20220920130959"
"146","Městská_knihovna_v_Budyšíně","1844193","","35672","20230509110830"
"147","Pisa","58901","","14801","20221222170948"
"148","Heutagogika","1132969","","5883","20210806102952"
"149","Albert_A-60","1545309","","14184","20210810135226"
"150","Rovering","85795","","6722","20220322073022"
"151","Medaile_Jana_Amose_Komenského","543548","","2317","20200722150543"
"152","Katedrální_škola","1651016","","4555","20221004210117"
"153","Čtenářská_gramotnost","424930","","5384","20220523131250"
"154","Obecní_noviny_(časopis)","1455197","","7197","20221231172927"
"155","Essen","145135","","15485","20230721205342"
"156","Počáteční_vzdělávání","1501368","","6333","20210515055633"
"157","Potvrzení_o_studiu","832191","","1627","20230111005440"
"158","Mladiinfo","1167175","","3456","20190612170852"
"159","Výchova_nadaných_dětí","1271245","","5460","20220714101911"
"160","Osvětová_beseda","258303","","2554","20201212104823"
"161","Projekt_EU_peníze_školám","569896","","5249","20230228155634"
"162","Wechslerův_test_inteligence_pro_dospělé","1158884","","1657","20220616105359"
"163","Letní_škola_moderních_učitelů","1407063","","7326","20230103121305"
"164","Vercelli","311237","","8805","20221222171053"
"165","Valencie","70397","","16270","20230702181259"
"166","Úřednické_zkoušky_v_Číně","545021","","16577","20230715210138"
"167","Gardnerova_teorie_mnohočetné_inteligence","1514805","","3821","20210718191042"
"168","Logická_olympiáda","600129","","10395","20230723020230"
"169","Nadační_fond_Neuron_na_podporu_vědy","1361492","","5547","20221128111510"
"170","Literární_výchova","1740711","","2548","20230628040323"
"171","Autoregulace_učení","47620","","3660","20221212084642"
"172","Follower","1834761","","4205","20230719093800"
"173","FILIT","126877","","655","20170218142159"
"174","Oxford","138314","","15955","20230323113442"
"175","Bloomova_taxonomie","275430","","9267","20230522121112"
"176","Konstrukční_cvičení","759641","","1515","20220616210614"
"177","OpenCourseWare","353052","","1119","20220819204950"
"178","Pravěká_osada_v_Zoologické_a_botanické_zahradě_města_Plzně","1492131","","16369","20230408180439"
"179","Interkulturní_vzdělávání","363079","","3660","20200613122937"
"180","Fizir_AF-2","1547076","","12605","20230714153921"
"181","Aguascalientes_(město)","1743997","","3274","20220716112322"
"182","Nuri_Demirağ_Nu_D.36","1635441","","7587","20221210043333"
"183","Základy_společenských_věd","289246","","670","20220425141851"
"184","Meteor_(pořad)","490706","","16507","20210724093331"
"185","Zelená_knihovna","911526","","5295","20200608134819"
"186","ATHENS","1401930","","3926","20200229201810"
"187","Meindl_A.VII","1570889","","20378","20230702092801"
"188","Student","288170","","4905","20220912095552"
"189","Vsauce","1040149","","5815","20220723014720"
"190","Čechizace","415363","","1773","20221212084914"
"191","Xavier_University_(Cincinnati)","1578250","","1297","20210515031320"
"192","Informační_chudoba","1794401","","2213","20221126204213"
"193","Profesor","7475","","60084","20230707045133"
"194","Rubižne","886182","","5048","20230415185258"
"195","Lektor_(pedagog)","1208621","","1085","20230707045133"
"196","International_Standard_Classification_of_Education","964613","","7443","20230126163146"
"197","Sportovní_trénink","1473779","","5647","20220602133705"
"198","Dropout","1729083","","10309","20230701192233"
"199","Reedukace","1824233","","6052","20230113132112"
"200","Gramatika","28259","","2423","20230714074931"
"201","Mnichov","6994","","40352","20230607121626"
"202","Cesano_Maderno","1698214","","4559","20221223110149"
"203","Diplomas_de_Español_como_Lengua_Extranjera","197154","","2654","20221212085021"
"204","Pozemní_stavitelství","819770","","681","20221212110157"
"205","Wirtschaftsförderungsinstitut","979322","","10612","20230511071055"
"206","Ikarus_Aero_2","1546618","","14883","20230408221759"
"207","Knihovní_systém","713545","","9122","20210808142218"
"208","Knihověda","1055378","","3185","20220206141318"
"209","Online_vzdělávání","1282028","","3900","20230609060711"
"210","Virtuální_univerzita_třetího_věku","1382294","","4413","20210810183845"
"211","Turín","36895","","13208","20221202181216"
"212","Řezno","57436","","13355","20230523104511"
"213","Řidičský_průkaz","267667","","10600","20230704205854"
"214","Studijní_neúspěšnost","1501386","","11489","20220405123225"
"215","Korespondenční_seminář","1023730","","17977","20230530122424"
"216","Istanbul","12731","","33048","20230712170832"
"217","Sumativní_hodnocení","1393716","","4378","20210808171459"
"218","Idea_skautingu","255251","","5310","20210907130431"
"219","Fulda","112270","","8704","20230504071910"
"220","Cambridge","65682","","16000","20230722125422"
"221","Talent","476987","","53754","20220630140649"
"222","Zmaj_Fizir_FN","1546788","","17347","20230704233442"
"223","Lleida","254054","","2067","20211210100446"
"224","Hopfner_HS-5/28","1538977","","10025","20210718130743"
"225","Znalostní_ekonomika","739584","","4918","20200313172024"
"226","Guinnessova_kniha_rekordů","130060","","3720","20230307171259"
"227","Sešit","444743","","4653","20221121071810"
"228","Greifswald","516602","","8377","20230530101533"
"229","Sobotáles","374863","","1492","20190730123702"
"230","Lekce","279447","","1124","20220810041007"
"231","Sofie","78317","","15103","20230307111942"
"232","SCORM","62914","","1780","20190614123406"
"233","Zdravá_škola","1456138","","8722","20230704195235"
"234","Kaňka","168196","","1238","20200115210039"
"235","Cerebro","1504442","","1509","20221125094150"
"236","Tábor_Zelené_příšery","1586895","","3145","20221218092034"
"237","Promptuarii_Iconum_Insigniorum","967488","","1612","20211203203017"
"238","European_Teacher_Education_Network","1642645","","3223","20230601150854"
"239","Čtenářský_deník","516194","","1557","20190730062921"
"240","Toulouse","24132","","23330","20230507153315"
"241","Nadané_dítě","1154732","","16866","20230314233152"
"242","Viseu","970982","","5410","20220307210053"
"243","Basilej","126838","","57937","20230506162532"
"244","Erasmův_Evropský_parlament_mládeže","1047970","","3919","20220107225307"
"245","Peer_assessment","1456137","","10041","20220404205615"
"246","Enciclopedia_Libre","216838","","797","20220816202402"
"247","Dnipro","132176","","20461","20230724172237"
"248","Alcalá_de_Henares","215924","","3020","20211201115823"
"249","Akademie_MenART","1816283","","10033","20230508124011"
"250","Wordprocessing","297282","","8595","20230106105444"
"251","Astronomická_olympiáda","388055","","12033","20230408200351"
"252","Gijón","306170","","9522","20230429100246"
"253","Knihovna_(instituce)","66160","","12754","20230519100828"
"254","Bucaramanga","897628","","3309","20221021235534"
"255","Blended_learning","62918","","14741","20221113072033"
"256","Rabínský_seminář","1608179","","3031","20220819203505"
"257","Lublaň","14622","","196107","20230725191953"
"258","Středoškolská_odborná_činnost","362298","","10610","20211222103414"
"259","Vysokoškolský_studijní_program","818341","","7649","20210515070228"
"260","Skautský_zákon","1523355","","7654","20220521180134"
"261","Komunitní_knihovna","1156286","","5839","20210808143226"
"262","Farářská_zkouška","766572","","2975","20221229113327"
"263","Velké_vytí","1238624","","4272","20230307200353"
"264","Encyclopædia_Britannica","15441","","2880","20230107193500"
"265","Skautský_činovnický_slib","1516950","","2828","20220129005704"
"266","Kolín_nad_Rýnem","35848","","17303","20230510085826"
"267","Informační_výchova","344830","","1619","20221212085529"
"268","ETesty_(informační_systém)","1627529","","3001","20210330085406"
"269","Troyes","274398","","9553","20220624155959"
"270","Ottův_divadelní_slovník","530422","","1632","20220418091959"
"271","Rusifikace","341546","","10646","20230410201126"
"272","Otevřená_univerzita","1154929","","4726","20230225134534"
"273","Institut_pro_sociální_a_ekonomické_analýzy","336223","","4361","20200619104639"
"274","Farner_WF.21","1570604","","12235","20230609164416"
"275","Polyglot","219508","","3758","20221026092208"
"276","Deskriptivní_geometrie","176903","","9155","20220317080953"
"277","Irpiň","301430","","5549","20230415184023"
"278","Hamburk","2420","","26597","20230607104822"
"279","Začínající_učitel","1242592","","6976","20221201003253"
"280","Mírová_edukace","846426","","3299","20230316225809"
"281","Zaragoza","70529","","11972","20220228233452"
"282","Charbin","112054","","13196","20230428171449"
"283","Popularizace_vědy","401697","","9256","20230219234011"
"284","Polygon_Most","351894","","9496","20200715122143"
"285","Marie_Vavroňová","1682954","","8083","20230724013449"
"286","Gerontopedagogika","957212","","9245","20230126163046"
"287","Ostrakon","227716","","1288","20230402110934"
"288","KAI_KT-1_Woongbi","1051755","","7029","20220719005256"
"289","Guimarães","290353","","4693","20230713142856"
"290","Rogožarski_AŽR","1540599","","10897","20230310050203"
"291","Školní_jídelna","1053962","","16909","20230706095746"
"292","Emil_aneb_O_výchově","1337072","","3318","20221127191504"
"293","Maskil_(časopis)","1454455","","4316","20211113105806"
"294","Tvořivost","296549","","33584","20230315185221"
"295","Dopravní_výchova","607661","","3711","20230401165850"
"296","Otevřené_vzdělávání","1722646","","19759","20230622182954"
"297","UKáčko.tv","1143498","","4950","20210514150923"
"298","Inteligence_(třída)","268976","","632","20220725102242"
"299","Primární_vzdělávání","25939","","4654","20220408195826"
"300","Maturita","40802","","38038","20230611213422"
"301","Dezinformace","408394","","13545","20230627043609"
"302","Macerata","828637","","5549","20230701202515"
"303","Distanční_vzdělávání","941872","","19397","20230520113733"
"304","Umělá_inteligence_ve_vzdělávání","1546201","","9491","20230301060846"
"305","Cena_Gratias_Tibi","1630875","","4219","20230209105350"
"306","Škola","24524","","6208","20230411172348"
"307","Petra_Sovová","1682337","","5064","20230624212425"
"308","Scholion","423692","","1834","20210808164054"
"309","Noc_vědců","1120492","","8131","20230501053847"
"310","Platy_učitelů_v_Česku","1682163","","17415","20230614232557"
"311","Pander_E","1540950","","12244","20220506112241"
"312","Perpignan","260892","","6925","20220418073913"
"313","Účetnictví","889","","5532","20221007110111"
"314","Noc_s_Andersenem","691849","","8188","20230621133056"
"315","Školský_úřad","251537","","17911","20230322222338"
"316","Hispano-Suiza_E-34","1550846","","16900","20230531152736"
"317","Bushcraft","629803","","10709","20230627115408"
"318","Rozvoj_tvořivosti","1102579","","22239","20230127194412"
"319","Dizionario_biografico_degli_italiani","1349133","","4365","20210811193350"
"320","Výcvik","461413","","676","20171005100118"
"321","Evropský_výzkumný_prostor","1273688","","1914","20220504085545"
"322","Světová_škola","1608636","","1683","20230117162516"
"323","Moot_court","1097563","","2577","20220521112016"
"324","Čekatelská_zkouška","319719","","4229","20221220082619"
"325","Spiel_des_Jahres","63728","","9287","20230313064246"
"326","Mezinárodní_den_studentstva","423046","","9735","20230315175821"
"327","Univerzita","3201","","23973","20230126163732"
"328","Diagram","152804","","3849","20220627203426"
"329","Spádová_škola","1392281","","9399","20230601131640"
"330","Technické_psaní","1794129","","1611","20221113182501"
"331","Pilatus_P-3","1270159","","4914","20190613175406"
"332","Literatura","57","","22873","20230330100337"
"333","Gramotnost","210113","","8786","20230408135546"
"334","Datová_gramotnost","1245029","","5922","20230210124631"
"335","John_Hattie","1687970","","4121","20230624144622"
"336","Mladí_diplomaté","1490994","","8179","20230629182110"
"337","Transformativní_učení","1243072","","7491","20211016133002"
"338","Certifikovaná_zkouška_z_češtiny_pro_cizince","1569521","","8974","20230330015720"
"339","Úřednická_zkouška","1273815","","1757","20221004173954"
"340","Neapol","54640","","45555","20230711151414"
"341","Rostock","204033","","12147","20230707202626"
"342","Scio","220221","","10482","20230710055625"
"343","Learning_Content_Management_System","340440","","2204","20190622074931"
"344","Skautská_výchovná_metoda","840466","","11177","20230619081739"
"345","Würzburg","157713","","16509","20221012212742"
"346","Pilatus_P-2","1470833","","5634","20191012193028"
"347","Tahák","93181","","1620","20210531122439"
"348","Brasília","75704","","8869","20230607221455"
"349","Uzel_dobrého_skutku","1626250","","2055","20230529041123"
"350","Zřizovatel_školy","1599436","","5266","20220507142932"
"351","Školní_třída","941898","","4116","20230424175902"
"352","Pilatus_PC-21","1069346","","14937","20230214163132"
"353","ČOSDAT","1474285","","3268","20211226171025"
"354","Walking_bus","452553","","6286","20220729131357"
"355","Slovake.eu","677708","","4222","20200722195615"
"356","Medaile_Aloise_Rašína","462985","","1928","20220304094639"
"357","Korenizace","1843737","","7736","20230419043757"
"358","Hluchiv","909896","","5544","20221119102828"
"359","Globální_rozvojové_vzdělávání","956726","","3708","20221226195704"
"360","Školní_autobusová_linka","140141","","14795","20220209204541"
"361","Slovník_české_literární_fantastiky_a_science_fiction","463284","","2345","20190531144252"
"362","Brémy","35855","","8002","20230618184637"
"363","Sociální_klima_školní_třídy","956626","","6868","20220906063401"
"364","Literární_atlas_československý","477337","","3753","20221026162904"
"365","Vzdělání","25816","","20128","20221230144653"
"366","Perugia","58040","","12163","20221231085024"
"367","Střední_odborné_učiliště","205144","","7619","20230629163057"
"368","Země_Keltů","1748180","","5731","20230408181947"
"369","Dopravní_vzdělávací_institut","141817","","2233","20220316121925"
"370","Frontální_výuka","1825582","","4698","20230107074537"
"371","Pravítko","35137","","3560","20221226140318"
"372","Človek_v_ohrození","1678721","","6498","20220417114941"
"373","Éditions_Larousse","1370997","","4509","20230601074622"
"374","Velká_ruská_encyklopedie","1370843","","994","20210531124331"
"375","Cisiojan","40842","","7495","20220610114454"
"376","Barcelona","9977","","161017","20230707125138"
"377","Panoráma_populární_hudby_1918/1978","465647","","2528","20220427064348"
"378","Střední_škola","25670","","6980","20230126163513"
"379","Vyučovací_hodina","1014926","","1950","20221231101815"
"380","Encyclopaedia_Metropolitana","467146","","998","20190103133823"
"381","Kvadrivium","194213","","2259","20230527130620"
"382","Hopfner_HS-8/29","1538720","","11927","20230504214002"
"383","Pravidlo_pravé_ruky","224678","","4824","20230605123349"
"384","Socioekonomická_geografie","453624","","12168","20220914083428"
"385","Mediální_výchova","1694366","","13500","20230314233523"
"386","SAT","139700","","3618","20220616210756"
"387","Převrácená_třída","1236835","","4770","20211226105420"
"388","Adresář_knihoven_a_informačních_institucí_v_ČR","1112937","","2978","20230515125144"
"389","Ikongruence_v_humoru","1824266","","6663","20230104134117"
"390","Provozní_služby_(učební_obor)","985266","","2216","20230430204931"
"391","Věkové_kategorie_v_Junáku","572045","","5229","20230525220856"
"392","Doplňující_pedagogické_studium","1651065","","5890","20220418092322"
"393","Digitální_knihovna","339175","","1823","20230208195230"
"394","Buď_safe_online","1626761","","6037","20230330141158"
"395","Fizir_F1V","1569700","","18159","20230212120144"
"396","Skupina_22","1015195","","6901","20221123161307"
"397","Elektronické_podvádění","496130","","16815","20221224075837"
"398","Polyhistor","355165","","7017","20221231115610"
"399","Hudba","684","","32538","20230615105254"
"400","Univerzitní_teze","1314973","","4985","20230717130708"
"401","MEFANET","620447","","5710","20230224100241"
"402","Trevír","292667","","11891","20220613083122"
"403","Znalost","353717","","1501","20221127192030"
"404","International_Computer_and_Information_Literacy_Study","1197839","","13305","20230716185754"
"405","Biographisches_Lexikon_des_Kaiserthums_Oesterreich","1137677","","13655","20190531012003"
"406","Zlatá_srnčí_trofej","1737344","","2586","20220208073448"
"407","Technologické_centrum_Praha","1765798","","9295","20221212091317"
"408","Text","273601","","4702","20230301153333"
"409","Přírodovědný_klokan","1276039","","1310","20230614170345"
"410","Dokumentace_k_softwaru","679171","","6403","20211229132329"
"411","Pasov","48835","","11324","20230607104131"
"412","Didaktický_test","1345800","","18689","20230324151309"
"413","Pamplona","205432","","6830","20220824074941"
"414","Světová_skautská_konference","1319221","","18876","20230216103623"
"415","Čeští_spisovatelé_19._a_počátku_20._století","460974","","2553","20171106160113"
"416","Diagnostické_hodnocení","1857925","","3949","20230602051654"
"417","CASA_C-101_Aviojet","1134550","","7212","20221119104510"
