"number","title","pageid","namespace","length","touched"
"1","CATL","1853105","","2586","20230510163306"
"2","BNC_konektor","912551","","4727","20211224232755"
"3","Konektor_DIN","249796","","1676","20220527131615"
"4","Přepínač","400031","","1494","20171005092644"
"5","Koloskopie","303382","","13354","20230219134210"
"6","Kyberimplantát","42226","","1371","20220402193321"
"7","Archimédův_zákon","543","","8605","20230612150510"
"8","Větrná_růžice","104896","","6624","20220609173455"
"9","Usáma_bin_Ládin","6955","","53490","20230718225541"
"10","Alibre_Design","334581","","2868","20190130070334"
"11","Bezpečnostní_pás","122931","","10034","20221003185530"
"12","Zubní_vrtačka","151589","","5489","20220314082522"
"13","Let_za_viditelnosti","1003142","","1355","20220521113529"
"14","Výstražný_radiolokační_přijímač","1851998","","5311","20230505160724"
"15","Požární_úsek","1140008","","4333","20220225213330"
"16","Fonendoskop","338547","","1948","20210723184924"
"17","Uzemňovací_soustava","1609267","","2263","20220511044130"
"18","Tunel","13386","","9876","20230514203621"
"19","Montážní_technologie_elektroniky","1614739","","4089","20211007235554"
"20","Umělecké_zpracování_softwaru","1371080","","4099","20220310173111"
"21","Lakovaný_měděný_drát","707356","","5609","20220305061449"
"22","Rapid_Application_Development","1355288","","5486","20221126215222"
"23","TPS_(čidlo)","1336554","","1561","20210808181541"
"24","Elektroohřev","936702","","12394","20230713111123"
"25","Nápojový_automat","305492","","5288","20200904175056"
"26","Elektronkový_zesilovač","897908","","640","20210606134431"
"27","Xiaomi_Mi_Electric_Scooter_(elektrokoloběžka)","1601004","","3399","20220123150944"
"28","Táhlo","185928","","1979","20171214002901"
"29","Rychloměr","460593","","3592","20221225204328"
"30","FURPS","468748","","3330","20210806084233"
"31","Srdeční_katetrizace","1692401","","4211","20220521120834"
"32","Psychowalkman","75482","","6365","20220521205222"
"33","Elektromagnetické_relé","37273","","5929","20221111172616"
"34","Kosmodrom","37092","","6381","20210719093400"
"35","Bagr_na_kolovém_podvozku","510661","","1822","20200605152346"
"36","Číslicová_technika","254372","","2385","20190617061025"
"37","BESIP","163321","","6547","20210204171802"
"38","Gufero","243722","","10496","20221222124802"
"39","Grafické_uživatelské_rozhraní","6406","","8395","20230607001659"
"40","SMG$","977900","","893","20180903202453"
"41","Synchronizace","276717","","7385","20210808172518"
"42","Elektroakustika","259852","","2082","20210604081128"
"43","Detektor_rychlosti","1167703","","1324","20221025112442"
"44","Amniocentéza","180165","","3013","20210804133427"
"45","Vačková_hřídel","24432","","1340","20210601112138"
"46","Ústav_fyziky_materiálů_Akademie_věd_České_republiky","295919","","2666","20230307145142"
"47","Dreambox","1626181","","1169","20230526042939"
"48","Napínací_rám","753612","","5293","20230107101811"
"49","Torzní_pružina","373628","","7320","20230419095313"
"50","Denial_of_service","237353","","10240","20230301071136"
"51","Front_end_a_back_end","1446591","","2217","20220603052036"
"52","Hydrodynamický_mechanismus","795641","","2433","20220206155028"
"53","Plynová_vzpěra","1161884","","2040","20210809063408"
"54","Reproduktorová_soustava","234081","","10426","20230702101415"
"55","SCSI","262088","","7635","20230326134853"
"56","Claas","606740","","7607","20220922100921"
"57","Silvia_Gašparovičová","550886","","3547","20230709170352"
"58","Technologie_Embedded_Passive","1566780","","6249","20220506115620"
"59","Polygraf","350762","","2673","20211125090722"
"60","Třída_zatížení_poklopů","1404336","","1310","20180802153955"
"61","Plotr","4048","","9491","20220805095141"
"62","Voltampérová_charakteristika","265220","","5216","20220521212500"
"63","Únikový_pruh","1652971","","2784","20230207220346"
"64","Varistor","83707","","2241","20171004110404"
"65","Ejektor","798754","","1868","20151004014356"
"66","Bagr","34058","","13603","20230724160956"
"67","Koróna_(elektrotechnika)","191353","","2853","20221206100632"
