"number","title","pageid","namespace","length","touched"
"1","Ektosymbióza","262881","","1268","20210806090422"
"2","Výzkumný_ústav_meliorací_a_ochrany_půdy","1054686","","13748","20210423211155"
"3","Degradace_půd","434401","","2914","20210806060705"
"4","Biomimetika","674130","","6726","20220408200720"
"5","Kostelní_Lhota","38691","","17751","20230410165021"
"6","Energie_z_odpadu","1594047","","19069","20230403014843"
"7","Biosféra","27067","","3088","20230605071802"
"8","Speciace","271717","","3236","20230413082545"
"9","Červený_seznam_IUCN","59147","","5146","20220830041244"
"10","Smog","109659","","9920","20221110141029"
"11","Klimaxové_stádium_půd","232659","","720","20210811180552"
"12","RETScreen","1373050","","26624","20230509144822"
"13","Dominance_(ekologie)","1196736","","1282","20210806065239"
"14","Alkalizace","1539121","","1572","20220819133506"
"15","Extrémy_počasí","1725499","","36106","20230529204158"
"16","Udržitelnost","609705","Category","125","20140602203009"
"17","Artūras_Paulauskas","743008","","5034","20221223203924"
"18","NIMBY","255707","","3931","20230703113434"
"19","Technická_prohlídka_silničního_vozidla","618229","","3622","20221030040542"
"20","Zřídlo_(systémová_dynamika)","225606","","1995","20221121183249"
"21","Predátor","10669","","7546","20230213203406"
"22","Hnojiště","330422","","1157","20181009173651"
"23","Mikrobiální_kultura","1164074","","2041","20211112115945"
"24","Ekologická_valence","738741","","1497","20210514002822"
"25","Vedlejší_úlovek","1640558","","1934","20220521181128"
"26","Biogeografie","449666","","3087","20230306205616"
"27","Rumiště","622748","","2354","20220516153046"
"28","Životní_prostředí_v_Česku","276023","","58675","20230124124746"
"29","Spalovna","475800","","8934","20230629144518"
"30","Znečištění_vody","70605","","60495","20230705000308"
"31","Net_primary_production","222626","","1800","20220614101453"
"32","Problémy_životního_prostředí","504356","Category","211","20140602193843"
"33","Halofilní_rostliny","179027","","1260","20210719125004"
"34","Ashoka","1676304","","14727","20221219144614"
"35","Nahrazování_žárovek","588950","","13079","20221016155229"
"36","Mlezivo","553987","","5056","20220101151832"
"37","Filtrátor","291785","","471","20210806094814"
"38","Vizuální_smog","1492935","","60074","20230319050857"
"39","Chráněná_území_v_Česku","276000","","14875","20230620201751"
"40","Global_200","1705550","","46063","20230521161123"
"41","Nová_divočina","1268104","","8061","20220616072423"
"42","Pasivní_dům","43116","","39103","20230608205737"
"43","Suni_(geografie)","94465","","394","20190405084125"
"44","Obligátní_parazit","387858","","2733","20220206071340"
"45","Psychrofyty","178548","","347","20170426133953"
"46","Ohrožené_lokality","1107470","Category","90","20200604074958"
"47","Životní_formy_rostlin","180077","","817","20210809194829"
"48","Státní_zakázka_na_sanaci_starých_ekologických_zátěží","475559","","14202","20230625181045"
"49","Konzumace_masa_v_Číně","1685569","","9877","20230517182918"
"50","Ekologie","4629","Category","208","20201030024455"
"51","Ohrožené_taxony","10415","Category","336","20220623165224"
"52","Brakická_voda","176760","","1318","20200229095656"
"53","Environmentalisté","1161785","Category","129","20221202172508"
"54","Informační_ekologie","1814823","","4591","20230322154119"
"55","Potravní_řetězec","49620","","4461","20230528112203"
"56","Znečištění_plasty","1549408","","5981","20230403125928"
"57","Biogeochemické_cykly","344762","Category","108","20170321143855"
"58","Lesní_právo","911222","","8288","20230312135008"
"59","Neutrofilní_rostliny","179011","","1265","20200216202548"
"60","Endofyt","180090","","4070","20210806091342"
"61","Ministři_životního_prostředí","710012","Category","113","20140606220439"
"62","Biologická_interakce","247012","","1110","20210804112536"
"63","Skleníkové_plyny","366764","Category","303","20220620173939"
"64","Komunální_odpad","679751","","2994","20230414104411"
"65","Monoklonální_protilátka","461218","","3926","20230617162455"
"66","Ekologická_daň","1542292","","20766","20230531203121"
"67","Aerosol","146969","","5324","20221205103245"
"68","Paběrkování","1686436","","4708","20220118021031"
"69","ISO_14001","741716","","3092","20220521112556"
"70","AdBlue","202021","","6256","20230304105802"
"71","Detrit","696767","","1467","20230524045032"
"72","Životní_prostředí_v_Estonsku","1779226","Category","79","20220812061229"
"73","Eroze_(systémová_dynamika)","237392","","1522","20210824204436"
"74","Vzduch","9290","","8124","20230602174544"
"75","Společenská_odpovědnost_firem","304632","","6948","20230707095023"
"76","Chráněné_parky_a_zahrady","608145","","2958","20210721144346"
"77","Směrnice_o_stanovištích","204385","","3996","20220623170321"
"78","Cyklojízda","500303","","14663","20230529081407"
"79","Biotechnologie","10966","","4421","20210829143358"
"80","Biosféra","100437","Category","121","20210224194624"
"81","Vertikální_zemědělství","1636031","","44379","20230702183032"
"82","Klimakemp","1394189","","17000","20230417220802"
"83","Slaměný_dům","864863","","12512","20221030203036"
"84","Vegetační_stupňovitost","648690","","12165","20230702095230"
"85","Klimatické_změny","76788","","60396","20230504171637"
"86","Quechua_(zóna)","86161","","767","20230505043514"
"87","Zelená_politika","277698","","7778","20220915164001"
"88","Nerostné_suroviny","393539","","2682","20230425063307"
"89","Nový_urbanismus","1470294","","745","20210808192437"
"90","Populace","10198","","6342","20220603203959"
"91","Chemicky_indukovaná_dimerizace","1736379","","10273","20230329070726"
"92","Environmentální_psychologie","1646398","Category","112","20201217201211"
"93","Plýtvání_potravinami","1723072","","26867","20230507120035"
"94","Kalcifobní_rostliny","179025","","2361","20210808134934"
"95","Dynamické_škálování_frekvence","1269627","","956","20210808194222"
"96","Územní_systém_ekologické_stability","60061","Category","178","20200427004604"
"97","Ecotopia:_The_Notebooks_and_Reports_of_William_Weston","179415","","2206","20210806071004"
"98","Ekologické_zemědělství","97176","","20892","20230101185444"
"99","Dekáda_OSN_pro_obnovu_ekosystému","1665002","","11235","20220904014429"
"100","Obnovitelné_zdroje_energie","10949","Category","763","20150322064952"
"101","Environmentální_zdroj","418823","","1385","20190923000103"
"102","Environmentální_podnikání","1063749","","2129","20230609011208"
"103","Krajinná_dominanta","703033","","3450","20220302205008"
"104","Endemit","10843","","14936","20230426140542"
"105","Sciafyty","178058","","611","20150220054239"
"106","Parapatrická_speciace","1226117","","9185","20220830142153"
"107","Environmentální_hnutí","1521843","Category","140","20200727160021"
"108","Ekologické_zátěže","183981","Category","122","20201228165053"
"109","Ústup_ledovců_od_roku_1850","1642173","","153197","20230708162638"
"110","Invazní_druhy","13903","Category","613","20220623165318"
"111","80_Plus","748326","","5681","20221020065436"
"112","Kontaminace_půdy","197792","","4793","20220613111022"
"113","Bioakumulace","335708","","3361","20220505235445"
"114","Strategie_od_zemědělce_ke_spotřebiteli","1846386","","25058","20230507210827"
"115","Popelářský_vůz","73356","","5284","20201017170203"
"116","Mutualismus","245515","","4523","20210808183036"
"117","Bioremediace","10954","Category","117","20210224194623"
"118","Inverze_stupňů","179035","","2490","20171103080042"
"119","Termoregulace","1201491","","5387","20210605202536"
"120","Příroda_podle_zemí","924700","Category","132","20230414182524"
"121","Association_for_Vertical_Farming","1636505","","4739","20210723090329"
"122","Mezivládní_panel_pro_změnu_klimatu","1691926","Category","47","20220511130819"
"123","Mezihostitel","223167","","456","20190115105901"
"124","Cena_Josefa_Vavrouška","292742","","7684","20230622233625"
"125","Přirozený_nepřítel","288085","","3295","20230623004051"
"126","Seznam_chladiv","699303","","63469","20230331092306"
"127","Megatermní_organismy","178539","","518","20150530134844"
"128","Deklarace_Konference_Organizace_spojených_národů_o_životním_prostředí","1046985","","8802","20221120143955"
"129","Alelopatie","158674","","2258","20220513075253"
"130","Krajinná_sféra","708116","","2173","20230519070806"
"131","Stromové_patro","25887","","1751","20221116192139"
"132","Seznam_ekologických_katastrof","1153869","","2769","20230311102800"
"133","Zákon_o_myslivosti","217801","","3999","20230215205933"
"134","Medicago_(společnost)","1678022","","1071","20211006060917"
"135","Životní_prostředí_ve_Francii","896920","Category","189","20220820104632"
"136","Původní_druh","175876","","2264","20210809080532"
"137","Nepůvodní_druh","148087","","3832","20230415145914"
"138","Hnízdní_parazitismus","43688","","4310","20220224070634"
"139","Bylinné_patro","25923","","2751","20210514025231"
"140","Environmentální_rasismus","905237","","6850","20221224124053"
"141","Obaly","1304477","Category","158","20221115064648"
"142","Henrietta_Lacksová","410149","","3622","20221128105114"
"143","Metoda_CRISPR","1561344","","12284","20210808132021"
"144","Zooplankton","1532363","","4769","20220521213009"
"145","Přívalová_povodeň","341072","","2170","20220525111016"
"146","Trativod","668064","","1401","20220603160610"
"147","11._hodina","342884","","5714","20220120234248"
"148","Zimoviště","113433","","2317","20230523042805"
"149","Pěstování_chlorelly_v_českých_podmínkách","1746972","","13308","20220427144500"
"150","Udržitelný_rozvoj","47753","","48962","20230225113358"
"151","Životní_prostředí_podle_zemí","547087","Category","131","20230414174139"
"152","Znečištění_ovzduší","197507","","18976","20230704235849"
