"number","title","pageid","namespace","length","touched"
"1","JLV","979082","","3997","20211101165835"
"2","Kontaminace_potravin","286295","","7233","20210808174336"
"3","Čajovny","386371","Category","137","20180220122442"
"4","Lekkerland","347078","","1777","20210527153439"
"5","Marie_Fiedorová","1630387","","5603","20230508122459"
"6","Tanzanská_kuchyně","1558072","","6919","20220208094254"
"7","Srbská_kuchyně","951675","Category","180","20160405094002"
"8","Dobrý_ročník_(film)","640359","","3669","20230318092259"
"9","Pivovarníci","1809163","Category","86","20230509125042"
"10","Kosovská_kuchyně","1573796","","2185","20210130181927"
"11","Středoamerická_kuchyně","343385","Category","138","20220511134500"
"12","Unilever","370122","","16644","20230702092938"
"13","Bonbony","686875","Category","196","20210224195219"
"14","Krev_(potravina)","1536050","","2814","20221202124645"
"15","Co_bude_dnes_k_večeři?","1493840","","1776","20220320133727"
"16","Veřejné_stravování","1607460","Category","65","20200621100725"
"17","Vietnamská_kuchyně","705506","Category","169","20140602212911"
"18","Apicius_(kniha)","633515","","10614","20230708170753"
"19","Somálská_kuchyně","1337851","","3332","20210808164851"
"20","Restaurace_(pohostinství)","330512","","3443","20230617041933"
"21","Seznam_pivovarů_v_Praze","1858817","","10853","20230709183329"
"22","Snack_bar","1263414","","1296","20220607082739"
"23","Piknik","819427","","1063","20210602005602"
"24","Kuchyňské_nástroje","81460","Category","87","20210224224634"
"25","Jíška","393006","","5656","20230606135241"
"26","Marinování","806017","","5915","20230129165416"
"27","Suši","630735","Category","92","20140722093234"
"28","Babicovy_dobroty","542936","","2306","20230415162353"
"29","Nikaragujská_kuchyně","1654958","Category","140","20210119143921"
"30","Potravinářské_instituce","1310190","Category","31","20170717132205"
"31","Dánská_kuchyně","1571974","","6393","20220817123200"
"32","Mana_(náhrada_stravy)","1104309","","17211","20230308201626"
"33","Pečení","339","","1198","20230316074326"
"34","Skladování_potravin","876167","Category","68","20220222125757"
"35","Kuťa","266806","","2092","20210602120208"
"36","Nestlé","425725","","6603","20230621081003"
"37","Vegetariánská_potravinová_pyramida","1716047","","4518","20220101183154"
"38","Myanmarská_kuchyně","1668387","","4535","20210808183223"
"39","Výrobci_biopotravin","807594","Category","141","20120610195221"
"40","Vídeňská_kuchyně","1570392","","3308","20220311182100"
"41","Big_Smoke_Burger","1721440","","1676","20230423183621"
"42","Aşure","423365","","504","20220207115554"
"43","Americká_kuchyně","404321","Category","115","20190909144452"
"44","Saúdskoarabská_kuchyně","1669825","","4623","20220626095517"
"45","Carac","1700015","","2377","20211008065929"
"46","Scotch_pie","1795607","","4913","20221116201006"
"47","Metro_(dezert)","1114457","","1661","20220208112352"
"48","Kuchyně_Mali","1654670","Category","129","20210224224614"
"49","Česká_kuchyně","21999","","10893","20230207105524"
"50","Pec","87988","","1890","20230619085753"
"51","Seznam_řetězců_rychlého_občerstvení_v_Česku","1169396","","6752","20210604093055"
"52","Mytí_nádobí","359721","","2081","20200327203451"
"53","Monacká_kuchyně","1290876","Category","132","20220511104256"
"54","Omáčky","323844","Category","68","20140602175201"
"55","Pochoutkový_salát","1858376","","1612","20230625153156"
"56","Ruská_kuchyně","76393","Category","111","20170314131255"
"57","Gastronomická_média","419377","Category","102","20150608063658"
"58","Pasírování","307750","","803","20210214124802"
"59","Jedlé_houby","1606772","","14196","20230622105530"
"60","Kuchyně_Americké_Samoy","1287711","","1564","20201115235632"
"61","Molekulární_gastronomie","725183","","5373","20220521111957"
"62","Kuchyně_Papuy_Nové_Guiney","697086","Category","78","20200315144536"
"63","Čajovna","83114","","4827","20230504232308"
"64","Niederegger","842097","","1741","20230303175949"
"65","Národní_modlitební_snídaně","191856","","1571","20210606201527"
"66","Prodejní_automat_na_víno","1012381","","4188","20200904175421"
"67","Oceánská_kuchyně","1619071","","6275","20230108084748"
"68","Rumové_koule","1642892","","1383","20221025142005"
"69","Moldavská_kuchyně","705513","Category","148","20160715212002"
"70","Basbousa","1512166","","670","20221115202649"
"71","Mléčné_výrobky","39733","Category","182","20170717124935"
"72","Hliněný_výrobek","1201684","","2237","20230316214704"
"73","Fusion_kuchyně","458981","","1323","20220412190121"
"74","Sladkosti","49607","Category","49","20220207121226"
"75","Homebrewing","1227582","","7573","20210806125510"
"76","Grilovací_kámen","900962","","629","20230508074338"
"77","Producenti_čaje","544805","Category","73","20230222112556"
"78","Alžírská_kuchyně","1561636","","2871","20210718162452"
"79","Španělská_kuchyně","427295","Category","211","20140602191912"
"80","Ukrajinská_kuchyně","1222507","","9759","20230511100920"
"81","Myčka_nádobí","453883","","11717","20220204145115"
"82","Sládci","55349","Category","117","20230509125108"
"83","Bentó","1166123","","1352","20210805081420"
"84","Michelinův_průvodce","386087","","14588","20230712131147"
"85","Špíz","235504","","705","20210606155641"
"86","Tabouleh","1463751","","3651","20230630212242"
"87","Irská_kuchyně","758739","Category","144","20160202103255"
"88","Kuřecí_tikka_masala","1463803","","1470","20230211103039"
"89","Ázerbájdžánská_kuchyně","289051","Category","153","20180507082946"
"90","Fondán","925193","","1077","20221223222150"
"91","Příborový_nůž","206719","","1582","20180129084814"
"92","Kuchyňská_zařízení","586089","Category","76","20140606203744"
"93","Obsluhoval_jsem_anglického_krále_(film)","233990","","6725","20220107203801"
"94","Ruská_kuchyně","76387","","78435","20230511101047"
"95","Hematogen","1377686","","1931","20211216180214"
"96","Středomořská_potravinová_pyramida","1716053","","2648","20211230061409"
"97","Moldavská_kuchyně","1563946","","8477","20220704201650"
"98","Zmrzlinový_pohár","456316","","620","20210601113320"
"99","Číšník","581202","","2494","20230506083852"
"100","Mirka_van_Gils_Slavíková","1536960","","7946","20230301155332"
"101","Quindim","1512178","","613","20211102192115"
"102","Ukrajinská_kuchyně","145263","Category","149","20140601180425"
"103","Svatolucijská_kuchyně","1599606","","1546","20210809121657"
"104","Josef_Homolka","1649549","","30368","20221128095708"
"105","François_Pierre_La_Varenne","1463150","","6421","20230324105930"
"106","Strava_v_letecké_dopravě","207513","","4460","20221210203106"
"107","Angolská_kuchyně","1654734","Category","125","20210224192749"
"108","Rwandská_kuchyně","1654570","Category","125","20210225015904"
"109","Jordánská_kuchyně","1643538","","4590","20220801060539"
"110","Tanzanská_kuchyně","1654737","Category","147","20210407102919"
"111","Termix","156489","","2620","20221107112203"
"112","Gastronomie","574580","Portál","860","20230707193622"
"113","Italské_dezerty","1280374","Category","71","20210224220351"
"114","Gastronomie_v_Bruselu","913165","Category","76","20210514080735"
"115","Le_Viandier","665006","","1420","20210606195416"
"116","Potravinářské_skandály","639266","Category","65","20190430082102"
"117","Eintopf","147337","","9243","20230515054823"
"118","Franz_Sacher","1590487","","1060","20230326135251"
"119","Restaurační_předzahrádka","425641","","4216","20220313180518"
"120","Džibutská_kuchyně","1553259","","1324","20210723121641"
"121","Australská_kuchyně","672216","Category","161","20170425122403"
"122","Česká_chuťovka","1053790","","6309","20230415052145"
"123","Indická_kuchyně","920451","","12345","20221122113518"
"124","Kamnovec","815231","","1452","20210202200400"
"125","Kostarická_kuchyně","1654573","Category","135","20210224223807"
"126","Irácká_kuchyně","467572","Category","124","20140606192435"
"127","Nástolec","1546280","","2869","20210113203738"
"128","Komandorská_kuchyně","621208","Category","209","20140609131635"
"129","Josef_Štafl","1108781","","17646","20221128131441"
"130","Drátěnka","301455","","1281","20230508073203"
"131","Sifonová_láhev","753399","","4950","20220423073622"
"132","Gratinování","392494","","732","20200503094352"
"133","Komorská_kuchyně","1556957","","4306","20220404182821"
"134","Vatikánská_kuchyně","1288498","","6927","20230221140741"
"135","Andorrská_kuchyně","1563698","","4937","20230304173129"
"136","Surinamská_kuchyně","1590263","","3286","20201115215901"
"137","Edenred","998001","","9261","20230308094141"
"138","Restaurace_podle_zemí","1194207","Category","163","20230414215734"
"139","Vlašský_ořech","157020","","7332","20220925190945"
"140","Kuchařský_recept","323643","","1716","20230413124338"
"141","Středomořská_strava","702442","","17857","20220216071550"
"142","Moučník","1116978","","3068","20230626084536"
"143","Guatemalská_kuchyně","1597535","","2540","20210314164222"
"144","Jemenská_kuchyně","1645072","","2548","20210808131103"
"145","Evropský_úřad_pro_bezpečnost_potravin","119459","","2637","20210831075057"
"146","Libyjská_kuchyně","1559196","","2265","20211215072757"
"147","Brynzové_halušky","102682","","1353","20210602090303"
"148","Škrobárenství","1314879","Category","70","20170801091427"
"149","Digestoř","196110","","2906","20210806062537"
"150","Áno,_šéfe!","1021889","","3131","20230331203843"
"151","Stánek_s_limonádou","1641458","","5314","20220129075025"
"152","Pekařství","551019","Category","88","20140610093820"
"153","Nepálská_kuchyně","584207","Category","126","20140606203515"
"154","Kostarická_kuchyně","1596776","","3277","20211022095813"
"155","Americká_kuchyně","1521028","","14833","20230604160322"
"156","Chocodecor","809971","","1830","20190423181856"
"157","Wolt","1662509","","4304","20221212140149"
"158","Růžena_Černá","1366066","","7197","20221125111509"
"159","Konvektomat","867796","","3667","20230324084851"
"160","Slezská_kuchyně","508188","Category","272","20220717091902"
"161","Čadská_kuchyně","1654662","Category","129","20210224201704"
"162","Káva_dalgona","1635335","","7547","20220507123855"
"163","Achille_Gregor","387401","","5815","20221224222509"
"164","Chačapuri","1185075","","1852","20200307155827"
"165","Sušenka","132489","","742","20221128130738"
"166","Eucharistie","14434","","18315","20230604130202"
"167","Ovoce","7867","Category","169","20190403153622"
"168","Myanmarská_kuchyně","1668752","Category","145","20220511104337"
"169","Restaurace_ve_Francii","1194210","Category","130","20160422132533"
"170","Kuchyně_Středoafrické_republiky","1654685","Category","167","20210224224624"
"171","Kavárny_v_Paříži","577804","Category","142","20181202102908"
"172","Julie_a_Julia","589240","","5310","20220205192041"
"173","Decor_papír","809961","","2006","20210914182455"
"174","Arménská_kuchyně","1573774","","3147","20220423065640"
"175","Foodblogeři","1669728","Category","48","20210313201924"
"176","Kubánská_kuchyně","1598420","","3466","20210808175623"
"177","Le_bonheur_est_dans_le_pré","1806214","","4806","20230104204316"
"178","Židovská_kuchyně","357704","Category","135","20140602183015"
"179","Stir-fry","1450145","","5177","20230702140142"
"180","Svatá_trojice_(kuchařství)","680263","","17624","20220227181120"
"181","Kandované_kaštany","1180641","","3982","20230614180218"
"182","Restaurace_v_Litvě","1792672","Category","105","20221004095354"
"183","Ovar","63924","","1858","20220131115355"
"184","Řeznictví","1310176","Category","88","20170717124105"
"185","Dějiny_cukrářství_v_Česku","1111715","","18450","20220507211630"
"186","Kanadská_kuchyně","758740","Category","115","20200203170439"
"187","Bavorská_kuchyně","1576643","","2969","20221105131940"
"188","Gruzínská_kuchyně","1572491","","4083","20210806101407"
"189","Salvadorská_kuchyně","1597256","","2145","20210809095635"
"190","Gastronomické_televizní_pořady","439820","Category","100","20140606190610"
"191","Eritrejská_kuchyně","413704","Category","127","20140606185247"
"192","Trhy_v_Paříži","777801","Category","89","20140607102231"
"193","Turrón","897349","","2992","20220928010002"
"194","Kapverdská_kuchyně","1561646","","3361","20210605182335"
"195","Kuchyně_Konžské_demokratické_republiky","1554683","","3181","20210411232443"
"196","Bar_(podnik)","282326","","512","20210718180940"
"197","Kuchařská_kniha","323685","","6459","20230102145826"
"198","Kuchyně_Svatého_Tomáše_a_Princova_ostrova","1556627","","3711","20210808175651"
"199","Cukrárny","1716459","Category","89","20220313180541"
"200","Marocká_kuchyně","1555379","","4444","20221229090550"
"201","SENS_Foods","1400376","","3130","20230627173621"
"202","Botswanská_kuchyně","1304745","","4590","20210718191946"
"203","Stravovací_služby_podle_měst","1607465","Category","93","20220721123211"
"204","Kuchyně_Papuy_Nové_Guiney","1612320","","3680","20221027091658"
"205","Láska_na_kari","1222618","","8967","20230530184708"
"206","Severomakedonská_kuchyně","707224","Category","195","20201124164422"
"207","Fritování","409","","3314","20210602100555"
"208","Palauská_kuchyně","1617518","","3717","20220328181211"
"209","Sluneční_vařič","1175568","","4041","20220521210445"
"210","Kisra_(pokrm)","1556414","","1108","20220521201456"
"211","České_potravinářské_firmy","631308","Category","153","20210507135617"
"212","Lukáš_Hejlík","594524","","6988","20230707045919"
"213","Tuniská_kuchyně","305903","Category","184","20200115163822"
"214","Domácí_kuchařka_(Rettigová)","1716696","","6702","20220313175757"
"215","Číše","797530","","1184","20220313181609"
"216","Výstav","35888","","4522","20220103030015"
"217","Fårikål","1779773","","1919","20221004185955"
"218","Kuchaři","270990","Category","137","20221121085014"
"219","Vaření","323644","Category","147","20140602175137"
"220","Mlýnek_na_koření","944879","","1113","20210923045813"
"221","Pišingr","598838","","41990","20230707110741"
"222","Finská_kuchyně","392180","Category","146","20140601153729"
"223","F-Secure","1677358","","3273","20221004093707"
"224","Mauritánská_kuchyně","1560555","","2477","20210714052957"
"225","Syrská_kuchyně","1669407","","5005","20210809123645"
"226","Kristína_Nemčková","1698074","","10847","20230317125927"
"227","Uruguayská_kuchyně","1654499","Category","95","20210225040857"
"228","Norská_kuchyně","912622","Category","146","20200306181708"
