"number","title","pageid","namespace","length","touched"
"1","Řadový_dům","601466","","5006","20230201202837"
"2","MGRS","1196919","","1400","20230526180351"
"3","Pandita_(objevitel)","466080","","4048","20180902011900"
"4","Členění_území","98286","Category","496","20160625180701"
"5","Provincie_ve_Finsku","29871","","6148","20221104163037"
"6","Severovýchod","458158","","1090","20201003162554"
"7","Fyzická_geografie","100431","Category","78","20140530204018"
"8","Podzemní_jezera","245711","Category","154","20140810163003"
"9","Mezopotamská_nížina","511707","","2620","20210607083514"
"10","Seznam_nejdelších_řek","223491","","7339","20220207134441"
"11","Automobilová_navigace","410084","","9591","20220528111734"
"12","Carlos_Moreno","1629322","","6073","20230710195645"
"13","Obchodní_centrum","372561","","15985","20220211102120"
"14","Seznam_řek_v_Bulharsku","837750","","4905","20220212095022"
"15","Chytré_město","1185298","","19568","20230607010752"
"16","Seznam_řek_ve_Francii","851887","","5711","20221114230449"
"17","Seznam_jezer_v_Jižní_Americe","201387","","5627","20211224173651"
"18","Pavilon_Arsenal","727652","","3908","20230408174932"
"19","Dálkový_průzkum_Země","15699","","11509","20230411203852"
"20","Dějiny_geografie","1280972","","10672","20230714135431"
"21","Náměr","417769","","1916","20230118122054"
"22","Seznam_závislých_území","100591","","17938","20230218150403"
"23","Seznam_jezer_v_Austrálii","792788","","5779","20210912014550"
"24","Bavorský_geograf","64064","","13531","20220822235809"
"25","Rozhledny","21604","Category","134","20181128115329"
"26","Navigátor_(rallye)","820592","","1119","20220506064622"
"27","Mentální_mapa_(geografie)","359707","","4282","20220621172458"
"28","Architektura_&_Urbanismus","425715","","1491","20190315120023"
"29","Město_krátkých_vzdáleností","1764300","","2792","20221212104500"
"30","Seznam_největších_jezer_v_Asii_podle_rozlohy","137722","","11502","20210530123422"
"31","Nain_Singh","470083","","4628","20221204202455"
"32","Latinská_Amerika","290081","Category","133","20180929104101"
"33","Kopce_pod_1000_metrů_v_Německu","858888","Category","116","20220721075933"
"34","Seznam_historických_zeměpisných_názvů","293392","","20191","20221021204559"
"35","Region","248959","","4444","20210802123553"
"36","Turistická_navigace","410545","","5761","20230602213549"
"37","Mezinárodní_geografická_unie","1317963","","2122","20220521111508"
"38","Krajinná_dominanta","703033","","3450","20220302205008"
"39","Krajinná_sféra","708116","","2173","20230519070806"
"40","Městský_blok","1708526","","4353","20230310094640"
"41","Objevitelské_cesty","6148","Category","168","20210908110200"
"42","Seznamy_měst","23152","Category","155","20210225005747"
"43","Nová_divočina","1268104","","8061","20220616072423"
"44","Fanál","1157827","","983","20200606100846"
"45","Navigační_hvězdy","1268823","","9488","20220307030102"
"46","Vnitrozemí","511419","","2413","20210509083039"
"47","Dějiny_kartografie","1194602","Category","96","20210224202513"
"48","Topografie","92217","Category","104","20140530203419"
"49","Seznam_největších_říší_světa","460005","","10380","20220911211256"
"50","Medvėgalis","580785","","3151","20230409195659"
"51","Vojenské_prostory","90859","Category","168","20230104183032"
"52","Ochranné_pásmo","1487967","","4725","20220202171410"
"53","Seznamy_pohoří","1439901","Category","68","20181003201625"
"54","Dějiny_navigace","1194615","Category","161","20210908105958"
"55","Státní_mapová_díla_České_republiky","1352459","","20718","20220606164553"
"56","Kopce_pod_1000_metrů_ve_Spojeném_království","1781205","Category","138","20220818085331"
"57","NDB_(radiomaják)","209957","","7322","20230421193145"
"58","Hora_křížů_(okres_Šiauliai)","1795754","Category","242","20230128191410"
"59","Psí_hřiště","790222","","2676","20220219233001"
"60","Admiralty_List_of_Lights_and_Fog_Signals","1775712","","1569","20220731102736"
"61","Zelený_pás","426322","","11230","20230122133618"
"62","Literární_toulky_po_Čechách","1757584","","9967","20220527171341"
