"number","title","pageid","namespace","length","touched"
"1","Vlády_jmenované_roku_2011","1556240","Category","175","20220721082033"
"2","Vláda_národní_oběti","1639662","Template","3014","20230430203536"
"3","Vlády_Republiky_Slovinsko","515468","Category","189","20130404193754"
"4","Vlády_Ugandy","565168","Category","125","20200815100455"
"5","Muzeum_železné_opony_ve_Valticích","972263","","2987","20220308093746"
"6","Vlády_Řecka","740407","Template","1894","20200428203254"
"7","Vlády_jmenované_roku_2018","1555698","Category","175","20220721082036"
"8","Kuchyňský_kabinet","547581","","4099","20210905075037"
"9","První_vláda_Jana_Černého","1777289","Template","2493","20230430203535"
"10","Vlády_Československa_1","101069","Template","2131","20200428195922"
"11","Mezinárodní_agentura_pro_atomovou_energii","20205","","5416","20220828142300"
"12","Pobřežní_stráž","1496660","Category","113","20220308091709"
"13","Rada_států_Baltského_moře","568853","","8084","20210531114456"
"14","Vláda_Monaka","1823365","Category","184","20221229212600"
"15","Vlády_Spojeného_království","1632589","Template","3252","20221025124917"
"16","Instituce_mezivládních_organizací","1091948","Category","37","20150321075158"
"17","Vlády_jmenované_roku_1921","1556353","Category","175","20220721081958"
"18","Vlády_jmenované_roku_1994","1556259","Category","175","20220721082024"
"19","Navigační_šablony_vlád_Slovenska","1863177","Category","176","20230623183149"
"20","Vlády_jmenované_roku_1920","1555703","Category","175","20220721081957"
"21","Světová_obchodní_organizace","1466418","Category","125","20190128095525"
"22","Navigační_šablony_vlád_Ukrajiny","1835183","Category","123","20230421143506"
"23","Místopředsedové_vlád_Slovenska","794236","Category","125","20181112154413"
"24","Vlády_jmenované_roku_1992","1556261","Category","175","20220721082023"
"25","Vlády_jmenované_roku_1938","1556319","Category","175","20220721082005"
"26","Vlády_Turecka","763289","Category","109","20201118084004"
"27","Vlády_jmenované_roku_1929","1556342","Category","175","20220721082002"
"28","Vlády_jmenované_roku_1968","1556279","Category","175","20220721082017"
"29","Vlády_Abcházie","1114723","Category","76","20150618155348"
"30","Vlády_jmenované_roku_1932","1556339","Category","175","20220721082003"
"31","Hospodářská_a_sociální_komise_pro_Asii_a_Tichomoří","1615330","","5951","20220414120138"
"32","Vláda_Rakouského_císařství","388923","Category","103","20190725072542"
"33","Vláda_Jana_Stráského","1638124","Template","1669","20230430203536"
"34","Místopředsedové_vlád_Československa","764341","Category","132","20181112154342"
"35","Vláda_Jaroslava_Krejčího","1775540","Template","1140","20220731193343"
"36","Vlády_Spojeného_království","1553595","Category","230","20220622200639"
"37","Vlády_Československa_2","101070","Template","2627","20200428200144"
"38","Ministerstvo","35641","","6290","20210719093024"
"39","Ministr","35763","","3309","20211217190540"
"40","Vlády_jmenované_roku_1972","1556274","Category","175","20220721082019"
"41","Vlády_jmenované_roku_1926","1556347","Category","175","20220721082000"
"42","Státní_převraty_podle_zemí","1248993","Category","74","20230414221453"
"43","Vlády_jmenované_roku_1959","1799946","Category","175","20221031095546"
"44","Ministerstva","175695","Category","123","20220228055120"
"45","Vlády_jmenované_roku_1989","1556266","Category","175","20220721082022"
"46","Vlády_jmenované_roku_1965","1556283","Category","175","20220721082015"
"47","Druhá_vláda_Múte_Bourupa_Egede","1781573","Template","1491","20230209123451"
"48","Vlády_jmenované_roku_1949","1556310","Category","175","20220721082009"
"49","Vlády_Moldavska","1829782","Category","32","20230120204220"
"50","Rada_vlády","1822412","","2742","20221227062416"
"51","První_vláda_Milana_Hodži","1777715","Template","2476","20230430203535"
"52","Vlády_Itálie","831877","Category","90","20140607105249"
"53","Sdružení_národů_jihovýchodní_Asie","91157","","7339","20230314071617"
"54","Pohraniční_stráž","1742364","Category","197","20220512061642"
"55","Vlády_jmenované_roku_2019","1555697","Category","175","20220721082036"
"56","Hasan_Nizámulmulk","1660499","","7311","20221123101435"
"57","Vlády_jmenované_roku_1969","1556277","Category","175","20220721082017"
"58","Mariinský_palác","1674850","","3542","20230223210037"
"59","Seznam_státních_převratů_a_pokusů_o_převrat","1303902","","82657","20230627174955"
"60","Partnerství_veřejného_a_soukromého_sektoru","1262811","","15735","20220417063941"
"61","Vlády_jmenované_roku_1935","1556326","Category","175","20220721082004"
"62","Výbor_pro_mongolské_a_tibetské_záležitosti","867979","","4709","20210823040230"
