"number","title","pageid","namespace","length","touched"
"1","Vakcíny","862112","Category","82","20141123095626"
"2","ADHD","47912","","49639","20230707213830"
"3","Hormonální_poruchy","30664","Category","49","20080923050236"
"4","Osteom","325924","","1338","20220925195329"
"5","Molovka_zeravová","930453","","4139","20230620073718"
"6","Paratuberkulóza","1372837","","37593","20230326174747"
"7","Hematurie","366322","","2818","20210806122933"
"8","Fasciolóza","214930","","11706","20221122101739"
"9","Tmavoskvrnáč_zhoubný","930995","","6386","20220428204436"
"10","Sklerodermie","1446762","","9248","20210809104304"
"11","Bipolární_afektivní_porucha","34207","","21138","20230426075629"
"12","Otrava_cykasy","261954","","4391","20191007081248"
"13","Podvrtnutí","331174","","896","20210808145738"
"14","Alexitymie","211815","","3752","20220910140944"
"15","Korovnice_smrková","930210","","6212","20221128144227"
"16","Dušnost","476439","","4097","20211212093935"
"17","Crouzonův_syndrom","219581","","2606","20230125080532"
"18","Münchhausenův_syndrom","505032","","2346","20230610220425"
"19","Úraz","79633","","4752","20220211164018"
"20","Kraniosakrální_biodynamika","653499","","20688","20230520162428"
"21","Obaleč_ovocný","930977","","5441","20210808192742"
"22","Hypoglykemie","154827","","5343","20220806124118"
"23","Cena_Olgy_Havlové","575000","","24264","20230529171519"
"24","Nitroděložní_tělísko","1757838","","20444","20230107195920"
"25","Symptomy_chorob_a_škůdců_rostlin","904879","Category","40","20130503152753"
"26","Nízkoprahové_zařízení","763065","","9342","20230118141016"
"27","Nekrotická_kroužkovitost_třešně","904002","","7339","20230510070713"
"28","Jodopsin","782498","","2586","20200724112036"
"29","Renfieldův_syndrom","387652","","1800","20230626130342"
"30","Rakovina_tlustého_střeva","318355","","3373","20210802122507"
"31","Fatální_familiární_insomnie","600119","","3434","20220604201638"
"32","Myrtle_Corbin","674435","","1683","20221125070549"
"33","Mongolská_skvrna","317857","","4258","20230221061519"
"34","Dysgrafie","216841","","9987","20230608085235"
"35","Bezpečnost_práce","270139","Category","176","20210224194435"
"36","Aplastická_anémie","310561","","1498","20230127095353"
"37","Filmy_o_nemocech","1630261","Category","60","20201019161244"
"38","Divertikl","818091","","4046","20220521111241"
"39","Kritici_alternativní_medicíny","1160383","Category","106","20151221150258"
"40","Primární_amébová_meningoencefalitida","1823810","","6597","20230330084900"
"41","Klaustrofilie","491342","","344","20210714144039"
"42","Vůně","147026","","3272","20230612100921"
"43","Köbnerův_fenomén","1377979","","549","20211109203054"
"44","Mšice_hlohová","1013579","","3870","20221031094346"
"45","XY_gonadální_dysgeneze","1597661","","8479","20211107171857"
"46","Albinismus","295508","","3088","20220617153518"
"47","Merkelova_buňka","497396","","2256","20211004153716"
"48","Rohožka","265353","","949","20220831150619"
"49","Syndrom_vlastního_zápachu","979039","","915","20210808172452"
"50","Zdravotní_postižení","387597","","11410","20230309171909"
"51","Pellagra","405341","","9989","20230624061717"
"52","Hmat","183698","","1842","20230417161549"
"53","Bronchioloalveolární_karcinom","476996","","2644","20210805091654"
"54","Zdravá_délka_života","663053","","2475","20210808201603"
"55","Zubní_váček","153343","","375","20201026203635"
"56","Hodnocení_soběstačnosti","1493337","","5684","20220315171927"
"57","Ascorutin","379341","","1448","20170815104009"
"58","Mikrokomedon","1279540","","3752","20210808174341"
"59","WatiMin","1512500","","2490","20200306164500"
"60","Neurotraumata","479269","Category","78","20140606193213"
"61","Progresivní_multifokální_leukoencefalopatie","463325","","3001","20230611051527"
"62","Závrať","261898","","1826","20220805140058"
"63","Bílá_nemoc","39028","","13792","20230502161905"
"64","Akupresura","57421","","15345","20230604041903"
"65","Patauův_syndrom","345076","","2172","20211113134754"
"66","Lichen_sclerosus","1489523","","31089","20220925200628"
"67","Epidemie","527624","Category","103","20210826111059"
"68","Numulární_dermatitida","898538","","4169","20210602131816"
"69","Záchod","20599","","60195","20230707113125"
"70","Denturista","1735909","","4179","20221223000810"
"71","Mukopolysacharidóza","764501","","2890","20210808133745"
"72","Parazitární_onemocnění","139721","Category","204","20210224235923"
"73","Safety_Integrity_Level","1743292","","1884","20220519134452"
"74","Dryocosmus_kuriphilus","900602","","13071","20210806070016"
"75","Psycholog","318469","","9819","20230707195554"
"76","Karcinom_prsu","330091","","30980","20230614204255"
"77","Lékárna","96286","","4854","20220817124622"
"78","Puklice_švestková","930413","","7032","20230623072703"
"79","Porfyrie","301759","","11765","20221212110132"
"80","Kyklopie","575030","","1205","20230109130954"
"81","Autismus","584409","Category","145","20140601163723"
"82","Systémové_hormonální_přípravky","1040145","Category","97","20220512071306"
"83","Sluchově_rovnovážný_nerv","708309","","2189","20210121004848"
"84","Erdheimova–Chesterova_choroba","474536","","1835","20211113134812"
"85","Zemřelí_na_dermatologická_onemocnění","498226","Category","103","20170622083107"
"86","Čichový_bulbus","612850","","3663","20210805123213"
"87","Síťkovec_načervenalý","928484","","5323","20211027155223"
"88","Produkty_organismu","76354","Category","85","20221107072140"
"89","Visual_snow","844744","","1222","20210809172654"
"90","Anizokorie","997755","","1616","20230527182523"
"91","Sekundární_infekce","22687","","605","20220211163906"
"92","Rizikový_faktor","22386","","9008","20230607172239"
"93","Závislost_(psychologie)","31613","","10649","20230525130415"
"94","Hypomanie","378087","","7166","20210806135547"
"95","Rychlá_lékařská_pomoc","807859","","8201","20210719080557"
"96","Hlemýžď_(ucho)","789448","","1226","20230527130516"
"97","Hepatitida","105895","","1631","20230328123811"
"98","Zdravotnické_organizace","380341","Category","82","20190516081847"
"99","Zraková_ostrost","1812576","","3391","20221212091701"
"100","Psychiatři","147559","Category","128","20221129082606"
"101","Mezinárodní_klasifikace_nemocí","325743","","12039","20220807192942"
"102","Adjuvans","378058","","2498","20220107090903"
"103","Ustilago_shiraiana","909405","","1788","20230119235748"
"104","Chuťový_receptor","582051","","3521","20220521200314"
"105","Struma_(medicína)","400727","","1653","20210809115746"
"106","Ewingův_sarkom","745723","","5848","20220925194708"
"107","Koprofágie","89177","","4211","20230115232657"
"108","Otrava_Alexandra_Litviněnka","1056745","","13815","20230128135613"
"109","Úpravna_vody_Vyšní_Lhoty","1139976","","4030","20230529115810"
"110","Rodopsin","188357","","7228","20210719111020"
"111","Vitamín_D_a_chřipka","875357","","25876","20230105081024"
"112","Zombie_filmy","828244","Category","112","20210225045403"
"113","Letecká_záchranná_služba","1290603","Category","153","20180709011857"
"114","Ču_Jou-tun","1047285","","10092","20221123122519"
"115","Vitamín_B6","73085","","8866","20220401125142"
"116","Nemoci_oběhové_soustavy","377114","Category","141","20140606183309"
"117","Vaginální_napařování","1522542","","20694","20230708181338"
"118","Lupus_vulgaris","41637","","759","20210808183538"
"119","Troudnatec_pásovaný","491804","","7296","20230119100027"
"120","Přejezd_Kassandra","225548","","2962","20220107213139"
"121","Mánie","307496","","4610","20230614194021"
"122","SYSADOA","66099","","13283","20210825071053"
"123","Tuberkulóza","487354","Category","109","20180620125506"
"124","Brigid","155462","","4918","20210530191232"
"125","Perforace_(lékařství)","366162","","1878","20210809054756"
"126","Tuta_absoluta","899963","","11609","20211027152338"
"127","Hypobulie","641434","","379","20170314173441"
"128","Rez_vrbková","906302","","4154","20230112213101"
"129","Alexandrina_Irena_Pruská","1636831","","5827","20221128093933"
"130","Komplexní_regionální_bolestivý_syndrom","1674133","","532","20210808114626"
"131","Bezbariérový_přístup","422882","","2683","20220121220617"
"132","Epidemie","10848","","7123","20230530123850"
"133","Mšice_bršlicová","1013607","","3599","20210806234856"
"134","Chytrá_karanténa","1589513","","27013","20230511070712"
"135","Mera_skvrnitá","1001898","","4487","20230219162803"
"136","Měření_hluku","774142","","3493","20220307014210"
"137","Neinvazivní_vyšetření_krve","785765","","5761","20220224235842"
"138","Parosmie","1761934","","2882","20230624032132"
"139","Podchlazení","134415","","3978","20230127141347"
"140","Pseudomembranózní_kolitida","1001775","","6084","20220421190731"
"141","Diabetická_nefropatie","351508","","1801","20210806061918"
"142","Říhání","543039","","1038","20221119180146"
"143","Choroby_krve","401226","Category","88","20140606184512"
"144","Nemoci_vylučovací_soustavy","339944","Category","144","20230330090821"
"145","Panaricium","756695","","898","20220307170554"
"146","Otrava_kyanidy","713908","","13936","20230622184858"
"147","Onemocnění_chrupu","401221","Category","71","20170215092240"
"148","Infarkt_myokardu","144331","","12571","20220824160935"
"149","Farmacie","96248","","2642","20210719110840"
"150","Dornova_metoda","1681374","","5049","20210806065417"
"151","Cotardův_syndrom","979047","","1597","20220927211616"
"152","Šedý_zákal","290106","","10690","20221219114323"
"153","Pět_prvků","692007","","6047","20221129172009"
"154","Nedostatek_fosforu_u_rostlin","893119","","4696","20221126075437"
"155","Brightova_nemoc","1263943","","1352","20230710083240"
"156","Vzdušný_přenos","1626071","","4530","20221224073505"
"157","Umyvadlo","233484","","4005","20220918231647"
"158","Retinální_gangliová_buňka","790918","","6594","20220521205425"
"159","Chediakův–Higashiho_syndrom","441936","","3246","20211113134710"
"160","Ludmila_Eleková","1695813","","21045","20230129203753"
"161","Harmonikový_nasávač","1597843","","9780","20220507230706"
"162","Retence_moči","596414","","1533","20230609042319"
"163","Mytí_rukou","1139543","","4054","20220630183513"
"164","Trasování_(epidemiologie)","1642290","","1385","20210808181830"
"165","Zrakové_postižení","357665","Category","234","20221126154528"
"166","Meteorismus","814098","","595","20220503052909"
"167","The_Omega_Man","1341641","","2443","20201019161645"
"168","Syndrom_toxického_šoku","1161267","","859","20230409082906"
"169","Infekční_anémie_koní","1575999","","9858","20220523132403"
"170","Vbočený_palec","1677370","","3883","20230120050856"
"171","Pierre_Lépine","1862661","","4773","20230629110459"
"172","Americké_padlí_angreštové","900700","","9589","20211027152326"
"173","Dyslexie","48073","","17735","20230619174105"
"174","Zánět_spojivek","379148","","2335","20220317045843"
"175","Tejpování","957921","","16897","20230118035755"
"176","ThetaHealing","1802752","","9875","20221212030419"
"177","Nedostatek_mědi_u_rostlin","1111941","","2851","20221126080413"
"178","Syndrom_benigních_fascikulací","375468","","6154","20210809123508"
"179","Ztracená_léta_života_v_důsledku_nemoci","1364439","","1479","20210808202644"
"180","Lidé_s_albinismem","930556","Category","87","20140607121332"
"181","Cyklotymie","396008","","866","20210514045952"
"182","Odumírání_letorostů_jehličnanů","903111","","9465","20230108100241"
"183","Kapesník","203824","","1488","20221010082102"
"184","Hipoterapie","509837","","7600","20221124102704"
"185","Rekreace","233526","","2715","20210727114016"
"186","Nemoci_koní","783823","Category","108","20170703191639"
"187","Mšice_maková","1013263","","4317","20210808133720"
"188","Zemřelí_na_podvýživu","1357187","Category","93","20180117001719"
"189","Laryngitida","1565224","","1829","20210511144535"
"190","Homeopaté","875995","Category","98","20210224212311"
"191","Ochucovadlo","1197123","","1035","20221104194056"
"192","Nouzová_antikoncepce","1756765","","28808","20230310153925"
"193","Marrko_core","1656129","","4058","20221007163504"
"194","Domácí_lékař_aneb_nic_není_jen_tak...","750152","","18687","20230427135719"
"195","Antivitamín","1600315","","877","20230625083801"
"196","Farmaceut","348531","","12124","20220514134849"
"197","Dysmúzie","708182","","1669","20210420052510"
"198","Plicnivka_liščí","1756745","","6165","20220516184139"
"199","Kamenec","175243","","2699","20220124102550"
"200","Onemocnění_pohlavních_orgánů","405793","Category","144","20100211113718"
"201","Hypertenze","22645","","20688","20230505080830"
"202","Elon_Musk","674909","","36657","20230705112121"
"203","Paréza","1164761","","1158","20210720094623"
"204","Addisonova_choroba","30663","","4097","20220314080844"
"205","Cerkáriová_dermatitida","1198448","","21930","20230701164544"
"206","Rekonvalescence","339027","","882","20220206154443"
"207","Rzivost_topolu","905937","","5977","20190614120020"
"208","Syndrom_polycystických_ovarií","390957","","2907","20230212083733"
"209","MOTOmed","1770520","","1199","20220705083736"
"210","Aceria_heteronyx","929595","","2025","20211027155232"
"211","Mýdelník_(hygiena)","390751","","692","20210606145827"
"212","Synkopa_(medicína)","331593","","3108","20230320125047"
"213","Encefalitida","579732","","6072","20230412090537"
"214","Chronické_střevní_záněty","1005184","","5853","20210723222711"
"215","Hálka","291775","","2116","20210806101934"
"216","Tyreotoxikóza","1033340","","3285","20210502202924"
"217","Plzák_španělský","13957","","11108","20230616192643"
"218","Násilí_na_seniorech","1680813","","27971","20220531153533"
"219","Chráněný_trh_práce","1376680","","3702","20191101084247"
"220","Infarkt","194901","","8922","20230710211951"
"221","Seznam_vybraných_prostředků_zdravotnické_techniky","452613","","4340","20230311124735"
"222","Molice","300088","","11256","20230524115205"
