"number","title","pageid","namespace","length","touched"
"1","Mumie","589557","Category","168","20200523152009"
"2","Dějiny_Gruzie","109944","Category","222","20230615120253"
"3","Seznamy_panovníků_podle_zemí","622101","Category","286","20230210142639"
"4","Dějiny_Česka","283193","Category","239","20220821115559"
"5","Núbie","330053","Category","230","20180107123445"
"6","Historie_jazyků","749851","Category","62","20201117191759"
"7","Dějiny_Miskolce","1840004","","18147","20230402051452"
"8","Dějiny_Japonska","34215","Category","133","20230414223021"
"9","Chazarská_teorie","37245","","981","20210111190304"
"10","Seznam_bitev","10277","","10486","20230702140122"
"11","Události_podle_století","593298","Category","105","20230414174304"
"12","Historické_teorie","249962","Category","68","20210224214157"
"13","Dějiny_Židů","178125","Category","116","20170321090819"
"14","Nerealizované_televizní_seriály","1200593","Category","98","20160515170038"
"15","Osoby_spjaté_s_židovskými_dějinami","1824045","Category","121","20230324152114"
"16","Historické_sultanáty","505250","Category","58","20160906115713"
"17","Genderová_archeologie","1450582","","4955","20220521195220"
"18","Härjedalen","1741778","","3406","20220729190234"
"19","Reálie","243751","","8316","20221025113612"
"20","Archeogenetika","1287145","","2962","20210809183454"
"21","Historie_fotografie","329889","Category","109","20140602175716"
"22","Historické_disciplíny","175110","Category","73","20210224214146"
"23","Environmentální_archeologie","1448978","","12064","20230326074201"
"24","Starověký_Egypt","404700","Portál","1129","20230707192251"
"25","Osoby_spjaté_s_dějinami","1823654","Category","69","20221231102131"
"26","Zaniklá_jezera","106842","Category","113","20170301105716"
"27","Seznamy_památníků_a_pomníků","1414999","Category","86","20180826063012"
"28","Dějiny_lidstva","460355","","76963","20230415183655"
"29","Dějiny_Vitebsku","1116827","Category","124","20210224203819"
"30","Bývalá_sídla","1273404","Category","178","20210825133955"
"31","Dějiny_Šalomounových_ostrovů","167603","Category","128","20200717214921"
"32","Země_Keltů","1748180","","5731","20230408181947"
"33","Starověká_římská_historická_díla","269499","Category","124","20071217135551"
"34","Dějiny_Sovětského_svazu","49276","Category","101","20201013083932"
"35","Skautské_svátky_a_akce","317233","Category","73","20170308143838"
"36","Sešrotované_lodě","1351932","Category","101","20210907215649"
"37","Kabinet_kuriozit","1381005","","4786","20230425183529"
"38","Dějiny_Ukrajiny","49278","Category","104","20180219103740"
"39","Dějiny_Koreje","237393","Category","106","20180424105520"
"40","Ruský_Dálný_východ","590057","","2008","20221228174005"
"41","Dějiny_Ekvádoru","437887","Category","163","20220321144508"
"42","Zrušené_sportovní_události","1771033","Category","100","20220707152958"
"43","Dějiny_Madagaskaru","1405417","Category","160","20220321085427"
"44","WikiProjekt_Historie/Novověk","356358","Project","11364","20090730012248"
"45","Transoxanie","432227","","1231","20230523043704"
"46","Seznam_států_světa_podle_data_vzniku","19174","","37431","20230303143429"
"47","Dějiny_Chile","382239","Category","154","20220321140623"
"48","Randers","1062611","","4069","20220618092321"
"49","Psychohistorie","55737","","2570","20181231010434"
"50","Dějiny_New_Yorku","720076","Category","148","20161007161829"
"51","Dějiny_Keni","554029","Category","137","20220321085427"
"52","Dějiny_Banja_Luky","1857508","","21743","20230530205028"
"53","Pseudoarcheologie","257855","Category","90","20140601201356"
