"number","title","pageid","namespace","length","touched"
"1","Národní_knihovna_Izraele","991726","Category","184","20190517095447"
"2","Knihovny_v_Německu","986095","Category","165","20140607122313"
"3","Hartleyova_funkce","1557531","","2662","20210806102228"
"4","Velká_data","1381074","Category","82","20180503230050"
"5","Národní_knihovna_Izraele","321089","","3880","20230408231920"
"6","Internet_Archive","703437","","2258","20230523175139"
"7","Knihovny_v_Polsku","629550","Category","104","20210224223121"
"8","Telepatie","75101","","21771","20230120082607"
"9","Digitální_knihovny","157198","Category","82","20140601181403"
"10","DigitalPreservationEurope","339174","","1871","20190102071920"
"11","Lidská_komunikace","63953","Category","116","20221002171954"
"12","Aššurbanipalova_knihovna","883448","","8369","20230408232033"
"13","Resource_Description_and_Access","592661","","11171","20230419190513"
"14","Lotyšská_národní_knihovna","1191714","","13052","20230226025853"
"15","Prstová_abeceda","389126","","5123","20230104183043"
"16","Evropská_knihovna","223894","","5921","20190619152735"
"17","Knihovny_podle_zemí","629548","Category","131","20230414174626"
"18","Entropie","35072","","18279","20220912030750"
"19","Kanonizace_(informatika)","341083","","7052","20210808194436"
"20","Knihovnicko-informační_profese","723065","Category","88","20150605113620"
"21","Knihovna_Chestera_Beattyho","1551745","","678","20230526102319"
"22","Informační_bezpečnost","534948","Category","260","20210224214106"
"23","Virtuální_národní_fonotéka","1108617","","17311","20210713141321"
"24","Průběžná_integrace","387179","","11485","20220216072142"
"25","Autoprezentace","1452947","","7817","20221113181346"
"26","Národní_knihovna_Chile","1816631","","2943","20221221124824"
"27","Nevěda","1693516","","12390","20230107165220"
"28","Knihovny_v_Bosně_a_Hercegovině","629552","Category","72","20210224223114"
"29","Arbitrovaný_protokol","93940","","801","20120208160312"
"30","AZ-kvíz","851921","","19763","20230608213912"
"31","Muzeum_Otokara_Březiny","1167709","","7234","20230408175738"
"32","Národní_knihovna_Kosova","1233054","","3551","20220310002109"
"33","Přijímač","1619145","","1182","20230524045238"
"34","Vatikánská_apoštolská_knihovna","418507","","36193","20230515083650"
"35","Záhady","69314","Category","139","20210825074652"
"36","Globální_síť","1476424","","2244","20221003194647"
"37","Bílá_věž_(klášterní)","1593811","","23855","20230626181207"
"38","Komunikační_symboly","575094","","1837","20230112135940"
"39","Vyhledávání","434020","Category","40","20140606190329"
"40","Knihovna_Jiřího_Mahena_v_Brně","206753","","2651","20230620201801"
"41","Datové_typy","184980","Category","98","20180503231021"
"42","Lormova_abeceda","113999","","4479","20210810150559"
"43","Klášterní_knihovny","1273564","Category","87","20210224222829"
"44","Zaniklé_knihovny","629554","Category","83","20170215084130"
"45","Tabulka_(informace)","1001050","","1410","20210808173943"
"46","Sci-Hub","1174589","","9441","20230311101113"
"47","Bibliothèque_Forney","654916","","2973","20220323143413"
"48","Digitální_knihovna_Univerzitní_knihovny_v_Bratislavě","1285168","","4456","20230323204247"
"49","Zaniklé_knihovny_v_Česku","1361588","Category","63","20180204132710"
"50","E._Glynn_Harmon","1498201","","10792","20220527113054"
"51","Webarchiv","16916","","5980","20230707203632"
"52","Henri_La_Fontaine","611853","","22927","20221125091844"
"53","Széchényiho_národní_knihovna","1399140","","3203","20230630173528"
"54","Gallica","869864","","2599","20210723194029"
"55","Nefinanční_reporting","1208855","","4085","20160614100351"
"56","Národní_knihovna_České_republiky","723060","Category","139","20140602213511"
"57","LibriVox","1649715","","2811","20230410070948"
"58","Knihovna_věcí","1450755","","4338","20220326154759"
"59","Univerzitní_a_městská_knihovna_Kolín_nad_Rýnem","1650383","","3236","20211003233328"
"60","Seznam_knihoven_Knihovny_Filozofické_fakulty_Univerzity_Karlovy","1109281","","2957","20210514012556"
"61","Grafické_symboly_pro_ekologii","1707962","","12831","20230606161244"
"62","Praktická_vizuální_komunikace","1704134","","8771","20230608144211"
"63","Digitální_repozitář","339164","","6059","20200606062713"
"64","Lekotéka","1330032","","2773","20230103071214"
"65","JSTOR","1319049","","1505","20211210225341"
"66","Europeana","376613","","2337","20211119151308"
"67","Masarykova_veřejná_knihovna","1248487","","16209","20230105052259"
"68","ROAR","862427","","5061","20230112044511"
"69","Podmíněná_entropie","1643470","","13124","20211118153149"
"70","Národní_knihovna_Estonska","1190564","","3716","20230408232058"
"71","Informační_systémy","5849","Category","146","20140601114218"
"72","VuFind","923411","","2251","20210528093408"
"73","Informační_věda_a_knihovnictví","664758","Portál","4764","20230707153747"
"74","Open_Library","873186","","1579","20230323203751"
"75","Informační_vědci","667466","Category","90","20210224220006"
"76","Web_scraping","1760876","","9802","20221212091606"
"77","Knihovny_v_Rumunsku","1849354","Category","108","20230420222111"
"78","Audience","1577167","","2235","20201111235628"
"79","Knihovny_v_Itálii","1313073","Category","131","20170723175419"
"80","Knihovny_v_Egyptě","943149","Category","58","20210224223115"
"81","Knihovny_ve_Švédsku","1209970","Category","62","20170215072651"
"82","Nejchytřejší_Čech","1199852","","3604","20230407110253"
"83","International_Music_Score_Library_Project","356417","","7199","20220521070214"
"84","Dezinformační_weby","1695640","Category","202","20230321115532"
"85","Knihovna_Kongresu","369201","","3963","20210719195315"
"86","Rukopisy_Vědecké_knihovny_v_Olomouci","1229505","Category","80","20160911071154"
"87","Otevřený_přístup","737522","","21830","20230530141500"
"88","Informační_válka","1133543","","5285","20221118071207"
"89","Asynchronie","970977","","1282","20210805110830"
"90","Knihovny_ve_Francii","629551","Category","164","20191105114646"
"91","Teorie_sociální_směny","642156","","5863","20220511064326"
"92","Zákon_o_svobodném_přístupu_k_informacím","588709","","7968","20230626203855"
"93","Masová_komunikace","557715","","14414","20230703090502"
"94","Emoce","33071","","34313","20230209121022"
"95","Knihovny_v_Afghánistánu","1837615","Category","167","20230221190000"
"96","Analýza_dat","1488291","","6828","20220418090120"
"97","Informační_architektura","1104242","","6200","20220407080633"
"98","Knihovna_Matěje_Mikšíčka","1458507","","14227","20230408232151"
"99","Hoax","11439","","12474","20230418110606"
"100","Explicitní_znalosti","1330514","","1704","20211102191022"
"101","Dorozumívání","4737","Category","259","20221113182752"
"102","Kultivační_teorie","592554","","4986","20210809185431"
"103","Národní_úložiště_šedé_literatury","1058835","","4384","20190613040150"
"104","Uživatelské_rozhraní","274960","Category","225","20200520022810"
"105","Vědecká_knihovna_v_Olomouci","167107","","15277","20230614164302"
"106","Zakladatelé_knihoven","1382891","Category","96","20230118045545"
"107","Informační_věda","667460","Category","280","20160522090959"
"108","Francouzská_národní_knihovna","654173","Category","147","20140601170838"
"109","Německá_národní_knihovna","570153","","962","20211223153313"
"110","Odhad_entropie","952450","","1122","20210809190128"
"111","Strahovská_knihovna","883998","","13965","20230109122417"
"112","Psaní_a_čtení","79550","Category","168","20211118165306"
"113","Komunikace_vědy","1650078","","4890","20221027041321"
"114","Stigmergie","1387775","","1357","20210809191101"
"115","Data_science","1463342","","24683","20230208001551"
"116","Komnata_ozvěn","1244865","","5404","20221222154756"
"117","Andrew_Carnegie","681116","","6285","20230330235600"
"118","Modlitby","12072","Category","117","20190720080344"
