"number","title","pageid","namespace","length","touched"
"1","Souhláska","104261","","16366","20230226095446"
"2","Soundex","1522098","","5723","20220415142843"
"3","Gramatické_modely","1711070","Category","99","20220511115252"
"4","Lingvistická_morfologie","118626","Category","129","20140601173713"
"5","Vulgarismus","71063","","4915","20230326140534"
"6","Dekret_o_povinném_tykání","1782245","","2001","20220821182718"
"7","Prozódie_(poezie)","136063","","1956","20210719120024"
"8","Sociologie_jazyka","57121","","20956","20220223170518"
"9","Ruská_válečná_lodi,_jdi_do_prdele!","1742960","","9090","20230415192206"
"10","Logický_pozitivismus","8519","","15272","20221127185542"
"11","Konferenční_tlumočení","1148595","","2739","20200607022804"
"12","Izochronie","409075","","1301","20210808114208"
"13","Plautdietsch","407895","","5712","20220427152355"
"14","Kancléř_(Polsko)","1320180","","1496","20221002203019"
"15","Ústav_translatologie_Filozofické_fakulty_Univerzity_Karlovy","406244","","1457","20200619164928"
"16","Toponomastika","53709","","1300","20210701060924"
"17","Druhý_jazyk","256117","","509","20210806073019"
"18","Bigram","1799861","","1474","20230526122700"
"19","CAT","144980","","9999","20210805111809"
"20","Lakuna","1850350","","2211","20230426203655"
"21","Areálová_lingvistika","950060","","786","20210804093254"
"22","Slovo_a_slovesnost","124631","","1438","20201121164047"
"23","Koartikulace","469425","","2149","20220815195249"
"24","Emeritura","500129","","1731","20230201105708"
"25","Metoda_Michela_Thomase","561165","","6066","20210717224841"
"26","Neurolingvistické_programování","263547","","20424","20230621085258"
"27","Textologie","232943","Category","84","20210225013746"
"28","Reisu-l-ulema","1241907","","9215","20201117184646"
"29","Rozpoznávání_řeči","373902","Category","129","20210225004524"
"30","Bustrofédon","709666","","1558","20230516081821"
"31","Zasloužilý_mistr_sportu","226551","","2757","20220718105103"
"32","Argument_(lingvistika)","1759418","","22537","20220704215019"
"33","Jména","6110","Category","109","20140530193920"
"34","Hláskovací_tabulka","84672","","13509","20221018112830"
"35","Typy_jazyků","104338","Category","75","20060719135623"
"36","Syntax","8722","","5418","20230511222239"
"37","Zpracování_přirozeného_jazyka","3495","","17848","20230328043041"
"38","Kleeneho_hvězdička","1582435","","2977","20210808111753"
"39","Kalk","266224","","2810","20221206091827"
"40","Jazyky_podle_zemí","333751","Category","121","20230414172009"
"41","Ontogeneze_řeči","998850","","9164","20220521183825"
"42","Interlingvistika","1651977","Category","104","20210224220027"
"43","Antroponomastika","53713","","1125","20210804102515"
"44","Strojový_překlad","3496","","12722","20230707121241"
"45","Slabika","99604","","7330","20230518114852"
"46","Paleolingvisté","1300151","Category","196","20230101074237"
"47","Seznamy_latinských_rčení","1502023","Category","82","20190529211139"
"48","ICR","851112","","3310","20220107203947"
"49","Preskriptivní_lingvistika","1248767","","700","20210808152418"
"50","Posouvání_hlásek","7537","","2215","20210719081123"
"51","Pidžin","206239","","4526","20220411014651"
"52","Syntéza_řeči","745072","","2178","20221123195717"
"53","Problém_ukotvení_symbolů","970243","","12486","20210914182603"
"54","Pravidla_slovenského_pravopisu","328885","","6822","20170919101157"
"55","Dvorní_rada","1050160","","891","20230712201639"
"56","Otec_vlasti","237200","","10303","20221101192353"
"57","Gramatika_z_Port-Royal","1091806","","6067","20221127192118"
"58","Etymologie","123295","Category","127","20210224204558"
"59","Dějiny_překladu","243146","","1330","20170102123128"
"60","Kodifikace_(lingvistika)","293359","","10490","20220510070643"
"61","Nová_čeština_doma_a_ve_světě","1259838","","1950","20221104211708"
"62","Délka_slov_v_češtině","304382","","7705","20220319184827"
"63","Seznamy_zkratek","601338","Category","97","20130404164323"
"64","Diskurzivní_etika","1815581","","8908","20230314234214"
"65","Hiát_(lingvistika)","1149441","","1590","20210806103021"
"66","Velký_vezír","851405","","1671","20221208175037"
"67","VIP","213932","","1296","20220715164436"
"68","Syntaktické_transformace","1711807","Category","119","20211006213328"
"69","Jazykové_školy_v_Česku","1494125","Category","67","20190428125551"
"70","Princ_manžel","1323478","","3506","20230319024003"
"71","Tykání","213158","","2552","20220427200532"
"72","FE-Schrift","196920","","4494","20230504182400"
"73","Interhelpo","12401","","9332","20220318091832"
"74","Tlumočnická_kabina","142311","","1085","20170714094539"
"75","Tlumočení","292","","11220","20220528063848"
"76","Hrabě","10764","","37314","20230510120831"
"77","Klasická_filologie","493367","","1535","20210719194255"
"78","Lexikograficky_minimální_rotace_řetězce","1866489","","6965","20230711221354"
"79","Vyjmenovaná_slova","14067","","24194","20230619151828"
"80","RDFa","688839","","1563","20230622075105"
"81","Kasik","579821","","3560","20210602113915"
"82","Parafa","264640","","2284","20230417105101"
"83","Filologie_podle_jazyka","118738","Category","122","20220721122034"
"84","Souhlásková_mutace","45315","","2602","20210809112209"
"85","Bibliothèque_interuniversitaire_des_langues_orientales","710181","","2989","20230408232020"
"86","Préteritum","21695","","5270","20200820073031"
"87","Lidový_umělec_Ruské_federace","1323620","","1467","20210930003935"
"88","Švédská_akademie","266196","","1460","20210803101024"
"89","Lingvisté_podle_oborů","945764","Category","117","20230414213136"
"90","Vojenské_hodnosti","26434","Category","213","20160627092932"
"91","Lingvistické_časopisy","421462","Category","110","20180913071600"
"92","Výuka_jazyků","817994","Category","91","20210304153328"
"93","Strukturalismus","123351","Category","264","20221103141116"
"94","Metoda_celkové_fyzické_odpovědi","1550941","","6511","20220404194057"
"95","Jazykové_přejímky","1359338","Category","128","20210224221021"
"96","Akademie_esperanta","9203","","3355","20171004081750"
"97","Magnum_principium","1844848","","21978","20230711134644"
"98","Kontronymum","1433648","","3287","20221014182658"
"99","Překlad","293","","2448","20221129190231"
"100","Brněnský_jazykový_ostrov","654392","","7017","20220625135309"
"101","Makarónské_jazyky","625129","Category","114","20220511130359"
"102","Pragmatika","246145","Category","185","20140703081148"
"103","Slabičná_rovnováha","297578","","2218","20130605130735"
"104","Jazyk_(lingvistika)","13717","","47989","20230314232108"
"105","Seznam_esperantských_časopisů","89232","","899","20130309091241"
"106","Kolokace","1050841","","5382","20230112112346"
"107","Písmoznalectví","180396","","7027","20220608004615"
"108","Zdvořilost_v_různých_jazycích","254827","","33749","20230122124048"
"109","Kapitáni","1512040","Category","38","20210224222147"
"110","Onomastika","50377","","1481","20220128234226"
"111","Gramatikalizace","631739","","6610","20210806101143"
"112","Znakový_jazyk","217465","","8852","20230105000158"
"113","Aramejský_Otčenáš","1798991","","6224","20230108100522"
"114","Paradox_hromady","1468919","","12777","20221126173441"
"115","Hovorová_čeština","125070","","2114","20221212101612"
"116","Tituly_a_vyznamenání_podle_osob","1534453","Category","78","20220721123246"
"117","Romanistika","243169","","2877","20220909190150"
"118","Řečové_jednání","92578","","4556","20190228074022"
"119","Vulgarismy_v_angličtině","1291697","","3896","20220105195744"
"120","Kognitivní_synonymie","1799659","","3048","20221212085805"
"121","Ludvík_Lazar_Zamenhof","268785","Category","272","20180620133815"
"122","Palatalizace","129724","","4041","20210731100946"
"123","Historismus_(lingvistika)","410422","","1813","20221214102257"
"124","Středověké_tituly","1370775","Category","66","20220921162420"
"125","Sylvia_Pankhurstová","1656492","","3929","20230611050208"
"126","Etymologie","2435","","7793","20210604102544"
"127","Nadávka","71064","","69274","20230714125724"
"128","Idiom","406446","","5566","20230708180644"
"129","Melodém","1837261","","17786","20230528071603"
"130","Institut_võruštiny","547898","","1765","20221001194706"
"131","Autogram","1599774","","9059","20230701193344"
"132","Kompetence_(lingvistika)","597297","","3084","20210916224123"
"133","Balkánský_jazykový_svaz","633583","","2610","20230429094728"
"134","Emotikon","47249","","4606","20201209110852"
"135","Brfxxccxxmnpcccclllmmnprxvclmnckssqlbb11116","23575","","2734","20220815181302"
"136","Organon_model","1852106","","1977","20230613122010"
"137","Xenoglosie","626074","","1642","20230708180607"
"138","Mayská_dvacítková_soustava","57471","","4125","20230105085031"
"139","Jazyky_OSN","75348","Category","42","20140616080900"
"140","Princip_projekce","1729103","","11411","20220710134412"
"141","Depalatalizace","911373","","5697","20230610145519"
"142","Foném","20426","","9507","20210719085928"
"143","Onkání","457623","","2115","20200427195804"
"144","Ontologie_(informatika)","132618","","2866","20221223211034"
"145","Řeč","343130","","6439","20230126044143"
"146","Zemský_lovčí","1858135","","4663","20230625153816"
"147","Seznamy_jazyků","272288","Category","99","20210225020607"
"148","Čechizace","415363","","1773","20221212084914"
"149","Epos_(software)","171959","","1743","20220712071030"
"150","Vinčanské_znaky","1340419","","2916","20220122172641"
"151","Gramatiky_různých_jazyků","148385","Category","23","20130405095717"
"152","Diglosie","126832","","2361","20210719114841"
"153","Osoby_spjaté_s_jazyky","1823871","Category","67","20230101073243"
"154","Dolování_z_textu","570662","","4809","20230712114742"
"155","Word2Vec","1799386","","2307","20230628183703"
"156","Diakritika","18867","Category","99","20141007113644"
