"number","title","pageid","namespace","length","touched"
"1","Historismus_(lingvistika)","410422","","1813","20221214102257"
"2","Germánský_futhark_prostý","135510","","6262","20230111135828"
"3","Dvojjazyčná_kniha","1117639","","11008","20210827050309"
"4","Jeronýmovy_dny","1148845","","1548","20230324114248"
"5","Blend","397339","","6460","20230605205500"
"6","Vyškovský_jazykový_ostrov","1319252","","8769","20210514045958"
"7","Digitální_humanitní_vědy","1704319","","2927","20230324191153"
"8","Emír","268340","","1147","20230215145248"
"9","Plautdietsch","407895","","5712","20220427152355"
"10","České_samohlásky","240638","","14829","20211221120030"
"11","Tónový_jazyk","151094","","14339","20230316091546"
"12","Deskriptivní_lingvistika","1248426","","1203","20210806061550"
"13","Palatalizace","129724","","4041","20210731100946"
"14","Midjourney","1793875","","4562","20230417164520"
"15","Louis_Althusser","60868","","5516","20230419174823"
"16","Diglosie","126832","","2361","20210719114841"
"17","Kardinální_vokály","960017","","1803","20230518104914"
"18","Head-driven_phrase_structure_grammar","1849501","","13470","20230707070652"
"19","Ambassador_to_the_Court_of_St_James’s","1617144","","1487","20220520074712"
"20","DALL-E","1800329","","5301","20221212153844"
"21","Komunikát","94362","","1293","20221113181701"
"22","Úřední_jazyk","3219","","15304","20230311225943"
"23","Parafa","264640","","2188","20230725103601"
"24","Resource_Description_Framework","215618","","11076","20230419234106"
"25","Jméno,_město,_zvíře,_věc","1123691","","1618","20221231195241"
"26","Samohláska","104272","","15291","20230518105929"
"27","Polyglota","20758","","2059","20201212140829"
"28","Jmenný_rod","89758","","9863","20220105130941"
"29","Internacionalizace_a_lokalizace","602462","","7586","20220602000210"
"30","Palindrom","40409","","4399","20230713043819"
"31","Sáhib","1153110","","474","20210227074510"
"32","Zasloužilý_mistr_sportu","226551","","2757","20220718105103"
"33","Makaronština","262570","","2679","20210808124603"
"34","Close_reading","1752794","","1155","20230306181835"
"35","Syntetický_soud","20522","","1689","20230324090022"
"36","Směr_psaní","745915","","762","20230609125708"
"37","Slovo","33659","","39577","20230313153345"
"38","Cézura","1308393","","1258","20210809183739"
"39","Negramatická_věta","94059","","1362","20221212090339"
"40","Tlumočení","292","","11220","20220528063848"
"41","Institut_võruštiny","547898","","1765","20221001194706"
"42","Marrismus","1102168","","15815","20221127191253"
"43","Grafém","147661","","1724","20220225104245"
"44","Don_(oslovení)","880658","","2535","20220210142338"
"45","Stricto_sensu","314053","","6055","20220613081245"
"46","Soudní_překlad","355198","","1723","20230505132224"
"47","Homonymum","34902","","6450","20230602084726"
"48","Klasická_filologie","493367","","1535","20210719194255"
"49","Pleonasmus","8051","","7569","20230712084230"
"50","Lakuna","1850350","","2211","20230426203655"
"51","Faryngalizace","743515","","2608","20210806082426"
"52","Denotace","409860","","2292","20221127190526"
"53","Polootevřená_střední_zaokrouhlená_samohláska","514583","","606","20230506200045"
"54","Slovník","68467","","4449","20230305163131"
"55","Mezinárodní_pomocný_jazyk","257750","","5299","20210719071210"
"56","Genderová_lingvistika","294061","","20261","20230219221142"
"57","Tlumočnická_kabina","142311","","1085","20170714094539"
"58","Barbarismus","1172623","","1301","20230605093007"
"59","Termín","282695","","8577","20230314232557"
"60","Fiktivní_jazyk","257756","","1661","20221212085215"
"61","Nářečí","80144","","4516","20230220184842"
"62","Slovenská_hláskovací_tabulka","1014764","","2111","20210324002238"
"63","Seznam_zemí,_ve_kterých_je_portugalština_úřední_jazyk","674508","","1375","20220221044908"
"64","Multilingvismus","724844","","18055","20230609114040"
"65","Metateze_(lingvistika)","655460","","1201","20220720140208"
"66","Sociolingvistika","753900","","42757","20230622063919"
"67","Jazykolam","108800","","6005","20221105193915"
"68","Fonologie_švédštiny","154149","","26658","20220520062111"
"69","Hláskovací_tabulka","84672","","13509","20221018112830"
"70","Struktura","125298","","4818","20221103140623"
"71","Onikání","213159","","3102","20230622110213"
"72","Kontronymum","1433648","","3287","20221014182658"
"73","Metoda_Michela_Thomase","561165","","6066","20210717224841"
"74","Formalismus","512982","","2291","20210806083528"
"75","Spona_(sloveso)","794950","","744","20230708181112"
"76","Mikmacké_hieroglyfy","1548910","","5353","20210719071124"
"77","Násloví","825148","","2435","20210511120553"
"78","Eufemismus","228436","","6364","20230110011421"
"79","Informace","5431","","49443","20230724191007"
"80","Ambigram","53464","","920","20221212012015"
"81","QEP","139786","","5180","20220718195834"
"82","Polylog","1168604","","957","20230317065823"
"83","Peter_Newmark","1264330","","3243","20221209194624"
"84","Hyperonymum","75288","","3221","20230611095716"
"85","Mora_(lingvistika)","1041172","","3109","20210719091700"
"86","Munší","1635347","","5867","20230221192741"
"87","Performativita","1452831","","7915","20220404205745"
"88","Teorie_skoposu","1055279","","3162","20221113182512"
"89","Dabing","15811","","11575","20230112084933"
"90","Gabaj","271178","","899","20200702124509"
"91","Sulislavský_jazykový_ostrov","1867855","","5560","20230720131316"
"92","Emotikon","47249","","4606","20201209110852"
"93","Adamův_jazyk","1313137","","1469","20220626170259"
"94","Lormova_abeceda","113999","","4479","20210810150559"
