"number","title","pageid","namespace","length","touched"
"1","Žlutá_žurnalistika","593618","","2664","20230611045108"
"2","Severská_detektivka","1475766","","11633","20230522072738"
"3","Vlčák_Kazan","649341","","6590","20210910171759"
"4","Villonská_balada","169380","","3614","20200611063347"
"5","Artušovské_postavy","1401828","Category","127","20210224193139"
"6","Limerik","219848","","10308","20230414091005"
"7","Doslov_aneb_Abdikace","404271","","2103","20151117180009"
"8","Deník_(literatura)","291729","","2436","20230408145135"
"9","Travestie","91160","","693","20191228094522"
"10","Postavy_chansons_de_geste","1348476","Category","65","20171221201718"
"11","Clickbait","1257370","","6094","20230703113631"
"12","ILiteratura.cz","496911","","8970","20221116093839"
"13","Polyptoton","679133","","737","20210808150149"
"14","Německá_literatura_pro_děti_a_mládež_v_Rakousko-Uhersku_v_druhé_polovině_19._století","1100172","","45694","20210803070730"
"15","Francesca_da_Rimini","330391","","3591","20230207091401"
"16","Marcus_Didius_Falco","1396226","","7239","20230618061054"
"17","Soukromá_zpráva_z_Ořechovky","1282057","","9528","20210915091821"
"18","Internacionalizace_a_lokalizace","602462","","7586","20220602000210"
"19","Zpravodajské_weby","681173","Category","163","20220812091635"
"20","Škola_Annales","55722","","6281","20210811043242"
"21","Hermeneutický_kruh","343578","","3681","20230109233116"
"22","Literární_skupiny","485114","Category","74","20210224230436"
"23","Westernová_literatura","1861120","Category","100","20230614095447"
"24","Ali_Baba","606556","","3008","20210718161246"
"25","Hádanka","1207340","","9080","20220112160345"
"26","Polysyndeton","596447","","669","20210808150154"
"27","Osm_talentů_éry_Ťia-ťing","1251428","","3147","20210222094615"
"28","Osoby_spjaté_s_literaturou","1812137","Category","162","20230217202849"
"29","Otec_Brown","1400314","","6104","20230512094734"
"30","Bloomsbury_Group","1742311","Category","139","20220511101943"
"31","Příležitostná_poezie","767417","","2185","20210513231032"
"32","Soudnička","298706","","3604","20230603211112"
"33","Josefina_Mutzenbacherová","298029","","17665","20230412041812"
"34","Detektivní_romány","370588","Category","84","20211004095512"
"35","Klaus_Baudelaire","409766","","6853","20221014163207"
"36","100_nejdůležitějších_knih_20._století_podle_Le_Monde","636641","","15529","20230210073526"
"37","Román_rodinného_života","306570","","1330","20220122165644"
"38","Hrabě_Drákula","1613598","","5306","20230209160945"
"39","Bláznivá_ze_Chaillot","1761283","","6366","20221212084753"
"40","Vladimir_Osmuchin","151509","","2192","20221125092030"
"41","Žánr","71723","","1841","20230117184517"
"42","Joe_Alex_(literární_postava)","918302","","5877","20210910172646"
"43","Obec_překladatelů","438905","","3630","20211114090925"
"44","Lidová_slovesnost","521975","","2461","20221215145806"
"45","Superstate","1715624","","5651","20211028164344"
"46","Polylog","1168604","","957","20230317065823"
"47","Srílanská_literatura","1804358","Category","121","20221110091037"
"48","Public_relations","91701","Category","164","20220812091635"
"49","Domovoj_Butler","749465","","6032","20210910174729"
"50","Maggie,_dítě_ulice","1761080","","8197","20230608121531"
"51","Pověst","101258","","9042","20230521163303"
"52","Hraběnka_Kraková","244612","","592","20130728212320"
"53","Švejk","268861","Category","164","20211221113947"
"54","Válečné_romány","589661","Category","138","20220307153226"
"55","Naturalismus_(literatura)","205101","","6386","20230412093949"
"56","Edice_Kdo_je","1108486","","13677","20230206155248"
"57","Poema","206571","","1507","20230617182349"
"58","Arcadia_(akademie)","1241686","","2307","20221212234709"
"59","Kazašská_literatura","1678755","","8465","20221106152517"
"60","Nastolování_agendy","504243","","21968","20220622150230"
"61","Epitafy","1115037","Category","104","20200924120004"
"62","Filipínská_literatura","1801848","","6623","20221111114734"
"63","Dekadence_(literatura)","1461987","","57226","20220303185202"
"64","International_Fantasy_Award","918273","","2134","20210512200117"
"65","Manifest_českých_spisovatelů","72429","","11842","20230703093016"
"66","Lyrická_poezie","44384","","11839","20230327140526"
"67","Ázerbájdžánská_literatura","1728916","","5255","20230613151551"
"68","John_Galt","1045945","","4560","20230221052957"
"69","Pro_Oriente._Dědictví_křesťanského_Východu","687472","","9681","20230430081044"
"70","Filozofie_literatury","1815083","Category","71","20221202200911"
"71","Historická_detektivka","659176","","9046","20221025141400"
"72","Symbolismus_(literatura)","1404885","","32321","20221212111512"
"73","Zeugma","259307","","3224","20230606043545"
"74","Řečnický_styl","1662226","","10602","20230701203034"
"75","Historický_román","291701","","7344","20210719164604"
"76","Autorský_plurál","377231","","4911","20230527113843"
"77","Hercule_Poirot","37419","","22796","20230601173202"
"78","Rumunská_literatura","20247","Category","140","20210224183641"
"79","Katalánská_literatura","294035","Category","144","20160715204809"
"80","Gazette","1370097","","905","20221118180231"
"81","Ruská_literatura","498178","","21158","20221207230809"
"82","Panurgos","914799","","2417","20220719144158"
"83","Barokní_literatura","599657","","91302","20230126075222"
"84","Rada_pro_rozhlasové_a_televizní_vysílání","829808","Category","361","20230223210916"
"85","Filipínská_literatura","1801849","Category","122","20221106151150"
"86","Rumcajs","1671991","Category","244","20210322101025"
"87","Postapokalyptická_literatura","1475616","Category","124","20230420171903"
"88","Manga","9056","","38003","20230618042219"
"89","Etický_kodex_fotografů","700260","","3495","20180826061408"
"90","Svatý_Vilém_Akvitánský","1319465","","10453","20230508175445"
"91","Danica_Seleskovitchová","1163797","","2365","20221128122348"
"92","Romanistika","243169","","2877","20220909190150"
"93","Fuggerové","420928","","8966","20230616041720"
"94","Jack_Ryan","236929","","18999","20210910170053"
"95","James_Bond","29034","","24712","20230512123433"
"96","Svobodná_škola_politických_nauk","1177017","","5292","20220520070749"
"97","Slezská_literatura","484114","","4727","20220831195702"
"98","Investigace","384092","","2065","20220722204657"
"99","Page_3","1389065","","3071","20190430042043"
"100","Stylistika","75300","Category","90","20140612052139"
"101","Ivan_Alexandrovič_Chlestakov","1104036","","6184","20220617112529"
"102","Textová_kritika","12094","","6061","20220609202700"
"103","Tommy_a_Pentlička","1367798","","5412","20211127091851"
"104","Seznam_postav_z_Rychlých_šípů","226786","","26638","20230612103147"
"105","Translatologie","4869","Category","145","20221103125827"
"106","Horká_a_chladná_média","307201","","3171","20220418090731"
"107","Kenning","39859","","3995","20210808140655"
"108","Kozí_Kuncka","1841776","","6396","20230402101553"
"109","Nestor_Burma","801624","","5430","20230325083752"
"110","Latinská_literatura","427289","Category","150","20210714150719"
"111","Lipogram","1249869","","3377","20210604153146"
"112","Zlatoroh","363858","","2938","20230527131137"
"113","Filozofové_literatury","1815085","Category","162","20221202201140"
"114","Exonymum","4423","","12556","20230226075017"
"115","Mladé_Polsko","1493393","","10640","20221106145636"
"116","Filologie_podle_jazyka","118738","Category","122","20220721122034"
"117","Matěj_Brouček","153709","","1954","20200105165511"
"118","Snář","208309","","1010","20220220115514"
"119","Norská_literatura","1675670","","8531","20210720082747"
"120","Dějiny_žurnalistiky","398723","","6225","20230512123954"
"121","Rozhlasový_dokument","1323063","","8955","20230627090146"
"122","Ferda_Mravenec","125194","","12073","20230522123130"
"123","Knižní_edice","194391","Category","24","20151021222903"
"124","Bílá_vydra","910529","","4746","20230614095646"
"125","Náhubkový_zákon","743491","","5816","20140302091029"
"126","Postavy_z_Harryho_Pottera","27673","Category","194","20140610101435"
"127","Knihy_odvahy_a_dobrodružství","887057","Category","137","20210224220743"
"128","Bídníci","145837","","22276","20230610153848"
"129","Graduály","276045","Category","98","20120808152751"
"130","Anglická_renesanční_literatura","566586","","1178","20200518092741"
"131","Syžet","61259","","1978","20221108102315"
"132","Slohový_postup","309317","","33795","20230629124920"
"133","Infotainment","1811570","Category","29","20221128085809"
"134","Sun_Wu-kchung","594441","","4709","20221127105331"
"135","Mycroft_Holmes","1194898","","5323","20230119172931"
"136","Kaligram","269925","","1352","20230215121810"
"137","Sources_chrétiennes","22759","","2193","20170614074050"
"138","Paratextualizace","479752","","1404","20190131145731"
"139","Občanský_žurnalismus","808775","","3320","20211223184935"
"140","Zlatý_věk_komiksu","1013080","","1712","20220213195937"
"141","Krásná_literatura","504067","","612","20210606143441"
"142","Xenie_(literatura)","604080","","752","20220129091537"
"143","Paratext","479748","","2081","20220202184015"
"144","Empirický_čtenář","268385","","1181","20180218214735"
"145","Evangelium","13311","","16198","20220507220735"
"146","Rosettská_deska","287300","","6164","20220217103514"
"147","Sága","229754","","14879","20230119104944"
"148","Cena_za_literaturu","1748108","","3516","20220319095909"
"149","Analogie","58515","","4010","20221127185756"
"150","Rotačka","219839","","17421","20230505095538"
"151","Apokalypsa","20573","","5930","20221203165025"
"152","Barbar_Conan","279609","","9091","20230701193302"
"153","Literatura_starověkého_Řecka","136884","","60296","20220911154258"
"154","Alžbětinské_divadlo","690212","","28232","20230604151322"
"155","Watchdog","391821","","3466","20210912165649"
"156","Cenzura","39513","","20860","20230508153200"
"157","Kognitivní_literární_věda","1467361","","7204","20220404182644"
"158","Knihy_o_zvířatech","1164890","Category","87","20200806104323"
"159","John_Rambo","950921","","9765","20221025131508"
"160","Básnická_licence","277480","","3282","20220901143709"
"161","Žurnál","17529","","1187","20210809105838"
"162","Modelový_čtenář","268379","","3131","20201122205703"
"163","Magický_realismus","1780203","Category","104","20220815161237"
"164","Postavy_z_Amberu","151012","Category","59","20130406214241"
"165","Žurnalistické_žánry","675038","Category","86","20191212085411"
"166","Jüe-fu","1051689","","2356","20210724082146"
