"number","title","pageid","namespace","length","touched"
"1","Seznam_středověkých_hudebních_kodexů","1293161","","15304","20190312204752"
"2","Medvídek_Pú","177107","","17562","20230510182903"
"3","ToP_(tlumočení-překlad)","398229","","916","20221214093218"
"4","Bahrajnská_literatura","1808733","","8186","20221124162625"
"5","Dopis","169047","","5350","20221130112713"
"6","Václav_Matěj_Kramerius","7711","","13354","20230622102748"
"7","Mester_de_Juglaría","290125","","1542","20170411134708"
"8","Klaus_Baudelaire","409766","","6853","20221014163207"
"9","Anton_Goroděckij","269216","","1364","20130728212635"
"10","Elegie","70653","","1939","20220520092410"
"11","Fantastika","31999","","28257","20220629115630"
"12","Autobiografie","166746","","19044","20230324090358"
"13","Tisková_konference","91694","","1467","20221217091333"
"14","Horizontální_členění_textu","319452","","3423","20210513223618"
"15","Etický_kodex_fotografů","700260","","3495","20180826061408"
"16","CO-JAK-PROČ","419814","","1377","20210805113518"
"17","Večery_pod_lampou","1481077","","4512","20230512061834"
"18","Fotokomiks","572704","","2991","20220515081103"
"19","Bella_Swanová","1501083","","1754","20210805110848"
"20","Pascherfriedel","1027594","","7956","20221124094705"
"21","Katedra_mediálních_a_kulturálních_studií_a_žurnalistiky_Filozofické_fakulty_Univerzity_Palackého","1264559","","29174","20230723150039"
"22","Novoromantismus","888520","","2294","20230709220143"
"23","Popelka","22810","","9748","20230426133628"
"24","Škola_Kung-an","1536243","","5194","20220921112555"
"25","Rubrika","34370","","1444","20230707195022"
"26","Cch’_(písně)","1051688","","2872","20210815155958"
"27","Majestátní_plurál","251414","","3381","20230502155532"
"28","Román_rodinného_života","306570","","1330","20220122165644"
"29","Literární_teorie","142889","","34655","20230629095856"
"30","Balada","38704","","11063","20230604110034"
"31","Francouzská_literatura","6208","","27396","20230610023828"
"32","Postavy_z_děl_Karla_Maye","79299","","30644","20230304210301"
"33","Vyprávění","305079","","2000","20220605104446"
"34","Paparazzi","350039","","8704","20230115200054"
"35","Překlad","293","","2448","20221129190231"
"36","Fanouškovské_titulkování","1153928","","2551","20220419190644"
"37","Literární_interpretace","513713","","9696","20210901212242"
"38","Fuggerové","420928","","8966","20230616041720"
"39","9_1⁄2_týdne_(kniha)","1506954","","8225","20220314131403"
"40","Komunikátor_(psychologie)","1098966","","1485","20230312140437"
"41","Er-forma","62468","","917","20200427124537"
"42","Velký_Vont","566109","","1379","20210501143502"
"43","Science_fiction","7831","","6527","20230114060754"
"44","Biografický_román","1579887","","1718","20221212095310"
"45","Objektivita_(žurnalistika)","55925","","3858","20221113071656"
"46","Martyrologium_Hieronymianum","1761234","","2714","20220601083810"
"47","Titulky","11710","","12991","20210604164649"
"48","Epilog","303533","","1380","20221109150553"
"49","Socialistický_realismus_(literatura)","1727804","","33035","20230516091339"
"50","Karikatura","272802","","3267","20210923192313"
"51","Stylistický_prostředek","286751","","6577","20220728204652"
"52","Recepční_estetika","184987","","1128","20171004125759"
"53","C._Auguste_Dupin","570327","","1953","20210602090620"
"54","Knížky_lidového_čtení","258108","","7759","20210824174650"
"55","Thomasův_teorém","150617","","11912","20210916230330"
"56","Parole","234201","","2208","20190206120834"
"57","Romance","83602","","2543","20221212110530"
"58","Výklad","153278","","2927","20230316150304"
"59","Wellington_Yueh","229229","","5870","20220528152734"
"60","True_crime","1433650","","2083","20220304123650"
"61","Danica_Seleskovitchová","1163797","","2365","20221128122348"
"62","100_nejdůležitějších_knih_20._století_podle_Le_Monde","636641","","15529","20230210073526"
"63","Café_Griensteidl","1573653","","3035","20220811195427"
"64","Abraham_Van_Helsing","649737","","2382","20210804120546"
"65","Drabble","630497","","431","20210806065610"
"66","Šéfredaktor","562387","","2097","20230613063310"
"67","Formalismus","512982","","2291","20210806083528"
"68","Brouk_Pytlík","63425","","23549","20221221055615"
"69","Military_science_fiction","23987","","5079","20220923164252"
"70","Muzeum_knihy","1192339","","5104","20230408175852"
"71","Literatura_v_livonštině","888878","","7446","20220124194720"
"72","Chua-pen","1220534","","8249","20211109223125"
"73","Modern_Language_Notes","1725600","","1568","20211211133737"
"74","Naturální_škola","1472091","","4781","20230520070710"
"75","Zorro","652100","","2337","20220509183927"
"76","Česká_literatura","2772","","263607","20230515165445"
"77","Libreto","57915","","2430","20230417112812"
"78","Deník_(literatura)","291729","","2436","20230408145135"
"79","Povídka","39510","","23305","20221012092408"
"80","Absurdní_drama","64336","","1903","20221124121746"
"81","D'Artagnan","82454","","7467","20221225172541"
"82","Amplifikace","1199198","","1351","20220507192953"
"83","Svatý_Vilém_Akvitánský","1319465","","10453","20230508175445"
"84","Filologie","123465","","8467","20230626150900"
"85","Pseudopřeklad","432348","","757","20120210000143"
"86","Kozí_Kuncka","1841776","","6396","20230402101553"
"87","Kanadská_literatura","120799","","4041","20211129144510"
"88","Sága","229754","","14879","20230119104944"
"89","Rytířský_román","264595","","4401","20210603091831"
"90","Simultánní_tlumočení","347534","","14707","20221212091028"
"91","Alfred_Lanning","846189","","6122","20210718171631"
"92","Betty_Boop","698536","","6072","20221010014251"
"93","GamerGate","1393789","","4546","20221223075745"
"94","Ruralismus","100037","","6797","20221212110628"
"95","Expedice_(edice)","95028","","9599","20230215233018"
"96","Literatura_starověkého_Řecka","136884","","60296","20220911154258"
"97","Ergodická_literatura","1361912","","3230","20230311192938"
"98","Manifest_českých_spisovatelů","72429","","11842","20230703093016"
"99","Sborník_popa_Punčo","1197505","","2618","20230114030117"
"100","Noviny","18941","","23320","20230716091844"
"101","Hry_s_příběhem","802967","","1717","20220517040936"
"102","Hyperkorektnost","36588","","6777","20230310205524"
"103","Soudní_tlumočník","1554970","","1788","20220131170058"
"104","Národní_cena_Rosario_Castellanos_za_krátký_román","180919","","633","20200604184753"
"105","Margaery_Tyrell","1459879","","6837","20230323184049"
"106","OEL_manga","1270330","","5638","20220610212721"
"107","Modely_komunikace","1294336","","2080","20221128211150"
"108","Historický_slovník_Lichtenštejnského_knížectví","1708968","","5092","20220423075004"
"109","Renesanční_literatura","523874","","103459","20230614082113"
"110","Konferenční_tlumočení","1148595","","2739","20200607022804"
"111","Velké_dějiny_zemí_Koruny_české","976287","","41635","20230324162208"
"112","Kvak_a_Žbluňk","1628125","","8529","20230430215113"
"113","Skupina_XXVI","1344875","","5036","20230714105334"
"114","Newspeak","87642","","8271","20230119222434"
"115","Lyrické_drama","1860512","","6473","20230612213628"
"116","Metonymie","112550","","6848","20230403181419"
"117","Publicistický_styl","298241","","2480","20221102181948"
"118","Gradace_(literatura)","1237641","","1443","20210721133311"
"119","Evropská_knižní_cena","495033","","2729","20200628153519"
"120","Impresionismus_(literatura)","1401922","","10164","20230124092057"
"121","Genologie","178475","","4047","20221212101151"
"122","Arménská_literatura","1802127","","9823","20230306193704"
"123","Irská_literatura","1618090","","8981","20221124020917"
"124","Starověká_literatura","537573","","52225","20230605190153"
"125","Ortenova_Kutná_Hora","71803","","3675","20221213171329"
"126","Arthur_Hastings","309148","","1931","20210105210547"
"127","Příběh","347376","","4179","20220826202049"
"128","Komiks","8315","","10138","20230519100400"
"129","Tyrion_Lannister","977764","","9920","20210910170637"
"130","Hrabě_Monte_Cristo","99813","","13579","20221014193621"
"131","Dobrodružný_svět","1689367","","7092","20211215161654"
"132","Gid'on_Toury","1055439","","2415","20230120234008"
"133","Seznam_českých_exonym_pro_německá_toponyma","134466","","26367","20230712124046"
"134","Chronotop","928973","","1277","20210808194353"
"135","Knížecí_zrcadla","1717524","","2734","20230205113257"
"136","Literární_komparatistika","176250","","2358","20221130132624"
"137","Magický_realismus","34503","","5384","20221209110703"
"138","Rondel_(báseň)","42459","","4245","20230216172631"
"139","Grinch","499772","","3519","20210910163537"
"140","Žalm","21717","","2715","20220115094804"
"141","Ivan_Alexandrovič_Chlestakov","1104036","","6184","20220617112529"
"142","Langue","1000038","","6007","20210719210426"
"143","Explication_de_texte","723339","","2176","20180223182900"
"144","Láďa_Velebil","1603966","","13254","20230602115106"
"145","Odborný_styl","435057","","2242","20220622152313"
"146","Gazette","1370097","","905","20221118180231"
"147","Vulgarismus","71063","","4915","20230326140534"
"148","Situace_(edice)","1371260","","2186","20180318091129"
"149","Piter_de_Vries","95731","","4948","20220528152723"
"150","Aramejský_Otčenáš","1798991","","6224","20230108100522"
"151","Básnická_licence","277480","","3282","20220901143709"
"152","Rumcajs","110929","","10198","20230306112259"
"153","Řehoř_Samsa","518867","","124","20130905144455"
"154","Davos_Mořský","982467","","7965","20210910170536"
"155","Druhá_světová_válka_v_literatuře","14812","","17972","20230722123327"
"156","Typologie_literárních_postav","1843405","","10790","20230713214129"
"157","Onikání","213159","","3102","20230622110213"
"158","Investigace","384092","","2065","20220722204657"
"159","Burleska","178869","","14999","20230716101200"
"160","Lipogram","1249869","","3377","20210604153146"
"161","Srbská_literatura","440299","","20027","20220315051934"
"162","Pohled_odnikud","1693005","","13435","20210915100142"
"163","Maxipes_Fík","93124","","6881","20220612162606"
"164","Ekloga_(literatura)","1599083","","2703","20230410190751"
"165","Komentář","214309","","2817","20230201171311"
"166","Kazašská_literatura","1678755","","8465","20221106152517"
"167","Biblioterapie","627578","","8139","20210805090505"
"168","Textová_kritika","12094","","6061","20220609202700"
"169","Čtyři_klasické_čínské_romány","730428","","6594","20200630071114"
"170","Skřivánek_(firma)","441661","","8828","20230428065600"
"171","Strukturální_marxismus","1542706","","9932","20220710211610"
"172","Pražský_kruh","1224450","","3828","20210615102703"
"173","Ich-forma","39455","","2507","20230130165249"
"174","Nastolování_agendy","504243","","22016","20230723143242"
"175","O_krtkovi","20548","","13594","20230613074911"
"176","Tautologie","2118","","2980","20221215182312"
"177","Ferda_Mravenec","125194","","12073","20230522123130"
"178","Kapitán_Hook","937200","","2261","20220228053952"
"179","Literatura_pro_děti","450203","","13067","20230417062922"
"180","Muckraking","21118","","1518","20220521114126"
"181","Kanál_(telekomunikace)","795307","","3101","20230305141938"
"182","Falešná_vyváženost","1693006","","10787","20230713091435"
"183","Odpovědný_redaktor","1403656","","1231","20180730203409"
"184","Biggles","305067","","9927","20230521174807"
"185","Dvouměsíčník","678088","","1314","20230110001815"
"186","Senzační_román","313463","","6365","20230527061326"
"187","Vyšinutí_z_větné_vazby","227799","","1204","20210808194821"
"188","Rukopis","242840","","3097","20221219235605"
"189","Mongolská_literatura","1726781","","20860","20221106152542"
"190","Pirx","727120","","3339","20230710180336"
"191","Dánská_literatura","80476","","3852","20210719104455"
"192","Čtvrtletník","678096","","1326","20210806064759"
"193","Entrefilet","214292","","914","20170520135049"
"194","Jihočeská_Theléma","2006","","5375","20220904181310"
"195","Ústní_lidová_slovesnost","381879","","3749","20230419103605"
"196","Slezská_literatura","484114","","4727","20220831195702"
"197","Gelehrte_Neuigkeiten_Schlesiens","230788","","2427","20201226024149"
"198","Bílá_vydra","910529","","4746","20230614095646"
"199","Knihy_dobrých_autorů","350706","","23181","20220213062258"
"200","Politická_korektnost","228426","","9446","20221121084312"
"201","Skeč","81383","","1210","20230515104319"
"202","Apostrofa","474242","","1964","20220527161705"
"203","Archetyp","12008","","9715","20230326204508"
"204","Kakofonie","727362","","801","20220215130846"
"205","Elektronická_kniha","242456","","9054","20230704063123"
"206","Internetový_román_na_pokračování","285644","","3830","20221228150120"
"207","Fake_news","1295306","","28074","20230227092917"
"208","Hyperbola_(literatura)","156891","","897","20211106083943"
"209","Pinocchio","1008738","","3402","20230530160749"
"210","Německá_literatura_pro_děti_a_mládež_v_Rakousko-Uhersku_v_druhé_polovině_19._století","1100172","","45694","20210803070730"
"211","Souborné_vydání_díla_Karla_Maye","1861545","","2442","20230616160812"
"212","Monolog","180669","","1271","20220927081719"
"213","Motto","9338","","2284","20230127171701"
"214","Polská_literatura","1295037","","16744","20211218055453"
"215","Dezinformační_web","1455689","","27358","20230530033515"
"216","Empirický_čtenář","268385","","1181","20180218214735"
"217","Patrologie","12254","","2262","20230711210450"
"218","Paralepse","361386","","438","20210808143505"
"219","Didaktická_literatura","653809","","4888","20230712035148"
"220","Vitalismus_(literatura)","816574","","4701","20230703005109"
"221","Pleonasmus","8051","","7569","20230712084230"
"222","Bratr_Zdislav","1430288","","7104","20230131184755"
"223","Tisíc_a_jedna_noc","155999","","20750","20220717084307"
"224","Prasátko_(Medvídek_Pú)","791522","","4747","20220904140002"
"225","Mezinárodní_PEN_klub","146416","","7897","20230426071340"
"226","Novinářský_průkaz","1582218","","7543","20230614160500"
"227","Báseň","30875","","1663","20230616182837"
"228","Romantismus_(literatura)","266551","","105580","20230722192732"
"229","International_Fantasy_Award","918273","","2134","20210512200117"
"230","Edice_13","1094497","","43511","20230302181953"
"231","Gotický_román","38788","","4320","20230614075827"
"232","Pátek_(postava)","707014","","2399","20210729162641"
"233","Nick_Carter_(literární_postava)","432341","","1629","20230716181806"
"234","Pitaval","236371","","1214","20230420065322"
"235","Zvonilka_(postava)","927953","","8549","20230717180508"
"236","Žurnál","17529","","1187","20210809105838"
"237","Masmédia","171886","","23199","20230210083909"
"238","Sugestivní_otázka","1125074","","4376","20230519075625"
"239","Infotainment","31920","","9686","20230717084523"
"240","Kognitivní_literární_věda","1467361","","7204","20220404182644"
"241","Aušra","375104","","920","20210805062553"
"242","Violet_Baudelairová","209367","","11151","20221014115154"
"243","Rozhlasový_dokument","1323063","","8955","20230627090146"
"244","Feministická_literární_teorie","224537","","11494","20220305155010"
"245","Expresivita_(lingvistika)","334465","","4704","20230305204823"
"246","Rispet","214830","","2412","20150901075042"
"247","Literatura_faktu","379597","","14418","20230103133007"
"248","Interpretace","37940","","3752","20211001082551"
"249","Jack_Ryan","236929","","18999","20210910170053"
"250","Hagiografie","73900","","773","20210901053827"
"251","Arsène_Lupin","528147","","15176","20220122202415"
"252","Mester_de_Clerecía","290121","","952","20220301051257"
"253","Dezinformace","408394","","13545","20230627043609"
"254","Sun_Wu-kchung","594441","","4709","20221127105331"
"255","Kontaminace_(literatura)","647804","","543","20210915084116"
"256","Vlčák_Kazan","649341","","6590","20210910171759"
"257","Tragédie","8317","","3444","20230404153133"
"258","Konkordance","21828","","4690","20210816181044"
"259","Armand_Gamache","1348821","","11765","20230128194505"
"260","Paratextualizace","479752","","1404","20190131145731"
"261","Moje_kniha","8133","","2197","20220720161248"
"262","Profesor_Tarantoga","727659","","1554","20220608143450"
"263","Černá_kronika","907013","","881","20200606033159"
"264","Miles_Teg","568486","","4859","20220528152402"
"265","Vladimír_Balthasar","379534","","21575","20230620130259"
"266","Robert_Langdon","762565","","2012","20210522112946"
"267","Gregory_Powell_a_Michael_Donovan","840932","","6223","20210718144555"
"268","Subžánr","1021639","","2301","20210514011330"
"269","Mezinárodní_federace_překladatelů","1116394","","2033","20220619151117"
"270","Fantasy","9148","","8241","20221230122709"
"271","Hypertextová_próza","1832889","","14956","20230501073106"
"272","Edward_Cullen","525948","","5505","20210910164259"
"273","Zdvořilost_v_různých_jazycích","254827","","33749","20230122124048"
"274","Lucidář","514149","","6290","20230223200621"
"275","Fantomas","397251","","19717","20230725110903"
"276","Společenství_amatérských_spisovatelů","124888","","2974","20210605090015"
"277","Intonace_(lingvistika)","261695","","16532","20230402101744"
"278","Peter_Newmark","1264330","","3243","20221209194624"
"279","Literatura_pro_děti_a_mládež","235","","11160","20221227095441"
"280","Novinářská_kachna","224911","","11815","20221118070159"
"281","Novinářská_cena","823839","","41277","20230622073229"
"282","Chorvatská_literatura","852422","","20734","20221212101825"
"283","Sansa_Stark","1041217","","15172","20220227075709"
"284","Šípková_Růženka","591243","","4955","20220920172259"
"285","Poema","206571","","1507","20230617182349"
"286","Buffy_Summersová","1006093","","7926","20230423204449"
"287","New_Criticism","1288986","","2417","20220812134603"
"288","Řecká_literatura","84119","","38001","20230705232102"
"289","Obec_překladatelů","438905","","3630","20211114090925"
"290","Marcus_Didius_Falco","1396226","","7239","20230618061054"
"291","Semafor:_60_let_v_jednom_představení","1737487","","4727","20220205085941"
"292","Rapsodie","415336","","1292","20210802122916"
"293","Panoráma_populární_hudby_1918/1978","465647","","2528","20220427064348"
"294","Prozódie_(poezie)","136063","","1956","20210719120024"
"295","Román_v_dopisech","185872","","2293","20210719125755"
"296","Jüe-fu","1051689","","2356","20210724082146"
"297","Audiokniha","589655","","9069","20220825201548"
"298","Statečná_srdce_(edice)","1043355","","5050","20220523074939"
"299","Komedie","938","","4031","20230712182345"
"300","Pipi_Dlouhá_punčocha","924854","","3089","20230302092359"
"301","Komedie_mravů","1636852","","5863","20221016152305"
"302","Hrabě_Drákula","1613598","","5306","20230209160945"
"303","Auerbachův_sklep","1665338","","10122","20221005175127"
"304","Litotes","1691131","","2013","20220118023026"
"305","Knihy_odvahy_a_dobrodružství","835119","","41763","20230504061943"
"306","Jáma_a_kyvadlo","172230","","17323","20230604171541"
"307","Národní_kronika","163766","","2723","20141205053839"
"308","Polská_literární_reportáž","1440570","","5835","20210514002648"
"309","Exegeze","12458","","6516","20210806093241"
"310","Albánská_literatura","1678068","","8956","20211125171231"
"311","Přenesený_význam","292083","","7691","20230513181222"
"312","Daenerys_Targaryen","977187","","5617","20210910194731"
"313","Krásná_literatura","504067","","612","20210606143441"
"314","Michael_Corleone","317515","","2147","20210324095508"
"315","Byronská_povídka","259416","","698","20230310232520"
"316","Rubáí","1788847","","3809","20230627101559"
"317","Duma_(píseň)","1475733","","5976","20221022213031"
"318","Zaříkávání","650937","","3566","20230120083532"
"319","Exonymum","4423","","12556","20230226075017"
"320","Kara_ben_Nemsí","74503","","3355","20210531102250"
"321","Zpravodajská_agentura","42253","","8033","20230714111224"
"322","Garin_z_Monglane","1363815","","5543","20210718184752"
"323","Šest_procházek_literárními_lesy","435774","","2365","20230515114102"
"324","Gaufrey","1362522","","3735","20210718185654"
"325","Aarneho–Thompsonův_katalog","1039863","","4454","20220209011857"
"326","Spontánní_próza","148306","","561","20130628181153"
"327","Koherence_(lingvistika)","925190","","4059","20210808120306"
"328","Fanfiction","97465","","6417","20230328043147"
"329","Sedm_pozdějších_mingských_mistrů","1231148","","2796","20221011192434"
"330","Občanský_žurnalismus","808775","","3320","20211223184935"
"331","Rosettská_deska","287300","","6164","20220217103514"
"332","Apokryf","9333","","12354","20210901173151"
"333","Zlatoroh","363858","","2938","20230527131137"
"334","Literární_věda","183804","","2074","20220401053410"
"335","Konverzační_maximy","853116","","6367","20230308085035"
"336","Historická_detektivka","659176","","9046","20221025141400"
"337","Francesca_da_Rimini","330391","","3591","20230207091401"
"338","Ofset","165054","","9074","20220702081919"
"339","Asijsko/tichomořsko-americké_ceny_za_literaturu","1747439","","36109","20220322100815"
"340","Venkovská_próza","173228","","2029","20220915052741"
"341","Edice","66583","","11383","20221212100509"
"342","Frenetická_literatura","99898","","3036","20230305063530"
"343","Abchazská_literatura","1139191","","5212","20230112132956"
"344","Asociace_konferenčních_tlumočníků","1116270","","1008","20210512105710"
"345","Doslov_aneb_Abdikace","404271","","2103","20151117180009"
"346","Gatekeeping","570863","","3243","20230215184049"
"347","Pop-noviny","392110","","1848","20230526042432"
"348","Čtrnáctideník","113700","","1289","20220506155440"
"349","Hadží_Halef_Omar","84376","","3442","20200724224716"
"350","Sněhurka","15150","","5001","20210718132755"
"351","Portugalská_literatura","1295489","","5474","20230625114258"
"352","Strukturalismus","10361","","6887","20230428084146"
"353","Mary_Sue","85053","","3875","20210901050132"
"354","Elijáš_Baley","799675","","12553","20220507215405"
"355","Lidová_slovesnost","521975","","2461","20221215145806"
"356","Dekadence_(literatura)","1461987","","57226","20220303185202"
"357","Syžet","61259","","1978","20221108102315"
"358","Nizozemská_literatura","1678518","","9783","20210720082321"
"359","Matěj_Brouček","153709","","1954","20200105165511"
"360","Petr_Pan","716093","","4592","20230714202416"
"361","Sonet","22790","","6617","20221109120420"
"362","Arcadia_(akademie)","1241686","","2307","20221212234709"
"363","Cestopis","255671","","2593","20230121141524"
"364","Naturalismus_(literatura)","205101","","6386","20230412093949"
"365","Betačtenář","1654866","","4143","20220122173757"
"366","Klasicismus_(literatura)","37780","","50112","20230506160448"
"367","Bídníci","145837","","22276","20230610153848"
"368","Realismus_(literatura)","24212","","182678","20230620094255"
"369","Latinská_literatura","32231","","3549","20210723231742"
"370","Antická_knihovna","967880","","2119","20210607163345"
"371","Spisy_Josefa_Škvoreckého","538533","","2908","20200907095203"
"372","Christiane_Nordová","1433132","","2386","20230710031951"
"373","Přirovnání","391938","","2398","20220419175852"
"374","Makedonská_literatura","880062","","7951","20221212104113"
"375","Odborná_literatura","445008","","2885","20210808193437"
"376","Činohra","272322","","2512","20171005054310"
"377","Négritude","190808","","1028","20221103132845"
"378","Věnec_sonetů","207042","","1949","20230525042705"
"379","Hugo_Pratt","641228","","1822","20221128130902"
"380","Ombudsman_Českého_rozhlasu","1299192","","3795","20211116184246"
"381","Jan_Tleskač","87718","","6045","20230302161248"
"382","Modelový_čtenář","268379","","3131","20201122205703"
"383","Dekadence","42121","","20034","20230620180418"
"384","Škola_Annales","55722","","6281","20210811043242"
"385","Christian_Rosencreutz","1658991","","5159","20230202214229"
"386","The_Sitwells","1702585","","3135","20220813120414"
"387","Imagismus","1479064","","33972","20230408233415"
"388","Četba_na_pokračování","1396792","","1791","20181218225217"
"389","Travestie","91160","","693","20191228094522"
"390","Futurismus_(literatura)","1403732","","21472","20230601123819"
"391","Aliterace","158186","","3880","20230515062340"
"392","Gaspar_Ruiz","892129","","3306","20210910173636"
"393","Chinaski_(postava)","214561","","9541","20230614074515"
