"number","title","pageid","namespace","length","touched"
"1","Matematické_seznamy","245038","Category","64","20130408170447"
"2","Teorie_reprezentací","931639","Category","122","20170215074248"
"3","Domněnka","533114","","2174","20221103101327"
"4","Johann_Richter","1066542","","2195","20221123135751"
"5","Lineární_algebra","14030","Category","105","20171008233911"
"6","Počítání","1691369","","9886","20221212110100"
"7","Počítání","1562570","Category","42","20210225012058"
"8","Fulkersonova_cena","943367","","6687","20210720164603"
"9","Čistá_matematika","143955","","1001","20221103130130"
"10","Poměr","261537","","3296","20230206172744"
"11","Harmonická_funkce","208019","","659","20221025112723"
"12","Cena_Neuron","1042605","Category","192","20200722150126"
"13","Kalkul","819820","Category","160","20170321092340"
"14","Pořadí","233855","","1892","20200504190259"
"15","Matematická_statistika","14872","Category","143","20210224225354"
"16","Numerický_software","1570796","Category","111","20210225004533"
"17","Lychrelové_číslo","1167196","","3658","20210808165207"
"18","Tangentová_věta","38961","","1168","20210809130344"
"19","Lebesgueova_věta","965466","","1178","20210808121909"
"20","Paradox_dvou_obálek","736697","","6898","20221127190920"
"21","Ciolkovského_rovnice","151593","","1430","20230426050956"
"22","Matematická_analýza","22237","","7704","20211120133727"
"23","Kvadratická_rovnice","4567","","7223","20230608064054"
"24","Matematika","21","","23955","20221119170154"
"25","Hilbertova_věta_o_nulách","482679","","1857","20220225195549"
"26","Bertrandův_postulát","442947","","10047","20230427170031"
"27","Matematický_software","279152","Category","155","20181219140822"
"28","Paprsková_rovnice","440360","","2265","20230522144553"
"29","Přirozené_číslo","4999","","8532","20230412201959"
"30","Statistický_software","430730","Category","129","20140602192021"
"31","Algebra","2121","","4775","20220207233214"
"32","Rekreační_matematika","132785","Category","109","20140610112117"
"33","Eukleidovo_lemma","879198","","2801","20210806081707"
"34","Diskrétní_matematika","13681","","1898","20210719083653"
"35","Kubická_rovnice","953594","","4466","20210902062609"
"36","Matematická_terminologie","931508","Category","355","20210224231956"
"37","Popularizátoři_matematiky","1818505","Category","71","20230217155322"
"38","Celá_čísla","89529","Category","141","20140530203333"
"39","Perioda_(matematika)","143741","","905","20220315153256"
"40","Cauchyho_rovnice_dynamické_rovnováhy","1019483","","3787","20230314060736"
"41","Matematické_konstanty","132791","Category","76","20210224231958"
"42","Maxima_(software)","38144","","7038","20210501072439"
"43","Soustava_dvou_lineárních_rovnic_se_dvěma_neznámými","1051655","","3420","20190218162735"
"44","Axiom","14669","","6632","20230520171713"
"45","Velká_čísla","984981","","34602","20230603191503"
"46","Tetraktys","280864","","821","20230222142627"
"47","Cantorova–Heineova_věta","334529","","2306","20230328132748"
"48","Protonové_číslo","5281","","7034","20230521142923"
"49","Naivní_teorie_množin","126449","","6056","20210808183950"
"50","Izolovaný_bod","1633972","","1650","20210808123223"
"51","Teorie_her","75645","Category","116","20160914234331"
"52","Rozprava_o_metodě","153856","","4811","20221127185941"
"53","Matematická_ocenění","124910","Category","79","20131011165710"
"54","Fubiniova_věta","1178498","","898","20210806112334"
"55","Elementární_matematika","796661","","1356","20220218081339"
"56","MathWorld","254175","","1900","20230323203340"
"57","Herbert_Sturges","1734543","","926","20230312204103"
"58","Jonedovo_lemma","1607448","","17030","20221126203954"
"59","Matematický_klokan","288162","","2980","20230317103246"
"60","Wienerova_cena_za_aplikovanou_matematiku","108077","","2255","20200324200317"
"61","Diskrétní_matematika","370269","Category","106","20140602184510"
"62","Mezinárodní_matematická_olympiáda","376450","","31936","20221109105147"
"63","Rovnice","2122","","7680","20230629094901"
"64","Motzkinovo_číslo","437098","","2938","20210808181950"
"65","Carathéodoryho_věta","835577","","1167","20181224100936"
"66","Ramseyho_teorie","1118044","","9774","20230617141014"
"67","Zermelova_věta","127792","","2803","20210809192746"
"68","Číslice","40411","","4342","20220427084409"
"69","Conwayovi_vojáci","1101695","","1432","20220521193515"
"70","Numerické_řešení_obyčejných_diferenciálních_rovnic","13674","","5161","20210808192557"
"71","Eukleidova_věta_o_výšce","90110","","5839","20220615144306"
"72","Algebra","4625","Category","83","20140601113601"
"73","Yacas","38139","","2676","20210527132008"
"74","Výpočetní_modely","7894","Category","148","20200506063806"
"75","KFormula","159567","","1110","20181218073255"
"76","Algebraická_čísla","1304895","Category","102","20210421184108"
"77","Ppm","1620836","Template","273","20200829041456"
"78","Gaussova_eliminační_metoda","17094","","8214","20230314182149"
"79","Jednota_českých_matematiků_a_fyziků","76312","","9061","20230502094754"
"80","Fieldsova_medaile","164174","Category","93","20210224204954"
"81","Dimenze","665806","","2367","20230513090236"
"82","Magický_čtverec","871878","","2623","20210313182950"
"83","Eulerova_cihla","786613","","1616","20230525111801"
"84","1_(číslo)","89712","","5098","20201004204201"
"85","Cramerovo_pravidlo","124279","","27014","20230524205830"
"86","Matice_soustavy","1668990","","5287","20230317211009"
"87","Desetinné_číslo","1435256","","2126","20210921140016"
"88","Syntaxe_a_sémantika_programovacího_jazyka_Wolfram_Language","1799283","","132213","20230313162905"
"89","Nicolas_Bourbaki","187801","","2870","20221031202715"
"90","Kost_z_Ishanga","1672401","","2412","20230223131002"
"91","Nedourčená_soustava_rovnic","153146","","1623","20230320180726"
"92","Šťastné_číslo","425959","","7105","20220322211517"
"93","Matematičeskaja_encyklopedija","762262","","1008","20200605020420"
"94","Elementární_matematika","796662","Category","351","20210224204342"
"95","Druhy_matematických_důkazů","175456","Category","135","20210224203804"
"96","Evropská_matematická_společnost","1828601","","17720","20230206000130"
"97","Seznam_integrálů_iracionálních_funkcí","124875","","8717","20130408063749"
"98","Monte_Carlo_integrování","851293","","10183","20230125200354"
"99","Věta_o_pevném_bodě","1862507","","2478","20230621210957"
"100","Celé_číslo","13583","","6127","20230130111312"
"101","Mezinárodní_matematická_unie","503986","","902","20210323184615"
"102","Matematické_společnosti_a_instituce","125687","Category","67","20140606150727"
"103","Skewesovo_číslo","245444","","5139","20211123055537"
"104","Triviální","271193","","928","20221103130130"
"105","Seznam_prvočísel","91287","","13003","20211213191111"
"106","Výhonky","1365768","","2213","20211027141411"
"107","Exponenciální_rovnice","767506","","4836","20210923130959"
"108","Invariance","194764","","1113","20221103130130"
"109","Tupperův_vzorec","750641","","5435","20211015192605"
"110","Rekreační_matematika","609203","","6212","20221016121151"
"111","Matematik","9094","","1821","20221126174526"
"112","Počítání_omeru","264104","","6431","20220524195307"
"113","Matematické_soutěže","284500","Category","94","20170321145528"
"114","Homologická_algebra","1499893","","29306","20221124173330"
"115","Nadreálné_číslo","449550","","7475","20220809202353"
"116","Monty_Hallův_problém","119876","","11052","20230116213742"
"117","Matematické_axiomy","1751260","Category","75","20220402144306"
"118","Malfattiho_kruhy","312814","","2837","20220521110759"
"119","Kvadratura_kruhu","35117","","6595","20220113195055"
"120","Kaprekarova_konstanta","603315","","90","20220106211653"
"121","Seznam_integrálů_trigonometrických_funkcí","125185","","13111","20200109181216"
"122","Burnsideův_problém","204836","","3155","20140210005736"
