"number","title","pageid","namespace","length","touched"
"1","Diagnóza_(medicína)","419298","","11020","20210723112927"
"2","Brýle","44135","","14257","20230502053326"
"3","Azospermie","571656","","550","20210804103438"
"4","Psotník","790455","","941","20180619122427"
"5","Elektrolarynx","953117","","10231","20220403123647"
"6","Praktické_lékařství","356162","","4593","20220108143353"
"7","Hemiplegie","1153760","","1702","20210806122943"
"8","Speculum","112136","","1648","20200905173913"
"9","Zubní_kartáček","51479","","2975","20230206122809"
"10","Ebersův_papyrus","1042099","","3130","20211103185736"
"11","Spirometrie","664859","","1375","20220521180301"
"12","Neurootologie","306818","","591","20220730065358"
"13","Berla","685268","","3864","20221129113021"
"14","Bioenergetika","1569398","Category","96","20230329070725"
"15","Endoskop","414898","","943","20210723125119"
"16","Imunitní_léčba","993078","Category","105","20221031102543"
"17","Hospitalizace","457922","","2680","20221212101605"
"18","Bezkontaktní_vestibulospinografie","350466","","646","20141219131803"
"19","Dudlík","687939","","1667","20221118192049"
"20","Extrakorporální_membránová_oxygenace","1575085","","9796","20230330213949"
"21","Amniocentéza","180165","","3013","20210804133427"
"22","Senzor_pro_okamžité_měření_glukózy","1455150","","5412","20190120002627"
"23","Viktor_Skumin","1745759","","16615","20230611043029"
"24","Švédské_kapky","999049","","2084","20230428061043"
"25","Protéza","552259","","9801","20220217151755"
"26","Genová_terapie","525266","","3767","20200430000709"
"27","The_BMJ","1544106","","1899","20221231141541"
"28","Lékařky","1827350","Category","62","20230113123713"
"29","Logopedie","584445","Category","173","20130401084745"
"30","Elektroencefalografie","159923","","12184","20210719122849"
"31","Giovanni_Battista_Morgagni","1653586","","2445","20221124080213"
"32","Endokrinologie","45014","Category","107","20140601152009"
"33","Petr_z_Aspeltu","86622","","8271","20230628095220"
"34","Kniha_složitých_otázek","1220503","","1523","20210719101403"
"35","Enoch_Heinrich_Kisch","1116675","","4033","20221124140734"
"36","Vitium_artis","986105","","988","20180403161231"
"37","Transportní_plachta","826957","","1046","20190218201319"
"38","Operační_sál","1580784","","9637","20220928121802"
"39","Paschal_Beverly_Randolph","1750425","","5105","20230128212303"
"40","Psychomotorická_terapie","1726227","","7885","20221212090749"
"41","Medicína","361408","Portál","4592","20230707161650"
"42","Mikrojehla","971276","","855","20140123132921"
"43","Lékařská_etika","83220","Category","108","20210224223008"
"44","Echogenita","501724","","3101","20210806090215"
"45","Seznam_případů_syfilidy","1822053","","8502","20230115041655"
"46","Reprodukční_lékařství","469430","","2277","20211102114421"
"47","Morový_doktor","1501685","","7099","20230516084845"
"48","Injekční_stříkačka","378659","","6159","20220520095852"
"49","Dynamická_posturografie","350472","","2459","20131229123140"
"50","Foniatrie","306828","","2992","20230201210455"
"51","Pouštění_žilou","795179","","1382","20230119144230"
"52","Tip_link","1014788","","3175","20210808180839"
"53","Zobrazovací_metody_v_lékařství","1683610","Category","141","20220511111103"
"54","Dějiny_lékařství","1234376","","19233","20230702135533"
"55","Zubní_nit","57246","","1815","20180911120020"
"56","Aeskulapova_hůl","339557","","5467","20211104191615"
"57","IPEX","1508224","","9138","20210808194727"
"58","Pediatrie","245989","Category","94","20140601200720"
"59","Lékařská_muzea","887236","Category","90","20140607113408"
"60","Somatizace","1253765","","16148","20230612200700"
"61","Ernestinum_(Praha)","463270","","4932","20230504091658"
"62","Sérologie","216185","Category","111","20210225005649"
"63","Fyziologie_člověka","922187","","1619","20210723193439"
"64","Kondom","21830","","12605","20221119171624"
"65","Lékařská_ultrasonografie","333152","","12596","20210720054501"
"66","Symptomatická_léčba","1760818","","728","20221212091233"
"67","Analgezie","455093","","4310","20230521080255"
"68","Cyr_Alexandrijský","1685436","","6944","20230203172955"
"69","Klinický_postup","1157837","","3045","20210808141906"
"70","Tropické_a_cestovní_lékařství","377947","Category","60","20081212084612"
"71","Homeopatie","176343","","50795","20230217191425"
"72","Ordinář","383574","","2769","20230504132305"
"73","Systémová_enzymoterapie","1105804","","2688","20221212091238"
"74","Mozkové_vlny_gama","886679","","6460","20221113135855"
"75","Zeta_potenciál","1248894","","4604","20230520115815"
"76","Nocebo","1234033","","4690","20220731212526"
"77","Cisvestitismus","1403853","","1816","20220509063155"
"78","Radiologie","257061","Category","168","20210508124108"
"79","Chirurgie","101544","Category","71","20140530204049"
"80","Dietetika","1761290","","5263","20230119072102"
"81","Magnetická_rezonance","62743","","14106","20220508103459"
"82","Lékařská_genetika","498346","","2471","20200701023502"
"83","Gerontologie","163568","","2841","20221104200423"
"84","Paliativní_medicína","255543","","5591","20230426171111"
"85","Čtyři_základní_tělesné_šťávy","101566","","3341","20221103101327"
"86","Violet-wand","133851","","4166","20210103011018"
"87","Klinická_smrt","1339957","","7406","20230101155740"
"88","Glukometr","50852","","8173","20210806114244"
"89","DiaPhan","188970","","2453","20200523013950"
"90","Tomografie","91831","","1058","20210808181157"
"91","Trakce_(medicína)","920128","","573","20210809155600"
"92","Gray's_Anatomy","451435","","1388","20220604105653"
"93","Tauhída_bin_Šajch","1579727","","3098","20221129070153"
"94","Theodoros_Stefanidis","1584362","","3391","20221128090853"
"95","Bobtnání","196970","","816","20221017061502"
