"number","title","pageid","namespace","length","touched"
"1","UGM-96_Trident_I","567135","","4967","20220315052034"
"2","Třída_Blue_Ridge","664032","","6689","20230518110554"
"3","Vojenská_záslužná_medaile_(Moldavsko)","1611865","","2792","20230716234306"
"4","Medaile_Za_zásluhy_(Izrael)","590960","","4711","20230717164030"
"5","Konfliktní_surovina","1323751","","1835","20230525042439"
"6","Obrněný_vlak","176547","","5761","20230420081854"
"7","Bílá_vlajka","1334369","","5342","20230223191647"
"8","Přijímač_R-3","1740159","","4061","20230205192232"
"9","Válečný_kříž_(Lucembursko)","1693695","","5349","20230717163521"
"10","Fincantieri_Tipo_550","1010563","","1661","20220407035540"
"11","Řád_svobody_(Jugoslávie)","1621961","","6632","20220813100211"
"12","Taran","12060","","5300","20230316235952"
"13","Dreadnought","66094","","3755","20210711072244"
"14","Řád_Alexandra_Něvského_(Sovětský_svaz)","1115275","","5337","20220104193908"
"15","Řád_Jindřicha_Lva","475510","","3941","20220706174425"
"16","BrahMos","621457","","8527","20230717224128"
"17","Pamětní_medaile_Alexandra_Karla","496649","","1429","20230716233443"
"18","Seznam_občanských_válek","462952","","4529","20230415185440"
"19","RIM-174_Standard_ERAM","1107434","","4349","20220502205136"
"20","Řád_za_vojenské_zásluhy_Al-Husajna","1656315","","4390","20220724141731"
"21","Gdaňský_kříž","457652","","2700","20230110232807"
"22","Jména_vepsaná_pod_Vítězným_obloukem","1718284","","34645","20221021212424"
"23","Odznak_odstřelovače","1330740","","2595","20210531111812"
"24","Militarismus","674797","","3101","20210515115004"
"25","Tanková_výsadková_loď","563014","","7794","20220129124222"
"26","Medaile_Za_upevňování_bojového_přátelství","1620631","","6394","20230716231259"
"27","Válečný_zajatec","26604","","9361","20230703214631"
"28","Medaile_za_bojové_zásluhy_(Bulharsko)","1550993","","4117","20230717210141"
"29","Kanónenfutr","87512","","3945","20230605220028"
"30","Vojenský_jubilejní_kříž","519211","","2385","20230716231656"
"31","Námořní_medaile_admirála_Sebastiána_Francisca_de_Mirandy","1616966","","3510","20230716230346"
"32","Medaile_50._výročí_Ozbrojených_sil_SSSR","1691125","","5687","20230716231258"
"33","ANZUS","358964","","1327","20220817141304"
"34","Křížová_palba","83352","","1281","20230111092625"
"35","Terč","909146","","2110","20230104190339"
"36","Smluvní_strana_obranného_průmyslu","342058","","3040","20210326150007"
"37","Armádní_slovanština","1645365","","1646","20220413155719"
"38","Medaile_vlastenecké_války_1944–1945","1550464","","5122","20230717210141"
"39","Děmjanský_štít","623643","","2285","20230425143210"
"40","Válečný_záslužný_kříž","298871","","7720","20220211160637"
"41","Gruzínská_Národní_garda","425578","","5919","20220228135702"
"42","Otomat","1050097","","7103","20230709125454"
"43","Malafon","619850","","2343","20191130085327"
"44","Společná_bezpečnostní_a_obranná_politika","1393088","","1063","20210605201147"
"45","Sestřelení","1758180","","1535","20220520083608"
"46","Mk_10_Limbo","736676","","1687","20221203115644"
"47","Železniční_trať_Protivec–Bochov","441494","","6389","20230710080528"
"48","Njambuur_(P_773)","1092065","","3804","20221001071142"
"49","SS_Pontic_(1894)","486338","","980","20191012162125"
"50","Stíhací_dělo","550212","","891","20210603095537"
"51","Vojenský_záslužný_kříž_(Meklenbursko-Zvěřínsko)","487531","","3344","20230111093238"
"52","Asymetrická_válka","526293","","2165","20191123130629"
"53","Hlídková_loď","593418","","1047","20210806134437"
"54","Women_of_Liberia_Mass_Action_for_Peace","1607065","","16494","20230122023238"
"55","Řád_Milana_Rastislava_Štefánika","132315","","8106","20210604162013"
"56","Řád_červené_orlice","471743","","5982","20230111082338"
"57","Řád_württemberské_koruny","486623","","3756","20230117040100"
"58","Operace_Neptunovo_kopí","1692774","","4661","20220521183831"
"59","Muniční_sklad_Hajniště","942660","","25222","20230524080535"
"60","Povolávací_rozkaz","594576","","1511","20200410114825"
"61","Sjednocená_letecká_korporace","665162","","5855","20221222084810"
"62","Domobrana","3710","","1857","20220618102922"
"63","Virtuti_Militari","342096","","2271","20230131130120"
"64","Vojenská_radiostanice","961806","","4517","20230121002703"
"65","STOBAR","1012557","","1697","20230714230057"
"66","Zasloužilý_vojenský_navigátor_SSSR","1712603","","4822","20230625201057"
"67","Trubka","227115","","22854","20230531111228"
"68","Viktoriin_kříž","1151625","","3764","20230717210244"
"69","Řád_posvátné_trojnožky","1693653","","3422","20230126170745"
"70","Korveta","68779","","5099","20210719102750"
"71","Čtyřstranný_bezpečnostní_dialog","1744956","","4755","20220817141631"
"72","Roj_(letecká_jednotka)","1230303","","5745","20220202205412"
"73","Pancéřový_vlak_Hurban","965205","","2761","20220307223217"
"74","Medaile_za_asijsko-pacifické_tažení","1674516","","14503","20230717210616"
"75","CSS_Virginia","296113","","6819","20221228011840"
"76","Anabasis","855717","","5961","20230419041340"
"77","Al_Fulk_(L141)","1832449","","4548","20230516145426"
"78","Posily","131919","","1263","20220423074533"
"79","Hsiung_Feng_II","727141","","4188","20210528080713"
"80","Řád_rudého_praporu","240265","","4051","20221015160133"
"81","3K89_Palaš","750617","","6722","20230102204517"
"82","Řád_za_chrabrost_(Bulharsko)","1549344","","4639","20220801201041"
"83","Totální_válka","171302","","2314","20220925031345"
"84","Zbabělost_před_nepřítelem","931207","","917","20201217074841"
"85","Střelnice","240606","","1552","20221212091202"
"86","Rozsocháč","252644","","4638","20221010154901"
"87","Goalkeeper_CIWS","611951","","2942","20230313121211"
"88","Medaile_svatého_Olafa_s_dubovou_ratolestí","1709251","","10591","20230716232959"
"89","Spolia_opima","1629051","","2521","20230425202916"
"90","Letová_paluba","1196403","","4130","20230428085219"
"91","Zápalná_loď","1292853","","1577","20230527182811"
"92","Medaile_Za_dobytí_Berlína","1671477","","10735","20230716231259"
"93","Orlík_(obrněný_vlak)","802176","","4196","20221212212155"
"94","DEFCON","400415","","2666","20220319203211"
"95","Hyunmoo_III","1205071","","4736","20230408165720"
"96","Protitorpédová_obšívka","284826","","4108","20230612041146"
"97","Řád_Rámy","1633525","","8601","20220813095021"
"98","RUR-5_ASROC","571014","","3156","20221015115107"
"99","Garde_Républicaine","914634","","4025","20230214192435"
"100","Vojenská_záslužná_medaile_(Württembersko)","494580","","1807","20230716233813"
"101","Triéra","93234","","13243","20230404171110"
"102","Třída_South_Dakota","425830","","412","20181124034701"
"103","Vedlejší_škody","1217947","","5775","20220226131856"
"104","Dějiny_peloponéské_války","540331","","2055","20210723112116"
"105","Karonáda","496145","","8816","20220722215440"
"106","Psychologická_operace","255572","","2563","20230618042414"
"107","Lutyšská_medaile","1683712","","3495","20211022193847"
"108","Fort","436603","","1770","20201106061638"
"109","Barmská_hvězda","1620787","","18081","20230717210244"
"110","AGM-84_Harpoon","447425","","8521","20230415182817"
"111","Expediční_medaile_globální_války_proti_terorismu","1619123","","13452","20230717210616"
"112","O_válce","138868","","1393","20220901120219"
"113","Všeobecná_branná_povinnost","3712","","3877","20220618094808"
