"number","title","pageid","namespace","length","touched"
"1","Kasárna","341156","","2120","20230102111309"
"2","Řád_Máxima_Gómeze","1608578","","3659","20220724095936"
"3","Bombardování","1359337","Category","61","20180126030004"
"4","Medaile_Suvorova","1701447","","7231","20220724144856"
"5","Konfliktní_surovina","1323751","","1835","20230525042439"
"6","Vítězná_medaile_(Japonsko)","1542125","","5537","20220311043931"
"7","Lety_smrti","1844903","","1474","20230330052705"
"8","Letecký_záslužný_řád_(Dominikánská_republika)","1680387","","3127","20220802161929"
"9","Medaile_za_evropsko-africko-středovýchodní_tažení","1674539","","10037","20220803173500"
"10","Zimní_armádní_světové_hry","1301115","Category","91","20170612140318"
"11","Partyzán","166338","","8655","20230118183003"
"12","Vojenská_věda","1662713","","1266","20210605204323"
"13","Militarismus","674797","","3101","20210515115004"
"14","Vojenská_záslužná_medaile_(Rakousko)","489152","","6992","20221222100403"
"15","KAPA","1696760","","2536","20210714090315"
"16","Obchvatný_manévr","83515","","5157","20210808140049"
"17","Kříž_Fridricha_Augusta","451394","","4324","20230110233050"
"18","Tažení_(vojsko)","1683580","","1977","20210809130942"
"19","Společná_bezpečnostní_a_obranná_politika","1393088","","1063","20210605201147"
"20","Námořní_medaile_kontradmirála_Armanda_Lópeze_Condeho","1616973","","3165","20220806042301"
"21","Organizace_Smlouvy_o_kolektivní_bezpečnosti","349364","","4416","20221124122016"
"22","Řád_za_statečnost_(Afghánistán)","1644616","","3526","20221101054341"
"23","Expediční_medaile_námořní_pěchoty","1655720","","5536","20220819025452"
"24","Teroristické_útoky_na_vojáky","1176556","Category","87","20210908154537"
"25","Vojenský_újezd","101458","","22897","20230528085209"
"26","Pamětní_válečná_medaile_1914–1918","1692683","","5062","20230703224931"
"27","Válka","15333","","16781","20230517114502"
"28","Systém_aktivní_ochrany","1861809","","5374","20230630172007"
"29","Vojenská_literatura","139740","Category","109","20140601175837"
"30","Lotyšské_vojenství","353119","Category","110","20170321143815"
"31","Dělový_kříž","295836","","2468","20230110231448"
"32","Přídělový_systém","68503","","3348","20230626075519"
"33","Válečný_slon","188337","","3017","20230116131337"
"34","Letecký_odznak_parašutisty","1239129","","2291","20210605082030"
"35","Řád_Jean-Jacquese_Dessalinese","1662761","","2212","20220720195946"
"36","Válečný_film","1640915","","988","20230420141353"
"37","War_Is_a_Racket","258338","","2082","20221012151243"
"38","Medaile_Za_osvobození_Bělehradu","1689889","","5178","20230705120111"
"39","Academi","1554895","","4857","20230708135411"
"40","Dějiny_vojenství_podle_zemí","989418","Category","205","20230414213537"
"41","Štíty","535611","Category","278","20190908093521"
"42","Letectvo","8236","","1338","20230317105202"
"43","Bílá_vlajka","1334369","","5342","20230223191647"
"44","Vojenství_carského_Ruska","780210","Category","133","20190710135141"
"45","České_vojenství","197936","Category","149","20221003123707"
"46","Válečný_kříž_za_operace_na_vnějších_bojištích","1684363","","5565","20230111080801"
"47","Řád_Milana_Rastislava_Štefánika","132315","","8106","20210604162013"
"48","Medaile_Zasloužilý_bojovník_proti_fašismu","1024953","","1290","20220827172242"
"49","Válečný_kříž_(Belgie)","1693096","","9001","20230703224744"
"50","Vojenské_automobily","208369","Category","68","20120626130244"
"51","Pamětní_odznak_SOPVP_1939–1945","1381199","","4666","20201007134949"
"52","Velké_čepobití","1725426","","7508","20221010120200"
"53","Kubánské_vojenství","1039239","Category","82","20160715210000"
"54","Robotický_exoskelet","1171539","","2562","20210808155903"
"55","Zaniklá_vojenská_spojenectví","1091954","Category","36","20150321075821"
"56","Seznam_zkratek_ve_vojenství","17123","","4446","20230706143831"
"57","Arcidiecéze_vojenských_služeb_(USA)","1509659","","2535","20210515020332"
"58","Letka_(letecká_jednotka)","1230135","","7253","20220613105103"
"59","Vojenská_radiostanice","961806","","4517","20230121002703"
"60","Řád_posvátné_trojnožky","1693653","","3422","20230126170745"
"61","Oběti_válek","501654","Category","128","20171116184340"
"62","Pomníky_a_památníky_válek","1749223","Category","113","20220512065114"
"63","Čestná_stráž","795531","","2507","20230123115622"
"64","Armádní_sportovec_roku","1301290","Category","230","20190203000356"
"65","Řád_svobody_a_nezávislosti","1660219","","4820","20220728231639"
"66","Medaile_Za_obranu_sovětské_polární_oblasti","1700265","","8591","20230702141820"
"67","Den_D","20455","","2779","20230323080553"
"68","Parádní_krok","370314","","565","20220521113520"
"69","Expediční_medaile_námořnictva","1656305","","6469","20220819025450"
"70","Plan_de_Canjuers","1850833","","3671","20230430032545"
"71","Vojenská_cvičení","1502032","Category","110","20230104182538"
"72","Medaile_Za_dobytí_Budapešti","1700204","","5142","20230702141905"
"73","Pakfront","615129","","1479","20131216090052"
"74","Kotel_(vojenství)","86048","","2912","20150425001724"
"75","Řád_za_zásluhy_Hvězda_Carabobo","1617849","","2655","20220715112339"
"76","Medaile_Za_zásluhy_(Izrael)","590960","","4689","20220611015209"
"77","Válečné_právo","54299","Category","120","20140530202307"
"78","Psychologická_operace","255572","","2563","20230618042414"
"79","Filozofové_války","1815169","Category","122","20221206065424"
"80","Německé_vojenství","351016","Category","88","20140606180809"
"81","Viktoriin_kříž","1151627","Category","211","20230205211922"
"82","Válečný_zajatec","26604","","9361","20230703214631"
"83","Bulharské_vojenství","780301","Category","110","20170314132006"
"84","Zvířata_ve_vojenství","1589625","Category","81","20200424105034"
"85","Vojenství_podle_zemí","244545","Category","125","20230414134038"
"86","Záseky","1646574","","4751","20220521124016"
"87","Opevnění","15562","Category","146","20230414222854"
"88","Rosoboronexport","885213","","1655","20220807232416"
"89","Vojenské_operace","209701","Category","74","20140606160030"
"90","Litevské_vojenství","1751249","Category","83","20220402141254"
"91","Španělský_kříž","297096","","3794","20230111080826"
"92","Váleční_psi","1589597","","3828","20230121133749"
"93","Harcovník","677246","","3929","20230319235119"
"94","Opevnění","21719","","3763","20230310192537"
"95","Druhy_vojsk","1356965","","2812","20230119190937"
"96","Řád_Rámy","1633525","","8601","20220813095021"
"97","Medaile_30._výročí_sovětské_armády_a_námořnictva","1671781","","5923","20230709115855"
"98","Řecké_vojenství","351027","Category","86","20140606180815"
"99","Vojenství_v_Londýně","1810714","Category","124","20221125170624"
"100","Uruguayské_vojenství","1246188","Category","85","20161123174231"
"101","Mw.E.c","1732944","","4432","20220124213738"
"102","Železný_kříž","147017","","6115","20201212123725"
"103","Švédské_vojenství","441127","Category","99","20140606190643"
"104","Indické_vojenství","780302","Category","85","20150803032954"
"105","Multiple_integrated_laser_engagement_system","254535","","2769","20161206145711"
"106","Válečný_kříž_(Řecko)","1571346","","12038","20230111080801"
"107","Čestný_prýmek_starého_bojovníka","468981","","2537","20230221224306"
"108","Starověké_vojenství","584936","Category","168","20210225011655"
"109","Vojenské_a_válečné_portály","1200202","Category","57","20170813223525"
"110","Boj_proti_terorismu","1201956","","5308","20230606010408"
