"number","title","pageid","namespace","length","touched"
"1","Ariel_Wolf","1855172","","2735","20230710205544"
"2","Friedrich_Wilhelm_Murnau","62444","","7584","20221125095835"
"3","Marian_Palla","6107","","5106","20221130083016"
"4","Turečtí_režiséři","959103","Category","149","20230514130014"
"5","Seznam_představitelů_králů_v_českých_pohádkách","869243","","4252","20230522063105"
"6","Annabelle_3","1508178","","2438","20210718164550"
"7","Pete_Michels","1734002","","3924","20221130131916"
"8","Karel_Weinlich","908523","","18807","20230615150006"
"9","Americké_choreografky","1801097","Category","69","20221104082814"
"10","Rainer_Werner_Fassbinder","392846","","7509","20230319133654"
"11","Les_gens_normaux_n'ont_rien_d'exceptionnel","1848903","","1724","20230418181929"
"12","Pedro_Almodóvar","26147","","4600","20230318073935"
"13","Suivez_cet_avion","1848099","","2601","20230414192934"
"14","Klement_Slavický","164870","","5216","20230226144311"
"15","Ondřej_Hrabal","1516101","","4350","20230403122830"
"16","Single_Man_(film)","892335","","10144","20220926080354"
"17","Tři_do_páru","937070","","3991","20220817194423"
"18","Karel_Kludský_(1864)","1730809","","11142","20230519065552"
"19","Demolition_Man","383630","","3948","20220708143039"
"20","Skotští_režiséři","1121777","Category","141","20160419123103"
"21","Leopold_Lahola","1098081","","4896","20221128102014"
"22","Y_aura-t-il_de_la_neige_à_Noël_?","1806919","","2361","20221120072141"
"23","X-Men:_Dark_Phoenix","1502165","","7286","20220402083445"
"24","Japonští_režiséři","56678","Category","151","20230513185047"
"25","Slovinští_režiséři","195322","Category","158","20170215094517"
"26","Behaving_Badly","1092759","","3320","20220107220922"
"27","Neherec","1774372","","3074","20230201015211"
"28","Finští_choreografové","1866257","Category","103","20230710211633"
"29","Novic_(film)","1258759","","11888","20220722233028"
"30","Indro_Montanelli","1549068","","11403","20221128122140"
"31","Heavy_Trip","1495482","","10081","20220115003024"
"32","Parodisté","80149","Category","82","20230307074615"
"33","Petr_Kůsa","1117507","","4158","20221130131608"
"34","ViralBrothers","897654","","6453","20230414060914"
"35","Peaux_de_vaches","1299191","","2194","20200427121314"
"36","Bob_Hýsek","1644161","","12185","20230709075350"
"37","Angelina_Jolie","145113","","91976","20230617161426"
"38","Chorvatští_režiséři","1024183","Category","113","20160715194616"
"39","Lubomír_Železný","421879","","2552","20221128123740"
"40","Nebinární_komici","1782076","Category","75","20220821082857"
"41","Kaskadéři","621360","Category","71","20221123082609"
"42","Zpěvačky","504589","Category","135","20210830102813"
"43","Zabil_jsem_svou_matku","1018221","","4187","20221013184233"
"44","Rob_Nilsson","770350","","58220","20230113004908"
"45","Lumpíci_v_divočině","1023908","","2338","20221212104028"
"46","Poslední_rodina","1684499","","10181","20230414215511"
"47","Americká_krása","541758","","6549","20230609110132"
"48","LGBT_zpěváci","888124","Category","552","20160720184212"
"49","Conrad_Beck","512062","","2787","20221128100358"
"50","Spider-Man:_Napříč_paralelními_světy","1762230","","2058","20230624105431"
"51","Anatol_Svahilec","1335947","","6949","20221129131044"
"52","Slovenští_choreografové","846411","Category","112","20210225021503"
"53","Rubén_Blades","1054877","","6246","20221129130849"
"54","Roland_Emmerich","384964","","4020","20221130090907"
"55","Joel_Schumacher","661252","","4009","20221129101450"
"56","Václav_Krška","376190","","6907","20230110184309"
"57","Vlastníci_(film)","1523009","","7264","20230305131721"
"58","Zpěváci","7387","Category","195","20221122122718"
"59","Fiktivní_herci","180984","Category","74","20160623062336"
"60","Jiří_Roll","573184","","1829","20221128121251"
"61","Zdeněk_Troška","145216","","5063","20230704184715"
"62","Šanghajské_překvapení","1184920","","6681","20230630165359"
"63","Folklórní_zpěváci","1726560","Category","23","20211215183522"
"64","Kathryn_Bigelowová","528910","","3207","20230609131112"
"65","Like_Me","1841448","","2297","20230311074443"
"66","Števo_Capko","1125011","","12099","20230709062336"
"67","Tanečníci_podle_zemí","620722","Category","139","20230414174520"
"68","Carter_Smith","1528047","","2179","20230710202720"
"69","Out_(film)","1317377","","3243","20210219165716"
"70","Władysław_Niedoba","1271066","","3963","20221128115930"
"71","Grónští_režiséři","1800444","Category","71","20221102123508"
"72","Komici_němého_filmu","377915","Category","67","20130331114419"
"73","Mark_Kirkland","1698895","","8662","20221130093947"
"74","Stephen_W._Parsons","1364406","","3455","20221130073918"
"75","Mexičtí_režiséři","231144","Category","158","20150913200744"
"76","Fiktivní_zpěváci","180995","Category","82","20130404094218"
"77","Humoristé","23461","Category","151","20230306164726"
"78","Izraelští_režiséři","406801","Category","138","20230514191659"
"79","Taková_normální_rodinka_(film)","288602","","2945","20230618134844"
"80","Versailles_(film,_2008)","1817968","","3274","20221211204211"
"81","Five_Feet_Apart","1510489","","5040","20220112193926"
"82","Gabriel_Axel","1341755","","2089","20221129080054"
"83","Jurij_Nikulin","1549730","","3276","20221128113907"
"84","Juli_Crockett","978672","","1564","20221130122203"
"85","Laputa_(film)","1057463","","3484","20220915072021"
"86","Humoristé_podle_zemí","1845663","Category","62","20230414085208"
"87","Sancharram","1717826","","4961","20220926184137"
"88","Ferzan_Özpetek","1675995","","1735","20230320074919"
"89","Anne_Heche","321517","","13740","20230428182014"
"90","Seznam_slovenských_představitelů_pohádkových_princů","862994","","569","20200111125717"
"91","Herci","27623","Category","216","20221121070650"
"92","Mario_Berousek","1019238","","5821","20221130135504"
"93","Pojedeme_k_moři","925390","","6260","20210515180155"
"94","Marcel_Bruckmann","920049","","17373","20230618052412"
"95","Vysněný_život_andělů","1841452","","3042","20230311080044"
"96","Svatby_podle_Mary","1401927","","4262","20220107220819"
"97","Vendeta_(film,_2011)","677550","","4920","20230102143140"
"98","Američtí_režiséři","28202","Category","151","20210208164519"
"99","Lars_Norén","1095804","","9152","20221129113403"
"100","Španělští_choreografové","1866254","Category","108","20230710210849"
