"number","title","pageid","namespace","length","touched"
"1","Fyzici_podle_zemí","924326","Category","173","20230414182517"
"2","Detonační_rychlost","171748","","1472","20230419042059"
"3","Neutronové_záření","924798","","9822","20221103125911"
"4","Astrofyzika","754","","4240","20210427185639"
"5","Teorie_plasticity","775571","","889","20210809131507"
"6","Biotův–Savartův_zákon","95227","","3342","20220629143712"
"7","Optické_jevy","802366","Category","51","20120521084357"
"8","Teplota","345","","82590","20230620113115"
"9","Boyleův–Mariottův_zákon","84667","","5089","20230529035234"
"10","Relativní_permitivita","63146","","3177","20221205112016"
"11","Fyzikální_systém","244591","","3163","20210723193434"
"12","Koncepty_ve_fyzice","1864038","Category","55","20230628211214"
"13","Hmotnostní_průtok","1165499","","5938","20221227195321"
"14","Testovací_částice","98420","","932","20130324135141"
"15","Lorentzova_medaile","124811","","1640","20221110181434"
"16","Starkův_jev","243788","","958","20230120143056"
"17","Elektrokalorický_jev","692848","","2898","20230502212710"
"18","Teoretická_elektrotechnika","1845626","Category","63","20230402075802"
"19","Teorie_velkého_sjednocení","233598","","5419","20220815095638"
"20","Experimentální_fyzika","1215969","Category","79","20210224204715"
"21","Elektrické_veličiny","1845628","Category","110","20230402082520"
"22","Činitel_stojatého_vlnění","1438676","","1818","20230526043922"
"23","Pascalův_zákon","511967","","2098","20230606153441"
"24","Tepelná_kapacita","1166","","5896","20230215210313"
"25","Motorika_člověka","93537","","3333","20211101104420"
"26","Obory_a_disciplíny_fyziky","945564","Category","72","20131016162137"
"27","Avogadrův_zákon","191117","","1603","20210601083259"
"28","Těkavost","748770","","1107","20230216151417"
"29","Radiometrické_veličiny","430667","Category","174","20161005122111"
"30","Fyzikální_pole","32880","Category","95","20140609112417"
"31","Psychofyzika","953349","Category","146","20180218142808"
"32","Tíha","607","","1880","20230410171924"
"33","Laméovy_koeficienty_(mechanika)","704414","","1679","20210808121523"
"34","Kinematika","410","","4882","20230514125546"
"35","Spektroskopie","66066","Category","247","20181217185056"
"36","Neurofyzika","1214283","","941","20210808190018"
"37","Maximální_energetický_součin","309079","","1087","20090701144136"
"38","Moment_síly","436","","6918","20230116092615"
"39","Vis_viva","251321","","1018","20220301051016"
"40","Fyzikální_ústav_Univerzity_Karlovy","1734068","","22422","20220913162249"
"41","Gravitace","5303","Category","193","20140703080114"
"42","Experimentální_fyzika","1506428","","1709","20230621151907"
"43","Turnaj_mladých_fyziků","1549469","","35340","20211022113812"
"44","Vzdálenost","1457000","Category","122","20210413145750"
"45","Permitivita","13274","","8481","20230414111742"
"46","Krystalografové","1353540","Category","89","20210224224505"
"47","Fyzičky","1825596","Category","93","20230112144208"
"48","Tenzor_intenzity_elektromagnetického_pole","257303","","1963","20210809191236"
"49","Filozofie_fyziky","1816055","Category","62","20221205175911"
"50","Imploze","320740","","2834","20230702231340"
"51","Vzájemná_indukčnost","13827","","4965","20221123161804"
"52","Hmota","4630","Category","59","20140601113609"
"53","Teorie_chaosu","7323","","17121","20230528085251"
"54","M&M_(časopis)","470401","","1444","20181014121627"
"55","Dielektrická_vodivost","1173360","","4329","20220523131654"
"56","Síla","249","","62777","20230619061544"
"57","Střední_kvadratická_rychlost","1188","","2073","20211031182325"
"58","Fyzikální_veličiny","4619","Category","115","20140530193621"
"59","Unavené_světlo","1131627","","742","20210808184520"
"60","Energie","4622","Category","107","20140530193625"
"61","Pyrometr","151310","","10182","20230429214332"
"62","Newtonovy_pohybové_zákony","492","","16889","20230529200411"
"63","Poločas_přeměny","14015","","7187","20230120142924"
"64","Relativní_atomová_hmotnost","1199","","2638","20220620170110"
"65","Duktilita","571036","","1940","20220403093002"
"66","Mechanika","80","","29397","20230210085743"
"67","Přirozená_soustava_jednotek","248397","","32409","20220521114631"
"68","Zákony_zachování","1601759","Category","130","20200604153714"
"69","Tekutina","519","","6363","20210531122633"
"70","Třetí_termodynamický_zákon","2141","","4364","20230426100604"
"71","Planckův_vyzařovací_zákon","6421","","3701","20230106093919"
"72","Eberhardův_efekt","395410","","1038","20230528052640"
"73","Barevné_uvěznění","1753784","","12269","20220519132113"
"74","Konduktivita","4975","","2851","20221031100034"
"75","Ohybový_moment","781584","","2144","20230326072422"
"76","Úhlová_frekvence","13460","","5697","20210808184114"
"77","Teorie_ustáleného_stavu","812984","","797","20210809131534"
"78","Prostor_(fyzika)","1504261","","6078","20230114211229"
"79","Fyzikální_experimenty","1220760","Category","112","20160807143317"
"80","Sport","4646","Category","235","20230103151541"
"81","Snellův_zákon","25328","","7528","20230315102607"
"82","Keplerovy_zákony","239","","14424","20230216224126"
"83","Fyzici_podle_oborů","643592","Category","113","20230414174801"
"84","Světový_rok_fyziky_2005","11173","","1991","20210809122659"
"85","Tlaková_síla","485","","1902","20230428171100"
"86","Jordanus_Nemorarius","1150737","","2107","20210602112553"
"87","Spád","504016","","1981","20210801170912"
"88","Světlo","7971","Category","141","20140601114759"
"89","Otto_Laporte_Award","707586","","2968","20230108233049"
"90","Fyzikální_ocenění","939824","Category","72","20210224213117"
"91","Kirchhoffovy_zákony","415012","","8547","20230521105532"
"92","Wienův_posunovací_zákon","63214","","3233","20210601112919"
"93","Teorie_překračující_Standardní_model","1601760","Category","103","20220416091747"
"94","Dějiny_fyziky","1457672","Category","107","20210224202507"
"95","Youngův_experiment","164876","","3470","20230304190902"
"96","Zákon_převrácených_čtverců","1135981","","967","20210809085033"
"97","Koheze_(fyzika)","1638810","","766","20210808114301"
"98","Jouleův_zákon","884672","","66","20140523093604"
"99","Excitovaný_stav","262085","","6342","20230523124529"
"100","Čas","129","","43792","20230530185329"
"101","Fyzici_podle_národnosti","215238","Category","129","20230414134000"
"102","Sání","420796","","2004","20221224220008"
"103","Newtonův_zákon_odporu","190069","","66","20140523111005"
"104","Hughesova_medaile","227277","","4112","20220306195927"
"105","Teplotní_roztažnost","153702","","11741","20230218132533"
"106","Reverzní_Segnerovo_kolo","1555573","","8214","20220215175508"
"107","Krása_(částice)","1218652","","940","20210808145226"
"108","Termické_procesy","11698","Category","63","20130405200546"
"109","Délka","122","","8357","20230308095101"
"110","Davissonův–Germerův_experiment","1220688","","1980","20220507211357"
"111","Měrná_magnetická_susceptibilita","1095484","","2443","20190612210506"
"112","Expozice_(fyzika)","721323","","2625","20230520150315"
"113","Pevná_látka","286","","2269","20230518122845"
"114","Antropomotorika","1106743","","5294","20200605130821"
"115","Zrychlení","325618","Category","172","20210225023525"
"116","An_Exceptionally_Simple_Theory_of_Everything","261028","","1210","20220520085408"
"117","Kinantropologie","409729","","6325","20210719082150"
"118","Katal","593221","","2923","20211104184000"
"119","Intenzita_magnetického_pole","806083","","7381","20221213085256"
"120","Materiály","6664","Category","109","20191005055901"
"121","Temná_energie","27562","","4414","20221226213016"
"122","Dimenze","665806","","2367","20230513090236"
"123","Pokojová_teplota","420584","","1156","20221004203407"
"124","Stefanův–Boltzmannův_zákon","174430","","2883","20230106094214"
"125","Philosophiae_Naturalis_Principia_Mathematica","380100","","2861","20230506064055"
"126","Atomová,_molekulová_a_optická_fyzika","870581","","13193","20220520090901"
"127","Pevnost_(fyzika)","8849","","4460","20230110030005"
"128","Ohnisková_vzdálenost","32244","","5580","20210808193656"
"129","Molární_skupenské_teplo","1274253","","91","20170310130345"
"130","Temná_hmota","15897","","23336","20230701022822"
"131","Lambrechtův_povětrnostní_telegraf","1674917","","9626","20221015115654"
"132","Lorentzův_zákon_síly","89537","","92","20221201091459"
"133","Optronika","943209","Category","104","20140411082106"
"134","Kinetické_umění","1008154","","5343","20230419115054"
"135","Předměty","1561753","Category","97","20210225014142"
"136","Cena_Neuron","1042605","Category","192","20200722150126"
"137","Rutherfordův_experiment","1220687","","5665","20230423190757"
"138","Fotometrické_veličiny","385549","Category","106","20181217180900"
"139","Nelineární_systém","1610259","","1719","20210808134645"
"140","Chemický_prvek","12445","","19794","20230628205700"
"141","Ryv","690233","","2262","20221129090755"
"142","Česká_astronomická_společnost","178443","","36544","20230123090248"
"143","Skupenské_stavy_látek","264874","Category","168","20210225010301"
"144","Odraz_vlnění","812978","","2845","20230408235302"
"145","Zrychlení","105","","6893","20230223194700"
"146","Bičík","268422","","8585","20230329070725"
"147","Záření","197402","Category","137","20140601184855"
"148","Albert_Einstein","1456482","Category","393","20221103224546"
"149","Fyzikální_ústav_v_Opavě","1706548","","14158","20221008075220"
"150","Svislice","1151440","","3782","20230221184055"
"151","Rozpad_částice","1215600","","7438","20230103201234"
"152","Fyzikální_přístroje","90654","Category","58","20090525213250"
"153","Lokomoce_člověka","564196","","1046","20190622122919"
"154","Hltnost","1211407","","1926","20220519152440"
"155","Hybnost","483","","3292","20230305180925"
"156","Objem","125","","6604","20230529123012"
"157","Lambertův_zákon","231123","","88","20160110112402"
"158","Modul_pružnosti","192941","","527","20210808133112"
"159","Magnetokalorický_jev","683501","","11866","20220504072547"
"160","Potenciální_energie_pružnosti","585","","1371","20191107063150"
"161","Henryho_zákon","67344","","4274","20230215210246"
"162","Michelsonův–Morleyův_experiment","866725","","4939","20220602031928"
"163","Geofyzika","9655","Category","175","20181219113207"
