"number","title","pageid","namespace","length","touched"
"1","Gaia,_Inc.","1520530","","3660","20220813010452"
"2","Fnord","141633","","1561","20171206123330"
"3","Etnická_čistka","896752","","3972","20230608041811"
"4","Faktorie","236515","","681","20220426213047"
"5","Markýzství","1520346","","1434","20230102110157"
"6","Socialismus","9190","","44171","20230711195349"
"7","Výstava_znovuzískaných_území","617458","","1818","20220920153247"
"8","Argument","439609","","3035","20221127190553"
"9","Krajští_kmotři","575449","","17896","20230617160212"
"10","Izraelský_zásah_proti_konvoji_do_Pásma_Gazy","567378","","55901","20230714224021"
"11","Bipartismus","1683957","","1501","20230131164407"
"12","Seznam_černohorských_velvyslanectví_v_zahraničí","490405","","3998","20210515031619"
"13","Ilumináti","131861","","10713","20230131214950"
"14","Korupční_turistika","1179541","","6216","20221128145737"
"15","Trojmezí","224673","","25446","20230108195505"
"16","Dělnická_stráž","661405","","1894","20220308092721"
"17","Postpravda","1287385","","1526","20230717195441"
"18","Coup_de_main","1784706","","3307","20221025202012"
"19","COINTELPRO","269145","","3030","20210602091437"
"20","Kandidátní_listina","360182","","6331","20230530230641"
"21","Úřad_Vysokého_komisaře_OSN_pro_uprchlíky","719685","","3430","20220410101653"
"22","Stalinova_dača","1834663","","6905","20230213204628"
"23","Reprodukční_práva","1764724","","14092","20230403192346"
"24","Ukrajinizace","996576","","10138","20230622162014"
"25","Trollí_farma","1451036","","8820","20230318225711"
"26","Kirchnerismus","857698","","1956","20171028231522"
"27","Standard_dvou_velmocí","327713","","3337","20150226210444"
"28","Dabiq_(časopis)","1170965","","11611","20221212095947"
"29","Mezinárodněprávní_uznání_státu","1059301","","24165","20230120170029"
"30","Otto_Pérez_Molina","1133112","","4467","20221130071333"
"31","ANZUS","358964","","1327","20220817141304"
"32","Svoboda_pohybu","1057348","","13674","20220828164747"
"33","Svoboda_myšlení","1094824","","8661","20210604193912"
"34","Apologie","380091","","3807","20230112070634"
"35","Identitární_politika","1581674","","19264","20220928183355"
"36","ABAKO","424398","","4723","20220103195540"
"37","Mikrostát","106515","","12541","20220803224509"
"38","Legální_licence","823062","","1492","20220405122628"
"39","Sociální_koheze","616911","","3913","20221103134037"
"40","Opuštěná_společnost","1490406","","5623","20230515132425"
"41","Ústavodárné_shromáždění","1468649","","889","20230717200920"
"42","Pasivní_rezistence","1068576","","2648","20230715200118"
"43","Knížectví","200167","","4181","20230428184340"
"44","Dezinformace","408394","","13545","20230627043609"
"45","Izraelská_hraniční_policie","320262","","1577","20220308091517"
"46","Ordoliberalismus","1357641","","2069","20230220061052"
"47","Alternativní_hlasování","573920","","1319","20230402131432"
"48","Westminsterský_systém","1546715","","7604","20230421215531"
"49","Perónismus","306136","","3825","20230421095516"
"50","Pěšky_městem","521443","","5274","20220317151646"
"51","Kauza_Nagyová","915989","","197144","20230714153032"
"52","Identitární_hnutí","1483556","","12586","20230516174747"
"53","Fabiánská_společnost","164112","","1855","20230609150339"
"54","Bandungská_konference","327683","","6137","20220326135511"
"55","Fiskální_konzervatismus","1010254","","2718","20230602143921"
"56","Společnost_Vril","1696121","","30640","20230713190751"
"57","Komunitarismus","503551","","7566","20230721211741"
"58","Politický_aktivismus_v_Česku","1343685","","5308","20230226094500"
"59","Operace_Bouře_333","891585","","8702","20230719040232"
"60","Králotvůrce","1329351","","2636","20211120110011"
"61","Azylová_a_přistěhovalecká_politika_EU","40993","","1852","20180516093243"
"62","Seznam_neapolských_místokrálů","1456388","","12938","20211103151118"
"63","Seznam_politických_stran_a_hnutí_v_Abcházii","1705327","","3821","20220628210550"
"64","Dunajská_pohraniční_stráž","1100053","","4412","20220322144424"
"65","Panregion","550410","","984","20111223173212"
"66","Praní_špinavých_peněz","117711","","15099","20230131085004"
"67","Soukromí","43551","","46557","20230603045346"
"68","Informační_válka","1133543","","5285","20221118071207"
"69","Paul_Kaba_Thieba","1448581","","1828","20221130124139"
"70","Opozice_v_Ruské_federaci","1235644","","18766","20230609180838"
"71","Občanský_libertarianismus","1698451","","3639","20230527205928"
"72","Junta","430800","","3767","20220904165416"
"73","Vlast","296203","","949","20221006093230"
"74","Právo_na_odpočinek_a_volný_čas","1862049","","1536","20230623082352"
"75","Nenech_to_být","1496574","","11971","20221108165653"
"76","Výmoly.cz","1283989","","12463","20211127091446"
"77","Kulturní_liberalismus","1049851","","12762","20230706210036"
"78","Food_Not_Bombs","230570","","5965","20230327054253"
"79","Osa_zla","334420","","4346","20230720183943"
"80","Dark_Enlightenment","1652304","","5874","20221222180003"
"81","Mise","63028","","6014","20221129105158"
"82","Politický_střed","713794","","1166","20230526200830"
"83","Rozvojová_politika","110311","","13151","20230714195130"
"84","Neoliberalismus","195372","","38041","20230603103605"
"85","Agentura_Evropské_unie_pro_bezpečnost_letectví","1291702","","5926","20230129170019"
"86","Ministerstvo","35641","","6290","20210719093024"
"87","Komnata_ozvěn","1244865","","5404","20221222154756"
"88","Maletův_státní_převrat","1757567","","7068","20230619103228"
"89","Znárodnění","28300","","24526","20230101201256"
"90","Propaganda","10027","","20939","20230605181554"
"91","Politický_komisař","67989","","4740","20230318130205"
"92","Exulanti","1672660","","33015","20230705121413"
"93","NESARA","1817249","","11435","20230107053249"
"94","Shromáždění_obyvatel_újezdu","1685684","","1893","20220307224719"
"95","Pochod_pro_rodinu","711920","","2976","20230113085541"
"96","Aktivismus","55460","","19563","20230329103207"
"97","Ukliďme_Česko","1512654","","9413","20230614130405"
"98","Stalinův_pomník","88222","","22366","20230714040717"
"99","Nadační_fond_proti_korupci","665494","","38767","20230725105725"
"100","Cui_bono","248990","","1535","20230706204242"
"101","Státověda","505489","","2391","20221103134037"
"102","Národní_jazyk","256116","","2185","20220425130956"
"103","Domobrana_(dobrovolnická_organizace)","856787","","6684","20230314145048"
"104","Politický_vězeň","82904","","6044","20220130103254"
"105","Ban_(internet)","554144","","2051","20221026103449"
"106","Královský_palác_v_Oslu","240626","","1870","20221130140140"
"107","Mezinárodní_helsinská_federace_pro_lidská_práva","1668954","","6180","20230617160630"
"108","Mezinárodní_den_boje_proti_korupci","1043363","","1514","20220702094439"
"109","Somozové","685672","","1461","20200430150416"
"110","Ochlokracie","673980","","1442","20220524171919"
"111","Jeden_svět","362863","","28660","20230502074702"
"112","Svoboda_projevu","108348","","35240","20230508081015"
"113","Anarchismus","12682","","36761","20230626101557"
"114","Socialistická_revoluce","261232","","1346","20221127120411"
"115","Panafrikanismus","1011188","","1273","20210605192441"
"116","Sociální_práva","322201","","8602","20210514004716"
"117","Beril_Dedeoğlu","1806960","","10742","20221130124953"
"118","Tři_generace_lidských_práv","481725","","1646","20230202093049"
"119","Svatokupectví","578756","","3415","20210809121646"
"120","Libertariánská_demokracie","1487128","","3583","20190924160356"
"121","MOST_(iniciativa)","1639150","","15113","20221029035410"
"122","Nový_světový_pořádek","422364","","2260","20190123133137"
"123","Lajos_Bács_a_Radjiv_M._Sinha","432639","","3150","20220825201823"
"124","Landsgemeinde","1791206","","18451","20230114102416"
"125","Zájmová_skupina","1570038","","6686","20220521181520"
"126","Zákaz_kouření","175168","","38136","20230501090012"
"127","Vévodství","316030","","3709","20220529170043"
"128","Zeitgeist:_The_Movie","244463","","31978","20220130152048"
"129","Veřejná_konzultace","1563787","","4810","20230120093639"
"130","Nový_světový_řád_(konspirační_teorie)","421179","","8667","20221215183645"
"131","Teritorium","129226","","2948","20211221212715"
"132","Whip","1803169","","1747","20230703205535"
"133","Občanská_práva","13260","","8044","20220627120201"
"134","Reálný_socialismus","268971","","752","20221212090818"
"135","Baronství","542839","","1501","20210604075535"
"136","Pallywood","375268","","6170","20220328183313"
"137","Azyl","337677","","13303","20220616053739"
"138","Oblast_51","60499","","11220","20230601160014"
"139","Algokracie","1794441","","1494","20230520113428"
"140","QAnon","1404878","","21739","20230306141327"
"141","Nippon-Kobo","1805666","","5367","20221202114143"
"142","DR-CAFTA","253562","","2995","20230101105646"
"143","Vláda_národní_jednoty","625107","","1396","20160628123207"
"144","Ředitelství_služby_cizinecké_policie","1163522","","15050","20230630175022"
"145","Caudillismus","518766","","10791","20230512163431"
"146","Suverénní_stát","1684883","","2547","20220710054843"
"147","Pobřežní_moře","326222","","3313","20200731085020"
"148","Úřední_jazyk","3219","","15304","20230311225943"
"149","Hodnověrné_popření","625633","","2784","20230714201232"
"150","Mezera_vědění_a_jednání","1643887","","7681","20230718202921"
"151","Úřednická_vláda","13650","","9118","20230507194039"
"152","Transparency_International","374007","","10297","20230308160830"
"153","Většina","245334","","4097","20230707205313"
"154","Muži_v_černém","1315311","","20699","20230426113131"
"155","Mediatizace","502826","","4624","20220107173102"
"156","Státní_smutek","751219","","9200","20230617204039"
"157","Odboj","15907","","3044","20190430154515"
"158","Tempora","918575","","1646","20230707201520"
"159","Reálpolitika","1596225","","913","20230628084311"
"160","Muzeum_železné_opony_ve_Valticích","972263","","2987","20220308093746"
"161","Pohraniční_stráž_Znojmo","1032753","","65676","20220813110036"
"162","Seznam_státních_převratů_a_pokusů_o_převrat","1303902","","82657","20230627174955"
"163","Opozice_(politika)","322246","","30341","20221030161932"
"164","Eristická_dialektika","327825","","3436","20221103134614"
"165","Ženská_práva","623100","","3734","20230722111019"
"166","Liberalismus","11302","","38347","20230427190708"
"167","Kein_Bock_auf_Nazis","1038567","","2832","20220118172945"
"168","Zelená_politika","277698","","7765","20230718201721"
"169","Partnerská_města","110564","","1779","20200714102611"
"170","Absolutní_většina","80375","","1414","20220412205133"
"171","Deputace","1028719","","1071","20171006074704"
"172","Salámová_metoda","262387","","2285","20220705013620"
"173","Mezinárodní_aliance_libertariánských_stran","1839224","","3860","20230419215231"
"174","Sociální_anarchismus","587188","","2435","20210605200847"
"175","Brigi_Rafini","1830958","","2653","20230125193727"
"176","Anexe","12931","","3373","20221001170928"
"177","Jazyky_Číny","1593935","","10724","20230718062824"
"178","Vyjednávání","417817","","7470","20221113182614"
"179","Mapa_majetku_státu","1580691","","1995","20200331112213"
"180","WikiLeaks","544120","","28423","20230323203555"
"181","Sametové_posvícení","1679732","","9465","20221213150340"
"182","Amaq","1252819","","3701","20200901222631"
"183","Zmente.to","1338903","","41989","20221215124821"
"184","Trestní_politika","860950","","1920","20221212091402"
"185","Saadaddín_Usmání","1819129","","4927","20230124204557"
"186","Ministerstvo_památkové_péče","1594970","","1208","20221106214639"
"187","Vůdce_opozice_(Izrael)","1779570","","16069","20221202135622"
"188","Zelený_liberalismus","576573","","1197","20230529211707"
"189","Referenda_o_státním_zřízení","1385551","","14988","20220404213845"
"190","Evaluace","241945","","6843","20210501081650"
"191","Sekulární_stát","676762","","1629","20221127103536"
"192","Noví_historikové","868379","","9194","20210718192943"
"193","České_velvyslanectví_v_Moskvě","1797528","","4680","20230409180647"
"194","Women_of_Liberia_Mass_Action_for_Peace","1607065","","16494","20230122023238"
"195","Politická_geografie","142292","","3181","20220127211248"
"196","Odkaz_pre_starostu","1687589","","20962","20230108094153"
"197","Nacionalismus","38429","","26694","20230702152531"
"198","Rada_Evropské_unie","5594","","29923","20230701075427"
"199","Operace_Paperclip","358773","","6523","20230302145809"
"200","Abdullah_Ahmad_Badawi","1536899","","6753","20221129092735"
"201","Karen_Silkwood","1676206","","12253","20230316182933"
"202","Mnoho_světů_v_Jilemnici","1569514","","16282","20221213165231"
"203","Výběžek","1049868","","4596","20230521115231"
"204","Metoda_šesti_klobouků","697390","","18117","20230603145948"
"205","Transparent","298862","","2522","20220610042747"
"206","Progresivní_aliance","1614991","","6461","20230701112332"
"207","Funkční_období","473032","","5592","20230708141454"
"208","Mariinský_palác","1674850","","3542","20230223210037"
"209","Vězeň_svědomí","688558","","3662","20230417121002"
"210","Mezinárodní_agentura_pro_atomovou_energii","20205","","5416","20220828142300"
"211","Společenství_nezávislých_států","11036","","5305","20230402154615"
"212","Metternichovský_absolutismus","1848599","","3193","20230713194641"
"213","Zákonný_soudce","739738","","3396","20171005120606"
"214","Sociální_služby_v_ČR","769743","","9042","20230107152748"
"215","Politický_marketing","1037387","","2182","20220509093445"
"216","Lobbování","257430","","16181","20230123235027"
"217","Měkké_a_tvrdé_cíle","1257907","","1568","20170326162849"
"218","Renegát","283353","","906","20230718204234"
"219","Libertarianismus","12539","","12746","20221103134037"
"220","Komunistická_strana","255877","","7931","20220510185613"
"221","Sociální_liberalismus","183253","","2640","20230720203205"
"222","Antipsychiatrie","200544","","10003","20220507221022"
"223","Mezinárodní_výbor_právníků","194454","","1487","20210606134415"
"224","Vybírání_odpadků","1387557","","6769","20221003143114"
"225","Bratrstvo_Tarasovců","1732423","","2027","20220720190208"
"226","Politická_kampaň","369574","","2568","20230625205137"
"227","Vláda","417185","","4159","20210813214432"
"228","Disident","30195","","10158","20230401104909"
"229","Vnitřní_šestka","1732328","","17218","20220307170514"
"230","Papežský_palác_v_Castel_Gandolfu","297529","","3183","20230515090315"
"231","Demokratický_socialismus","483193","","9283","20230710035703"
"232","Konspirační_teorie_o_útocích_z_11._září_2001","176040","","61604","20230615165542"
