"number","title","pageid","namespace","length","touched"
"1","Korupce_ve_sportu","1816933","Category","63","20221208130433"
"2","Revizionismus","169422","","4620","20220416150958"
"3","Politické_dějiny","203889","Category","118","20140606155805"
"4","Restituce","28978","","2521","20210808155532"
"5","Konspirační_teorie_o_útocích_z_11._září_2001","176040","","61604","20230615165542"
"6","Pravicový_populismus","1696062","","123350","20230316223431"
"7","Popírání_klimatické_změny","1017692","","40066","20230110223945"
"8","Domovní_svoboda","1107420","","11996","20221223121808"
"9","Dezinformace","408394","","13545","20230627043609"
"10","Politika_v_roce_1968","1561032","Category","185","20220721094259"
"11","Lost_Cause","1709855","","127606","20220925164138"
"12","Politika_Čínské_republiky","1141332","Category","159","20151006192807"
"13","Ázerbájdžánské_politické_organizace","1597377","Category","166","20200518231435"
"14","Politika_Somalilandu","504920","Category","88","20170215081127"
"15","Filadelfský_experiment","681250","","7004","20230310225831"
"16","Politika_v_roce_1944","1561162","Category","185","20220721094241"
"17","Politika_v_roce_1925","1561206","Category","185","20220721094227"
"18","Operace_Paperclip","358773","","6523","20230302145809"
"19","Politický_komisař","67989","","4740","20230318130205"
"20","Buržoazní_revoluce","1579464","","2249","20210805061831"
"21","Cíle_vzdělávací_politiky","1501318","","11988","20230711143707"
"22","Politika_v_roce_1805","1857939","Category","147","20230601125544"
"23","Politika_v_roce_1816","1857931","Category","147","20230601123142"
"24","Úřední_jazyk","3219","","15304","20230311225943"
"25","Politika_v_roce_1908","1561227","Category","185","20220721094215"
"26","Germanizace","191709","","4550","20220908170029"
"27","Dělení_Afriky","1280437","","4294","20230712182118"
"28","Politika_v_roce_1992","1560803","Category","134","20220721094317"
"29","Státní_tajemník","1461748","","2645","20201228225041"
"30","Politologové","15330","Category","166","20221201115429"
"31","Politika_v_roce_1885","1674179","Category","169","20220721094158"
"32","Politika_v_roce_1771","1859031","Category","163","20230606090301"
"33","Rapoportovy_vlny_terorismu","1357171","","16572","20230520115315"
"34","Státní_občanství","1025600","Category","71","20170321101235"
"35","Politika_v_roce_1898","1561412","Category","185","20220721094208"
"36","Dvojníci_Adolfa_Hitlera","1838615","","17039","20230402011813"
"37","Politika_v_roce_1970","1560830","Category","185","20220721094301"
"38","Vůdce_opozice_(Izrael)","1779570","","16069","20221202135622"
"39","Kein_Bock_auf_Nazis","1038567","","2832","20220118172945"
"40","Krajní_levice","250331","Category","73","20210318203745"
"41","Burundská_politika","1430462","Category","83","20180905124645"
"42","Socialistická_internacionála","253775","","4210","20230701112147"
"43","Politika_v_roce_1601","1860027","Category","148","20230609095839"
"44","Nacistické_organizace","419878","Category","69","20140402064515"
"45","Vlivový_agent","1130159","","779","20210809090652"
"46","Politika_v_roce_1997","1560796","Category","185","20220721094321"
"47","Švýcarská_politika","322131","Category","108","20170314124615"
"48","Politika_v_Budapešti","913171","Category","115","20130601224617"
"49","Pěšky_městem","521443","","5274","20220317151646"
"50","Renegát","283353","","902","20211130174753"
"51","Aktivismus","440948","Category","85","20140602192226"
"52","Informační_politika","962905","","5049","20210808113758"
"53","Mezinárodní_politika","59316","Category","144","20140610055851"
"54","Ománská_politika","565259","Category","124","20140602200500"
"55","Azylový_dům","1197240","","9149","20220709060007"
"56","Politika_v_roce_1995","1560799","Category","185","20220721094319"
"57","Bushovi","338632","","5601","20230404192850"
"58","Argumentační_klam","33274","","40749","20230424100015"
"59","Politické_internetové_stránky","1671079","Category","83","20210318205154"
"60","Válečný_štváč","754870","","4445","20210419175645"
"61","Politika_v_roce_2023","1695029","Category","147","20220512062033"
"62","Katolická_akce_(státní)","82276","","6247","20220808102109"
"63","Muž_se_železnou_maskou","1278512","","2201","20230218140139"
"64","Zahraniční_politika","1596306","","8453","20211118170414"
