"number","title","pageid","namespace","length","touched"
"1","Regiony_v_Itálii","567482","","5633","20230501083915"
"2","Sahel","18790","","10958","20230630074839"
"3","Regiony_v_Bosně_a_Hercegovině","1236738","Category","142","20161012133736"
"4","Spiš","248058","","14488","20230407133738"
"5","Geografie_Nigérie","99349","Category","145","20140530203937"
"6","Asijsko-pacifický_region","1762036","Category","176","20230104200747"
"7","Geografie_Libye","406020","Category","136","20200808143231"
"8","Regiony_Evropy","98338","Category","80","20230101125657"
"9","Gran_Chaco","750821","","7690","20230223165101"
"10","Maghreb","58324","","6513","20230526184538"
"11","Čuvašsko","33940","Category","122","20220625163620"
"12","Geografie_Rovníkové_Guineje","1584803","Category","175","20200410194729"
"13","Rozdělená_území","1141966","Category","126","20210225004451"
"14","Larnaka_(distrikt)","1096638","","1381","20211029191519"
"15","Regiony_v_Turecku","1124389","Category","174","20181015080130"
"16","Banát","76835","","23472","20230516221129"
"17","Regiony_na_Madagaskaru","1288989","","4466","20220521175557"
"18","Pepřonosné_pobřeží","1495854","","1726","20221102110342"
"19","Geografie_Somalilandu","360375","Category","172","20210224210728"
"20","Regiony_podle_zemí","1236727","Category","120","20230414221047"
"21","Súdán_(region)","1433084","","1579","20221116122904"
"22","Asociace_regionálních_značek","1309377","","16794","20230525064055"
"23","Geografie_Guamu","1252864","Category","147","20170115083101"
"24","Makedonie_(region)","1476790","Category","227","20210104122600"
"25","Regiony_na_Novém_Zélandu","747518","Category","216","20181015080028"
"26","Lužice","14092","","22271","20230511183916"
"27","Členění_Afriky","709189","","6958","20221204184103"
"28","Kanadský_štít","134870","","8848","20220625163227"
"29","Geografie_Pobřeží_slonoviny","129402","Category","191","20140530205737"
"30","Geografie_Lesotha","216070","Category","142","20140601120906"
"31","Mezinárodní_souostroví","1258936","Category","255","20170116092556"
"32","Geografie_Etiopie","103619","Category","142","20140530204132"
"33","Lužice","158472","Category","449","20180202131710"
"34","Balúčistán_(historické_území)","696625","","1325","20220125110708"
"35","Administrativní_dělení_Chile","644501","","7539","20220403172459"
"36","Regiony_Afriky","50981","Category","117","20160705075754"
"37","Geografie_Tuvalu","215060","Category","154","20140601120722"
"38","Västerbotten","128126","Category","115","20220625165025"
"39","Geografie_Libérie","1608603","Category","136","20200626002501"
"40","Geografie_Guineje","169806","Category","139","20140530211648"
"41","Trojmezí","1585179","Category","73","20210225032138"
"42","Geografie_Uruguaye","217949","Category","151","20140601121302"
"43","Blízký_východ","23351","","96792","20230605214610"
"44","Geografie_Gabonu","196828","Category","136","20140530212808"
"45","Geografie_Francouzské_Polynésie","1018789","Category","219","20140812152338"
"46","Střední_Afrika","50237","","5329","20221110193539"
"47","Regiony_v_Kanadě","241848","","10625","20230112174434"
"48","Geografie_Marshallových_ostrovů","244502","Category","193","20160715202322"
"49","Jižní_Kavkaz","326580","","11508","20230622101123"
"50","Administrativní_dělení_Čadu","499723","","6545","20220205143113"
"51","Guajira_(poloostrov)","1263631","","1043","20230420014146"
"52","Geografie_Angoly","148015","Category","139","20140530210551"
"53","Geografie_Kolumbie","121618","Category","154","20140530205108"
"54","Kavkaz","21460","Category","240","20230101130342"
"55","Mezopotámie","38661","Category","327","20230104200924"
"56","Melanésie","265229","","1518","20220527170017"
"57","Geografie_Ekvádoru","195489","Category","154","20140530212709"
"58","Geografie_Senegalu","153209","Category","142","20140530211135"
"59","Geografie_Komor","257546","Category","139","20140601123956"
"60","Širší_Střední_východ","326186","","2017","20230101131906"
"61","Regiony_v_Maďarsku","445687","","2328","20220317133043"
"62","Udmurtsko","33395","Category","122","20220625164935"
"63","Osetie","331096","","2613","20221025200156"
"64","Západní_Sahara","20147","","35286","20230402143250"
"65","Polynésie","240634","","68950","20230212225817"
"66","Geografie_Peru","108828","Category","142","20140530204541"
"67","Těšínsko","130217","","79150","20230523221743"
"68","Wassoulou","1351804","","3362","20220206191252"
"69","Riverland","1290769","","9105","20211227025027"
"70","Geografie_Beninu","1242060","Category","114","20170215085523"
"71","Regiony_v_Kanadě","1236740","Category","126","20170115100632"
"72","Geografie_Burundi","103917","Category","142","20140530204157"
"73","Geografie_Surinamu","190025","Category","151","20140530212417"
"74","Nacionalismus_podle_regionů_a_zemí","900089","Category","182","20230414181701"
"75","Regiony_ve_Francii","54304","","4322","20220308155513"
"76","Sverdlovská_oblast","32204","Category","112","20220625164738"
"77","Geografie_Botswany","99370","Category","145","20140530203945"
"78","Geografie_Wallisu_a_Futuny","1186067","Category","194","20200513133501"
"79","Severní_Afrika","50386","","8160","20230323161457"
"80","Tomská_oblast","60616","Category","112","20220625164840"
"81","Nikósie_(distrikt)","1096663","","1238","20211029191709"
"82","Sahara","22646","","14103","20230622090839"
"83","Kategorie_Nového_Zélandu_podle_regionů","1304166","Category","152","20230414224345"
"84","Kategorie_Belgie_podle_regionů","1096604","Category","247","20230414214834"
"85","Darváz","631949","","1038","20170330133445"
"86","Geografie_Rwandy","103630","Category","139","20140530204140"
"87","Aljaška","87431","Category","216","20220625163459"
"88","Kurdistán","174934","","2585","20220125111333"
"89","Regiony_ve_Spojených_státech_amerických","116672","","2178","20210606204012"
"90","Geografie_Kanárských_ostrovů","666969","Category","187","20140710071113"
"91","Geografie_Madeiry","667396","Category","142","20181008103242"
"92","Regiony_v_Dánsku","397020","Category","195","20181015074613"
"93","Vilájety","277742","Category","119","20161019071837"
"94","Severní_Asie","1766802","Category","117","20230104200949"
"95","Dalarna","92599","Category","112","20220625163711"
"96","Geografie_Šalomounových_ostrovů","1437879","Category","196","20180923131446"
"97","Balúčistán","183847","Category","332","20230203222809"
"98","Lidé_podle_regionů","1833113","Category","130","20230414214725"
"99","Geografie_Tuniska","134659","Category","142","20140530210051"
"100","Arábie","461511","Category","127","20230101125831"
"101","Regiony_Jižní_Ameriky","202436","Category","77","20110523134157"
"102","Geografie_Mauricia","347149","Category","148","20200415155429"
"103","Geografie_Svatého_Tomáše_a_Princova_ostrova","1586836","Category","216","20200416131930"
"104","Geografie_Zimbabwe","190965","Category","145","20140530212517"
"105","Geografie_Havaje","674062","Category","174","20140601171907"
"106","Geografie_Fidži","169825","Category","153","20170115083031"
"107","Geografie_Paraguaye","197663","Category","154","20140530212840"
"108","Sibiř","33158","Category","116","20220625164659"
"109","Makrán","1272254","","2277","20210720055356"
"110","Ťumeňská_oblast","33382","Category","133","20220625164911"
"111","Regiony_v_Chile","108440","Category","189","20181015080054"
"112","Region","248959","","4444","20210802123553"
"113","Chórezm","327324","","3102","20220702221542"
"114","Geografie_Samoy","1603860","Category","150","20200608223731"
"115","Filozofie_podle_regionů","787686","Category","120","20221103102044"
"116","Regiony_v_Belgii","277556","Category","214","20200915084114"
"117","Dálný_východ","117185","Category","118","20220625164439"
"118","Regiony_v_Portugalsku","277721","Category","136","20170115100637"
"119","Laponsko","92441","Category","265","20220820123612"
"120","Zaniklé_státy_podle_regionů","1763826","Category","170","20230420215403"
"121","Regiony_na_Slovensku","674740","Category","85","20161013110155"
"122","Geografie_Papuy_Nové_Guineje","169816","Category","190","20200314164451"
"123","Geografie_Argentiny","108407","Category","157","20140530204512"
"124","Regiony_na_Filipínách","97238","Category","140","20161012141751"
"125","Regiony_v_Namibii","1447261","Category","89","20181106051458"
"126","Regionalismus","1591742","Category","164","20200430145958"
"127","Geografie_Federativních_států_Mikronésie","1252863","Category","228","20170115083021"
"128","Makedonie_(region)","33483","","9548","20230523070559"
"129","Geografie_Kapverd","700940","Category","145","20140601173222"
"130","Cono_Sur","1460509","","2617","20230522202115"
"131","Blízký_východ","251495","Category","93","20230104200820"
"132","Regiony_v_Peru","342216","Category","178","20181015081203"
"133","Regionální_značka","815638","","10017","20230417221619"
"134","Geografie_Džibutska","237412","Category","151","20140601122643"
"135","Chabarovský_kraj","33323","Category","140","20220625164036"
"136","Africký_roh","50270","","3034","20200615065906"
"137","Geografie_Somálska","183870","Category","148","20140530212224"
"138","Kultura_podle_regionů","1755551","Category","244","20230420214001"
"139","Turkestán","142341","","1680","20220623085249"
"140","Geografie_Malawi","104608","Category","139","20140530204257"
"141","Geografie_Eritreje","237409","Category","142","20140601122639"
"142","Ile-Ife","1633198","","21799","20230217113910"
"143","Regiony_Austrálie_a_Oceánie","169817","Category","159","20160310193018"
"144","Vilájety_v_Ománu","595752","Category","107","20161019075611"
"145","Zabajkalský_kraj","298806","Category","140","20220625165105"
"146","Africká_Velká_jezera","58341","","4805","20220620115340"
"147","Lubušsko","15798","","3135","20220708235541"
"148","Sibiřský_regionalismus","1168372","","11607","20230415215638"
"149","Geografie_Americké_Samoy","1603865","Category","180","20200608225728"
"150","Istrie_(země)","845771","Category","410","20230305105300"
"151","Ulster","13599","","3302","20230113180706"
"152","Geografie_Réunionu","672393","Category","156","20140601171703"
"153","Geografie_Čadu","99346","Category","133","20140530203932"
"154","Bengálsko","51759","","6002","20230104201218"
"155","Geografie_Chile","108437","Category","145","20140530204520"
"156","Statistické_regiony_ve_Slovinsku","1103276","Category","140","20210225011722"
"157","Regiony_v_Maďarsku","445685","Category","122","20210225004009"
"158","Jižní_Afrika","13648","","3889","20230315092318"
"159","Vilájety_v_Alžírsku","916616","Category","124","20200613213021"
"160","Geografie_Bolívie","108830","Category","154","20140530204543"
"161","Východní_Afrika","50233","","4677","20230605105253"
"162","Geografie_Mayotte","1186106","Category","153","20160324154927"
"163","Kašmír","47489","","2737","20220127153734"
"164","Marijsko","292321","Category","122","20220625164144"
"165","Mariany","337135","","2791","20221108161421"
"166","Regiony_v_Itálii","48164","Category","196","20181015080112"
"167","Vilájety_v_Tádžikistánu","93933","Category","209","20181019090420"
"168","Vilájet","38605","","5517","20230316124335"
