"number","title","pageid","namespace","length","touched"
"1","Kirkpatrickův_model","1564477","","2328","20220830164907"
"2","Entrismus","1695498","","34947","20220123082700"
"3","Strom_(mytologický_symbol)","1205084","","12717","20220521185011"
"4","Vizitkovník","1225953","","587","20170730045932"
"5","Meziosobní_vztahy","63983","Category","104","20140606142756"
"6","Infosféra","1794682","","1324","20221212085530"
"7","Socioekonomická_geografie","453624","","12168","20220914083428"
"8","Světová_organizace_cestovního_ruchu","370238","","5931","20211004152114"
"9","Dispečink","284473","","3568","20201106081646"
"10","GAMSAT","581665","","1734","20190620005636"
"11","Vexillon","1622694","","2208","20230429161841"
"12","Odpuštění","296709","","9745","20220801211000"
"13","Komfort","456087","","671","20230429175536"
"14","Holden_Roberto","1523351","","2578","20221128134024"
"15","Kontraproduktivní_jednání","487774","","1377","20210920151307"
"16","Kazachstánská_společnost","662188","Category","140","20230508093102"
"17","Poukázka","150246","","3832","20230322132815"
"18","Ireligiozita","1092845","","15580","20221103133758"
"19","Seznam_českých_katolických_diecézí","1845934","","4466","20230508184743"
"20","Sociální_systém","937078","","2055","20230115230946"
"21","Společenské_vědy","1365109","Category","85","20210225011031"
"22","Kalergiho_plán","1632671","","5673","20230219101528"
"23","Gastronomie","4685","Category","141","20210517164634"
"24","Komnata_ozvěn","1244865","","5404","20221222154756"
"25","Starověké_Řecko","207535","Category","156","20180212143614"
"26","Katarská_společnost","1171023","Category","89","20210224222318"
"27","Paradise_Papers","1337584","","3542","20230508072743"
"28","Mezera_vědění_a_jednání","1643887","","7657","20220404194136"
"29","WikiLeaks","544120","","28423","20230323203555"
"30","Náboženský_terorismus","974330","Category","75","20160221170418"
"31","Omalovánka","860654","","2226","20210808140844"
"32","Vzdělávací_organizace","394526","Category","93","20210225043813"
"33","Organizace_dětí_a_mládeže","198075","Category","145","20171007155134"
"34","Obecní_noviny_(časopis)","1455197","","7197","20221231172927"
"35","Radikalismus","68600","","11742","20230510201140"
"36","M-learning","346954","","19250","20220205060322"
"37","Vztahy","124393","Category","90","20170118142532"
"38","Prostor","725872","Category","177","20210116155323"
"39","Ocenění_podle_roku_založení","1552414","Category","130","20230420193103"
"40","Organizovanost","1209590","","2531","20221127191358"
"41","Rumunská_společnost","436514","Category","137","20230508093711"
"42","Public_relations","91701","Category","164","20220812091635"
"43","Kámen,_nůžky,_papír","438156","","9282","20230711123715"
"44","Ženská_studia","1637095","","3802","20230310060600"
"45","Alžírská_společnost","316636","Category","113","20210421184141"
"46","Mnemotechnická_pomůcka","20994","","29143","20230517161336"
"47","Osvětová_beseda","258303","","2554","20201212104823"
"48","Tituly","8313","Category","137","20190420070912"
"49","Svoboda_projevu","108348","","35240","20230508081015"
"50","Profesní_sdružení","439598","","5139","20230604150148"
"51","Společnost_podle_období","1791580","Category","83","20220930070830"
"52","Operace_pod_falešnou_vlajkou","338283","","7566","20221118175558"
"53","Globální_rozvojové_vzdělávání","956726","","3708","20221226195704"
"54","Převorství_sionské","92318","","29106","20230626072351"
"55","Evropská_společnost","760668","Category","113","20181002094953"
"56","Noc_s_Andersenem","691849","","8188","20230621133056"
"57","Informální_učení","1494659","","3584","20221228131225"
"58","Sicilská_mafie","1235612","Category","35","20161007095030"
"59","Vyšší_odborná_škola,_Střední_odborná_škola_a_Střední_odborné_učiliště,_Kopřivnice","1272550","","4991","20230221141043"
"60","Organizace_spojených_národů","497622","Portál","1777","20230705203147"
"61","Kubánská_společnost","1467732","Category","84","20190202133821"
"62","Kriminologie","548940","Category","115","20140602195428"
"63","Hospodářský_zločin","1556468","","1615","20220703171133"
"64","Společenský_tanec","734618","Category","116","20220512065351"
"65","Multikulturalismus","62649","","23590","20230526101435"
"66","Sovětská_společnost","664191","Category","79","20130401180807"
"67","Princip_subsidiarity","19571","","5024","20230626211244"
"68","Studijní_obory","819769","Category","53","20140613074409"
"69","Pojištění_proti_úpadku","330305","","2449","20190613200409"
"70","Společnost_Bosny_a_Hercegoviny","455949","Category","237","20230508092512"
"71","Veřejná_sbírka","999204","","2438","20210612183956"
"72","Společnost_Pobřeží_slonoviny","1584575","Category","123","20200409234654"
"73","III._Světový_festival_mládeže_a_studentstva","1012465","","1393","20210514173307"
"74","ZEM_&_VEK","1752158","","7452","20221113174709"
"75","Primární_vzdělávání","25939","","4654","20220408195826"
"76","Mezilidský_vztah","576258","","6851","20230612115214"
"77","Neformální_vzdělávání","338755","","7817","20220523131205"
"78","Parodické_náboženství","1563350","","3225","20220923234425"
"79","Summum_ius,_summa_iniuria","1543687","","2434","20210704033353"
"80","Právní_věda","201754","Category","148","20230414223306"
"81","Monacká_společnost","1510715","Category","125","20230508093314"
"82","Úspěch","367962","","1187","20230126042423"
"83","Mnohonárodnostní_stát","1505876","","984","20230123095638"
"84","Stolní_hokej","1590388","","5598","20230604182354"
"85","Motorika_člověka","93537","","3333","20211101104420"
"86","Zahraniční_politika","1596307","Category","123","20200514165214"
"87","Bulharská_společnost","662183","Category","139","20230508092437"
"88","Digitální_propast","1001795","","9229","20230607200905"
"89","Právní_politika","1336663","Category","20","20171102134120"
"90","Last_minute","411478","","3641","20171031092052"
"91","Veto","16848","","3915","20230706213152"
"92","Archeologie","10400","","25709","20230415193530"
"93","Osobní_doklady","175544","Category","109","20150725114633"
"94","Homosexualita_a_náboženství","345709","","24543","20230524164650"
"95","Delegát","153568","","1405","20230705214436"
"96","Země_Keltů","1748180","","5731","20230408181947"
"97","Kulturní_válka","1655289","","3729","20220714222757"
"98","Dysgrafie","216841","","9987","20230608085235"
"99","Výcvik_zvířat","1789382","","99","20220920130959"
"100","Jezuitské_vzdělávání","1578254","Category","100","20210224221220"
"101","Mexická_drogová_válka","999822","Category","136","20210224225823"
"102","Syndrom_vařené_žáby","1440985","","3704","20230505195113"
"103","Dotočná","1022580","","1986","20141203211747"
"104","Zákon_Jante","225300","","1917","20210131212228"
"105","Politika_ochrany_klimatu","1692149","","8357","20230527190200"
"106","Trafika_(politika)","440528","","3744","20230625183055"
"107","Červená_středa","1721907","","1398","20220519142845"
"108","Generace_alfa","1641744","","1511","20230322125635"
"109","Audience","1577167","","2235","20201111235628"
"110","Medaile","1619018","Category","143","20220511104141"
"111","Svaz_učitelů_tance_ČR","717288","","34223","20220507135827"
"112","Kanadská_společnost","450209","Category","88","20170215083701"
"113","Tabu","443747","Category","185","20221103133003"
"114","Cestovní_ruch","153555","Category","110","20140404074437"
"115","Obojí_právo","1678574","","1779","20230412171555"
"116","Ženské_božstvo","1616266","","8705","20220829042052"
"117","Taneční","1132933","","6124","20221126190815"
"118","Palauská_společnost","1699904","Category","93","20210912144328"
"119","Mikromanagement","1622269","","5267","20220331093126"
"120","Výpočetní_technika_a_společnost","1597767","Category","151","20200520020004"
"121","Belgická_společnost","306008","Category","135","20230508092533"
"122","Konflikt","57336","","11782","20220505043649"
"123","Organizovaná_zločinecká_skupina","1174419","","3670","20220521204252"
"124","Organizovaný_zločin","128965","Category","148","20160212014054"
"125","Politické_skandály","98576","Category","84","20210225012452"
"126","Náboženský_fundamentalismus","1600736","Category","84","20210224231458"
"127","Pošta","82940","","20888","20230220234648"
"128","Tržní_ekonomika","9130","","29340","20230119115410"
"129","Spotřební_zboží","271741","","3926","20210808165654"
"130","Konspirační_teorie_zahrnující_Židy","945913","Category","70","20131018085411"
"131","Abstraktní_vztahy","124404","Category","45","20150405111151"
"132","Svatojánské_slavnosti_Navalis","1050274","","12362","20230703201009"
"133","Nootka","1356636","","7913","20221127150031"
"134","Filmová_věda","1714953","","3152","20220520062042"
"135","Mládež","626003","","1227","20221126115304"
"136","Arménská_společnost","1444258","Category","72","20181023181033"
"137","Monoteistická_náboženství","1802772","Category","57","20221109094822"
"138","Mezináboženský_dialog","1646660","Category","92","20210224225840"
"139","Národní_dílny","1756783","","2788","20220505170445"
"140","Favorit","322702","","3353","20230714202750"
"141","Dopravní_výchova","515919","Category","185","20191115002618"
"142","Pošta","94769","Category","145","20221113181228"
"143","Stigmergie","1387775","","1357","20210809191101"
"144","Bangladéšská_společnost","1570179","Category","93","20200228213316"
"145","Politika_podle_měst","913160","Category","99","20220721114235"
"146","Informační_technologie","396625","Category","301","20150507124335"
"147","Malijská_společnost","760151","Category","86","20170215083221"
"148","Občanská_práva","13260","","8044","20220627120201"
"149","Vzdělávání_podle_zemí","297398","Category","124","20230414153852"
"150","Společenské_akce","810714","Category","77","20210225022222"
"151","Jihokorejská_společnost","662157","Category","83","20210224221303"
"152","Action_learning","219873","","1589","20210804100756"
"153","Informační_výchova","344830","","1619","20221212085529"
"154","Templetonova_cena","301399","Category","139","20140404113430"
"155","Společnost_Sierry_Leone","767624","Category","116","20160614191939"
"156","Rozhodné_testy","704262","","13359","20220128092611"
"157","Tresty","82960","Category","166","20140530203159"
"158","Medicínsko-průmyslový_komplex","343347","","4126","20220118214149"
"159","Zapotékové","377568","","7225","20210803140135"
"160","Egyptská_společnost","621438","Category","87","20140606210404"
"161","GamerGate","1393789","","4546","20221223075745"
"162","Pamětní_medaile","131375","","7299","20230305182812"
"163","Zambijská_společnost","1562765","Category","88","20200205011604"
"164","Datová_žurnalistika","1154855","","6129","20220520083030"
"165","Společnost_Vril","1696121","","30640","20230713190751"
"166","Teorie_nevzdělanosti","1556112","","6122","20210529140308"
"167","Skeptics_in_the_Pub","1716212","","15685","20220808155055"
"168","Právní_vztah","71342","","4233","20230501143039"
"169","Veřejný_zájem","281914","","7741","20230120094453"
"170","Čína","4678","Category","408","20220819202209"
"171","Lichtenštejnská_ústava","1386127","","2138","20220811091917"
"172","Jordánská_společnost","1171018","Category","92","20160715204446"
"173","Revizionismus","169422","","4620","20220416150958"
"174","Virtuální_univerzita_třetího_věku","1382294","","4413","20210810183845"
"175","Kiribatská_společnost","1666312","Category","90","20210227105428"
"176","Evropské_auto_roku","613841","","10234","20220428231840"
"177","Regentství","1795050","","21416","20230421202723"
"178","Konspirační_teorie","39865","","67097","20230606213253"
"179","Hitlerovy_deníky","1212063","","4782","20230607122114"
"180","Sedm_svobodných_umění","194559","Category","159","20210304172438"
"181","Návštěvník","153562","","530","20150524091610"
"182","Hodnost","26534","","5140","20220428080036"
"183","Společnost_Svaté_Lucie","1699837","Category","77","20210801204925"
"184","Seznam_konspiračních_teorií","846193","","12220","20230504230511"
"185","Mezinárodní_ocenění","573721","Category","71","20130404025204"
"186","Amikace","1670367","","1467","20221116231550"
"187","Apostáze","1049982","","5208","20230604200256"
"188","Sociální_služby","771018","Category","178","20210225010745"
"189","UFO","68563","","28903","20230707125846"
"190","Petra_Sovová","1682337","","5064","20230624212425"
"191","Mobilní_telefonie","151024","Category","105","20220509100843"
"192","Společnost_Guineje-Bissau","1637160","Category","97","20201115231219"
"193","Fidžijská_společnost","767941","Category","88","20201115234837"
"194","Informační_společnost","688841","Category","134","20210224214109"
"195","Alfabetizace","566262","","3654","20221212084510"
"196","Agresivní_motivace_a_násilí","973987","","14197","20230325083612"
"197","Humanitní_vědy","1365112","Category","85","20210224213307"
"198","Hotel","71164","","10232","20230702151622"
"199","Kostarická_společnost","1564015","Category","91","20200208235039"
"200","Světové_sociální_fórum","1065172","","2196","20210803094933"
"201","Vatikánská_společnost","1236517","Category","176","20230508094037"
"202","Vzdělávání_3.0","1181122","","3142","20200908164626"
"203","Německo-francouzská_organizace_mládeže","703405","","2950","20220317164257"
"204","European_Teacher_Education_Network","1642645","","3223","20230601150854"
"205","Roš_chodeš_(časopis)","1455068","","3613","20211113104705"
"206","Salvadorská_společnost","1473946","Category","72","20190225060555"
"207","Manuál_na_pořádání_editatonu","1655790","Project","17332","20230218135546"
"208","Politická_geografie","141830","Category","186","20211118170149"
"209","Znakovaná_čeština","1639309","","4202","20230103140937"
"210","Strategické_vyjednávání","1710969","","11379","20221113182444"
"211","Společnost_Nauru","1699862","Category","63","20210801224351"
"212","Příbuzenství","271244","Category","249","20220511105222"
"213","In_memoriam","177820","","778","20221030180810"
"214","Západní_svět","159935","","11641","20220424154752"
"215","Středověká_společnost","1789640","Category","65","20220930070842"
"216","Slow_Travel","1720799","","7161","20211225112639"
"217","Veletrh_YOU","1264340","","965","20210514171840"
"218","Bloomova_taxonomie","275430","","9267","20230522121112"
"219","Společenská_úsluha","992610","","2285","20190322084648"
"220","Trojí_zodpovědnost","262251","","1265","20210808182327"
"221","Etruskové","92309","","70938","20230616062408"
"222","Dopravní_výchova","607661","","3711","20230401165850"
"223","Cestovní_kanceláře","143934","Category","78","20140606152519"
"224","Lidský_genom","469011","","19655","20220529065516"
"225","Osoby_spjaté_s_politikou","1812157","Category","71","20221129114258"
"226","Jedličkův_ústav","769702","","4810","20220822183921"
"227","Bezdomovectví","922620","Category","197","20210224194422"
"228","Populismus","1838835","Category","44","20230228082102"
"229","Soudnictví_ve_věcech_mládeže","1049183","","8866","20220201071555"
"230","Zdravotník_zotavovacích_akcí","1679291","","2267","20220130150105"
"231","Heutagogika","1132969","","5883","20210806102952"
"232","Čínská_společnost","297034","Category","88","20170215084506"
"233","ODESSA","454705","","2222","20220601152007"
"234","Kult_osobnosti","1863489","Category","65","20230625175059"
"235","Příbuzenské_vztahy","654924","","8071","20220308085058"
"236","Maltská_společnost","1375379","Category","176","20230508093502"
"237","Antropologie","68359","","27745","20230708104649"
"238","Design_pro_všechny","506657","","33371","20230607175522"
"239","Odznak","1057590","","2898","20221127191225"
"240","Papežská_rada","1743992","","4376","20230705172046"
"241","Zeitgeist:_Addendum","383567","","3127","20221103125619"
"242","Zdravotnické_prostředky","79625","Category","60","20130404151906"
"243","Religiozita","524092","","7331","20230501192016"
"244","Jazyková_politika","959320","Category","230","20220930074619"
"245","Kyperská_společnost","621442","Category","174","20230508092630"
"246","Domobrana_(dobrovolnická_organizace)","856787","","6684","20230314145048"
"247","Já,_tužka","712550","","2334","20210619050417"
"248","Genderová_studia","1814478","Category","124","20221201180919"
"249","Moldavská_společnost","1489726","Category","138","20230508093439"
"250","Legitimismus","601932","","2781","20230712211907"
"251","Nový_světový_pořádek","422364","","2260","20190123133137"
"252","Ekvádorská_společnost","1400114","Category","90","20210224205620"
"253","Jihočeská_centrála_cestovního_ruchu","1590548","","32048","20230203133219"
"254","Jan_Kočka","1324829","","3898","20230622211031"
"255","Informační_ekonomie","750625","Category","172","20210224214108"
"256","Sdělovací_prostředky","6674","Category","172","20220930074641"
"257","Bahamská_společnost","1699814","Category","88","20210801174354"
"258","Karen_Silkwood","1676206","","12253","20230316182933"
"259","Společenské_instituce","252020","Category","161","20181225122359"
"260","Pasporta_Servo","256423","","1144","20200617084245"
"261","České_videohry_o_organizovaném_zločinu","914023","Category","119","20130605133829"
"262","Life_hacking","1069810","","6899","20230426010430"
"263","Íránská_společnost","596067","Category","88","20140606204412"
"264","Deismus","159777","","8592","20221127191942"
"265","Pakt_svobodných_měst","1808828","","12059","20230314234101"
"266","Posibilianismus","971537","","3008","20221103133757"
"267","Akademie","1564156","Category","50","20200209161529"
"268","Institut_pro_sociální_a_ekonomické_analýzy","336223","","4361","20200619104639"
"269","Telepatie","75101","","21771","20230120082607"
"270","Klientelismus","13800","","6839","20230625182811"
"271","Vzdělávání_v_Evropské_unii","759767","Category","91","20140607101606"
"272","Knihověda","1055378","","3185","20220206141318"
"273","Edukační_realita","1652524","","6640","20220507214813"
"274","Pákistánská_společnost","1504305","Category","92","20190609184942"
"275","Numerati","678271","","10827","20210604220350"
"276","Peníze","67194","Category","178","20230414223116"
"277","Chilská_společnost","1396101","Category","87","20210224215623"
"278","Kolokvium","918469","","1310","20221212085812"
"279","Nadační_fond_proti_korupci","665494","","38848","20230604103156"
"280","Politická_kampaň","369574","","2568","20230625205137"
"281","Networking","1106553","","6711","20200710062749"
