"number","title","pageid","namespace","length","touched"
"1","Eulerova–Lagrangeova_rovnice","159055","","3925","20210809184315"
"2","Dvojice_sil","510","","1808","20230116091800"
"3","Oční_pohyb","817347","","6090","20210808193424"
"4","Cvičení_se_švihadlem","1260455","","10702","20220520082657"
"5","Sport_podle_let","623744","Category","123","20220721114635"
"6","Lagrangeova_rovnice_druhého_druhu","1691167","","1011","20210704085704"
"7","Klapý","107354","","6848","20230410174042"
"8","Potrubní_doprava","105553","Category","150","20140606145211"
"9","Mezigalaktické_cestování","1299106","","11109","20221217201345"
"10","Uzel_(jednotka)","150085","","3487","20230210233802"
"11","Zrcadlová_terapie","1493225","","8670","20230705011007"
"12","Doprava_po_sněhu_a_ledu","105564","Category","64","20160329102755"
"13","Přenosové_ztráty","34629","","4595","20230111232053"
"14","Nákladní_doprava","150519","Category","79","20210224231613"
"15","Elektrická_přenosová_soustava","106491","","11845","20230414053042"
"16","Rychlost_zvuku","511400","","5422","20230412081629"
"17","Visa_Waiver_Program","365796","","8724","20230120143813"
"18","WikiProjekt_Sport","198383","Project","5929","20230704195637"
"19","Plachtění_(loď)","1280404","","1547","20210606152000"
"20","Sportovní_trénink","1473779","","5647","20220602133705"
"21","Dopravní_indukce","425693","","6800","20230419042158"
"22","Navigace","105997","","31764","20230629113132"
"23","Inerciální_vztažná_soustava","489","","5719","20210414090908"
"24","Fanoušek","167709","","2001","20210819061720"
"25","Froudeho_číslo","763511","","2511","20220521195119"
"26","Veteránský_sport","1199803","Category","135","20160513125744"
"27","Radiála","219163","","1844","20220317100142"
"28","Gravitační_zrychlení","92","","3334","20210924215143"
"29","Cestování","243615","","1868","20221023144633"
"30","3._kosmická_rychlost","443983","","1920","20210916232518"
"31","Cestovní_doklady","523636","Category","111","20140602194300"
"32","Sdílený_prostor","570482","","2470","20210803075449"
"33","Přenosová_rychlost","97742","","6749","20230707195106"
"34","Valivý_odpor","640","","8397","20210808185753"
"35","Rychlost","325602","Category","220","20140601131821"
"36","Liftago","1003027","","3277","20220617170700"
"37","Siloměr","139392","","3696","20230505210900"
"38","Úniková_rychlost","108","","4119","20210916232519"
"39","Pohyb","431","","2428","20211120163526"
"40","Nekton","1168634","","689","20220326090306"
"41","CouchSurfing","357582","","6400","20220109192503"
"42","WikiProjekt_Silnice","1158901","Project","8552","20230704115252"
"43","Osoby_spojené_se_sportem","150878","Category","81","20221122123044"
"44","Letecký_rychloměr","98738","","6792","20220922181447"
"45","Etmal","291469","","793","20130314091045"
"46","Dělba_přepravní_práce","665254","","22016","20221223230405"
"47","Kategorie_podle_sportů","1286205","Category","100","20220721113237"
"48","Rychlost_(rozcestník)","326183","","1826","20140228092116"
"49","Mládežnický_sport","1044007","Category","66","20170215082646"
"50","Sesuvy","923550","Category","147","20190622062104"
"51","Opilý_les","232280","","1644","20230108165909"
"52","Stavební_mechanika","819781","","680","20210803091938"
"53","Pošta","94769","Category","145","20221113181228"
"54","Pentlogram","1473374","","2446","20211214100806"
"55","Eötvösův_experiment","404644","","1825","20210806091934"
"56","Pořadová_příprava","1810233","","1924","20221212090643"
"57","Spirální_stabilizace_páteře","1128041","","3423","20210413103655"
"58","Těžiště","511","","7527","20230203212714"
"59","Rychlost_světla","502","","37264","20230702101459"
"60","Nutace","626456","","2481","20230417062641"
"61","Mechanické_namáhání","1263185","","7831","20230116152231"
"62","Vztažná_soustava","424","","5130","20210604195814"
"63","Kmitání","68878","","17953","20230312170541"
"64","Mořeplavec","639633","","1024","20221212104836"
"65","Kavalírská_cesta","1031555","","3364","20210915133632"
"66","Pošta","82940","","20888","20230220234648"
"67","Dopravní_infrastruktura","287517","","2073","20210604080859"
"68","Sportovní_vybavení","33952","Category","122","20140601131021"
"69","Moment_hybnosti","89183","","11424","20220403202116"
"70","Udržitelná_doprava","609704","","3220","20220521211806"
"71","Úhlová_dráha","434","","858","20210809191412"
"72","Expedice","38525","Category","118","20210224204711"
"73","Flexibilita","655966","","3982","20210517191255"
"74","Dostředivé_zrychlení","451","","3412","20210506175432"
"75","Psychosomatika","152890","","17460","20220827160331"
"76","ParcelShop","1252160","","1062","20190414231529"
"77","Nákladní_doprava","273512","","4350","20230601150551"
"78","Fyzikální_terapie","1106592","","5966","20230605211131"
"79","Exit","659476","","872","20210531093120"
"80","Storegga","479566","","1274","20220521210745"
"81","Porovnání_objemů","5201","Category","147","20040811091707"
"82","Nerovnoměrný_pohyb","433","","890","20220922100904"
"83","Rychlost_vlaku","325601","","8918","20230113144023"
"84","Potenciální_energie","381771","Category","113","20180624114034"
"85","Nerovnoměrný_pohyb_po_kružnici","476","","3752","20140217184801"
"86","Tíhové_zrychlení","94","","7163","20230509190744"
"87","Sportovní_rekordy","839303","Category","49","20210908204512"
"88","Antropomotorika","1106743","","5294","20200605130821"
"89","Kinetóza","354845","","1418","20210808141055"
"90","Metr_za_sekundu","250","","799","20210809185734"
"91","Precese","34638","","1973","20191210121945"
"92","Kilometr_za_hodinu","195524","","691","20221104093225"
"93","Sportovní_organizace","150561","Category","105","20170313152355"
"94","Přiměřený_zisk","688964","","1169","20180906101516"
"95","Sportovní_média","434337","Category","96","20210225023725"
"96","Geografie_dopravy","1670811","","849","20210806113328"
"97","Turistická_třída","1231290","","3730","20230524081711"
