"number","title","pageid","namespace","length","touched"
"1","Uživatelská_příručka","1091162","","1381","20210606211638"
"2","Truhlář","643493","","8654","20221019110727"
"3","Průmyslové_stavby","117097","Category","79","20190911081949"
"4","Srdcovka_(část_výhybky)","122005","","3735","20210825065900"
"5","Technické_veličiny","467705","Category","98","20181223152950"
"6","Rozmítání","612397","","1016","20230630153246"
"7","Výměnový_závěr","185764","","4587","20220617213338"
"8","Věda_a_technika_podle_měst","913158","Category","112","20230116090502"
"9","Technologie_podle_oboru","1525269","Category","107","20230420190707"
"10","Science_centra","1069841","Category","185","20210304152934"
"11","Paramentář","599660","","622","20221019085352"
"12","Klíčová_dírka","92163","","612","20210808111831"
"13","Elektronické_hlasování","1202851","","8003","20230606200317"
"14","Vyhrazená_technická_zařízení","1663144","","3479","20230121064510"
"15","Zušlechťování_textilií","1031953","","7583","20221230071218"
"16","Konstrukce_železničních_drah","116491","Category","227","20071204143004"
"17","Zrušené_projekty_a_události","798392","Category","149","20211215135604"
"18","Lineární_pohon","164895","","12308","20230514130443"
"19","Dielektrická_pevnost","143676","","3975","20220615160737"
"20","Imperfekce","1720558","","4191","20220519132951"
"21","Technika","40763","","6414","20230510125743"
"22","Renovace","327906","","470","20210606152833"
"23","Pomocný_pohon_(PTO)","574667","","2247","20211219233501"
"24","Zpracování_dřeva","149833","Category","237","20200210004440"
"25","Operátor_(profese)","285294","","1098","20161228154847"
"26","Lanová_dráha","48436","","5903","20230223175856"
"27","Industrializace","34806","","5239","20230530100145"
"28","Výhybka_RIGI-VTW_2000","674242","","10897","20220103022157"
"29","Paterník","1263886","","2654","20220818191533"
"30","Puškař","948725","","5787","20211027110723"
"31","Betzovo_pravidlo","185450","","3240","20210809183618"
"32","Tkalcovství","196420","Category","103","20200131135409"
"33","Hnutí_uměleckých_řemesel","1793856","Category","200","20221007124808"
"34","Dopad_pandemie_covidu-19_na_vědu_a_technologie","1585392","","23287","20230605191338"
"35","Zednictví","576713","","4570","20230409122426"
"36","High_Dynamic_Range_Video","1646445","","11537","20220114125140"
"37","Stavebnické_vybavení","150547","","5648","20140729175141"
"38","Průmyslová_dráha","9544","","1664","20210723225739"
"39","Průmysl","6547","Category","100","20140703080122"
"40","Architektonické_kreslení","1151678","","973","20220228045507"
"41","Kovářství","96618","","64243","20221017145522"
"42","Technická_muzea","265811","Category","84","20140606170057"
"43","Blatník","1221676","","1063","20210805082411"
"44","Zednictví","1323379","Category","93","20210225023245"
"45","Solidifikace","303158","","867","20221212091105"
"46","Laboratoř","277161","","4104","20210126184748"
"47","Zpracování_kůže","1144036","Category","70","20170331114531"
"48","Pružná_výhybka","688906","","113","20110601162545"
"49","Keramika","10646","","13275","20230614083813"
"50","Kříže_ve_vědě_a_technice","1826714","Category","70","20230111091610"
"51","Dokumentace_k_softwaru","679171","","6403","20211229132329"
"52","Výhybka","30305","","17613","20230216200856"
"53","Písmolijectví","587782","","5573","20230119164529"
"54","Košíkářství","898457","","7362","20230214134821"
"55","Textilní_umění","1257381","Category","122","20170109150829"
"56","Cihlářství","1359574","","7863","20230711071540"
"57","Hudební_technika","131679","Category","81","20191031105556"
"58","Parametry_spalovacího_motoru","545782","Category","66","20180411095703"
"59","Elektropneumatické_kladivo","347994","","1690","20220419042656"
"60","Technologická_singularita","90779","","11167","20230412085059"
"61","Hodinář","483851","","8487","20220921214717"
"62","Sklářství","131549","","13149","20220701170254"
"63","Experimentální_trakce","118905","Category","117","20191208094124"
"64","Vojenská_muzea","356956","Category","123","20200729124455"
"65","Technologický_pokrok","583747","","1449","20210910072233"
"66","Místní_vytápění","233575","","3999","20220419175534"
"67","Zákon_o_posuzování_vlivů_na_životní_prostředí","296114","","2227","20210717105846"
"68","Pokosová_pila","112520","","1554","20220915195455"
"69","Polodrážka","393181","","1479","20220521204917"
"70","Dolet_letadla","344871","","548","20210806063922"
"71","Sedlářství","789506","","8883","20211103082937"
"72","Znečištění","504351","Category","215","20140612115247"
