"number","title","pageid","namespace","length","touched"
"1","Dopravní_stavby","19972","Category","170","20200222172148"
"2","Dopravní_infrastruktura","287517","","2073","20210604080859"
"3","Tandemový_přívěs","350307","","1408","20200926202138"
"4","Cesta_Česka","1863629","","3116","20230630094038"
"5","Tramvajová_doprava","134714","Portál","11873","20230707150555"
"6","Performance_Based_Navigation","421013","","365","20210809190303"
"7","Lyžování","14080","Category","254","20160324212211"
"8","Dopravní_portály","428770","Category","62","20230622185713"
"9","Inerciální_navigace","394709","","489","20210808104647"
"10","Transport_for_London","58410","","6258","20200726232155"
"11","Astrodynamika","373100","Category","92","20210916232925"
"12","VTOL","403780","","2857","20220808035857"
"13","Sféroid","405396","","990","20230625115520"
"14","Udržitelná_doprava","609704","","3220","20220521211806"
"15","Přívozy","112321","Category","143","20181124110817"
"16","Sněhová_fréza","603389","","2350","20220118114308"
"17","Veřejná_doprava","172566","Category","136","20140601182434"
"18","Letecká_fotografie_z_modelů","94917","","3826","20220324101958"
"19","Odklízení_sněhu","654483","Category","163","20200614121942"
"20","Doprava","6430","","6252","20221115063915"
"21","Doprava_podle_zemí","81831","Category","209","20230414132645"
"22","Obkročné_vozidlo","1845298","","7386","20230608205041"
"23","Peážní_trať","90666","","4267","20220711203310"
"24","Kusá_kolej","500143","","2351","20220119145042"
"25","Recyklace_za_studena","1354458","","1817","20220425133853"
"26","Letecké_simulátory","700480","Category","141","20200229204114"
"27","London_Rail","60476","","1932","20190105204846"
"28","Dopravní_zvířata","47252","Category","423","20160324202149"
"29","Aquaplaning","429998","","2590","20210602083450"
"30","Světové_strany","415594","Category","104","20210225012435"
"31","Označník_zastávky","164927","","33893","20230314153129"
"32","Nákladní_automobil","150253","","3830","20211126065820"
"33","Nákladní_dopravci","280075","Category","55","20100210101307"
"34","Dolmuş","47697","","1459","20220521111251"
"35","Poštovní_terminologie","1324996","Category","20","20170918113927"
"36","VORTAC","887722","","718","20220521212504"
"37","AETR","327785","","13844","20220402012208"
"38","Odbavovací_zařízení","361548","Category","130","20170127235022"
"39","Vojenské_letectví","177162","Category","117","20160616211108"
"40","Plynovody","274180","Category","140","20140601125051"
"41","Celostátní_informační_systém_o_jízdních_řádech","219810","","36436","20220201160036"
"42","Filmy_o_automobilech","1545052","Category","117","20210908215718"
"43","IATA_kód_letiště","91270","","2990","20230214083721"
"44","Jihovýchod","458159","","1246","20201003160235"
"45","Dopravní_policie","541147","","4357","20220511163136"
"46","Pravidla_létání","22681","","21277","20230615094336"
"47","Suborbitální_kosmický_let","470072","","1886","20211102151719"
"48","Doprava_po_sněhu_a_ledu","105564","Category","64","20160329102755"
"49","Kontrolní_služba_radioelektrická","395128","","1864","20210915092201"
"50","Zuřící_padesátky","1385656","","820","20180525181854"
"51","Akumulátorový_vozík","630803","","4561","20150112031958"
"52","Dějiny_navigace","1194615","Category","161","20210908105958"
"53","Sedmimílové_boty","527457","","858","20190228110732"
"54","Poskytovatelé_poštovních_a_zásilkových_služeb","1324994","Category","74","20190907140631"
"55","Dekompresní_nemoc","178094","","5375","20210719053429"
"56","Seznam_výrobců_užitkových_automobilů","377926","","79641","20221221135144"
"57","Kilometr_za_hodinu","195524","","691","20221104093225"
"58","Návěstidlo","34619","","7377","20230625110319"
"59","Námořní_hodnosti","33405","Category","107","20210224233819"
"60","Kapacitní_gyroskop","593851","","1288","20220513210308"
"61","Plavební_společnosti","119917","Category","125","20181127214745"
"62","Parní_trakce_(kolejová_doprava)","125656","Category","138","20210907111900"
"63","Fanál","1157827","","983","20200606100846"
"64","Exit","659476","","872","20210531093120"
"65","Sdílené_taxi","675616","","3074","20221010203750"
"66","Kontejnerové_terminály","393381","Category","215","20140602190321"
"67","Silniční_správní_úřad","113712","","9477","20230109164247"
"68","EPIRB","1686938","","5741","20221212085137"
"69","Trakař","159559","","2352","20220303190213"
"70","Noční_doprava","1455899","Category","47","20181212202229"
"71","Vnitrostátní_letiště","1293382","","2676","20220102121610"
"72","Taška_na_notebook","885396","","1891","20130722132952"
"73","Poštmistři","1734480","Category","47","20221122124944"
"74","Pilot","200334","","3732","20230126194540"
"75","Pravidla_silničního_provozu","46798","","41354","20230313162817"
"76","Pirátství","26456","Category","247","20220511141737"
"77","LORAN","886349","","1126","20230406093322"
"78","Vězeňský_vůz","1019798","","5943","20210531163443"
"79","Písně_o_železnici","1152217","Category","78","20211105184345"
"80","Drážní_doprava","891097","","1421","20141203141150"
"81","Radar","33502","","16821","20230405174508"
"82","Motúčko","870954","","2845","20210502221253"
"83","Autodoprava","977835","","2432","20230430210123"
"84","Elektrokoloběžka","1186226","","7894","20220715190632"
"85","Závozník","1094081","","1375","20190617011354"
"86","Konkurence_dopravců_v_osobní_železniční_dopravě_v_Česku","117101","","104834","20230622110109"
"87","Dopravní_prostředky_poháněné_lidskou_silou","266979","Category","165","20170127235022"
"88","Paletové_regály","494571","","1994","20230519161647"
"89","Infrastruktura","1568052","Category","143","20210224220012"
"90","Jízdní_kolo","8215","","29676","20230626143857"
"91","Metrobus","251066","","14912","20230710103812"
"92","Zastávka_na_znamení","183939","","34968","20230316232125"
"93","Tachograf","242149","","6219","20230630213142"
"94","Kosmonautika","13139","","2980","20210919161931"
"95","Cestovní_ruch","153555","Category","110","20140404074437"
"96","ASFiNAG","1726211","","5326","20230521143423"
"97","Národní_dopravní_informační_centrum","666867","","6199","20220104033507"
"98","Doprava_podle_let","156467","Category","168","20230414133528"
"99","Experimentální_dopravní_prostředky","798300","Category","129","20210907112041"
"100","Seznam_sítí_trolejbusové_dopravy_v_Severní_Americe","247614","","14324","20230628185131"
"101","Tunelovací_metody","134704","","561","20220511044415"
"102","Nadrozměrná_kamionová_přeprava","794489","","4427","20220325085538"
"103","ParcelShop","1252160","","1062","20190414231529"
"104","Zákon_o_dráhách","229604","","6504","20220209122218"
"105","Řídicí_věž","397054","","1333","20230515113555"
"106","Ředitelství_vodních_cest_ČR","857387","","4513","20220317152433"
"107","Karavana","318323","","1470","20190119144156"
"108","Environmentální_dopady_letectví","1469084","","101810","20230713160755"
"109","Seznam_motorů_Suzuki","1180281","","13163","20211228165720"
"110","Skútr","79393","","9982","20221221215426"
"111","Hodinová_pozice","1508625","","3815","20230315210102"
"112","Náboženství_ve_vodní_dopravě","1706193","Category","72","20210908203452"
"113","Bissona_Praga","1521358","","5419","20230212092201"
"114","Přepravní_vztahy","107571","Category","140","20100110101508"
"115","Razítkovací_stroj","1155006","","3648","20220802231155"
"116","Dopravní_značka","46802","","8893","20230220080454"
"117","Vznášedla","1024876","Category","98","20140910083633"
"118","Skříňový_automobil","414625","","4774","20200608101221"
"119","Místenka","263902","","4950","20190217104634"
"120","Kosmické_programy","348993","Category","88","20210908164030"
"121","Fallen_Astronaut","297117","","3085","20230529221319"
"122","Poštovní_zásilky","1520835","Category","58","20190907141544"
"123","Netivej_Jisra'el","1401590","","2341","20230621081642"
"124","Doprava_podle_částí_států_nejvyšší_úrovně","1304503","Category","190","20230414224357"
"125","Bezpečnost_proti_vykolejení","552238","","13590","20200605180629"
"126","Seznam_tramvajových_linek_v_Bratislavě","1611247","","17789","20210629140215"
"127","Svaz_průmyslu_a_dopravy_ČR","857470","","10829","20230516122133"
"128","Kosmonautika_podle_zemí","366952","Category","166","20230414172311"
"129","London_Congestion_Charge","62142","","5592","20200630060534"
"130","Nautofon","1398307","","2194","20221204060139"
"131","Vícekolejná_trať","128677","","4604","20210918200029"
"132","Východ","104873","","2240","20230228004641"
"133","Nákladní_automobily","71855","Category","117","20140601160250"
"134","Historická_letka_republiky_Československé","491003","","3627","20211105110551"
"135","Strava_v_letecké_dopravě","207513","","4460","20221210203106"
"136","Násyp","325670","","6196","20220521203721"
"137","Dopravní_špička","1607463","","1731","20210806072013"
"138","Filatelie","60024","Category","145","20140530202413"
"139","Městská_autobusová_doprava_v_Česku","112245","","17118","20220422182108"
"140","Kombinovaná_doprava","442218","","11224","20220523201127"
"141","Seznam_stanic_metra_v_Budapešti","1838619","","17371","20230526222516"
"142","Dopravní_zácpa","100625","","2814","20220524162204"
"143","Letectví","12553","Category","98","20140601115359"
"144","Železniční_zabezpečovací_zařízení","116457","Category","264","20220511101325"
"145","Vojenská_letectva","177164","Category","174","20210907164904"
"146","Battenburská_šachovnice","580298","","11808","20230605225516"
"147","Příměstská_železnice","115579","","8582","20230519032232"
"148","Vozka","217706","","2030","20230115202408"
"149","Letecké_modelářství","1286724","","2309","20221212103719"
"150","Osoby_spjaté_s_letectvím","1812625","Category","68","20221206145216"
"151","Svaz_cestujících_ve_veřejné_dopravě","1285845","","8428","20230117141557"
"152","Umělá_kosmická_tělesa","47220","Category","124","20140601152321"
"153","Zájmová_sdružení_v_dopravě","584718","Category","118","20170127235056"
"154","LoungeKey","1794941","","1003","20221011195117"
"155","Brutto_registrovaná_tuna","141449","","686","20230425182757"
"156","Evropská_dohoda_o_mezinárodní_silniční_přepravě_nebezpečných_věcí","183927","","8958","20230713235215"
"157","Námořní_meteorologie","707510","","2525","20210808184124"
"158","Železniční_doprava","116517","Category","268","20140601173425"
"159","Dějiny_vodní_dopravy","1706050","Category","82","20210908160757"
"160","Sudop_Praha","927813","","4457","20211124121309"
"161","Dopravní_letadla","36294","Category","141","20140601131358"
"162","ČESMAD_BOHEMIA","267926","","4204","20211129102122"
"163","Výfukové_plyny","473006","","4907","20220620175051"
"164","Kontejnerizace","379722","","22856","20230506134030"
"165","Molo","1120066","","2147","20220802141054"
"166","Letečtí_výrobci","65929","Category","112","20140601155038"
"167","Traffic_Message_Channel","666864","","3380","20230119061821"
"168","Oceánem_na_kře_ledové","112915","","4402","20230404025213"
"169","Družicové_polohové_systémy","307714","Category","129","20210224203818"
"170","Světová_strana","104885","","6908","20211115034557"
"171","Námořní_míle","117877","","6439","20220307043424"
"172","Bambi_vak","701837","","5396","20220822101305"
"173","Čtyřspřeží_od_sv._Marka","1466039","","1226","20230510051945"
"174","Majáky","555170","Category","154","20180415133850"
"175","Železniční_doprava_v_umění","414361","Category","89","20210908200212"
"176","Kapsář","952532","","969","20230118111552"
"177","Pošta","82940","","20888","20230220234648"
"178","Dráha","149778","Category","360","20061202225452"
"179","Pojízdná_prodejna","291298","","23489","20230327001248"
