"number","title","pageid","namespace","length","touched"
"1","Nadace_Malina","15848","","1187","20211026091421"
"2","ParcelShop","1252160","","1062","20190414231529"
"3","Šanghajská_dopravní_univerzita","1454431","","1452","20210513032851"
"4","Dopravní_hřiště","131616","","5719","20221212085047"
"5","Omnibus","290943","","4637","20210520114957"
"6","Maršrutka","221626","","1985","20220225195451"
"7","Brusle","33950","","3320","20230126152811"
"8","Autovlak_(silniční_konvoj)","779405","","2916","20230419041518"
"9","Silniční_obchvat","610295","","4164","20220904175048"
"10","Ropovod","150244","","2618","20210622185149"
"11","Seznam_měst_s_tramvajovým_provozem","31565","","30605","20230725214143"
"12","Podvalník","414556","","4447","20210514022931"
"13","Doručovací_box","1818243","","6016","20230625104737"
"14","Xiaomi_Mi_Electric_Scooter_(elektrokoloběžka)","1601004","","3399","20220123150944"
"15","Úřední_povolení_v_dopravě","305491","","15980","20230205184721"
"16","Západ","157205","","1678","20230227224530"
"17","Letecká_společnost","254355","","4407","20210720050917"
"18","Automobilová_navigace","410084","","9591","20220528111734"
"19","ECEF","900741","","1606","20220227172801"
"20","Indikátor_přesného_přiblížení","1842456","","7219","20230409013635"
"21","Nízkoemisní_zóna","399327","","12808","20221231012928"
"22","Centrum_dopravního_výzkumu","1647339","","5701","20230306220235"
"23","Dostavník","225317","","2274","20230223125702"
"24","Stevard_(letecká_doprava)","257693","","5119","20211218132414"
"25","Sudop_Praha","927813","","4457","20211124121309"
"26","LORAN","886349","","1126","20230406093322"
"27","Mezihvězdný_let","511067","","3391","20211229162149"
"28","Hydraulická_ruka","422334","","3669","20230222213944"
"29","Portainer","130224","","653","20210808150350"
"30","Lyže","14079","","11807","20230607073357"
"31","Ministerstvo_železnic_Čínské_lidové_republiky","867611","","1277","20210515054308"
"32","Multikanálový_odbavovací_systém","1397704","","3628","20180703220126"
"33","Aerosaně","1200657","","2180","20221209170806"
"34","Izogona","1196977","","743","20230717175747"
"35","Dopravní_výchova","607661","","3711","20230401165850"
