"number","title","pageid","namespace","length","touched"
"1","Medailér","153536","","2302","20220412041829"
"2","Cope2","345610","","3985","20210926062407"
"3","Business_Process_Model_and_Notation","809204","","31563","20230606095149"
"4","Spolek_pracovníků_v_umění_a_ve_vědě_Purkyně","1250039","","7176","20211014193419"
"5","Mandala","45311","","22910","20221012161555"
"6","Uměleckoprůmyslové_muzeum_(Brno)","451228","","18099","20230209101457"
"7","Nišiki-e","1478333","","6565","20220829103319"
"8","Přímý_pozitivní_tisk","526718","","4502","20200721232933"
"9","Red_Meat","452430","","8145","20230625160953"
"10","Prostoročasový_diagram","249600","","5373","20211204172803"
"11","Barva_(materiál)","64781","","1335","20190322213016"
"12","Proporce","759954","","496","20221223165750"
"13","Scagliola","944729","","2576","20230104065607"
"14","Asambláž","243180","","917","20210601083102"
"15","Strip","73523","","1229","20210117090218"
"16","Deepfake_videa","1832073","","7690","20230314234504"
"17","Zdeněk_Kolářský_(sochař)","758345","","6285","20230709061714"
"18","Bimetalismus","193628","","1130","20220704070657"
"19","Pojmová_mapa","257627","","8617","20211227161658"
"20","Teorie_inteligentního_designu","1624386","","7153","20220418092040"
"21","Promptuarii_Iconum_Insigniorum","967488","","1612","20211203203017"
"22","OpenGL","10672","","12906","20220512074524"
"23","Videoart","1289591","","2135","20230616131309"
"24","František_Gajdoš","1766555","","3575","20221212092512"
"25","Busta","40306","","1110","20220812032243"
"26","Félix_Fénéon","1530747","","10923","20221125092719"
"27","The_Feast","303461","","2752","20220122104114"
"28","Medaile","145850","","10574","20230714223038"
"29","Subpixel","221605","","941","20190730074816"
"30","Magdaléna_Štrompachová","1189530","","4311","20230629133631"
"31","Detekce_kolizí","587624","","9809","20230703080944"
"32","Jef_Aérosol","1736528","","2274","20230322213752"
"33","Asymetrie","759959","","537","20210604095838"
"34","Nejmocnější_hrdinové_Marvelu","1612811","","25737","20221215200826"
"35","Polární_graf","802800","","5659","20210507050742"
"36","Karel_Postl","650330","","6475","20221124085909"
"37","S_nasazením_života","314867","","4519","20211018070638"
"38","Dekorativní_umění","790800","","3424","20230312133211"
"39","Jiří_Příhoda","1664962","","12870","20230625183557"
"40","Užitá_grafika","289675","","1558","20230320135053"
"41","Galéria_F","1699154","","25042","20230628215915"
"42","Typizace_(architektura)","986143","","5638","20200222183748"
"43","Hliněný_výrobek","1201684","","2237","20230316214704"
"44","Chryselefantinová_plastika","445155","","1439","20210606140805"
"45","Peter_MacGill","1475709","","2950","20220527114011"
"46","Fabion","721208","","1327","20160102183735"
"47","Ikona_Nejsvětější_Trojice","999809","","6761","20211101170604"
"48","The_Men_in_Black","810293","","2475","20220506115757"
"49","Petr_Veselý_(malíř)","1100619","","13551","20230709071208"
"50","Parergon","254741","","399","20190729183819"
"51","Wildstyle","1632387","","2402","20220202103115"
"52","Ilustrace","1248","","6905","20230405094900"
"53","Julianova_akademie","1318125","","11119","20211125234127"
"54","Centre_de_création_industrielle","685936","","1421","20200619122226"
"55","Raumplan","1172445","","5313","20220917222713"
"56","Grisaille","42711","","2158","20230703135720"
"57","Seznam_komiksů_považovaných_za_nejvýznamnější","1007197","","8501","20190614223708"
"58","Hugo_Pratt","641228","","1822","20221128130902"
"59","Řezbářství","333398","","26758","20230418150423"
"60","Španělská_peseta","435722","","1722","20230121222147"
"61","Mezinárodní_konfederace_architektonických_muzeí","720724","","6377","20221202154805"
"62","Jiří_Šetlík","1576857","","12053","20230711093538"
"63","Virtual_tuning","189791","","2624","20190113125601"
"64","Léonce_Rosenberg","1699241","","33208","20230526174739"
"65","Rekurzivní_přechodová_síť","1266085","","1534","20210808155417"
"66","Lykurgův_pohár","1240454","","2759","20220224043426"
"67","Digitální_scrapbooking","1105619","","7343","20221223033647"
"68","Vejcovec","690226","","1283","20230621043239"
"69","Tomáš_Fassati","1615835","","51350","20230709085203"
"70","High_Dynamic_Range_Imaging","135812","","12726","20230105084902"
"71","Syntaktický_diagram","1266189","","4288","20220521121340"
"72","Předzpracování_obrazu","328776","","7377","20160110214229"
"73","Indikátorový_diagram","120001","","1072","20180319183245"
"74","Asterix","20250","","15848","20230603194340"
