"number","title","pageid","namespace","length","touched"
"1","Portugalské_válečné_lodě","716794","Category","157","20140606220720"
"2","Belgické_hlídkové_lodě","1179274","Category","88","20160715193434"
"3","Třídy_korvet","1195056","Category","104","20210225014925"
"4","Pákistánské_hlídkové_lodě","868952","Category","93","20130101205720"
"5","Třídy_vznášedel","1195064","Category","98","20160824103332"
"6","Henry_Grace_à_Dieu","676559","","2231","20210602104302"
"7","Řecké_válečné_lodě","720644","Category","129","20201118081909"
"8","Langskip","1673966","","17793","20230307210216"
"9","Třídy_cvičných_lodí","1479211","Category","71","20190314070008"
"10","Saúdské_raketové_čluny","848686","Category","88","20201118082600"
"11","Egyptské_válečné_lodě","748953","Category","151","20160715200033"
"12","Americké_torpédoborce","302076","Category","82","20201117190747"
"13","Sea_Cat","730137","","3882","20171006104945"
"14","Venezuelské_válečné_lodě","587743","Category","157","20140606203841"
"15","Gruzínské_válečné_lodě","1151460","Category","60","20170215083008"
"16","Výsadková_loď","676080","","4415","20180705121927"
"17","Karavela","354409","","3013","20220114122653"
"18","Letadlové_lodě_podle_zemí","1327465","Category","114","20220721113456"
"19","Švýcarské_hlídkové_lodě","1622488","Category","86","20210225030544"
"20","Torpédomet","321455","","5274","20210809155146"
"21","Třída_Flower_(1915)","1330428","","12029","20230518112541"
"22","Ruské_hlídkové_lodě","853218","Category","103","20140607110916"
"23","Marocké_válečné_lodě","806665","Category","82","20201118081041"
"24","Válečné_lodě_námořnictva_Čínské_republiky","580741","Category","173","20201118083923"
"25","Venezuelské_raketové_čluny","1189744","Category","91","20160406073828"
"26","Stíhač_ponorek","613359","","16401","20230104190332"
"27","Britannic_(1914)","153911","","9687","20230713211751"
"28","Německé_hlídkové_lodě","1202680","Category","106","20160523002404"
"29","Kanadské_válečné_lodě","603260","Category","186","20181124010213"
"30","Vietnamské_raketové_čluny","1172202","Category","90","20160204093653"
"31","Brunejské_korvety","1150704","Category","72","20160715194131"
"32","Ukrajinské_dělové_čluny","1189708","Category","88","20160406052238"
"33","Torpédové_čluny","352370","Category","147","20181124062635"
"34","Vrtulníkové_nosiče","268822","Category","128","20210225022004"
"35","Brunejské_raketové_čluny","1155225","Category","89","20160715194132"
"36","Pákistánské_fregaty","597223","Category","93","20140606204438"
"37","Sovětské_korvety","684471","Category","89","20140606214554"
"38","Řecké_korvety","939324","Category","86","20210225020019"
"39","Hsiung_Feng_I","727045","","2729","20221231202538"
"40","Ománské_výsadkové_lodě","1203009","Category","90","20160524061608"
"41","Nosiče_vrtulníků_Japonských_námořních_sil_sebeobrany","1775224","Category","113","20220728092929"
"42","Íránské_fregaty","1102249","Category","89","20170215082611"
"43","Chilské_hlídkové_lodě","1150471","Category","87","20160715194504"
"44","Osmanské_křižníky","1490791","Category","78","20190414134729"
"45","Sovětské_křižníky","407040","Category","237","20140602190917"
"46","Novozélandské_válečné_lodě","732199","Category","163","20140607100230"
