"number","title","pageid","namespace","length","touched"
"1","Neo-Ricardianism","893867","","1977","20230702183006"
"2","Offshoring_as_a_service","51847585","","2408","20220930182125"
"3","Endogeneity_(econometrics)","1908618","","10224","20230527084107"
"4","Throw_away_paradox","48076041","","2175","20210907104902"
"5","Maffeo_Pantaleoni","5808131","","4272","20230612123413"
"6","No_One_Would_Listen","26349749","","3802","20230524053015"
"7","Butterfly_Economics","3003358","","1705","20210803174341"
"8","Direct_participation_program","9890538","","2433","20230611055940"
"9","Global_Insight","240250","","4234","20230403044514"
"10","Henry_Manne","3908935","","5457","20221112072553"
"11","Free_Culture_(book)","553671","","65182","20230227030422"
"12","Labour_Leader's_Office_Fund","4433889","","2254","20230118235258"
"13","Danuše_Nerudová","71365158","","6744","20230701102229"
"14","Roughneck","1060644","","7632","20230428065839"
"15","Norwegian_paradox","33346223","","3947","20230326091001"
"16","Staples_thesis","349487","","6300","20221226222736"
"17","Cammarano_v._United_States","15710783","","3216","20190507050454"
"18","NERA_Economic_Consulting","56762089","","6708","20230504100447"
"19","Ecorys","45205907","","2404","20220615142734"
"20","Input–process–output_model_of_teams","53549744","","5339","20230204025618"
"21","Property_maintenance","6731393","","977","20220906112639"
"22","Dahrendorf_hypothesis","6300725","","1608","20200213192240"
"23","Commissioner_v._Soliman","14103515","","3866","20201214175444"
"24","2005_Sunjiawan_mine_disaster","1507125","","1320","20211008233320"
"25","W._Kip_Viscusi","44140182","","11344","20230504200119"
"26","Price_limit","31253340","","1017","20200309083556"
"27","Edward_H._Levi","745107","","13720","20230613233334"
"28","Redemption_value","2376959","","1109","20210702215904"
"29","SONIA_(interest_rate)","1859819","","4970","20220816091628"
"30","Economic_opportunism","39328042","","15735","20230201192709"
"31","Energy_Performance_Investment","35196315","","1678","20221107205158"
"32","Egalitarian_rule","67856304","","7511","20211117000314"
"33","Present_bias","60752925","","21444","20230303075055"
"34","Atlanta_Postal_Credit_Union","58231104","","2464","20220603125655"
"35","Gross_regional_domestic_product","15132436","","3270","20230501231009"
"36","Health_Economics,_Policy_and_Law","56059665","","2502","20230425232250"
"37","Gini_coefficient","12883","","95394","20230626154840"
"38","Warren_Samuels","15411525","","4406","20230427011941"
"39","Work_(human_activity)","64589385","","24088","20230702182218"
"40","European_Multilateral_Clearing_Facility_N.V.","21906854","","6562","20201123195551"
"41","Backward_bending_supply_curve_of_labour","2119223","","8915","20230314102545"
"42","Backus–Smith_puzzle","14408484","","1285","20230426155100"
"43","Liptako-Gourma_Authority","2724521","","2725","20220102030630"
"44","Elasticity_of_complementarity","19229442","","939","20200404003654"
"45","S&P_Leveraged_Loan_Index","26615353","","10312","20230403065005"
"46","A_Bank_for_the_Buck","56211564","","1747","20230523204103"
"47","CREEBBA","6822840","","2220","20201216172401"
"48","Lindahl_tax","3733668","","14271","20220814165843"
"49","Protectionism","153023","","56907","20230603030752"
"50","Jacob_Viner","423366","","17327","20230513004902"
"51","Martin_Hellwig","44095484","","3596","20230702153911"
"52","Crucible_of_Resistance","48231530","","3417","20230405020740"
"53","Race_to_the_bottom","184948","","27891","20230701143453"
"54","Richard_Koo","29322539","","5611","20220621094141"
"55","List_of_Jewish_American_economists","3260063","","10042","20230410173027"
"56","Fredrick_D._Scott","38841010","","11295","20230318045626"
"57","Spending_wave","15985169","","2857","20230509135147"
"58","Piero_Sraffa","51151","","37355","20230704014546"
"59","Information-led_development","21890436","","3035","20211015001421"
"60","Research_Institute_of_Industrial_Economics","32040383","","923","20230327185344"
"61","Stochastic_game","10500944","","12422","20230423054626"
"62","Regenerative_economic_theory","22261471","","2299","20230627064833"
"63","Economy_of_Uganda","56924","","36359","20230221201310"
"64","Small_farm","23820746","","162","20221106085748"
"65","Natural_Capitalism","45291","","9137","20220420155038"
"66","Joanne_Roberts","73627663","","16648","20230702154612"
"67","Single-equation_methods_(econometrics)","4858526","","869","20190915113703"
"68","Nanoeconomics","13313533","","2185","20220714151325"
"69","Glossary_of_economics","50757843","","182452","20230701200432"
"70","Home_equity_protection","18270950","","5631","20220909214510"
"71","Economy_of_Niger","21378","","61333","20230630132134"
"72","N-player_game","3138467","","1474","20220419035914"
"73","Dalberg_Global_Development_Advisors","45264231","","10766","20221106184751"
"74","Forward_measure","9795255","","3948","20190718153905"
"75","Transactional_net_margin_method","14639141","","1452","20230302044057"
"76","Market_demand_schedule","21586378","","1485","20230621115124"
"77","Hearth,_Patio_&_Barbecue_Association","19921095","","1754","20190904083906"
"78","John_R._Commons","991546","","20178","20230702152810"
"79","Product_life-cycle_theory","10135822","","7275","20230619212137"
"80","International_Monetary_Cooperation_Since_Bretton_Woods","62624306","","4091","20230301112656"
"81","Economic_graph","19769202","","4129","20221018151136"
"82","Basis_risk","4627447","","3401","20230505180941"
"83","National_debt_of_Pakistan","61347275","","7430","20230626025201"
"84","DLMA_analysis","48563739","","3468","20230530023059"
"85","Energy_in_Macau","41456058","","2480","20210402014809"
"86","Short-term_business_statistics","26306979","","3170","20191104100956"
"87","Composition_with_creditors","4994403","","535","20200531135930"
"88","Holding_value","11087133","","1026","20220225194354"
"89","François_Bourguignon","1618048","","9412","20230509043545"
"90","Heating_system","4130399","","584","20230621055556"
"91","Total_economic_value","5934749","","2098","20230202125618"
"92","Business_Model_Canvas","48746540","","19601","20230704203429"
"93","New_Sunshine_Project","18806829","","3065","20211231202332"
"94","Allan_H._Meltzer","9233887","","16534","20230314170016"
"95","Financial_Advisor_to_the_Chief_of_Staff","5216022","","720","20220610120023"
"96","Surplus_economics","3833097","","1614","20230403190609"
"97","Women_and_Economics","4780918","","12251","20210509163157"
"98","Technical_change","1605815","","3049","20230414210906"
"99","POL_valve","52299651","","3234","20221008001528"
"100","Substitution_principle_(sustainability)","1968559","","2218","20230421215928"
"101","Solange_Paiva_Vieira","64138389","","6483","20220313133738"
"102","Journal_of_Economic_Behavior_and_Organization","32538601","","1760","20230429153053"
"103","Theory_of_the_firm","1337683","","47069","20230624023644"
"104","Fiscal_sustainability","34259208","","16295","20230628185506"
"105","Dania_Espaeva","61402509","","3890","20230611052103"
"106","Universe_(economics)","903351","","1741","20180821063138"
"107","Threshold_population","5696235","","1647","20210814153031"
"108","William_Henry_Chamberlin","13776181","","7107","20230322080734"
"109","Steve_Goldman","12614362","","8422","20230602174646"
"110","Harold_Demsetz","4009518","","7596","20230317064515"
"111","Consumers'_co-operative","4132201","","27782","20230423164944"
"112","Floor_broker","13198129","","1930","20230704042048"
"113","Maturity_(finance)","3356521","","1902","20220712154831"
"114","FitzPatrick_1932","19166421","","3967","20211209182222"
"115","Economic_base_analysis","1033912","","4326","20210719225403"
"116","Forced_saving","4310360","","2635","20230223183333"
"117","Service_as_a_product","44232994","","6281","20230620110957"
"118","Option_screener","7662138","","2434","20230202131528"
"119","Shape_risk","48790414","","1888","20210626200004"
"120","Return_on_net_assets","2928871","","1910","20220707042732"
"121","International_Journal_of_Green_Economics","55331253","","2395","20230425232106"
"122","Alexander_Nove","9205547","","5234","20230607163011"
"123","Economic_Statistics_Centre_of_Excellence","65845916","","1487","20210302174243"
"124","Auditing,_Review_and_Other_Standards","58629518","","883","20220113210734"
"125","Economic_substance","18614602","","2293","20230619021442"
"126","Operating_budget","1845959","","1048","20230214075249"
"127","Vasicek_model","3427692","","8335","20221115220406"
"128","Crossing_network","4219543","","2315","20230609052251"
"129","Northern_California_War_Tax_Resistance","4348289","","1093","20230213235805"
"130","Thilan_Wijesinghe","16989409","","16524","20230309013258"
"131","Wisconsin_school","6608218","","1517","20210518005020"
"132","Our_Brand_Is_Crisis_(2015_film)","43853099","","21536","20230622011434"
"133","Índice_de_Precios_al_Consumidor","70554863","","567","20220702132333"
"134","Melissa_Thomasson","63962925","","8658","20220116074727"
"135","Humanistic_economics","4440254","","4444","20230328135951"
"136","Competitor_indexing","258767","","1015","20201120174058"
"137","Rostow's_stages_of_growth","739974","","15872","20230702064820"
"138","Tariff","55551","","86479","20230627054525"
"139","Knowledge_assessment_methodology","31419238","","1264","20181101224405"
"140","Cobweb_model","1476440","","18645","20230530134142"
"141","Marcel_van_Meerhaeghe","57510532","","36790","20230321200552"
"142","European_Skills,_Competences,_Qualifications_and_Occupations","54530744","","1141","20211012173423"
"143","Volatility_clustering","1585574","","3461","20210523171221"
"144","Institut_de_recherche_d'Hydro-Québec","29136815","","4532","20220117111028"
"145","Annuity","47078873","","14635","20230617161834"
"146","Substantivism","9843744","","1731","20230601111504"
"147","Cascade_tax","1922122","","681","20230228005223"
"148","Single-loss_expectancy","4031882","","1378","20220302005120"
"149","Easterlin_hypothesis","30040514","","2383","20210305161615"
"150","Behavioral_assumption","35727132","","741","20201105032418"
"151","Deutsche_Bank_Prize_in_Financial_Economics","17683716","","14369","20230425025855"
"152","Credit_clearing","52956376","","1035","20191208144630"
"153","Health_sector","52098681","","64","20161025225304"
"154","União_Democrática_Ruralista","23887327","","2350","20230321105908"
"155","Howl_(poem)","158051","","53761","20230623230135"
"156","Solar_Energy_(journal)","19328599","","1748","20230429194934"
"157","Eric_van_Damme","40632284","","6265","20230112163031"
"158","Motivation_crowding_theory","4117368","","30631","20221106021341"
"159","Phase-change_incubator","3115081","","1827","20220917120218"
"160","Economics_imperialism","8879235","","13016","20230327061219"
"161","Asset-Centricity","49314159","","4658","20201123162827"
"162","Arizona_Department_of_Economic_Security","34181606","","1936","20230606011048"
"163","Bidding_fee_auction","3412896","","7838","20221223184250"
"164","Budhigandaki_Hydroelectric_Project","52667783","","6192","20230617003626"
"165","Work_at_home_parent","2807790","","5866","20220311165041"
"166","Anthony_Neoh","34499407","","1371","20221003150938"
"167","One-stop_shop","19608134","","13155","20230316022928"
"168","Rhonda_Sharp","42991555","","6539","20230320054513"
"169","Triffin_dilemma","2911169","","13985","20230503180625"
"170","Paid-in_capital","3946138","","2007","20210305140032"
"171","Internally_rifled_boiler_tubes","10256071","","2999","20211203194347"
"172","The_Wealth_of_Networks","13220811","","35489","20230427230611"
"173","Charles_Henry_Hull","55605660","","10530","20220910224910"
"174","The_Observatory_of_Economic_Complexity","34997239","","4055","20230529201435"
"175","Community-supported_agriculture","243515","","37055","20230610123557"
"176","Understanding_Society:_the_UK_Household_Longitudinal_Study","11259783","","7436","20221022024022"
"177","Robert_Solow","216359","","35218","20230625100418"
"178","Mark_Blaug","9772354","","18146","20230614135522"
"179","Andrew_Kliman","24101971","","7865","20230521063701"
"180","List_of_socialist_economists","31720130","","2222","20230530080128"
"181","T1_General","3667276","","2374","20230408153529"
"182","Market_production","34114656","","3137","20210909234527"
"183","Accounting_Historians_Journal","47553771","","2492","20230429140022"
"184","Hire_Purchase_under_Shirkatul_Melk","41221563","","1458","20230621124149"
"185","Export_performance","5831009","","1461","20190814135100"
"186","Empire_and_Communications","7124749","","64648","20221026232213"
"187","Brand_India","4635597","","2584","20220519211544"
"188","Offer_curve","1490201","","1869","20220906194054"
"189","Tax_controversy","40206374","","2431","20220814053902"
"190","Credibility_revolution","69053685","","3852","20230129222732"
"191","Times_interest_earned","15066644","","2080","20221119105252"
"192","Single_tax","883642","","4807","20230509213222"
"193","Harold_See","12497712","","3567","20230201000625"
"194","Duck_curve","52077192","","13955","20230402071837"
"195","Anarcho-syndicalism","49938","","60601","20230620040807"
"196","Open_source","59126142","","108145","20230623111515"
"197","National_Agency_of_Petroleum,_Natural_Gas_and_Biofuels_(Brazil)","13844556","","1890","20230607102202"
"198","Stop-loss_insurance","7725383","","2624","20230311222010"
"199","Inventory_revolving_line_of_credit","66372474","","4037","20211025021203"
"200","Shachar_Kariv","64069568","","2399","20230112171337"
"201","Credit_reference","9132917","","2581","20230106184919"
"202","Arthur_Kade","23257892","","6057","20230608122922"
"203","Bertrand_de_Jouvenel","2311541","","11401","20230222144127"
"204","Alchian–Allen_effect","8302089","","3649","20230309181928"
