"number","title","pageid","namespace","length","touched"
"1","Institute_for_Political_and_Legal_Education","5003635","","1541","20221109032433"
"2","Cells_at_Work!","54213693","","133227","20230620233855"
"3","Arts-based_training","5190016","","5581","20221213154045"
"4","Ned_Kock","19394645","","10152","20230508162017"
"5","School_profile","8919305","","2705","20211106131426"
"6","Central_Institute_of_Educational_Technology","43157449","","9423","20230516224344"
"7","Gary_Gadget","36010480","","8674","20230112013329"
"8","Medieval_university","86344","","32133","20230703231146"
"9","G(irls)20","67224262","","3176","20210328231513"
"10","Common_room_(university)","7648004","","29716","20230514205431"
"11","Education_in_emergencies_and_conflict_areas","63321503","","19134","20230606120400"
"12","International_Bureau_of_Education","27563610","","11317","20230405122215"
"13","Turing_Talk","15935893","","8517","20230602215019"
"14","Chongqing_University_of_Posts_and_Telecommunications","919353","","15524","20230329071154"
"15","International_Association_of_Academies","2768434","","1639","20220823121157"
"16","Tung_Wah_Group_of_Hospitals_Yau_Tze_Tin_Memorial_College","4512794","","4461","20230428214415"
"17","Oregon_Education_Association","8304971","","3948","20230422230309"
"18","Constructivism_(philosophy_of_education)","1040161","","87572","20230602010355"
"19","Biomedical_Research_Center","73287616","","23966","20230616041144"
"20","Brainly","42840352","","15307","20230215024424"
"21","National_Resistance_of_East_Timorese_Students","59345446","","10582","20230428192650"
"22","STS_Sedov","3184227","","10395","20230514101520"
"23","A_Passion_for_Art:_Renoir,_Cezanne,_Matisse,_and_Dr._Barnes","57185932","","6045","20230411065731"
"24","Marysville_USD_364","67770205","","2262","20210527024714"
"25","Stefan_Bauer","52043981","","7584","20230409200619"
"26","Korean_Physics_Olympiad","57545214","","2432","20230522011510"
"27","National_Research_Service_Award","9787557","","1886","20230704030223"
"28","Montana_Federation_of_Public_Employees","8694213","","12632","20230331061801"
"29","Philadelphia_Free_School","29443017","","4542","20230408032131"
"30","Flexible_seating_classrooms","52084206","","2816","20201021200933"
"31","Composition_studies","4259402","","32285","20230428135818"
"32","Islamic_World_Educational,_Scientific_and_Cultural_Organization","2658973","","10919","20230703111552"
"33","The_Group_School","10098151","","2080","20230415170023"
"34","Language_learning_strategies","31999585","","15669","20230705005438"
"35","Health_and_Education_for_All","63251807","","6145","20220608064147"
"36","Bloom's_2_sigma_problem","25828468","","9384","20230621160405"
"37","Gozo_University_Group","59676601","","4506","20210112043651"
"38","Official_Knowledge","47981279","","4723","20221101211227"
"39","Vocabulary","191445","","31332","20230617002926"
"40","Southwestern_Pennsylvania_Heritage_Preservation_Commission","55481987","","10039","20230215113734"
