"number","title","pageid","namespace","length","touched"
"1","HP_Service_Manager_software","41261061","","5031","20221117150415"
"2","FCM_Travel_Solutions","36214545","","4837","20230628130153"
"3","Documentary_collection","18265957","","3212","20210302155812"
"4","Independent_contracting_in_the_United_States","789973","","21034","20230413000618"
"5","Safe_harbor_(commerce)","35924264","","1979","20230615164613"
"6","Research_spin-off","25202899","","1913","20221106102312"
"7","Captive_unit","19350143","","1747","20210929172123"
"8","Shareholder_democracy","70679601","","8942","20230411133848"
"9","MDDL","5345493","","886","20210416133854"
"10","Economic_consulting","71977346","","10702","20230501094249"
"11","Official_function","14372472","","2066","20210114160712"
"12","Split_billing","24983938","","2581","20210915220539"
"13","Six_Sigma","222448","","53770","20230523155443"
"14","Catalog_number_(commercial_products)","73298545","","778","20230629191620"
"15","Starting_Lineup_(toy_line)","10842047","","7787","20230131034512"
"16","Jewish_business_ethics","29270993","","29320","20230628074725"
"17","Scarcity_value","397040","","2975","20230126183008"
"18","Pain_of_paying","64042952","","12873","20230515163447"
"19","SZSE_100_Index","52223395","","9037","20221013102229"
"20","Dubai_Investments_Park","48304701","","2999","20230624175212"
"21","Psychological_level","14163921","","2228","20220628071257"
"22","Huaqiangbei","14613993","","8055","20220823191718"
"23","Visa_Cash","1441126","","1970","20230427033434"
"24","Open-high-low-close_chart","9603815","","3198","20230517164022"
"25","Appraiser","2890325","","2670","20230426140704"
"26","Table_stakes","1158388","","3227","20220323212523"
"27","Okun's_law","627957","","11747","20230517184501"
"28","Wimbledon_Effect","8092892","","6733","20220813221457"
"29","Knowledge_management","72896","","68376","20230625135718"
"30","East_Coast_Free_Economic_Zone","69957970","","2549","20220312204009"
"31","Brian_Lennard","61340697","","2092","20220913223543"
"32","Tulane_Corporate_Law_Institute","16773166","","7165","20221031152906"
"33","International_Economic_History_Association","62692253","","22787","20221030133829"
"34","Product_fit_analysis","8640428","","782","20210717183945"
"35","Fortune_European_Businessman_of_the_Year","2544706","","1469","20220914080159"
"36","Company_code_of_conduct","52954662","","6666","20230315001205"
"37","Revealed_comparative_advantage","12440145","","3081","20221223222038"
"38","Business_records_exception","15477196","","4315","20220828170352"
"39","Complementary_monopoly","13864664","","2531","20201018205852"
"40","Workplace_aggression","19996292","","40207","20230409070234"
"41","Forecast_by_analogy","31360441","","1583","20221128223935"
"42","Citrix_Workspace_App","48234685","","6758","20230304045946"
"43","Theory_of_conjoint_measurement","18253454","","46039","20220725231844"
"44","Innovation_leadership","37375537","","44669","20230330221037"
"45","Wealth_effect","1854161","","4243","20210124045033"
"46","Nigerian-American_Chamber","67965147","","2816","20230313005633"
"47","No-arbitrage_bounds","1648293","","1682","20220811140753"
"48","Employer_Registration","11519693","","1860","20170810094948"
"49","Underearners_Anonymous","33481841","","10496","20230629040700"
"50","MCVE","1950870","","1086","20220321014532"
"51","General_government_sector","31721608","","803","20200429171858"
"52","Entrepreneurial_orientation","45314567","","12876","20230128220511"
"53","Owner_earnings","8831073","","4390","20220114211851"
"54","Romanticism_and_economics","68210680","","18689","20221012130203"
"55","Curriculum_vitae","18010483","","8359","20230720021845"
"56","Harris–Todaro_model","585882","","5216","20230321003152"
"57","Datenna","66322274","","3803","20230620013428"
"58","Origination_fee","1117233","","1881","20230630013043"
"59","Workplace_deviance","22709409","","13763","20230416071014"
"60","Survey_of_Consumer_Finances","10659704","","6193","20220215190301"
"61","Expenditure_incidence","20622556","","2225","20230704140453"
"62","Private_company_limited_by_shares","30862930","","11959","20230625115155"
"63","Induced_consumption","2634501","","1337","20230608235731"
"64","Schedule_network_analysis","53645490","","1510","20230212111148"
"65","Outline_of_public_relations","508324","","9574","20221016140840"
"66","Talygen_Business_Intelligence","42865956","","3711","20230706054414"
"67","Japanese_management_culture","2849675","","10718","20230124004903"
"68","Adversarial_purchasing","21453335","","1233","20230626184710"
"69","Net_national_product","1435816","","3495","20220703090659"
"70","Salary_inversion","22249872","","1733","20221222021336"
"71","Shared_leadership","37375777","","40759","20230316011941"
"72","Mark_Twain_effect","975111","","1432","20201211041355"
"73","National_Association_of_Government_Contractors","15090988","","978","20230701001218"
"74","Conversocial","39219632","","11363","20230319160403"
"75","Marcos_Buscaglia","73997368","","2665","20230710052942"
"76","Dollar_glut","3156210","","948","20230321164805"
"77","Product_(business)","240410","","21194","20230709140630"
"78","Apple_University","46318869","","8170","20230420145156"
"79","Local_enterprise_company","5986154","","1559","20220423054938"
