"number","title","pageid","namespace","length","touched"
"1","Submission_management","18743071","","9757","20220704110853"
"2","Fernandes_Group","53994450","","2620","20221231145344"
"3","Organic_Trade_Association","7223040","","3576","20230422173838"
"4","Negotiable_Instruments_Act,_1881","30655659","","10642","20230523043224"
"5","Issued_shares","9289827","","3402","20230114064804"
"6","Job_sharing","23445375","","15338","20230317021421"
"7","Okun's_law","627957","","11747","20230517184501"
"8","Hologram_trademark","3924629","","5764","20230628045311"
"9","Verso_Corporation","13719305","","10609","20230321021941"
"10","Tunisian_Confederation_of_Industry,_Trade_and_Handicrafts","48134732","","8033","20210426005050"
"11","Deville_process","1603285","","3383","20220419134608"
"12","USA_Network","77826","","56904","20230702024647"
"13","Configuration_lifecycle_management","48823121","","15084","20230412124457"
"14","Viewtron","13080875","","18966","20230418181819"
"15","Janice_Marturano","49180398","","8822","20211203140519"
"16","Directive_1999/34/EC","16966700","","208","20230703031525"
"17",Board_of_directors,"5543101","","67","20160615052829"
"18","Frictional_unemployment","1435689","","5355","20230323180511"
"19","HighQ","40757526","","9572","20230628094415"
"20","Information_discovery","32002388","","3591","20230602034830"
"21","Rodae","32797431","","2447","20230609022358"
"22","AEX_cfiXML","14244176","","3624","20221217035434"
"23","Trunks_Integrated_Record_Keeping_System","9509341","","1633","20230701152322"
"24","Credit_risk","372603","","18241","20230614085510"
"25","Mixedink","24520919","","4396","20230127211146"
"26","Steven_H._Collis","52929848","","3865","20230608103800"
"27","Entrepreneurship_education","5224251","","8849","20220823184732"
"28","Skeleton_crew","14657079","","2726","20230322090103"
"29","Chief_business_development_officer","21699187","","1712","20220711105725"
"30","Guy_R._Rankin","28435280","","2392","20221025225048"
"31","Enrollment_management","2914599","","2938","20200112170829"
"32","Master_data_management","15103022","","13759","20230313122001"
"33","Non-commercial_activity","3201698","","1118","20230328130915"
"34","Thorn_EMI_Liberator","37628014","","5210","20230127004425"
"35","Equality_impact_assessment","25432618","","4545","20220624013532"
"36","OCTA_Research","68585888","","8631","20221009221303"
"37","ReserVec","2585120","","11142","20220316185423"
