"number","title","pageid","namespace","length","touched"
"1","ASCII","586","","109193","20230617110308"
"2","Answer_(law)","642","","2765","20210417184219"
"3","Articles_of_Confederation","691","","74148","20230518022836"
"4","Android_(robot)","713","","30701","20230527102218"
"5","Affidavit","795","","11707","20230621020913"
"6","Artificial_intelligence","1164","","195764","20230702221631"
"7","Alan_Turing","1208","","139125","20230629212234"
"8","American_(word)","1241","","47323","20230620013547"
"9","Advanced_Encryption_Standard","1260","","48795","20230619001921"
"10","Anisotropy","1264","","20612","20230614174806"
"11","The_Apache_Software_Foundation","1336","","12061","20230625072328"
"12","AOL","1397","","106124","20230701131233"
"13","Alcuin","1408","","41428","20230611093739"
"14","Adiabatic_process","1419","","41968","20230528220204"
"15","Alan_Kay","1449","","24205","20230506135823"
"16","Kolmogorov_complexity","1635","","41669","20230703140219"
"17","Age_of_consent","1653","","56214","20230621030454"
"18","Acre","1797","","35686","20230628103554"
"19","Antiprism","1851","","19931","20230302021930"
"20","Approval_voting","1857","","68391","20230624231655"
"21","American_Civil_Liberties_Union","1950","","210977","20230629163757"
"22","Archery","2007","","69176","20230625065453"
"23","Comparison_of_American_and_British_English","2011","","104835","20230703015236"
"24","Atomic_semantics","2014","","2940","20191014115455"
"25","A_Fire_Upon_the_Deep","2080","","20077","20230619042405"
"26","IBM_AIX","2114","","56932","20230603194010"
"27","Afghans","2235","","43267","20230625111554"
"28","Abstract_data_type","2349","","33175","20230524121641"
"29","Athanasian_Creed","2416","","29203","20230601084558"
"30","Automated_theorem_proving","2546","","24812","20230614130305"
"31","Apache_HTTP_Server","2581","","29484","20230618143326"
"32","Aegis","2628","","10604","20230517031422"
"33","Anthropic_principle","2792","","77122","20230702230546"
"34","Abjuration","2830","","8270","20230318094252"
"35","File_archiver","2900","","4407","20221130094307"
"36","Arbeit_macht_frei","2906","","11122","20230608181130"
"37","AIM_(software)","2923","","42940","20230701182335"
"38","Acts_of_Union_1707","2987","","95302","20230614201339"
"39","Adrian_Lamo","3003","","41903","20230614224324"
"40","Andrew_S._Tanenbaum","3110","","28120","20230609045418"
"41","Acceptance_testing","3233","","21091","20230612183129"
"42","Bit","3364","","27267","20230606184817"
"43","Byte","3365","","63427","20230602215457"
"44","Bulletin_board_system","3430","","49543","20230618023300"
"45","Book","3778","","74605","20230704000509"
"46","Biostatistics","3878","","54671","20230404145738"
"47","Braille","3933","","72783","20230524184237"
"48","Bletchley_Park","4037","","114329","20230621125412"
"49","Binary_prefix","4077","","108534","20230626230916"
"50","BQP","4080","","23016","20230314082708"
"51","Big_Bang","4116","","152768","20230630054746"
"52","Bioinformatics","4214","","135193","20230701233210"
"53","Barter","4232","","36891","20230509183702"
"54","Baháʼí_Faith","4251","","111200","20230702005442"
"55","Books_of_Chronicles","4319","","16963","20230521165805"
"56","BBC_Red_Button","4349","","25140","20230625124213"
"57","Buffer_overflow","4373","","46182","20230427024529"
"58","Backbone_cabal","4505","","4070","20230316195300"
"59","Bra–ket_notation","4542","","43449","20230702124601"
"60","Wireless_broadband","4595","","16308","20230620092614"
"61","Bilinear_transform","4628","","19802","20230526185619"
"62","Break_key","4636","","11646","20230505144423"
"63","Bookkeeping","4662","","16265","20230618004219"
"64","Blissymbols","4699","","22203","20230624223752"
"65","Berkeley_DB","4706","","16195","20230701103716"
"66","Boolean_satisfiability_problem","4715","","53491","20230628173021"
"67","Bidirectional_text","4733","","13189","20230329163401"
"68","Bastard_Operator_From_Hell","4736","","8313","20221114164406"
"69","Baudot_code","4748","","58370","20230511232525"
"70","Behistun_Inscription","4789","","34042","20230616115708"
"71","Balfour_Declaration_of_1926","4819","","5013","20230502023656"
"72","Balfour_Declaration","4820","","240168","20230516195947"
"73","Bliss_bibliographic_classification","4842","","11062","20221113005549"
"74","Bistability","5014","","20262","20230610100109"
"75","Berry_paradox","5036","","12974","20230628100102"
"76","The_World_Factbook","5163","","60188","20230612202026"
"77","Christianity","5211","","297911","20230628194341"
"78","Central_processing_unit","5218","","97058","20230625102000"
"79","Code","5225","","15608","20230603225842"
"80","Cipher","5244","","15311","20230528211454"
"81","Constitution","5253","","99440","20230620042359"
"82","Copyright","5278","","85607","20230630104244"
"83","Character_encoding","5295","","34151","20230528184221"
"84","Computer_data_storage","5300","","58315","20230616085118"
"85","Conditional","5302","","1689","20220521163843"
"86","Software","5309","","36827","20230630235350"
"87","Computer_programming","5311","","32211","20230703134400"
"88","Creationism","5326","","167059","20230627100115"
"89","Video_game","5363","","146074","20230629002528"
"90","Country_code","5375","","8523","20230620012955"
"91","Cladistics","5376","","53955","20230627190220"
"92","Conspiracy_theory","5530","","129552","20230702031316"
"93","Claude_Shannon","5693","","54402","20230626092730"
"94","Continuum_hypothesis","5705","","30281","20230401232923"
"95","Compiler","5739","","60836","20230620045957"
"96","Computer_program","5783","","126807","20230703234623"
"97","Color_code","6069","","5081","20220304151935"
"98","P_versus_NP_problem","6115","","65162","20230527121520"
"99","Conjecture","6138","","24946","20230530212352"
"100","Chaitin's_constant","6205","","17876","20230220134527"
"101","Chinese_room","6216","","95534","20230703011851"
"102","Timeline_of_computing","6249","","2325","20230702130703"
"103","Compact_disc","6429","","40649","20230619000015"
"104","Control_unit","6557","","30653","20230405194140"
"105","Conditional_proof","6562","","2704","20221028082003"
"106","COINTELPRO","6589","","104484","20230701231015"
"107","Bus_(computing)","6631","","33224","20230627111514"
"108","Codec","6660","","10149","20230625071059"
"109","Clade","6682","","16630","20230622192711"
"110","Cheka","6752","","54117","20230703193109"
"111","Context-free_grammar","6759","","51388","20230626184104"
"112","CD-R","6780","","34908","20230608232204"
"113","Comet_Shoemaker–Levy_9","6794","","48297","20230425082840"
"114","Computer_memory","6806","","29860","20230628170244"
"115","Cache_(computing)","6829","","33335","20230518142956"
"116","Cygwin","6840","","25515","20230608232813"
"117","Computer_multitasking","6857","","19140","20230525124138"
"118","Cyc","6874","","48759","20230624213259"
"119","Colon_classification","6888","","6130","20230507050404"
"120","Census","6889","","52951","20230514025202"
"121","Code_coverage","7030","","19256","20230701005239"
"122","Computer_mouse","7056","","125998","20230630144635"
"123","Computer_file","7077","","34461","20230608075735"
"124","List_of_cryptographers","7088","","20331","20230624121955"
"125","Cross-examination","7203","","7520","20230307150707"
"126","Creed","7212","","26001","20230526190140"
"127","Call_centre","7243","","34702","20230627121934"
"128","Cartography","7294","","57023","20230623044351"
"129","Chauvinism","7312","","13765","20230621053817"
"130","Hypothetical_types_of_biochemistry","7316","","82723","20230701173358"
"131","Creation_myth","7322","","48014","20230622235425"
"132","Creature_of_statute","7335","","2739","20210505112826"
"133","Complaint","7357","","18301","20230301011706"
"134","Comparative_law","7378","","21960","20230605231948"
"135","Cyberspace","7381","","39322","20230627112736"
"136","Class_(computer_programming)","7392","","51807","20230530103955"
"137","Computer_security","7398","","200454","20230629120111"
"138","Counter-Strike_(video_game)","7431","","30901","20230625112004"
"139","Called_to_Common_Mission","7449","","5370","20220712220053"
"140","Context_menu","7450","","7273","20220510103433"
"141","Jews_as_the_chosen_people","7451","","41862","20230619071659"
"142","Capability_Maturity_Model","7492","","20481","20230319031731"
"143","Chronicle","7507","","17974","20230618202636"
"144","Cutter_Expansive_Classification","7515","","15387","20230529001525"
"145","Checksum","7538","","10377","20230528072306"
"146","Contras","7548","","76937","20230630202539"
"147","Code_of_Hammurabi","7604","","100737","20230630214200"
"148","ClearType","7681","","34543","20230602134700"
"149","List_of_cartographers","7685","","28779","20230617175408"
"150","Dictionary","7931","","43048","20230625115352"
"151","Dog_tag","7946","","54323","20230601120811"
"152","Data_warehouse","7990","","39661","20230630165158"
"153","Data_compression","8013","","67282","20230619141942"
"154","Douglas_Engelbart","8081","","53607","20230702221646"
"155","Documentary_film","8088","","59939","20230627205452"
"156","Declaration_of_the_Rights_of_Man_and_of_the_Citizen","8217","","37367","20230607073544"
"157","Digital_television","8271","","38712","20230625022303"
"158","Declaration_of_Arbroath","8274","","26917","20230622065415"
"159","Digital_data","8276","","14459","20230703210629"
"160","Declaration_of_independence","8372","","32251","20230525102953"
"161","Database","8377","","75698","20230626173156"
"162","Deus_Ex_(video_game)","8484","","109665","20230630161350"
"163","Data_set","8495","","9333","20230522195146"
"164","Diagnostic_and_Statistical_Manual_of_Mental_Disorders","8498","","107208","20230528025342"
"165","DirectX","8506","","66682","20230613115652"
"166","Data_structure","8519","","15479","20230628091712"
"167","Digital_signal_processing","8525","","25293","20230323223548"
"168","Diablo_II","8556","","70180","20230630000642"
"169","Duke_Nukem_3D","8569","","85519","20230618071503"
"170","Daoism–Taoism_romanization_issue","8573","","20651","20230614055723"
"171","Dyson_sphere","8586","","18209","20230612030436"
"172","Druze","8632","","193751","20230703162109"
"173","Database_normalization","8640","","36847","20230624151651"
"174","Digital_enhanced_cordless_telecommunications","8674","","49483","20230530124838"
"175","Data_compression_ratio","8681","","5719","20230321202113"
"176","Divination","8691","","37184","20230622202518"
"177","Dewey_Decimal_Classification","8699","","41119","20230625171227"
"178","David_Deutsch","8729","","21423","20230701110034"
"179","Dublin_Core","8742","","19633","20230703131605"
"180","Discrete_Fourier_transform","8811","","70195","20230508205519"
"181","Digital_cinema","8844","","57845","20230629230917"
"182","Diatessaron","8906","","22953","20230517141558"
"183","Drake_equation","8912","","70410","20230702010808"
"184","Decipherment","8946","","5199","20230625154444"
"185","Degree_Confluence_Project","9001","","5006","20230413132131"
"186","Dot-com_bubble","9021","","48984","20230701004540"
"187","Electronic_paper","9225","","46673","20230629145352"
"188","Encyclopedia","9253","","42394","20230627012147"
"189","Enigma_machine","9256","","92136","20230627010346"
"190","ECHELON","9282","","65684","20230611050955"
"191","Economic_calculation_problem","9297","","44439","20230623204853"
"192","Enterprise_resource_planning","9310","","75799","20230619063008"
"193","Election","9457","","45316","20230611214638"
"194","Emancipation_Proclamation","9515","","113925","20230703032734"
"195","Extraterrestrial_life","9588","","96606","20230703025848"
"196","E-commerce","9611","","84017","20230630183350"
"197","Euler's_sum_of_powers_conjecture","9660","","13371","20230418021436"
"198","Book_of_Exodus","9662","","33094","20230702170722"
"199","Erewhon","9664","","15310","20230612205305"
"200","Entscheidungsproblem","9672","","11040","20230511203419"
"201","Email","9738","","84192","20230622162041"
"202","Emoticon","9739","","64086","20230630140120"
"203","Erdős_number","9742","","32650","20230428135230"
"204","Exabyte","9756","","148","20201226223054"
"205","Eschatology","9760","","92229","20230625213533"
"206","Electronic_data_interchange","9790","","28871","20230615174848"
"207","Extinction_event","9813","","142767","20230621155200"
"208","Exploit_(computer_security)","9875","","7752","20230416024328"
"209","Entropy","9891","","113126","20230702164318"
"210","Eightfold_path_(policy_analysis)","9970","","3099","20220603204140"
"211","Evidence-based_medicine","10013","","72345","20230606163723"
"212","Epitaph","10074","","17515","20230622133554"
"213","Expert_witness","10115","","32475","20230702021551"
"214","Expert_system","10136","","51756","20230401134130"
"215","Enron","10166","","89005","20230515072253"
"216","ELIZA_effect","10236","","14085","20230607231240"
"217","Editor_war","10268","","29008","20230629133224"
"218","Embryo_drawing","10273","","30821","20230503195147"
"219","Erlang_(unit)","10283","","23029","20230619054348"
"220","Encryption","10294","","34133","20230624152636"
"221","EFTPOS","10333","","32452","20230613030950"
"222","European_Space_Agency","10363","","122715","20230703175349"
"223","Error_detection_and_correction","10375","","34616","20230608161833"
"224","Enchiridion_of_Epictetus","10413","","21792","20230701172119"
"225","Espionage","10501","","57641","20230621205322"
"226","Flaming_(Internet)","10680","","32316","20230606110143"
"227","Francium","10821","","36192","20230614161105"
"228","Freenet","10997","","55687","20230622191015"
"229","Film_stock","11028","","28145","20230701230745"
"230","Federal_Information_Processing_Standards","11113","","9185","20230622215519"
"231","Fatwa","11259","","50812","20230620190215"
"232","Frontline_(Australian_TV_series)","11281","","26117","20230605061703"
"233","Frame_problem","11306","","29411","20230529020743"
"234","FBI_Most_Wanted_Terrorists","11318","","53335","20230626223506"
"235","False_document","11429","","4433","20230422214524"
"236","FidoNet","11442","","51695","20230506120353"
"237","Furlong","11488","","14326","20230627224830"
"238","Fast_Fourier_transform","11512","","63783","20230602052501"
"239","Feynman_diagram","11617","","93150","20230614210222"
"240","Fourier_analysis","11659","","38726","20230630074848"
"241","Fat_Man","11660","","44605","20230628173039"
"242","Global_Positioning_System","11866","","175401","20230703152835"
"243","Genus–differentia_definition","11964","","10762","20230701164742"
"244","Gdańsk","12099","","141839","20230614210713"
"245","Gallium","12241","","72220","20230616151450"
"246","Germanium","12242","","68976","20230621211533"
"247","Geographic_information_system","12398","","98101","20230623043145"
"248","Gödel's_completeness_theorem","12450","","17950","20230507113440"
"249","Gnosticism","12471","","146487","20230626044604"
"250","Gospel_of_Mark","12490","","65092","20230702112012"
"251","Gospel_of_Luke","12491","","42265","20230608143932"
"252","Gospel_of_Matthew","12492","","41550","20230616103819"
"253","Gospel_of_John","12493","","70932","20230620100416"
"254","Geocaching","12533","","101880","20230703062253"
"255","Gigabyte","12570","","13950","20230516192433"
"256","GNU_Manifesto","12592","","7264","20230414153819"
"257","Geodesy","12608","","37307","20230531235255"
"258","Godwin's_law","12656","","12684","20230615075529"
"259","Book_of_Genesis","12667","","41114","20230702210201"
"260","Gonzo_journalism","12712","","15986","20230622053521"
"261","Original_proof_of_Gödel's_completeness_theorem","12727","","28694","20230406140244"
"262","General_Electric","12730","","166014","20230623070727"
"263","Gesta_Danorum","12741","","20158","20230503163649"
"264","Gzip","12783","","11910","20230604020721"
"265","GCHQ","12884","","91490","20230628191253"
"266","Glyph","12904","","6303","20230513123459"
"267","Great_Internet_Mersenne_Prime_Search","12917","","17650","20230403200146"
"268","Galileo_(satellite_navigation)","13009","","109685","20230629181351"
"269","Guantanamo_Bay_Naval_Base","13037","","70417","20230630140938"
"270","Guru_Meditation","13050","","10270","20230704002007"
"271","GNU_Lesser_General_Public_License","13073","","10557","20230131230804"
"272","Helium","13256","","144928","20230627080123"
"273","List_of_days_of_the_year","13316","","8705","20230612142120"
"274","Transclusion","13499","","22294","20230313154524"
"275","List_of_Roman_place_names_in_Britain","13526","","16761","20230428052238"
"276","Hacker","13533","","33622","20230628080647"
"277","Help_desk","13544","","2484","20230629134252"
"278","Hero","13706","","41582","20230703144740"
"279","Hard_disk_drive","13777","","139986","20230626161804"
"280","Hash_function","13790","","47189","20230603082302"
"281","Huffman_coding","13883","","35314","20230419112505"
"282","History_of_the_graphical_user_interface","13914","","58462","20230626153514"
"283","History_of_Wikipedia","14072","","231189","20230702182504"
"284","Hostile_witness","14174","","3664","20230221012403"
"285","Hacker_ethic","14275","","24803","20230520004205"
"286","Hugh_Hefner","14279","","65401","20230702071918"
"287","Internet","14539","","148842","20230630155136"
"288","Ich_bin_ein_Berliner","14581","","35236","20230628234110"
"289","Troll_(slang)","14594","","81664","20230617235123"
"290","Israeli_Declaration_of_Independence","14696","","35626","20230514051936"
"291","IRC_takeover","14720","","3701","20230317052553"
"292","Intellectual_property","14724","","96642","20230625082024"
"293","Internet_Relay_Chat","14730","","74423","20230626071207"
"294","Ideogram","14731","","8856","20221227121817"
"295","Information_theory","14773","","53024","20230702142436"
"296","Information_explosion","14774","","11732","20230524132221"
"297","Integer_(computer_science)","14794","","29730","20230609213649"
"298","International_Telecommunication_Union","14836","","43732","20230629235918"
"299","International_Hydrographic_Organization","14871","","10493","20230618074725"
"300","ISBN","14919","","61690","20230616203109"
"301","Information_security","15036","","192761","20230625124137"
"302","Integrated_circuit","15150","","79335","20230630212429"
"303","IBM_3270","15154","","87632","20230626182104"
"304","Internet_slang","15172","","41802","20230524155723"
"305","Integrated_Services_Digital_Network","15231","","45394","20230328152012"
"306","ICANN","15236","","72963","20230625050943"
"307","International_Bank_Account_Number","15253","","77569","20230611125309"
"308","Information_retrieval","15271","","28318","20230524131209"
