"number","title","pageid","namespace","length","touched"
"1","List_of_alternative_shells_for_Windows","458520","","6159","20230626172021"
"2","Risk_management_information_systems","5745677","","9961","20230701205241"
"3","S-LINK","1734731","","2207","20211022175122"
"4","Netsplit","674273","","4941","20230711174259"
"5","Technical_support","638229","","12750","20230423044300"
"6","Enhanced_Variable_Rate_Codec","1188566","","1848","20210821005948"
"7","Event_structure","34812675","","1437","20230403153722"
"8","ADMAR","31398769","","2631","20211125221157"
"9","OS/4","73493574","","1496","20230504193730"
"10","Critical_error","32679314","","90","20130112065538"
"11","Data_science","35458904","","23722","20230722124417"
"12","Vert.x","37679972","","6625","20230109155450"
"13","MOD_Ontology","16844182","","1103","20210512113225"
"14","List_of_computer_system_emulators","11561331","","96375","20230702161630"
"15","JEDMICS","21422660","","3416","20230412173419"
"16","Semantics_of_Business_Vocabulary_and_Business_Rules","13404388","","19009","20220429103821"
"17","ISO_1629","27886581","","856","20220607212405"
"18","List_of_AMD_graphics_processing_units","3898076","","193970","20230605025811"
"19","Data_wrangling","12487489","","14546","20230711155142"
"20","Page_fault","1157143","","8501","20230119093816"
"21","Energy_Logic","38604828","","8282","20230509181607"
"22","ACM/IEEE_Supercomputing_Conference","26528420","","44879","20230703180310"
"23","Information_silo","3620743","","6386","20230417114406"
"24","Esprit_Systems","69494267","","2105","20230212061200"
"25","Execution_model","46755114","","11305","20230218103042"
"26","IBM_1015_(terminal)","68329749","","2726","20230126215414"
"27","SuperCPU","20259897","","2631","20230109205435"
"28","North-south_traffic","64434437","","1390","20220902151046"
"29","Research_Unix","2901245","","16860","20230516130215"
"30","Java.net","4177356","","6300","20230522035815"
"31","ICL_2900_Series","2811049","","15762","20230704155812"
"32","List_of_users'_groups","3420518","","1847","20221107233556"
"33","System_on_a_chip","100563","","45704","20230707040246"
"34","Metro_Chicago_Information_Center","23390593","","4898","20220830014631"
"35","Ferranti_Perseus","57906086","","5180","20221217164716"
"36","Sistema_700","68810760","","5448","20230121145847"
"37","Window_of_opportunity","5219129","","8233","20230623154617"
"38","OSS_through_Java","2598319","","1795","20210211044227"
"39","Write_buffer","4576285","","3029","20230405152931"
"40","MSI_Wind_PC","20954268","","2983","20220822023509"
"41","Upstream_(software_development)","298558","","3343","20230511214726"
"42","MDN_Web_Docs","5235963","","11929","20230626085848"
"43","Run-Time_Abstraction_Services","2955185","","474","20211030185652"
"44","IT_History_Society","21368780","","12323","20230710163615"
"45","Minix_3","5574880","","32035","20230114220149"
"46","Nvidia_CUDA_Compiler","37864839","","3368","20220525011602"
"47","PolyAnalyst","65383730","","11358","20230722215640"
"48","Railway_costing","11486445","","4810","20230417095543"
"49","History_of_general-purpose_CPUs","9506857","","42529","20230215132919"
"50","Universal_Communication_Format","23605330","","1589","20210211042150"
"51","Chief_networking_officer","3863834","","4648","20201111202711"
"52","Automatic_content_recognition","47067031","","12833","20230712182517"
"53","SecurityFocus","3988213","","1459","20221218073319"
"54","Coordinated_Video_Timings","7090274","","5101","20230512005034"
"55","Embedded_software","638447","","8983","20230626063000"
"56","Polling_(computer_science)","4516638","","7685","20230426172906"
"57","Matching_wildcards","57373293","","14654","20230607211950"
"58","Comparison_of_USB_tv_tuner_sticks","63950011","","2197","20200514094730"
"59","Data_preservation","55810614","","12866","20220601060818"
"60","CJK_characters","160987","","7981","20230706235926"
"61","LiveCode","30890362","","18234","20230403125015"
"62","Smartphones_and_pedestrian_safety","48517975","","10520","20230430065939"
