"number","title","pageid","namespace","length","touched"
"1","War_studies","13740771","","3167","20230718173954"
"2","School_shooting","59628","","185045","20230724113222"
"3","Associate_of_Science_in_Respiratory_Care","34512290","","2442","20201211234113"
"4","EF_Education_First","26410418","","11947","20230706202608"
"5","Bachelor_of_General_Studies","941183","","2365","20230616210121"
"6","Holistic_Scoring_of_Writing","69867595","","121","20230316121604"
"7","Roma_Special_School","12540371","","1468","20220506021001"
"8","Story_Factory","58987623","","18533","20230605113330"
"9","Science,_technology,_engineering,_and_mathematics","3437663","","92722","20230726124551"
"10","Ministry_of_Education_(India)","25816045","","31641","20230801135420"
"11","The_Nova_Project","4238041","","5392","20230717062401"
"12","Ministry_of_Education_and_National_Reconciliation","67358971","","1755","20220314190855"
"13","Drug_education","2772574","","16005","20221121091928"
"14","Book-and-record_set","3087276","","2403","20230619050814"
"15","Letters_to_a_Pre-Scientist","69558423","","5623","20230326125130"
"16","Adobe_Captivate","1983995","","12577","20230214231100"
"17","The_Novel:_An_Introduction","51846707","","10164","20221119170513"
"18","Asia-Pacific_Regional_Conference_on_Service-Learning","54821799","","9914","20230721070457"
"19","Overseas_Student_Health_Cover","39906307","","4779","20230505080737"
"20","Differentiated_instruction","30872766","","32424","20230614062650"
"21","Think-pair-share","47681764","","2931","20230720024306"
"22","Cinemeducation","27113499","","3738","20230211183856"
"23","Synchronous_conferencing","8143988","","9615","20230509012036"
"24","Competency_architecture","28927392","","15787","20230713112337"
"25","National_Award_for_Excellence_in_Academic_Performance_(Spain)","37824055","","5858","20200822032123"
"26","Secular_education","827398","","5526","20221221131957"
"27","National_Repository_of_Open_Educational_Resources","45061396","","3779","20230702125251"
"28","Language_Testing","32091859","","3123","20230429223309"
"29","Capitation_fee","20509727","","35463","20230415222004"
"30","Bad_habit","16598952","","5857","20230522024336"
"31","Ministry_of_National_Education_(France)","871679","","4258","20230720190344"
"32","Tuition_fees_in_Spain","73915782","","56338","20230729224525"
"33","Wellspring_Academies","3266808","","12245","20220820183217"
"34","Small_schools_movement","2297237","","11035","20230211203612"
"35","LogoVisual_thinking","30854546","","6093","20220612032251"
"36","Sleep-learning","1197808","","11447","20230227184956"
"37","Knowledge_divide","7983699","","12047","20230509005122"
"38","Bias_in_curricula","3912778","","33309","20221216214346"
"39","The_Nutcracker,_International_Television_Contest_for_Young_Musicians","31200976","","8136","20230115082009"
"40","Hasidic_education_controversy_(New_York)","74313807","","51274","20230727191606"
"41","Discrimination_learning","20886054","","10659","20230416152203"
"42","Online_Educa_Berlin","8884982","","1779","20210927201628"
"43","George_Westinghouse_Award_(ASEE)","26856068","","4112","20201122234341"
"44","Learning_effect_(economics)","21561568","","636","20190823173842"
"45","Demerit_(school_discipline)","62028281","","3226","20230515154348"
"46","Ukraїner","68775945","","6944","20230317183411"
"47","Career_Clusters","9486045","","4255","20230425014508"
"48","NOTECHS","48456603","","10275","20230725070212"
"49","Mission_Discovery","52233436","","16800","20230316053545"
"50","How_now_brown_cow","2020038","","1596","20230730234702"
"51","Imprinting_(psychology)","187721","","18393","20230527123032"
"52","Ministry_of_Education_(Ethiopia)","57614556","","3981","20230723155540"
"53","National_Curriculum_for_Wales_(2008–2026)","42417640","","13845","20230505231625"
"54","Greenhouse_Schools_Project","7146201","","968","20221022154830"
"55","Low-residency_program","2458216","","14547","20230202190655"
"56","Training_schools_in_China","57508682","","1862","20210703071607"
"57","Quebec_Attestation_of_College_Studies","36170360","","1138","20221118071016"
"58","Service-learning_in_engineering_education","17183579","","15644","20230515190538"
"59","Synchronoptic_view","2643179","","3176","20230205201953"
"60","Two-room_school","66751812","","17340","20221111043450"
"61","Beijing_Municipal_Commission_of_Education","61253553","","3032","20221030135700"
"62","Institute_for_Monitoring_Peace_and_Cultural_Tolerance_in_School_Education","10937123","","14496","20230220015719"
"63","Northern_Ireland_Curriculum","42418203","","6252","20220911205740"
"64","Personal_Development,_Health_and_Physical_Education","13350625","","1209","20230727132010"
"65","Penny_Crane_Award_for_Distinguished_Service","44419959","","1696","20230530141231"
"66","Saint_Francis_College_–_Guihulngan","31319155","","1294","20220829054933"
"67","STARSHINE_(satellite)","7784845","","4681","20230612005823"
"68","Wallace_v._Jaffree","183448","","17303","20230615124030"
"69","Specific_developmental_disorder","2242421","","8039","20221110225547"
"70","Excellence_and_equity","9857554","","4421","20230408121742"
"71","History_of_institutions_for_deaf_education","63287127","","26871","20230606022313"
"72","Montessori_dei_San_Lorenzo","33483570","","1158","20230528020018"
"73","Notre_Dame_of_Isulan","36708944","","1887","20230113045747"
"74","Education_sciences","11719855","","25930","20230722085853"
"75","Bootstrap_curriculum","47502460","","10577","20221015233917"
"76","Education_in_Saint_Kitts_and_Nevis","18100364","","1214","20230408121610"
"77","Learning_analytics","28486111","","60929","20230517091530"
"78","Ministry_of_Education_(Rwanda)","44055488","","4003","20200430025723"
"79","Wisconsin_Center_for_the_Advancement_of_Postsecondary_Education","9091662","","5869","20190216020735"
"80","Ministry_of_Education_(Taiwan)","11753451","","19215","20230619193540"
"81","MEDEA_Awards","32474609","","4661","20221201151650"
"82","Dicastery_for_Culture_and_Education","70961843","","6597","20230429204952"
"83","Bachelor's_Degree_Extraordinary_Award","61302048","","9728","20221015213231"
"84","Academic_specialization","21490880","","3198","20230430113743"
"85","Chrysalis_(boarding_school)","30065745","","2253","20230508133244"
"86","Educarchile","36706464","","2139","20230531064832"
"87","Commonwealth_Register_of_Institutions_and_Courses_for_Overseas_Students","7332005","","24296","20230421040525"
"88","Beca_(garment)","12102187","","1496","20230316200805"
"89","Training_management_system","54493227","","5808","20230729182359"
"90","Indigenous_education_in_Canada","64794568","","3068","20230127214452"
"91","Digital_media_in_education","60513764","","23762","20230213005918"
"92","Ministry_of_Public_Education_(Italy)","17747623","","10988","20221119131628"
"93","Ministry_of_Science_and_Higher_Education_(Poland)","18967579","","6540","20221014162229"
"94","Cascade_school","73756062","","6881","20230704124447"
"95","Educational_management","58651179","","50539","20230613231739"
"96","National_Survey_of_Student_Engagement","5022384","","10020","20230702025915"
"97","Instructional_theory","15014","","13520","20220512123933"
"98","Network_for_Education_and_Academic_Rights","12414897","","2515","20220730164647"
"99","M-learning","1420232","","40179","20230725054148"
"100","Volksschule","1511778","","3516","20230109122032"
"101","Central_composite_design","6252669","","4979","20230605111146"
"102","List_of_autodidacts","31350029","","62039","20230729233855"
"103","Future_Problem_Solving_Program_International","37470376","","11835","20230626161943"
"104","Legacy_preferences","2054729","","27819","20230730182940"
"105","Vocational_school","663857","","29903","20230722160316"
"106","K-5_(education)","3407585","","968","20220228051514"
"107","Show_and_tell","23911980","","5478","20221111150630"
"108","Confidence_weighting","38739810","","5055","20230613052128"
"109","Outline_of_academic_disciplines","242710","","68075","20230625144808"
"110","James_Joule_Medal_and_Prize","62669390","","7864","20230611153016"
"111","The_Hidden_Curriculum","1191780","","5922","20230522141800"
"112","Schmerenbeck_Educational_Centre_for_Gifted_and_Talented_Children","25114247","","4285","20230321083914"
"113","Free_university","54982526","","4948","20220803001939"
"114","How_to_Read_a_Book","202654","","19190","20230728133437"
"115","Pointer_(rod)","5933040","","2308","20220929124635"
"116","Informal_education","10096030","","10243","20230622043144"
"117","Dylan_Wiliam","47918654","","8180","20230408121527"
"118","Ministry_of_Religious_Affairs_and_Public_Education_(Russia)","29923965","","1461","20230512173254"
"119","Ministry_of_General_Education","56849736","","2747","20220410000421"
"120","Advanced_postgraduate","26257986","","1235","20220824025940"
"121","Externship","1710902","","6601","20230405221008"
"122","UK_Chess_Challenge","6050040","","4153","20220107032107"
"123","Lautsi_v._Italy","24970425","","12354","20230205112703"
"124","Seductive_details","46781540","","17432","20220114005825"
"125","Conditioned_emotional_response","34967526","","6442","20230316224748"
"126","Working_class_education","20391957","","11849","20230711235043"
"127","Passive_review","53585","","2030","20230205195730"
"128","Old_West_Academy","8775663","","5237","20230529113922"
"129","Scholastic_probation","28682955","","1845","20230728205055"
"130","Physical_education","217324","","21701","20230720091821"
"131","St._Therese_Educational_Foundation_of_Tacloban,_Inc.","31311141","","1411","20230801082543"
"132","Providing_Assistance_for_Girls_Advancement_in_Technical_Education_Initiative","44310518","","1081","20230205201720"
"133","Web_Experimental_Psychology_Lab","576227","","1314","20230411223546"
"134","French_law_on_secularity_and_conspicuous_religious_symbols_in_schools","434190","","54561","20230625003743"
