"number","title","pageid","namespace","length","touched"
"1","Albedo","39","","64210","20230625155404"
"2","Aristotle","308","","159401","20230702005514"
"3","Animation","593","","70183","20230704003124"
"4","Aldous_Huxley","628","","58847","20230628110856"
"5","Assistive_technology","653","","64715","20230702171219"
"6","Abacus","655","","51280","20230624145211"
"7","Bitumen","657","","94084","20230625023033"
"8","American_National_Standards_Institute","659","","16466","20230518034031"
"9","Adobe","682","","28220","20230701052258"
"10","Android_(robot)","713","","30701","20230527102218"
"11","Algorithms_(journal)","742","","3756","20230525103606"
"12","Alfred_Korzybski","784","","15051","20230625044540"
"13","Alfred_Nobel","851","","35462","20230628151950"
"14","Alexander_Graham_Bell","852","","144120","20230703180813"
"15","Antimony","898","","58492","20230525144908"
"16","Aluminium","904","","139745","20230630182032"
"17","Arne_Kaijser","910","","2768","20230112223922"
"18","Analog_signal","993","","4828","20230517034758"
"19","Telecommunications_in_Antigua_and_Barbuda","1072","","6064","20230625095458"
"20","Assembly_line","1146","","34585","20230627095308"
"21","Artificial_intelligence","1164","","195764","20230702221631"
"22","Architect","1170","","28319","20230623192742"
"23","Alloy","1187","","39780","20230218065655"
"24","Applet","1202","","8576","20230422094545"
"25","Alan_Turing","1208","","139125","20230629212234"
"26","Artist","1212","","7910","20230621133624"
"27","Telecommunications_in_Anguilla","1223","","4831","20230109003914"
"28","Acoustic_theory","1234","","11785","20210719002250"
"29","André-Marie_Ampère","1363","","20801","20230521135308"
"30","Assembly_language","1368","","91319","20230702080117"
"31","Alan_Kay","1449","","24205","20230506135823"
"32","Apollo_program","1461","","151290","20230527054231"
"33","Kolmogorov_complexity","1635","","41669","20230703140219"
"34","Ibn_al-Haytham","1645","","130072","20230628093332"
"35","Acre","1797","","35686","20230628103554"
"36","Allotropy","1839","","23373","20230320095609"
"37","Archimedes","1844","","102250","20230701022500"
"38","ASCII_art","1884","","54206","20230509010648"
"39","Alessandro_Volta","1923","","26419","20230626215059"
"40","Andrew_Carnegie","1938","","116993","20230625102601"
"41","A._J._Ayer","2018","","39352","20230607193614"
"42","Avionics","2039","","25398","20230630134226"
"43","Auguste_and_Louis_Lumière","2083","","18390","20230620215148"
"44","Ansible","2106","","14637","20230604145529"
"45","List_of_artificial_intelligence_projects","2142","","14126","20230518170709"
"46","Arcology","2193","","16164","20230614085737"
"47","Aage_Bohr","2201","","24576","20230621205302"
"48","Audio_signal_processing","2322","","12121","20230424142148"
"49","Abbe_number","2330","","8149","20230331223559"
"50","Analog_television","2393","","62819","20230630103117"
"51","Adhesive","2396","","39693","20230628002820"
"52","Analytical_chemistry","2408","","32343","20221009164901"
"53","Analog_computer","2428","","53224","20230628033302"
"54","Abacá","2473","","37268","20230602065739"
"55","Amazonite","2487","","15028","20230419214325"
"56","Asynchronous_communication","2506","","5736","20230618023202"
"57","Automated_theorem_proving","2546","","24812","20230614130305"
"58","Abated","2604","","523","20230612194623"
