"number","title","pageid","namespace","length","touched"
"1","AHCC","8837273","","9675","20230601084349"
"2","Health_effects_of_tea","808818","","22654","20230511154311"
"3","Enforcement_actions_against_açaí_berry_supplement_manufacturers","28407565","","5715","20200907061857"
"4","World_Vegan_Day","1067627","","7113","20230412015920"
"5","Zinc_L-carnosine","50877466","","18354","20230528065903"
"6","Food_libel_laws","416493","","23450","20230607230215"
"7","Social_class_differences_in_food_consumption","32836040","","43271","20230602113037"
"8","The_Trussell_Trust","41428595","","8399","20230620122718"
"9","Food_security","216361","","254799","20230703193208"
"10","Zinc_picolinate","39013812","","2497","20230612203018"
"11","Uprisings_led_by_women","34296866","","53144","20230321110918"
"12","Acetylcarnitine","5518664","","16136","20230514091641"
"13","Adverse_food_reaction","27783337","","1071","20230308103329"
"14","Tryptophan","58358","","44539","20230629100154"
"15","Cover_charge","2598754","","28164","20221222231344"
"16","Urea-molasses","33980768","","3152","20221011080055"
"17","Ag-gag","39272608","","33199","20230210202800"
"18","Drinking","66254","","15146","20230623171545"
"19","Standards_of_identity_for_food","7594365","","5354","20211111123648"
"20","National_Vodka_Day","37198018","","3774","20230617020658"
"21","Azerizin","41192354","","5073","20230521212756"
"22","Les_Routiers","36607320","","2961","20230624105726"
"23","Food_biodiversity","5111481","","8327","20220613203900"
"24","Livestock's_Long_Shadow","13641917","","15078","20220315141708"
"25","Tales_of_the_Cocktail","52849389","","6577","20230512054200"
"26","2010_Indian_onion_crisis","30292739","","6763","20220522081645"
"27","Mud_ring_feeding","49839242","","2797","20230504181149"
"28","Outline_of_cuisines","39466243","","12767","20230504052314"
"29","Coral_calcium","2590808","","4721","20210721012112"
"30","Kleptopharmacophagy","68692916","","9600","20220209065504"
"31","List_of_assets_owned_by_Recipe_Unlimited","1114089","","2136","20230531214352"
"32","Fidel_Castro_and_dairy","72958215","","7333","20230519154008"
"33","Millbank_bag","26835066","","1508","20211107175855"
"34","Gender_and_food_security","35668691","","56359","20230415015353"
