"number","title","pageid","namespace","length","touched"
"1","Ice_pigging","33227331","","8002","20230714065740"
"2","Esquilache_Riots","3186008","","13901","20230401071827"
"3","Huamo","56671606","","1185","20220820193718"
"4","Whey_protein","1525498","","13809","20230405111628"
"5","Magen_Tzedek","11307576","","11930","20230418212602"
"6","Distilled_water","106242","","16878","20230605205322"
"7","Chondroitin_sulfate","504825","","35049","20230524035342"
"8","Food_competition","21339283","","3569","20220625093135"
"9","Algas_calcareas","42836424","","2164","20230322213355"
"10","Plant_expressed_vaccine","28280299","","3937","20230719220035"
"11","Bread_in_culture","51793268","","27962","20230613105051"
"12","Prozis","53378556","","16323","20230206150153"
"13","List_of_serving_utensils","36180638","","760","20230710143332"
"14","Meals_on_Wheels","1739803","","34190","20230525184754"
"15","Cycloastragenol","31222470","","8028","20230430153836"
"16","Food_Assistance_Convention","35807665","","5538","20220416084449"
"17","Non-protein_nitrogen","15234661","","2415","20230425134323"
"18","Food_industry","2437974","","35603","20230720203304"
"19","Expiration_date","47412303","","36257","20230722202723"
"20","WASH","30777141","","121983","20230709041750"
"21","Ag-gag","39272608","","32672","20230720230706"
"22","Ovoferrin","22692486","","1831","20190901014022"
"23","List_of_foodborne_illness_outbreaks_by_death_toll","33350084","","34765","20230501232031"
"24","Food_intolerance","1395311","","66348","20230421045818"
"25","Parable_of_the_Great_Banquet","4465009","","13126","20230523122006"
"26","Degustation","2832638","","2458","20210304172252"
"27","Nascent_iodine_(dietary_supplement)","1213139","","2674","20230407145341"
"28","Food_Balance_Sheet","26064110","","6346","20181227130432"
"29","Radio_Malt","12751855","","2691","20221125214914"
"30","Chromium(III)_picolinate","2876898","","46574","20230708132216"
"31","Organic_food","17345999","","104373","20230712000621"
"32","Chew_the_fat","28336009","","9215","20230509212844"
"33","Policosanol","2128713","","6254","20221214113214"
"34","Champagne_socialist","402577","","15757","20230406094305"
"35","King_of_cheeses","47675977","","3261","20230531194623"
"36","The_Philosophy_of_Eating","40848531","","3786","20220710181047"
"37","Big-game_hunting","6065207","","20216","20230713090706"
"38","Hangover_remedies","54686588","","29209","20230608083601"
"39","Local_food","233373","","27990","20230617193927"
"40","List_of_countries_by_tea_consumption_per_capita","9284937","","7227","20230610175449"
"41","Philosophy_of_eating","40023871","","5737","20230219075210"
"42","Zinc_gluconate","3263878","","10286","20220820194718"
"43","Flour_War","25686342","","18065","20230403033232"
"44","Putrefaction","232412","","15917","20230319181626"
"45","Dine_and_dash","3220692","","7375","20230722165155"
"46","Boston_bread_riot","2503716","","2019","20230405172725"
"47","Angelica_sinensis","1568000","","6808","20230520212524"
"48","Multiple-effect_humidification","4981136","","1272","20220530234036"
"49","Eaternity","71952048","","4586","20230412022317"
"50","Contagious_Diseases_(Animals)_Act","59660049","","3688","20230313174347"
"51","Colostrum","525722","","55113","20230708124143"
"52","Chlorophyllin","6932580","","8649","20230129204717"
"53","Rolled_oats","2762999","","6108","20230605152210"
"54","Electronic_tongue","8736698","","5494","20230203035631"
"55","Bread_crumbs","1277062","","7235","20230416105115"
"56","Food_policy","3766266","","75347","20230721123401"
"57","Declaration_of_the_World_Food_Summit:_five_years_later","36306507","","1981","20220324163854"
"58","1981_Moroccan_riots","64137300","","4374","20230304145710"
"59","Health_effects_of_wine","3187173","","43034","20230505231751"
"60","Asian_Restaurant_and_Takeaway_Awards","74134873","","6398","20230714195904"
