"number","title","pageid","namespace","length","touched"
"1","National_Geographic_Maps","16702922","","2613","20230607122851"
"2","132nd_meridian_west","21424811","","3069","20220916193524"
"3","Turin_Papyrus_Map","2115139","","6508","20230707184819"
"4","Hydroelectricity","381399","","55515","20230714121704"
"5","Desert","18955999","","112153","20230713004400"
"6","List_of_geography_awards","62770526","","10995","20221127120905"
"7","Exploration","72826783","","18332","20230705000734"
"8","Desert_varnish","46790","","8851","20230218230003"
"9","List_of_political_and_geographic_subdivisions_by_total_area_from_1,000_to_3,000_square_kilometers","18255139","","58924","20230710164345"
"10","Landlocked_developing_countries","3439019","","19114","20230420200808"
"11","Evelyn_Pruitt","72333323","","16762","20230623200550"
"12","13th_meridian_west","20941793","","2937","20220916154514"
"13","Armenia_Time","21155103","","2421","20230519213405"
"14","Egypt_Standard_Time","4882359","","5655","20230623201518"
"15","161st_meridian_east","21354155","","3549","20220915231154"
"16","136th_meridian_west","21424597","","2760","20220915205159"
"17","First-level_NUTS_of_the_European_Union","21916773","","31931","20230531022851"
"18","East_Africa_Time","6855294","","2130","20220311200523"
"19","Georelational_data_model","18582899","","6148","20230110233407"
"20","Arbia's_law_of_geography","71513084","","11435","20230703175240"
"21","Classification_of_Indian_cities","4123575","","17653","20230607182807"
"22","Telmatology","49926495","","426","20211009192157"
"23","Eastern_European_Time","915761","","11769","20230611142216"
"24","138th_meridian_west","21424416","","2115","20220915205219"
"25","93rd_meridian_west","21169263","","4405","20220916192747"
"26","List_of_countries_by_organic_farmland","70121486","","21641","20220905191729"
"27","Hjulström_curve","5949047","","3665","20220630121738"
"28","111th_meridian_west","8756679","","5116","20230212211156"
"29","List_of_countries_by_home_ownership_rate","26470024","","16768","20230705052447"
"30","5th_meridian_east","18620030","","3690","20220916133127"
"31","Massey_Medal","7957331","","3147","20230718131646"
"32","103rd_meridian_east","21224407","","4858","20220915232401"
"33","Collective_landscape","5232329","","2150","20220616225157"
"34","Sixth_principal_meridian","16129619","","2775","20230402023733"
"35","Land_systems_of_Western_Australia","38263069","","5840","20220822191322"
"36","Tunnel_network","52760151","","9212","20220918065546"
"37","Squalicum_Creek","74234061","","2435","20230722140905"
"38","Erythraean_Sea","8973755","","10749","20230429221558"
"39","Timeline_of_astronomical_maps,_catalogs,_and_surveys","58952","","10187","20230227173517"
"40","1st_meridian_west","20926220","","4574","20220916134643"
"41","36th_meridian_east","20982044","","5056","20220916124138"
"42","List_of_popular_place_names","3710289","","2271","20220321183257"
"43","Geosophy","4120316","","2049","20191227052922"
"44","Landscape_mythology","19058442","","4311","20201116101909"
"45","101st_meridian_west","8755067","","6122","20220916192909"
