"number","title","pageid","namespace","length","touched"
"1","Metal_Ages","73561204","","1299","20230615230525"
"2","Leuchter_report","634124","","31702","20230523140030"
"3","List_of_historical_cuisines","44796268","","2189","20220921225728"
"4","Presentism_(literary_and_historical_analysis)","2687740","","6849","20230422151552"
"5","List_of_the_oldest_mosques","29616534","","92678","20230722223439"
"6","Société_de_l'histoire_de_France","8066775","","3342","20230408105321"
"7","Astronomical_year_numbering","2551","","9425","20230318091849"
"8","Historical_urban_community_sizes","5778710","","127905","20230722011729"
"9","Circumnavigation_world_record_progression","46619228","","15156","20230610142841"
"10","François-Xavier_Garneau_Medal","64626094","","2379","20220113144823"
"11","Feudal_maintenance","25897509","","584","20200410131932"
"12","Akakor","18285414","","1489","20230702170717"
"13","Department_of_Archaeology,_University_of_Sheffield","67738787","","39244","20230531042104"
"14","Afrocentrism","194624","","65069","20230706181500"
"15","Venus_tablet_of_Ammisaduqa","1157399","","9809","20230511095826"
"16","Biblical_literalist_chronology","41005444","","208080","20230603065705"
"17","Octamasadas","27108302","","3629","20230622081919"
"18","Timeline_of_geopolitical_changes_(before_1500)","65716034","","130625","20230531162749"
"19","Hall_boy","1755347","","3270","20230123141306"
"20","List_of_duels","270756","","85970","20230714104930"
"21","Khazar_hypothesis_of_Ashkenazi_ancestry","41039874","","109964","20230707095712"
"22","Nouvelle_histoire","32477724","","5338","20230405002226"
"23","Landscape_archaeology","670499","","33607","20230718002252"
"24","Historiography_of_Juan_Manuel_de_Rosas","35060585","","39980","20221223212854"
"25","Historikerstreit","1494870","","219512","20230719125533"
"26","Bailleur","5901268","","817","20230316161831"
"27","List_of_Confucian_states_and_dynasties","64783893","","15759","20230711190609"
"28","Tales_from_Te_Papa","29635868","","25806","20230412122244"
"29","Debate_on_the_Chineseness_of_the_Yuan_and_Qing_dynasties","70913289","","32001","20230518053928"
"30","Dominant_narrative","47751863","","19744","20230628211644"
"31","History_of_catering","74400681","","9440","20230721091943"
"32","African_Queens_(TV_series)","73555077","","36474","20230721205325"
"33","Charles_William_Meredith_van_de_Velde","37091180","","5075","20220825082850"
"34","Older_Dryas","3194691","","26620","20230530231905"
"35","Exploration_of_the_Americas","28341403","","580","20230320201834"
"36","2002_World_Monuments_Watch","24150210","","20629","20230701223320"
"37","Sandy_Hook_Elementary_School_shooting_conspiracy_theories","38238581","","63886","20230619124115"
"38","Champaran_District","9457202","","1503","20230416070633"
"39","Pratapgad","2205101","","9523","20230714060358"
"40","Babylon_Mystery_Religion","8928469","","1856","20221002215203"
"41","Index_of_Sasanian_Empire–related_articles","65843983","","6362","20220711153657"
"42","Date_of_birth_of_Jesus","49730752","","55078","20230721195059"
"43","Christian_Identity","190348","","50081","20230719042632"
"44","Era_of_the_Martyrs","1390423","","4376","20230715190644"
"45","The_Old_Straight_Track","1390457","","4058","20221109122317"
"46","Chariots_of_the_Gods?","313864","","24639","20230710221518"
"47","Outline_of_the_history_of_Western_civilization","35835705","","84972","20230703003441"
"48","2020_World_Monuments_Watch","66973188","","7244","20221224150648"
"49","Sybel-Ficker_controversy","54952806","","14177","20230314080049"
"50","Historians_without_Borders","57324417","","4739","20220810145852"
"51","Dalitstan.org","5437852","","5535","20230620014853"
"52","The_Jew_of_Linz","2311313","","16626","20201129013245"
"53","Index_of_history_articles","6830515","","19590","20230613002950"
"54","2010_World_Monuments_Watch","24617690","","18852","20220501124617"
"55","Chronology_of_Shakespeare's_plays","311052","","316001","20230702221623"
"56","Holberg_Prize","3480941","","33951","20230612200251"
"57","Moorish_Science_Temple_of_America","1072855","","45141","20230524190613"
"58","Timeline_of_Scottish_nationalism","63183666","","3955","20211103210220"
"59","Diplomatics","639170","","15180","20211025203411"
"60","Historical_negationism","26092","","171768","20230720201455"
"61","Lost_Cause_of_the_Confederacy","1405473","","131626","20230719184421"
"62","Prize_for_Military_History","58754268","","7851","20230419012058"
"63","List_of_wars_between_democracies","6152771","","20658","20230630172510"
"64","Metahistorical_romance","9976532","","5116","20230701151020"
"65","2016_World_Monuments_Watch","49004682","","4281","20210809213212"
"66","Sustainable_preservation","23036926","","5959","20230223021403"
"67","Nanjing_Massacre_denial","22079251","","33930","20230611181225"
