"number","title","pageid","namespace","length","touched"
"1","Internal_Market_Information_System","28256821","","9264","20230220151442"
"2","Real-time_data","4169615","","4508","20230730141029"
"3","Internal_Security_Assessor","56666301","","3038","20221218234856"
"4","Definitive_diagnostic_data","43358208","","1276","20170823091221"
"5","Raw_intelligence","56688185","","4711","20220203194117"
"6","Association_for_Information_Systems","4375705","","5699","20230421122911"
"7","National_Library_(Vanuatu)","23642000","","2740","20200414121633"
"8","León_de_Greiff_Library","39935356","","2689","20230215142035"
"9","National_Archives_of_Austria","43773670","","1965","20230627122418"
"10","Fact_sheet","599325","","3592","20220726005639"
"11","Alexander_Campbell_King_Law_Library","9953543","","2301","20220611231238"
"12","List_of_libraries_owned_by_Metro-Goldwyn-Mayer","69583537","","8705","20230731142039"
"13","Mechanic_Apprentices_Library_Association","29068549","","9446","20210527120027"
"14","Traffic_reporting","4646227","","5819","20230305081249"
"15","Master_of_Business_Systems","31898211","","3076","20220516135821"
"16","Data_center_security","57793246","","22065","20230315013600"
"17","Geopolitical_ontology","20250365","","15087","20230402105054"
"18","Executive_information_system","786016","","11453","20230723210326"
"19","Heritage_Operations_Processing_System","41902674","","4528","20230711180829"
"20","Homer_D._Babbidge_Library","25122732","","4212","20220923093318"
"21","Media_lock-up","49358145","","6847","20200330161710"
"22","Libraries_and_the_LGBT_community","41358634","","65606","20230617145055"
"23","Website_Meta_Language","290279","","3246","20230402203649"
"24","OCLC_PICA","4710872","","2597","20210727032544"
"25","Outage_probability","53545555","","1394","20180814191542"
"26","Guerrilla_librarian","24938530","","6362","20221221071502"
"27","News_style","164062","","18512","20230327045722"
"28","Source_bias","67800457","","3403","20230319212027"
"29","System_for_Electronic_Document_Analysis_and_Retrieval","2240380","","218","20210514021649"
"30","Zentral-_und_Hochschulbibliothek_Luzern","44675477","","828","20200102122511"
"31","Encyclopaedistics","66049941","","5691","20230512005914"
"32","Königsberg_State_and_University_Library","37989618","","18146","20230120111007"
"33","Skemman","57923123","","3028","20230601023657"
"34","Document_classification","1331441","","13142","20230315024502"
"35","Semantic_desktop","10218448","","8725","20230314192320"
"36","National_Library_of_Jordan","14513691","","3429","20230420153910"
"37","Digital_researcher","27293278","","5184","20230116111324"
"38","New_Mexico_State_Library","58471581","","2096","20220812160003"
"39","Zentralbibliothek_Zürich","19742816","","3398","20230213033427"
"40","Fact","58617","","20734","20230609193027"
"41","Public_Library_of_Youngstown_and_Mahoning_County","7266597","","5898","20221124120040"
"42","Spot_the_difference","3095791","","1496","20230706180413"
"43","Gibbs'_inequality","2035678","","5588","20230529144808"
"44","Georeferencing","4951472","","13335","20230501020731"
"45","Ana_Ilce_Gómez_Ortega","65450921","","8784","20221004214101"
