"number","title","pageid","namespace","length","touched"
"1","Index_(publishing)","1308395","","23926","20230523103502"
"2","National_Library_of_the_Democratic_Republic_of_Congo","41035545","","3947","20230215142303"
"3","Eclipse_(software_suite)","31899397","","8129","20221201092422"
"4","Comparative_psychology","380406","","25653","20230717114838"
"5","Outline_of_library_and_information_science","3405279","","15688","20230126112354"
"6","Data_acquisition","155319","","9189","20230623025113"
"7","PUBLIB","19425195","","3637","20180716222807"
"8","Association_library","45619110","","1241","20220903150931"
"9","Positive_statement","2969423","","2444","20230131105724"
"10","Knowledge_industries","58420698","","6036","20230714122324"
"11","Mississippi_Library_Commission","65964090","","2998","20201207192123"
"12","Extremely_online","65859455","","35545","20230519042751"
"13","Thimblemill_Library","45380963","","3328","20191112192321"
"14","Telephone_banking","6222524","","3388","20220920195659"
"15","Cultural_informatics","35712222","","133","20120716023915"
"16","Records_management_taxonomy","16948699","","2410","20230610132322"
"17","LabVantage","22526294","","9013","20220610190412"
"18","Generalized_entropy_index","29735221","","3710","20221202073123"
"19","Information_subsidy","891156","","2817","20230223110057"
"20","Theil_index","2622137","","19284","20230424202150"
"21","Z-Division","9347306","","2082","20230228195702"
"22","Media_lock-up","49358145","","6847","20200330161710"
"23","Deutsch-Amerikanisches_Institut_Tübingen","5116432","","1947","20210712161334"
"24","Complex_event_processing","1357045","","19903","20230409184101"
"25","Integrated_Operations_in_the_High_North","22713707","","8954","20230701002352"
"26","Quantum_t-design","20210883","","14420","20230213021038"
"27","Telephone_newspaper","14155024","","37102","20230502115326"
"28","Forest_informatics","30444145","","7536","20230323045814"
"29","Information_system","237495","","51961","20230716161645"
"30","Stunt_girl","70898090","","10642","20230227221207"
"31","Ontology_alignment","4696039","","11825","20230126093432"
"32","Bibliothèque_du_cinéma_François-Truffaut","47607108","","2382","20191027030643"
"33","Difference_feminism","358999","","8001","20230101201441"
"34","CAcert.org","355054","","9548","20230516094959"
"35","List_of_library_associations","1488142","","17514","20230622100813"
"36","Beth_Montague-Hellen","73627917","","5278","20230714104721"
"37","Surprisal_analysis","37737648","","11134","20220802193320"
"38","Knowledge_extraction","31002435","","54699","20230415044238"
"39","Warrington_Circulating_Library","40647033","","2030","20220611230854"
"40","Military_library","69387201","","4516","20211129003107"
"41","Confidentiality_club","42900197","","2022","20221231055112"
"42","Protocol_implementation_conformance_statement","17905412","","1636","20221022202030"
"43","Electronic_markets","33712216","","4677","20220821113648"
"44","Design_matrix","949189","","9164","20230703080746"
"45","National_Privacy_Commission","52618454","","10375","20230720074847"
"46","Information_literacies","63125632","","195","20230702090355"
"47","Aviation_Research_Centre","7105620","","16749","20230314160238"
"48","Applied_Information_Science_in_Economics","33237904","","2538","20191009145620"
"49","Work_systems","13336525","","21898","20210304002901"
"50","Nat_(unit)","3070481","","3891","20220821231615"
"51","Total_correlation","6961430","","7696","20211209165841"
"52","Outline_of_journalism","35694432","","23262","20201003185234"
"53","Comparison_of_Standard_Mandarin_transcription_systems","9319052","","115382","20230717023530"
"54","Toy_library","27451812","","1839","20191016135631"
"55","Journalistic_interventionism","35439906","","14056","20201001015556"
"56","Comparison_of_European_road_signs","18379726","","262337","20230715133353"
"57","Tryte","1313617","","232","20170609015041"
"58","Maryland_State_Library","65955668","","4258","20230503155215"
"59","Many_antennas","19272910","","3158","20230415034328"
"60","United_States_Telephone_Herald_Company","50226584","","35873","20230317222353"
"61","Global_information_system","22769766","","4057","20221213165242"
"62","Sentence_(linguistics)","870352","","12243","20230610183724"
"63","Archivo_Histórico_Provincial_de_Granada","38879789","","854","20220113020401"
"64","Wrecksite","61275946","","2602","20211230181837"
"65","Plant_Information_Management_System","53108519","","1958","20230522163517"
"66","Santa_Barbara_Library","20563274","","2873","20230611125500"
"67","News_style","164062","","18512","20230327045722"
"68","Legal_expert_system","37447771","","20982","20230130004621"
"69","Library_branch","52141053","","1888","20221216234330"
"70","African_Library_and_Information_Associations_and_Institutions","63964548","","44496","20230720192832"
"71","Research_and_Analysis_Wing","812086","","175308","20230721200823"
"72","Asian_Centre_academic_library,_Vancouver","52660616","","1841","20210910214138"
"73","Sound_and_music_computing","30671765","","10685","20230620092824"
"74","Sourcebook","2112164","","1614","20230515191836"
"75","Punta_Gorda_Woman's_Club","7152054","","2226","20220215220513"
"76","Extended_Access_Control","17271357","","7090","20220922154445"
"77","History_of_information_theory","5642452","","13184","20230116074559"
"78","Dublin_Core","8742","","19633","20230703131605"
"79","Nyquist–Shannon_sampling_theorem","37864","","49691","20230712091827"
"80","Key_Word_in_Context","41908","","5993","20230508133649"
"81","Cyber_spying_on_universities","58901595","","6476","20200520000315"
"82","Data_collaboratives","66900757","","22425","20230410013147"
"83","Foreign,_comparative,_and_international_law_librarian","37354201","","940","20201122144318"
"84","GigaDB","61186398","","3605","20230529234721"
"85","Global_journalism","53814691","","11844","20230720150620"
"86","Quincy_Library","7142371","","3791","20230428152053"
"87","Privacy_and_Electronic_Communications_Directive_2002","10927720","","11329","20230103164707"
"88","Electronic_Case_Filing_System","12840831","","5246","20200619044139"
"89","Lovász_number","28111101","","16008","20230710111755"
"90","Comparison","56112446","","11372","20230527172410"
"91","Parallel_adoption","4716097","","30675","20230406200449"
"92","German_Emigrants_Database","42885134","","6876","20210628025431"
"93","Solano_County_Library","5581547","","3071","20220822225724"
"94","Proebsting's_paradox","19739736","","8532","20220706100846"
"95","LAC_Group","15541688","","6889","20230530172350"
"96","VAT_Information_Exchange_System","25218908","","3563","20221125092227"
"97","Preference_elicitation","2596491","","1671","20190919181024"
"98","Digital_researcher","27293278","","5184","20230116111324"
"99","Section_108_Study_Group","14632816","","7648","20220825004348"
"100","Urban_and_Regional_Information_Systems_Association","35767706","","9682","20210724003746"
"101","Legal_deposit","629729","","63900","20230613014224"
"102","Tertiary_source","1007243","","5595","20230715075215"
"103","Public_Libraries_Act_1855","41576465","","1369","20230627152235"
"104","Megabit","376259","","4335","20221005232207"
"105","Concordance_(publishing)","2937111","","9671","20230102123004"
"106","Leila_Ross-Shier","62701132","","2848","20220619110117"
"107","Deutsche_Fotothek","22217253","","7950","20230531231008"
"108","Summer_reading_program","63071538","","3222","20230208015637"
"109","Market_moving_information","2141578","","1585","20211217111047"
"110","Decimal_degrees","3774825","","6244","20230219034335"
"111","Library","17727","","79670","20230710225358"
"112","Exformation","4245410","","3279","20220728153422"
"113","Information_exchange","10677746","","7827","20230718163258"
"114","Note_(typography)","330432","","20017","20230706082218"
"115","Simple_non-inferential_passage","35650663","","4085","20230413033052"
"116","Tag_(metadata)","1707086","","41350","20230717072641"
"117","Credence_good","2512082","","170","20180812223117"
"118","Quantum_computing","25220","","103899","20230714122718"
"119","Living_Newspaper","2301845","","23265","20230505213732"
"120","The_Social_Life_of_Information","4525101","","3365","20201111053657"
"121","Helsinki_Metropolitan_Area_Libraries","41816887","","4740","20230416213042"
"122","Noisy-channel_coding_theorem","3474289","","15787","20230620203855"
"123","Bagaduce_Music_Lending_Library","5132180","","1470","20221128164351"
"124","Nonstructural_Fuzzy_Decision_Support_System","20748299","","166","20160915105727"
"125","Trends_in_library_usage","25445630","","44531","20230705172538"
"126","Architectural_reprography","10722339","","13648","20220709081042"
"127","Königsberg_Public_Library","37979711","","3732","20221031055920"
"128","Outline_of_information_technology","7531440","","13428","20230617013358"
"129","Redondo_Beach_Public_Library","50621652","","1493","20220218062109"
"130","London_Education_Classification","51907322","","3898","20220623040635"
"131","Swedish_Commission_on_Security_and_Integrity_Protection","47511501","","3561","20200508031200"
"132","Juan_Ramón_Molina_National_Library","13833077","","2462","20220120011648"
"133","AIM25","18223914","","2458","20230412222617"
"134","Documentation","164430","","15892","20230319022007"
"135","Innovative_Interfaces","5122880","","11029","20221219191818"
