"number","title","pageid","namespace","length","touched"
"1","Amazing_Grace","1395","","64246","20230629165823"
"2","Andrew_Carnegie","1938","","116993","20230625102601"
"3","Antonio_Canova","2064","","38443","20230703052345"
"4","The_Birth_of_a_Nation","3333","","122007","20230628173759"
"5","Blade_Runner","3746","","136394","20230628181600"
"6","Blazing_Saddles","3837","","45642","20230701010656"
"7","Balfour_Declaration","4820","","240168","20230516195947"
"8","Robert_Bellarmine","4878","","37156","20230607024837"
"9","Citizen_Kane","5224","","244437","20230703234358"
"10","Casey_at_the_Bat","5808","","47127","20230702012517"
"11","Destry_Rides_Again","7906","","15965","20230430190706"
"12","Dr._Strangelove","8695","","84139","20230630214041"
"13","Emanuel_Leutze","9683","","15634","20230529193613"
"14","Edwin_Austin_Abbey","9700","","18797","20230622065236"
"15","Ezra_Abbot","10118","","11202","20230425045251"
"16","Enter_the_Dragon","10193","","70878","20230702210244"
"17","Gottfried_Wilhelm_Leibniz","12281","","154150","20230703070339"
"18","Girolamo_Aleandro","12482","","6568","20230209232419"
"19","Harold_and_Maude","13290","","35327","20230609042453"
"20","Jorge_Luis_Borges","15781","","111779","20230701101944"
"21","Jean-Jacques_Ampère","15998","","3235","20230405201918"
"22","J._Edgar_Hoover","16044","","112156","20230703040637"
"23","King_Kong_(1933_film)","16782","","55821","20230626034821"
"24","Laura_Bush","17528","","141322","20230619064225"
"25","Forever_Changes","17549","","37732","20230501215304"
"26","Library_of_Alexandria","17726","","85055","20230702042051"
"27","Library","17727","","79678","20230629233722"
"28","Lund_University","17843","","65616","20230512115117"
"29","Library_of_Congress_Classification","18327","","58257","20230623165836"
"30","Master_of_Puppets","18756","","68318","20230626112626"
"31","Mean_Streets","18996","","18350","20230612200007"
"32","MusicBrainz","20797","","15080","20230525170903"
"33","Magna_Carta","20958","","154029","20230624210328"
"34","Nanook_of_the_North","21174","","24031","20230702054437"
"35","Othello","22460","","77277","20230702175803"
"36","Horses_(album)","22996","","58918","20230514032525"
"37","Paths_of_Glory","23255","","67858","20230625040345"
"38","Project_Gutenberg","23301","","44575","20230623110312"
"39","Psycho_(1960_film)","23880","","141514","20230703080432"
"40","Project_Runeberg","24519","","5254","20220620183649"
"41","The_Rocky_Horror_Picture_Show","25491","","82980","20230623094853"
"42","Raging_Bull","25506","","68543","20230702082848"
"43","Statute_of_Anne","27760","","46201","20230516102250"
"44","Saving_Private_Ryan","28269","","185859","20230701154047"
"45","Sir_Gawain_and_the_Green_Knight","28833","","100588","20230607174739"
"46","The_Big_Lebowski","29782","","80618","20230627201248"
"47","The_Doors_(album)","29818","","56272","20230609150532"
"48","The_Graduate","29942","","62095","20230701210552"
