"number","title","pageid","namespace","length","touched"
"1","The_Book_(short_story)","17758717","","3366","20230512180649"
"2","Hingchabi","73067774","","3802","20230219060749"
"3","Chainarol","73139161","","6400","20230415200651"
"4","Hey,_Stella!","72334590","","173","20221124132437"
"5","Neue_Frankfurter_Schule","59777646","","3926","20201029181621"
"6","Madhura_Vijayam","26048357","","13916","20230326234649"
"7","Implied_author","3370128","","8963","20201217160558"
"8","Stop_all_the_clocks","5097032","","98","20201106005940"
"9","Belles-lettres","2331387","","5738","20230407223405"
"10","Western_fiction","655326","","15816","20230710123903"
"11","Cozy_mystery","17574524","","14225","20230716163613"
"12","Quest","188949","","10897","20230301201523"
"13","Theme_(narrative)","699908","","10753","20230405111337"
"14","Philippic","628633","","3321","20230409080129"
"15","Genre","44706","","29851","20230622062308"
"16","Hispanism","24809973","","97244","20230719095632"
"17","List_of_electronic_literature_authors,_critics,_and_works","17550904","","12024","20230714174712"
"18","List_of_women's_presses","9807792","","18195","20230712175742"
"19","Nick_Carter_(character)","1331845","","31706","20230706191224"
"20","Greguería","17230710","","3016","20230423162609"
"21","Blue_book","1845300","","11436","20230531211648"
"22","Tales_from_Gavagan's_Bar","6604629","","7495","20230529193925"
"23","Narrative_paradigm","2234191","","32366","20230603084833"
"24","Bildungsroman","4880","","41434","20230717150447"
"25","Representation_(arts)","2653427","","37011","20230612030716"
"26","Literary_redaction","2906919","","3941","20230613004255"
"27","Domestic_realism","19284595","","3214","20220607105303"
"28","Rhizome_(philosophy)","4282701","","10275","20230429020025"
"29","Conference_proceedings","1274640","","6242","20230506220541"
"30","Returning_to_Shakespeare","68648328","","1525","20230721012516"
"31","Publishers_Weekly_lists_of_bestselling_novels_in_the_United_States","2351186","","2031","20230207015329"
"32","Public_rhetoric","48609379","","42753","20230121152950"
"33","Flashback_(narrative)","2051540","","18305","20230720154720"
"34","Dente_Feira_de_Publicações","71497129","","9163","20221224040614"
"35","Women_of_Wonder:_The_Classic_Years","69467998","","5624","20230430001714"
"36","Anaphora_(rhetoric)","341714","","12665","20230715175957"
"37","Sardinian_Literary_Spring","40349490","","13822","20220821033123"
"38","Aoidos","5838842","","10365","20230311222512"
"39","Culture_hero","143364","","5243","20230607152627"
"40","Documentary_practice","16078207","","20637","20230620114204"
"41","Fool's_literature","43064317","","1244","20200530190255"
"42","Writing_style","5218457","","18415","20230719140553"
"43","Literature_in_the_other_languages_of_Britain","50871484","","43844","20230530201218"
"44","Give_me_your_tired,_your_poor,_Your_huddled_masses","27625534","","131","20210101153421"
"45","Divine_Comedy_in_popular_culture","6147199","","78387","20230719180942"
"46","Ancillary_Mercy","48083752","","3620","20221223224403"
"47","Khoirentak_tiger","73070294","","2923","20230303220626"
"48","Sindhi_literature","6761259","","32885","20230710115549"
"49","Citationality","3993578","","3242","20210518235818"
"50","Punjabi_literature","18292100","","14009","20230508151824"
"51","Todorov's_narrative_theory_of_equilibrium","66246778","","17112","20230519132419"
"52","Scene_(performing_arts)","3074472","","6800","20230326183629"
"53","Tell_Me_What_You_See_(2022_book)","73494542","","11177","20230629144509"
"54","Me_Tarzan,_you_Jane.","63195910","","294","20230409232523"
"55","Biographical_novel","8873362","","3945","20230211223941"
"56","Paradox_(literature)","13696101","","9922","20230418223556"
"57","Tulsa_Studies_in_Women's_Literature","26326735","","7210","20200530202609"
"58","List_of_New_Testament_minuscules_(1–100)","61159827","","44029","20221210220014"
"59","Pianwen","46970120","","5485","20230513185215"
"60","Muwashshah","1463988","","13096","20230427082448"
"61","Tragedy","57993","","61378","20230624073044"
"62","Historical_criticism","33543260","","21940","20230704201607"
"63","Crônica","50343633","","1782","20220321140358"
"64","Rithā'","48896724","","3809","20221212070858"
"65","Childhood_secret_club","2390192","","5081","20230208131348"
"66","Remember_To_Rise","59653174","","7081","20220207081819"
"67","Narrative_hook","4751502","","6685","20230501044412"
"68","Yemenite_Jewish_poetry","49015936","","50301","20230211224652"
"69","The_Practice_of_Diaspora","51284453","","8415","20221006004654"
"70","List_of_fiction_works_made_into_feature_films_(S–Z)","38967291","","84182","20230616112725"
"71","History_of_a_Six_Weeks'_Tour","18703984","","41855","20230205170036"
"72","Rose_is_a_rose_is_a_rose_is_a_rose","242844","","20298","20230621082226"
"73","Sandars_Lectures","52673644","","12621","20230705103624"
"74","Biographical_fallacy","26021687","","4743","20220823212016"
"75","Women_of_Wonder:_The_Contemporary_Years","69468186","","5950","20230714145554"
"76","Literature_of_Kashmir","296521","","57632","20230719112402"
"77","Party_piece","60096722","","9403","20230330205256"
"78","The_Cambridge_Companion_to_Shakespeare's_Poetry","69142989","","2323","20220321223157"
"79","List_of_most_translated_individual_authors","54858478","","6980","20230523173112"
"80","Internal_conflict","29853337","","2079","20230531130617"
"81","Literary_criticism","51123","","28787","20230625063343"
"82","Minced_oaths_in_media","23407994","","23257","20230514075714"
"83","Keynote","937662","","4957","20230507041135"
"84","List_of_postmodern_critics","4541242","","2767","20220605051221"
"85","List_of_Mandaean_texts","68638585","","48450","20230706172956"
"86","Book","3778","","75305","20230720040340"
"87","American_Renaissance_(literature)","1496260","","8262","20230317161312"
"88","Archetypal_literary_criticism","3958324","","16546","20230224150526"
"89","North_French_Hebrew_Miscellany","29946990","","7532","20230401052735"
"90","Deictic_field_and_narration","48748780","","12235","20220420114835"
"91","Rhetorical_modes","4644634","","13602","20230616144345"
"92","Proverb","23529","","138687","20230720025645"
"93","Central_conceit","19024647","","1297","20210828121720"
"94","Tutenglon","73556046","","4839","20230617143627"
"95","Romance_(prose_fiction)","68899744","","59546","20230707183309"
"96","Keibu_Keioiba","71000704","","18247","20230706224406"
"97","List_of_fictional_literature_featuring_opera","14250014","","22892","20230330102015"
"98","The_medium_is_the_message","6900144","","8307","20230514170610"
"99","List_of_scholarly_publishing_stings","53393522","","35865","20230716170048"
"100","Chinese_literature","153825","","83131","20230707235401"
"101","Focal_character","8341465","","2592","20230330095655"
"102","Narrative_designer","21008177","","6824","20230701213413"
"103","The_Metamorphosis_in_popular_culture","58408428","","23377","20230716143327"
"104","Psychological_fiction","1551566","","9471","20230520060430"
"105","23_skidoo_(phrase)","741991","","28484","20230706114526"
"106","12th_century_in_literature","3709201","","18848","20230503172713"
"107","Shakespeare:_The_Critical_Heritage","68651771","","2740","20230206232613"
"108","Khamba_Thoibi_Sheireng","62260450","","19728","20230424124929"
"109","Living_review","56730913","","2487","20220614151416"
"110","O_Captain!_My_Captain!","2601554","","45909","20230722184802"
"111","Flemish_literature","2810732","","31561","20230701215911"
"112","Ukrainian_literature","2152773","","31572","20230708001246"
"113","Damascus_House","50404367","","4555","20221223001015"
"114","Reader_model","6581719","","1950","20230720113831"
"115","Silva_rerum","17116069","","4313","20230324212840"
"116","Annual_report","1272420","","6723","20230621062126"
"117","Awake,_our_drowsy_souls","57765273","","4284","20210411205847"
"118","Where's_Wally?","18006767","","31239","20230706114716"
"119","Descriptive_poetics","51502285","","2737","20230720043903"
"120","It_is_a_far,_far_better_thing_that_I_do","27829421","","139","20210101160836"
"121","Tendenz","66413464","","1010","20220801223331"
"122","Shiver_my_timbers","2594594","","8506","20230629145701"
"123","Premio_Brancati","73154698","","2070","20230324132609"
"124","History_of_literature","138848","","93038","20230710195116"
"125","Hexalogy","23699464","","4348","20230601171709"
"126","Theatre-fiction","65220074","","3408","20230208091708"
"127","Scientia_potentia_est","3067655","","14998","20221225231100"
"128","Ecofiction","51820944","","26224","20230622123936"
"129","Extended_metaphor","583165","","9156","20230411221756"
"130","Horizon_of_expectation","38914229","","7842","20230310140050"
"131","Pop_culture_fiction","65326971","","11332","20230514040610"
"132","Yes,_Virginia,_there_is_a_Santa_Claus","34342","","31324","20230419012411"
"133","Liaden_universe","444351","","77689","20230703061010"
"134","Stock_character","98352","","13979","20230709101829"
"135","Anthology","316889","","9543","20230710073836"
"136","Parallel_novel","6120035","","5944","20230623044940"
"137","Guardian_of_the_Threshold","13353302","","5167","20230614021437"
"138","How_many_angels_can_dance_on_the_head_of_a_pin?","9345489","","12319","20230722000654"
"139","Castalian_Band","18058077","","14573","20230516133431"
"140","Narrativity","886895","","3424","20230310195512"
"141","A_View_of_Religions","54980087","","15389","20230616223354"
"142","Miguel_de_Cervantes","19444","","51097","20230619085544"
"143","Umbertina","55636516","","13236","20220111025911"
