"number","title","pageid","namespace","length","touched"
"1","Self-report_sexual_risk_behaviors","22575147","","7286","20211115011102"
"2","Pulvermacher's_chain","30997525","","20341","20230317171717"
"3","Ambulatory","1325388","","2983","20221210230352"
"4","Average_daily_quantity","62431286","","485","20191128181500"
"5","Terminal_cleaning","12293209","","2388","20220811232038"
"6","Folding@home","413102","","171359","20230726113933"
"7","Outline_of_health","7646602","","6902","20230613220213"
"8","Stereolithography","1086236","","22543","20230711195323"
"9","Left_without_being_seen","20771501","","2084","20230310224838"
"10","Age_of_onset","2054607","","11863","20230428222441"
"11","National_Socialist_German_Doctors'_League","64397526","","4742","20230315162615"
"12","Fetal_rights","5818292","","56415","20230130004904"
"13","A_Manual_of_Diseases_of_the_Nervous_System","74003189","","1886","20230720170847"
"14","Estrogen_insensitivity_syndrome","8104482","","34661","20230730141820"
"15","Emergency_care_instructor","56297415","","2664","20191208045534"
"16","Sexual_headache","2425344","","8845","20230610172123"
"17","Zion_Tse","61115208","","3586","20201214034003"
"18","Responsible_drug_use","40513485","","23067","20230321094337"
"19","FRAX","31733943","","5443","20230216200603"
"20","Decision_aids","24934154","","9903","20211115174130"
"21","Clinical_collaboration","66254045","","12969","20230707132947"
"22","National_Survey_on_Drug_Use_and_Health","49494992","","1950","20230517124335"
"23","Fatty_acid_ratio_in_food","38375564","","18572","20230710014000"
"24","℞","3551357","","160","20200728161616"
"25","Subjective_response_to_alcohol","51805386","","23302","20230331185329"
"26","Electric_bath_(electrotherapy)","31336108","","7039","20230313191145"
"27","Functional_Capacity_Index","33255504","","2137","20221022162819"
"28","Biliary_sludge","45063599","","5168","20230117114108"
"29","Mossman–Pacey_paradox","60988515","","2638","20220531025921"
"30","International_HL7_Implementations","33855837","","15538","20220830033724"
"31","Respiratory_protective_equipment","51057358","","2311","20230729082350"
"32","Passive_dual_coil_resonator","70828730","","3091","20230129063235"
"33","Suckers_(book)","26334002","","5894","20230403115555"
"34","Dysthanasia","7361571","","4161","20230725091418"
"35","Herbal_medicine","439973","","61175","20230719014739"
"36","Race_and_health","9819863","","91786","20230707045346"
"37","Drug_rehabilitation","427922","","76540","20230707213404"
"38","Invalidity_Insurance_(Industry,_etc.)_Convention,_1933_(shelved)","4190354","","1622","20230620043443"
"39","Active_mobility","22570610","","45927","20230715065537"
"40","Terminal_lucidity","47885671","","15396","20230731094551"
"41","Firefighting_in_the_United_States","23616457","","37320","20230724164521"
"42","Body_image_(neuroscience)","31621992","","5619","20230121115857"
"43","Medical_Technology_Group","41214581","","28726","20230212023500"
"44","TIME-ITEM","11004277","","5056","20220115145002"
"45","Reproductive_technology","106029","","15615","20230624161301"
"46","Total_Worker_Health","37423001","","30019","20230329013907"
"47","Determinants_of_violence_against_civilians","68498249","","29929","20230209191107"
"48","Mate_crime","48716148","","4970","20221123203116"
"49","Death_by_misadventure","29538184","","2600","20230410232027"
"50","Crunch_(exercise)","1274608","","4280","20230704041450"
"51","Life_Sciences_Foundation","33978666","","16292","20230403052737"
"52","Sealedenvelope.com","60977471","","899","20210129150205"
"53","Livor_mortis","166814","","4858","20230405031459"
"54","Grand_rounds","10371792","","5605","20221002210011"
"55","List_of_syphilis_cases","32124842","","9224","20221025173831"
"56","BioNTech","64671486","","38932","20230624174735"
"57","Curative_care","25229846","","1363","20210608132128"
"58","Opisthotonic_death_pose","24865137","","4824","20230702174717"
"59","Water_safety","32473687","","9837","20230711151733"
"60","Social_determinants_of_health_in_Mexico","40848543","","20218","20221203174134"
"61","Ministry_of_Health_and_Medical_Services_(Fiji)","62658548","","4293","20230711234734"
"62","Political_impact_of_the_COVID-19_pandemic","63366667","","223064","20230623214450"
"63","Classificatie_van_verrichtingen","31886842","","1159","20220528011921"
"64","Dust_explosion","10473148","","28394","20230627181353"
"65","Adventist_Health_Studies","17700269","","10444","20230707050700"
"66","European_College_of_Neuropsychopharmacology","29331704","","13766","20230210090552"
"67","Non-pharmaceutical_intervention_(epidemiology)","63674823","","28892","20230504033724"
"68","Farr's_laws","63612800","","4100","20230719234836"
"69","Health_crisis","32890301","","25751","20230714181259"
"70","List_of_causes_of_genital_pain","48757814","","11376","20220717061441"
"71","Denudation_(medicine)","47906922","","1395","20211003203042"
"72","Passing_away","20848860","","39","20200425020833"
"73","Mass_and_Cass","69001474","","70279","20230726133304"
"74","Minority_stress","33462899","","59297","20230723192929"
"75","Field_Hygiene_and_Sanitation","19335228","","1573","20210421220337"
"76","Paraveterinary_worker","33102832","","26005","20230712091855"
"77","Deep_hypothermic_circulatory_arrest","6891706","","50336","20230730222542"
"78","Parity_of_esteem","9579546","","5805","20230314161317"
"79","Tinnitus_retraining_therapy","1686266","","16980","20230401175623"
"80","Health_effects_arising_from_the_September_11_attacks","7770119","","93224","20230726003627"
"81","Tool_for_Influenza_Pandemic_Risk_Assessment","64788590","","1477","20220915182355"
"82","Patient_safety_organization","5928345","","54955","20230729102147"
"83","Economic_evaluation","44013878","","1390","20170228235531"
"84","SCARF_syndrome","5830212","","14148","20230517201918"
"85","Acoustoelastography","44088995","","1448","20230719120108"
"86","Drop_attack","4864508","","3913","20220629232359"
"87","Fissure_of_the_nipple","4377168","","2488","20230723025205"
"88","Death_trajectory","44452821","","5556","20211108110833"
"89","List_of_diseases_by_year_of_discovery","57004286","","1480","20230507235542"
"90","Problem-based_learning","362386","","65327","20230713215314"
"91","Highway_hypnosis","890676","","4043","20230710214240"
"92","Vaccitech","63753112","","4927","20230609091636"
"93","Self-diagnosis","6130470","","33342","20230715162349"
"94","Responsibility_Deal","67456984","","2951","20230507170235"
"95","Cartagena_Protocol_on_Biosafety","45562","","26367","20230307085818"
"96","List_of_medical_journals","3101893","","50638","20230719074221"
"97","Precocious_puberty","651370","","31892","20230725205801"
"98","Health_spending_as_a_percent_of_GDP_by_country_(gross_domestic_product)","73721558","","27072","20230523172711"
"99","Hyperkatifeia","28047321","","769","20220115190729"
"100","Electronic_Medicines_Compendium","65951580","","1317","20210919220309"
"101","Pasteur_Institute_of_Algeria","32959716","","4709","20230512002010"
"102","Critical_illness_insurance","3417428","","14035","20230202163937"
"103","Specialty_Society_Relative_Value_Scale_Update_Committee","33213655","","19277","20230720175321"
"104","Intelligent_medical_search_engine","21671336","","2473","20220317145417"
"105","Sexual_anomalies","67264815","","24635","20230329145859"
"106","SARI_Screening_Tool","71245245","","1412","20230310233637"
"107","Microextrusion","32546455","","8532","20191213005147"
"108","Point_of_care","33658868","","22545","20220818131508"
"109","Risk_equalization","15336425","","7830","20211211010827"
"110","History_of_pathology","19391193","","7536","20230714011119"
"111","Preventive_and_social_medicine","15700717","","5853","20230429192715"
"112","Terminal_drop_hypothesis","48317905","","831","20210315020657"
"113","My_Body_Back","61864894","","10714","20220109103922"
"114","Incorruptibility","1688154","","10686","20230728034729"
"115","Blood_fractionation","4931186","","3458","20230528155546"
"116","Medic_to_Medic","36405951","","2067","20221231172814"
"117","Mental_health","990505","","97760","20230730200103"
"118","Ring_chromosome_18","33094020","","9689","20230625182228"
"119","Severity_of_illness","15360748","","2155","20230428222535"
"120","Bogart–Bacall_syndrome","2726465","","16539","20230307134746"
"121","History_of_physical_training_and_fitness","65835041","","36501","20230709234307"
"122","Cultural_effects_of_the_Western_African_Ebola_virus_epidemic","44358983","","61616","20230530052404"
"123","Family_support","36564536","","66425","20230622092239"
"124","Grinberg_Method","36228151","","12093","20230420154135"
"125","John_Templeton_Foundation","59706264","","61007","20230713122907"
"126","Health_technology_assessment","22406877","","10845","20230405033704"
"127","COVID-19_and_cancer","63942215","","4830","20221208122500"
"128","Polyuria","258666","","18583","20230218155715"
"129","Biorisk","18208725","","3836","20220512100328"
"130","Dyscrasia","939703","","2922","20230628035419"
"131","List_of_digital_therapeutics_companies","52245688","","5204","20230626012050"
"132","Cystic_fibrosis_and_race","71861413","","34657","20230627120003"
"133","International_Overdose_Awareness_Day","58508521","","9464","20230423162037"
"134","Dhanvantari","1004470","","18097","20230602102927"
"135","Global_Buruli_Ulcer_Initiative","65724265","","3318","20221018214723"
"136","Alternative_cancer_treatments","6600576","","38434","20230210184556"
"137","SAID_principle","23910742","","1661","20221110163959"
"138","Condom_fatigue","1864519","","8126","20220129020806"
"139","Genetic_diagnosis_of_intersex","54444880","","18062","20230415160142"
"140","RAND_Health_Insurance_Experiment","1191433","","22668","20230218043849"
"141","Course_(medicine)","3283625","","2908","20211115060027"
"142","Sobrietol","21218129","","2563","20220211064350"
"143","Therac-25","315212","","28426","20230715185906"
"144","Preherpetic_neuralgia","53058654","","3757","20220423071911"
"145","To_Save_Humanity","51099085","","7342","20230526051656"
"146","SaTScan","73007678","","11628","20230723224622"
"147","Mom's_Cancer","1747970","","11287","20230728104040"
