"number","title","pageid","namespace","length","touched"
"1","Laboratory_developed_test","36217354","","3930","20230719125155"
"2","North_American_Occupational_Safety_and_Health_Week","13418661","","7312","20230505004856"
"3","Wastewater-based_epidemiology","65165192","","25602","20230718012743"
"4","Computer-aided_simple_triage","37307479","","9486","20220711171803"
"5","Infant_sleep","72254307","","9473","20230704125156"
"6","Biotrauma","22050868","","1407","20230719234108"
"7","Oil_refinery","195137","","105662","20230722070315"
"8","Health_impact_of_light_rail_systems","36487502","","20096","20230613201027"
"9","European_College_of_Neuropsychopharmacology","29331704","","13766","20230210090552"
"10","List_of_bacterial_vaginosis_microbiota","46655089","","10017","20230112202157"
"11","Surrogate_alcohol","18653559","","4118","20210305075414"
"12","EHS_Today","40005944","","6858","20210301201026"
"13","Turkish_Medical_Association","39595205","","3204","20230219082645"
"14","Insufflation_(medicine)","22153060","","8087","20230709144405"
"15","Karolinska_Institutet_Prize_for_Research_in_Medical_Education","63296277","","5031","20230610024316"
"16","Ophthalmic_drug_administration","56103909","","27084","20230311021436"
"17","Data_monitoring_committee","5513972","","5503","20230717013039"
"18","The_MICCAI_Society","63572622","","22496","20221221051832"
"19","Translational_research_informatics","20928420","","4036","20220808024104"
"20","Abrasion_collar","54418352","","8307","20220723172705"
"21","Calcium_carbimide","2115251","","4811","20220701084337"
"22","Global_mental_health","13312969","","43500","20230705230833"
"23","Castle_Connolly_Medical","68039259","","7540","20230710211039"
"24","Entero-oxyntin","37888144","","558","20230623212950"
"25","Influenza_pandemic","2888063","","121240","20230630233724"
"26","Disease","8072","","59697","20230717085622"
"27","Sophrology","37933443","","23592","20230627035541"
"28","Communicans","8743293","","861","20230523161513"
"29","ICECI","18823914","","984","20230428222501"
"30","Hypoplasia","2307559","","2673","20221226214453"
"31","Adherence_(medicine)","4116856","","79160","20230204141815"
"32","Functional_Capacity_Index","33255504","","2137","20221022162819"
"33","Asymptomatic","602790","","8843","20230520164947"
"34","History_of_radiation_therapy","32469842","","39183","20230714010656"
"35","Health_network_surveillance","30551758","","4131","20220510160240"
"36","Women_who_have_sex_with_women","7941353","","21259","20230529001220"
"37","Substitution_of_dangerous_chemicals","34055747","","8042","20230713152904"
"38","Risk_adjusted_mortality_rate","33470882","","2218","20210101041236"
"39","Five-year_survival_rate","5443653","","5470","20230705063612"
