"number","title","pageid","namespace","length","touched"
"1","Army","1376","","30674","20230801125645"
"2","Ambush","1905","","16367","20230705233118"
"3","Agent_Orange","2547","","146819","20230724220153"
"4","Archduke_Charles,_Duke_of_Teschen","2875","","28008","20230707144210"
"5","Blitzkrieg","4652","","115781","20230722030139"
"6","Citadel","6695","","15878","20230718152827"
"7","Conventional_warfare","7310","","6650","20230213163320"
"8","FUBAR","11177","","213","20230702182828"
"9","International_Red_Cross_and_Red_Crescent_Movement","15487","","90212","20230727165640"
"10","Kellogg–Briand_Pact","17023","","29439","20230724234425"
"11","Kuwaiti_oil_fires","17448","","41834","20230527144843"
"12","Lists_of_battles","18693","","5765","20230712182628"
"13","Mars_Attacks","19855","","13385","20230523135800"
"14","Militia","20622","","127309","20230717170911"
"15","List_of_military_tactics","21027","","13736","20230705164503"
"16","Nuclear_winter","22171","","201568","20230801020134"
"17","Otto_von_Bismarck","22416","","177560","20230722114043"
"18","Petroleum","23195","","139492","20230725112906"
"19","Prisoner_of_war","25008","","127528","20230719083553"
"20","Tug_of_war","25982","","37996","20230517122402"
"21","Star_Wars","26678","","200184","20230726020856"
"22","Siege","26905","","82314","20230703073316"
"23","Sabotage","29462","","38818","20230714041751"
"24","Total_war","29974","","49586","20230725202359"
"25","United_Arab_Emirates_Armed_Forces","31841","","36869","20230731110851"
"26","United_Nations_High_Commissioner_for_Refugees","31964","","48732","20230713122145"
"27","World_War_II","32927","","257065","20230802002032"
"28","War","33158","","107756","20230802013023"
"29","War_film","33171","","101849","20230621051552"
"30","Non-judicial_punishment","36875","","10933","20230605130648"
"31","Depleted_uranium","37514","","135202","20230731000100"
"32","Warfare","37942","","63","20171010180043"
"33","Electronic_warfare_support_measures","41102","","3388","20230131004226"
"34","Multiple_homing","41387","","1041","20171107223334"
"35","Survivability","41764","","11389","20230701015657"
"36","List_of_comparative_military_ranks","43332","","14083","20230420195320"
"37","Military_incompetence","44127","","3909","20220214103726"
"38","National_Security_Act_of_1947","44426","","31420","20230612172510"
"39","Refugee","45547","","137940","20230730193808"
"40","First_strike_(nuclear_strategy)","45876","","33222","20230624111202"
"41","Asymmetric_warfare","46863","","63859","20230729224525"
"42","War_crime","48626","","56308","20230717224556"
"43","Yuri_Andropov","50122","","83056","20230801134720"
"44","Martial_law","50477","","69451","20230714122848"
"45","Gundam","50709","","28711","20230728220733"
"46","Strategic_bombing","53374","","70699","20230710082105"
"47","Nuclear_fallout","53683","","82197","20230706224408"
"48","Letter_of_marque","54737","","28695","20230721151609"
"49","Salting_the_earth","56116","","15084","20230522232009"
"50","Shareholder_rights_plan","56117","","23731","20230513032949"
"51","Wilhelm_Canaris","57873","","52774","20230628110654"
"52","Disarmament","57979","","20543","20230530001455"
"53","Airborne_forces","58478","","73106","20230727090922"
"54","Military_tactics","60981","","17800","20230425215157"
"55","Armistice","61111","","8083","20230106032116"
"56","Superpower","61398","","60494","20230801184607"
"57","Les_Invalides","62633","","27376","20230624152311"
"58","Article_9_of_the_Japanese_Constitution","62710","","46505","20230718061553"
"59","World_War_III","65307","","95932","20230731012947"
"60","Iraq_disarmament_crisis","66436","","25011","20230705161204"
"61","Mutiny","69443","","35104","20230721183055"
"62","Children_in_the_military","72214","","171820","20230720224714"
"63","Telemachus","74673","","12121","20230219142330"
"64","List_of_military_writers","78171","","11676","20230801034505"
"65","Post-traumatic_stress_disorder","82974","","197475","20230730200201"
"66","Military_science","86586","","43404","20230626044111"
"67","List_of_modern_armament_manufacturers","88250","","23029","20230701101257"
"68","Warhammer_40,000","89633","","101285","20230729020922"
"69","Military_strategy","91515","","89122","20230620225821"
"70","Military","92357","","55821","20230722230840"
"71","Military_doctrine","100669","","48346","20230728193446"
"72","Civilian_casualties","104983","","14063","20230512084143"
"73","Korean_Air_Lines_Flight_007","108257","","138977","20230731021126"
"74","Collateral_damage","136560","","19563","20230726234951"
"75","Khosrow_I","140475","","83157","20230601183554"
"76","World_war","142735","","40524","20230729063957"
"77","Civilian","145804","","33295","20230411163030"
"78","Unlawful_combatant","145809","","85025","20230610231659"
"79","Law_of_war","146319","","49092","20230801173152"
"80","Bodyguard","146695","","39943","20230714012822"
"81","Combatant","146707","","10215","20230429082131"
"82","Paramilitary","146730","","9766","20230801130914"
"83","Reprisal","146798","","8276","20221222043146"
"84","Human_shield","147008","","116361","20230713114202"
"85","Big_stick_ideology","147052","","18232","20230530173218"
"86","Blood_diamond","148635","","51512","20230722033534"
"87","Terracotta_Army","148653","","66633","20230723025247"
"88","Support_group","153499","","14997","20220822023325"
"89","Regime_change","154074","","10200","20230709131524"
"90","Xi'an_Incident","155418","","11033","20230714073823"
"91","Pincer_movement","158244","","7468","20230524115214"
"92","Scorched_earth","164406","","64771","20230801234551"
"93","Cowardice","165119","","8033","20230705230158"
"94","Janissary","166311","","53563","20230801015746"
"95","Ottoman_military_reforms","166317","","15834","20230516173146"
"96","Stan_Stokes","167429","","14797","20230114203041"
"97","Chemical_weapons_in_World_War_I","167578","","86008","20230628110912"
"98","Republican_guard","167928","","3836","20230723043332"
"99","Charles-Joseph,_7th_Prince_of_Ligne","169109","","19007","20230316215739"
"100","Mamluk","172627","","74786","20230730075944"
"101","Just_war_theory","173505","","53535","20230728033342"
"102","Fragging","178043","","44392","20230613095606"
"103","Casus_belli","178904","","26501","20230701144017"
"104","Demilitarized_zone","179419","","19327","20230717030256"
"105","Schlieffen_Plan","179828","","102991","20230728015002"
"106","Trench_warfare","182259","","124939","20230801144313"
"107","Bellum_omnium_contra_omnes","185966","","15766","20230730144501"
"108","AWOL","186908","","139","20220818024908"
"109","Manning_the_rail","188466","","3173","20230327132518"
"110","Military_aid_to_the_civil_power","191273","","24419","20230429070113"
"111","Military_justice","193300","","34013","20230427040613"
"112","Pyrrhic_victory","197740","","23638","20230710083242"
"113","Militarism","199160","","36897","20230722084304"
"114","Friendly_fire","202484","","28027","20230504133338"
"115","Gott_strafe_England","204055","","6237","20230317031818"
"116","Fortification","204118","","61727","20230727234028"
"117","Hyperpower","207739","","6778","20230727064206"
"118","Royal_Swedish_Academy_of_War_Sciences","210851","","2958","20230615145623"
"119","Royal_Swedish_Society_of_Naval_Sciences","210852","","1784","20230330182855"
"120","Society_and_Defence","210889","","1240","20230710023452"
"121","Military–industrial_complex","211683","","41258","20230724211241"
"122","JAG_(TV_series)","211714","","70357","20230613230458"
"123","Richard_Sorge","212352","","79491","20230726085717"
"124","No_War_but_the_Class_War","227585","","3793","20230607071226"
"125","War_on_poverty","232940","","31740","20230713221521"
"126","Round-robin_(document)","233068","","3254","20230610194741"
"127","Airborne_early_warning_and_control","236466","","38715","20230522215915"
"128","Melee","238142","","4641","20230707204235"
"129","Awkward_squad","240588","","4208","20230321051757"
"130","Disarming_Act_1715","246302","","3920","20230725075101"
"131","War_Crimes_Law_(Belgium)","246577","","6614","20230419030753"
"132","John_French,_1st_Earl_of_Ypres","248715","","240945","20230718001305"
"133","Military_awards_and_decorations","250041","","4873","20230708180708"
"134","Commander-in-chief","254428","","102709","20230724235831"
"135","List_of_military_decorations","261239","","25063","20230629210653"
"136","Declaration_of_war","261939","","30842","20230725040838"
"137","USS_Cumberland_(1842)","265631","","27429","20230403130805"
"138","Who_Dares_Wins","266067","","5473","20230530080549"
"139","Georgian_Military_Road","267645","","9821","20230709194705"
"140","Co-belligerence","270160","","14411","20230715000620"
"141","Private_military_company","274262","","77258","20230731073649"
"142","Land_letter","274668","","2986","20230419160742"
