"number","title","pageid","namespace","length","touched"
"1","Senecan_tragedy","3105326","","4841","20230313175231"
"2","Juana_la_Iguana","47290058","","3033","20220921071616"
"3","Abhilash_Pillai","59918228","","14208","20230512012330"
"4","Maggio_Musicale_Fiorentino","5457154","","3987","20230302143406"
"5","Will_St_Leger","44627990","","4457","20230106225259"
"6","Drag_king","102435","","23918","20230628122050"
"7","Sans_Souci_Cabaret","63138105","","7534","20230210010059"
"8","Gregangelo's_Velocity_Circus/Arts_and_Entertainment","53962673","","17976","20230629194735"
"9","Lili","187635","","25863","20230605004630"
"10","List_of_Edison_Blue_Amberol_Records:_Popular_Series","5399798","","247144","20230627210109"
"11","Soccus","47145689","","2961","20230629050344"
"12","I_shot_the_sheriff,_but_I_did_not_shoot_the_deputy","63814732","","97","20201106000512"
"13","Adele's_Laughing_Song","52767365","","1636","20230328023353"
"14","Les_noces_de_Jeannette","10209329","","1927","20221030142238"
"15","Levitin_effect","30930484","","10947","20221004164928"
"16","In_Her_Line_of_Fire","22968845","","11692","20230113090558"
"17","When_the_Fern_Blooms","57770916","","5014","20230514133039"
"18","Sea_of_Blood","10316200","","11416","20230703042005"
"19","The_Importance_of_Being_Earnest_(opera)","50019296","","15150","20230129224129"
"20","L'arlesiana","5851567","","10408","20221119042025"
"21","Whys_and_Other_Whys","44461360","","3379","20230522190308"
"22","Queenie_Pie","73240076","","6345","20230317180448"
"23","The_Grey_Legend_(opera)","72995938","","1306","20230210133735"
"24","Comédie-Française","1145085","","14876","20230613215756"
"25","Paris_by_Night","1923271","","18026","20230625233452"
"26","Chest_voice","6570962","","6929","20230617135436"
"27","Ringling_Brothers_Circus","880167","","6066","20230529160310"
"28","Shadow_play","1442169","","51495","20230611073423"
"29","Ellenfény","41996169","","3185","20230312003926"
"30","Kammeroper_Schloss_Rheinsberg","28249741","","3711","20230314232038"
"31","Let_Them_Eat_Cake_(TV_series)","1750924","","6132","20230406185144"
"32","Junius_Brutus_(play)","65335543","","1487","20220502001039"
"33","Voss_(opera)","18769908","","8336","20230328205734"
"34","Hugh_the_Drover","2046604","","7127","20210504201205"
"35","The_Whirl_of_New_York","20642305","","2247","20230505025333"
"36","Boy_player","6244789","","20872","20230426153526"
"37","Deutsche_Stiftung_Musikleben","65481708","","2697","20211125091111"
"38","Boulevard_Solitude","5380036","","7297","20220224184842"
"39","Card_Sharks_(video_game)","43413688","","2132","20230327070315"
"40","Alceste_(Schweitzer)","36651203","","8628","20220624103657"
"41","Jack_Murphy_(writer)","71828258","","3375","20230306105254"
"42","Rudolf_Wanderone","436021","","25123","20230610232524"
"43","Laurence_Olivier_Awards","16432264","","24543","20230701195923"
"44","Ganja_State_Puppet_Theatre","54119451","","2616","20230420214927"
"45","Dream_on_the_Volga","32539216","","5372","20230315031405"
"46","Not_Strictly_Rubens","31450847","","1389","20210205230725"
"47","Diabolo","252653","","27521","20230526143334"
"48","Aladár_Tóth","73318103","","4053","20230418160702"
"49","Sigismondo","15995390","","4493","20220502041243"
"50","Carrie_White","8691336","","14715","20230701170629"
"51","Ms_.45","2255173","","10893","20230126172518"
"52","Dervish","388149","","16588","20230605224148"
"53","Donny_Alamsyah","37966966","","17128","20230629111652"
"54","Ridi,_Pagliaccio","63195377","","134","20210127183143"
"55","Marcella_(play)","65631637","","1306","20220415193713"
"56","American_Institute_of_Musicology","68625267","","13131","20230211032334"
"57","Tito_Manlio","9418235","","3648","20230225222618"
"58","Ba-ta-clan","2097847","","9411","20230531204616"
"59","The_XYZ_Show","40244186","","8617","20230420215030"
"60","Puppet_Master_4","7153837","","7948","20230531230755"
"61","Beautiful_Angle","10460168","","7228","20230410161832"
"62","Emmylou_Harris_collaborations_A–F","31754353","","40913","20230618234238"
"63","No_Pants_Day","43581351","","3327","20230624105014"
"64","TV's_50_Greatest_Magic_Tricks","58023359","","9380","20230406234228"
"65","Faro_shuffle","10936783","","10969","20230228231008"
"66","Congress_on_Research_in_Dance","8639734","","6354","20230429190406"
"67","Il_finto_astrologo","28112005","","2126","20210318233441"
"68","Origin_of_death","32516206","","11823","20230624170714"
"69","Brønnøysund_Musikkorps","26550027","","5782","20230525102521"
"70","Soft_Ices","2499999","","2323","20230322115250"
"71","Transcendental_Wild_Oats","21261183","","3399","20200126070027"
"72","Cinderella_and_the_Prince,_or_The_Castle_of_Heart's_Desire","33626101","","1407","20230503033259"
"73","Thank_Heaven_for_Little_Girls","15368271","","3700","20230528211034"
"74","Mendocino_Ballet","3474690","","2071","20201124030720"
"75","Dave_Attell's_Insomniac_Tour","3563010","","2250","20230203221202"
"76","David_Copperfield:_An_Intimate_Evening_of_Grand_Illusion","23792305","","2232","20190515145530"
"77","Scout_Model_&_Talent_Agency","60527664","","1542","20230130015809"
"78","L'Italiana_in_Londra","31800917","","7160","20220730022430"
"79","Chamber_play","14201791","","2089","20230413162325"
"80","Social_circus","6646712","","6957","20200807085810"
"81","Social_Studies_(book)","40155978","","2061","20220303182151"
"82","Burlesque_Hall_of_Fame","641320","","10035","20220606233031"
"83","M11_link_road_protest","584739","","41154","20221218212557"
"84","Kurt_Adler","28150767","","18226","20230526094635"
"85","Lollapalooza","270602","","56435","20230630035304"
"86","The_Merry_Wives_of_Windsor_(opera)","1924302","","10729","20230617033739"
"87","Greg_Frewin","3506418","","2504","20210720203913"
"88","Compagnie_della_Calza","29599124","","2758","20201212211834"
"89","Memorial_reconstruction","14641499","","9416","20230518072822"
"90","Gilgamesh_(Saygun_opera)","45243813","","1393","20230423150230"
"91","The_Orphan_(play)","3560349","","3819","20220415082355"
"92","Faceboyz_Folliez","35027378","","2664","20220524205827"
"93","Self-build","7727103","","13222","20230317172535"
"94","The_Clue_of_the_Dancing_Puppet","6900102","","2159","20221113210053"
"95","Troilus_and_Cressida_(Dryden_play)","68397684","","2737","20230318105700"
"96","Cold_Dead_Hand","38919584","","4663","20220813230430"
"97","Dr._Quinn,_Medicine_Woman","748409","","52294","20230703075632"
"98","Triumph_the_Insult_Comic_Dog","529574","","22141","20230422192146"
"99","Qui_Nguyen","4304883","","6984","20230507033143"
"100","Gräfin_Dubarry","18217061","","5284","20230609182158"
"101","The_Injured_Lovers","68275103","","1400","20220415085152"
"102","Direct-to-fan","24502345","","8058","20221028172356"
"103","Circus_Center","11602108","","5221","20211013064430"
"104","The_Willow_Pattern","7085833","","6559","20220719220422"
"105","Ya_know_what_I_mean?","23611198","","163","20201106010735"
"106","Marsupilami_(1993_TV_series)","32595021","","20259","20230607220729"
"107","The_Teacher_Who_Was_Not_To_Be","51974286","","6859","20211225062004"
"108","Antonio_Guarnieri","19032443","","1478","20221101041346"
"109","Monster_(2003_film)","443556","","32022","20230627111449"
"110","Silliness","10833078","","5454","20230629122504"
"111","Soliloquy","372984","","2820","20230316131211"
"112","Behold_the_Man,_La_Ópera_de_Cecilia","64531977","","18539","20230305215640"
"113","Teatr_Tworzenia","54477605","","13858","20220515205459"
"114","Günter_Rimkus","66945223","","5418","20230624140731"
"115","Homebuilt_computer","2030760","","18399","20230518074231"
"116","Water_spouting","65049481","","4983","20230517183030"
"117","Prinsessan_av_Cypern_(Pacius)","30313991","","2386","20230508085557"
"118","La_Dafne","17871469","","11523","20220808031429"
"119","Now_United","56743995","","47643","20230630170306"
"120","Archives_Service_Center","48613934","","10164","20230129235348"
"121","Neo-Futurists","1487132","","13112","20230627153320"
"122","Kung_Karls_jakt","22774333","","2536","20230508085544"
"123","Industrial_musical","917565","","14701","20230703173717"
"124","Guerrilla_theatre","14254039","","10224","20220629093813"
