"number","title","pageid","namespace","length","touched"
"1","McLeod_gauge","1155556","","3401","20230308103030"
"2","Physics_in_the_medieval_Islamic_world","17944118","","14754","20230623155424"
"3","United_States_gravity_control_propulsion_research","19256144","","41877","20230722170655"
"4","Koenig's_manometric_flame_apparatus","16646920","","4013","20220829210053"
"5","Open_quantum_system","1079106","","19289","20230622152748"
"6","Middle_World","12748155","","2389","20221004131659"
"7","Institute_of_Physics","358381","","26939","20230619125934"
"8","Laser_printing_of_single_nanoparticles","42347710","","3008","20210518020841"
"9","Infosys_Prize","22856302","","64427","20230708124858"
"10","Pomeranchuk_Prize","18433248","","3090","20230704164758"
"11","Einstein_Prize_for_Laser_Science","37271462","","2958","20200119211701"
"12","Physical_Review_Focus","421326","","1890","20210706211247"
"13","Hyperuniformity","48870431","","41191","20230315190631"
"14","History_of_special_relativity","1790788","","141119","20230721091324"
"15","Codex_on_the_Flight_of_Birds","16611762","","19822","20230711174357"
"16","Radio-frequency_induction","60994","","2042","20210503161403"
"17","Optical_force","25654089","","928","20220724185127"
"18","Heinz_Maier-Leibnitz-Preis","21422668","","1982","20220719165138"
"19","Institute_of_Physics_Awards","62862012","","21242","20230611160444"
"20","Albert_Einstein_Archives","48984989","","10744","20230524054105"
"21","Lists_of_physics_equations","9100987","","1356","20230706221005"
"22","Specific_potential_energy","40523438","","677","20220415040252"
"23","Speed_prior","402703","","1211","20160107210937"
"24","Clockwise","26569682","","9520","20230517044747"
"25","Malter_effect","11713313","","4159","20230323021704"
"26","POISK_Centre","12151434","","3501","20201214214308"
"27","Entanglement_monotone","61638365","","2684","20230426183355"
"28","History_of_quantum_mechanics","9067941","","78022","20230716023832"
"29","Fermat's_principle","37232","","61824","20230703142440"
"30","Ergodic_hypothesis","258980","","9055","20230703215244"
"31","ISO_31-6","3371516","","668","20210710032933"
"32","United_States_Invitational_Young_Physicists_Tournament","36532984","","19632","20230208034501"
"33","Legendre_transformation","390273","","41740","20230721083032"
"34","Phase_switch","5074961","","820","20181130215457"
"35","First_principle","928779","","18353","20230722102718"
"36","Hemihelix","42599642","","1885","20220118202349"
"37","Potentiometric_surface","14220244","","1519","20220114173941"
"38","Kurchatov_Medal","5082391","","2543","20220830122303"
"39","Light_valve","26459697","","2275","20221117220058"
"40","Electron_quadruplets","69057786","","2355","20221202052610"
"41","Lise_Meitner_Lectures","61235042","","7410","20230605183116"
"42","Schiller_layers","32960907","","662","20230417104824"
"43","History_of_loop_quantum_gravity","856680","","12571","20230721103737"
"44","Cross-recurrence_quantification","23238482","","1454","20190811231810"
"45","Fermi–Pasta–Ulam–Tsingou_problem","2864857","","19829","20221209070308"
"46","K_band_(infrared)","52012421","","1565","20230319100157"
"47","Phase_offset_modulation","6729866","","1182","20220516084901"
"48","Non-contact_force","7786484","","3048","20230524053948"
"49","Rumford_Prize","846152","","23332","20220306103124"
"50","Oxford_Calculators","4555383","","15918","20230613205059"
"51","Women_in_physics","7932544","","40404","20230620080906"
"52","Relativity_of_simultaneity","3406142","","21145","20230720051042"
"53","Prix_Jean_Ricard","64722966","","2429","20230106094601"
"54","Thermodynamic_limit","2262550","","6120","20220312002513"
"55","Leo_Szilard_Lectureship_Award","49947894","","6178","20230611172151"
"56","Einstein's_Blackboard","42492459","","14870","20230717220922"
"57","International_Association_of_Physics_Students","31166737","","16755","20230521134415"
"58","Streaming_vibration_current","13680444","","1330","20220507202500"
"59","Vector_potential","422936","","4427","20230510133612"
"60","History_of_variational_principles_in_physics","5586409","","13488","20230604210405"
"61","ISO_31-4","3371482","","1598","20210408213537"
"62","Delta-v_(physics)","14454695","","1492","20210610042052"
"63","Tomassoni_awards","34653775","","2002","20220409101222"
"64","Spin_pumping","5447381","","6839","20230704030307"
"65","Ternary_fission","32098871","","6422","20230529211035"
"66","Wigner_quasiprobability_distribution","1884336","","36274","20230525184633"
"67","B_Reactor","1831996","","23836","20221231064931"
"68","List_of_relativistic_equations","147337","","22642","20230126150049"
"69","Equivalent_dumping_coefficient","9363637","","2037","20220622010853"
"70","Carreau_fluid","2041081","","2020","20220916072918"
"71","Dirac_Medal","237799","","20883","20230719100745"
"72","History_of_the_periodic_table","619795","","90837","20230612024825"
"73","Superglass","20650838","","1860","20221030224700"
"74","Wave_function_collapse","71138","","25748","20230722114347"
"75","Gribov_Medal","63089932","","7215","20220225202617"
"76","Virtual_particle","192316","","22469","20230628112839"
"77","Medard_W._Welch_Award","17569127","","10382","20220624010257"
"78","Ritz_ballistic_theory","32782978","","9372","20230409142445"
"79","Schiehallion_experiment","20865567","","32304","20230610121209"
"80","Nonadiabatic_transition_state_theory","51531969","","2259","20210917045643"
"81","Perturbation_theory","102140","","20822","20230622232427"
"82","List_of_states_of_matter","1314474","","9449","20230618124805"
"83","Rolf_Wideroe_Prize","64032738","","3790","20210725030815"
"84","Virial_theorem","32664","","42885","20230610190702"
"85","R_W_B_Stephens_Medal","31046448","","1452","20200403172912"
"86","Fresnel_equations","11149","","69799","20230602105518"
"87","Spectrum_(physical_sciences)","71483551","","21998","20230415174632"
"88","Supercooling","285534","","25662","20230716034500"
"89","Mean-field_theory","555768","","17982","20230703170014"
"90","Rutherford_cable","19232924","","2611","20220720020223"
"91","Energy_functional","20560973","","1480","20220408145250"
"92","Archimedean_point","481678","","3721","20230620155442"
"93","Matthiessen's_ratio","29801958","","1643","20211217133417"
"94","Timeline_of_quantum_mechanics","24084197","","80712","20230621215825"
"95","Specific_mechanical_energy","40523295","","4209","20220405143227"
"96","Mediterranean_Institute_of_Fundamental_Physics","35722587","","11792","20230713033426"
"97","List_of_scattering_experiments","53155398","","1569","20220719193434"
"98","Swiss_Physical_Society","51690644","","6557","20230607015001"
"99","List_of_physics_mnemonics","45417452","","8567","20221207194532"
"100","Lorentz_scalar","1911511","","8219","20220519031503"
"101","PANDA_experiment","31254087","","4337","20230104063716"
"102","Classical_unified_field_theories","932217","","15772","20230723055603"
"103","High_Energy_Physics_Advisory_Panel","43070586","","2690","20230202190836"
"104","Poincaré_Seminars","4891505","","4656","20201214214243"
"105","Eden_growth_model","5207843","","2270","20221028095507"
"106","Wigner–Weyl_transform","4277086","","19887","20221223145032"
"107","Physics_Instructional_Resource_Association","26018522","","6772","20221228173348"
"108","List_of_centroids","5220510","","11745","20230627134646"
"109","List_of_atmospheric_optical_phenomena","73055811","","2167","20230621014840"
"110","Path_integral_formulation","438476","","86026","20230621214357"
"111","Covariance_group","19260818","","2848","20220120174447"
"112","Rydberg_formula","237708","","13585","20230712002019"
"113","Karl_Scheel_Prize","21019164","","7129","20221214054506"
"114","Time_translation_symmetry","54016907","","10163","20230129233003"
"115","Volta_Prize","16817373","","9858","20220915083602"
"116","List_of_second_moments_of_area","8673754","","10682","20230306154402"
"117","List_of_textbooks_in_thermodynamics_and_statistical_mechanics","3117016","","48483","20230404123526"
"118","Rutherford_Memorial_Medal","3424427","","4062","20230127212041"
"119","Abdus_Salam_Award","27751051","","5426","20230404225702"
"120","List_of_unusual_units_of_measurement","23685094","","94125","20230706185745"
"121","Henri_Poincaré_Prize","4890712","","3846","20230623133611"
"122","List_of_plasma_physicists","1839391","","17042","20230524212826"
"123","Teylers_Instrument_Room","35646024","","9916","20230308000043"
"124","List_of_Feynman_diagrams","25945211","","3118","20220604015152"
"125","Walter_Boas_Medal","35786644","","3353","20220403062011"
"126","International_Union_of_Pure_and_Applied_Physics","580815","","26930","20230520051916"
"127","International_Centre_for_Theoretical_Physics","4194183","","9245","20230525213806"
"128","Orders_of_magnitude_(angular_momentum)","58611869","","1861","20220902173740"
"129","David_Adler_Lectureship_Award_in_the_Field_of_Materials_Physics","23432134","","2944","20230608024934"
"130","Britney_Spears'_Guide_to_Semiconductor_Physics","22950086","","1918","20230226005147"
"131","James_Joule_Medal_and_Prize","62669390","","7864","20230611153016"
"132","Bruno_Pontecorvo_Prize","58544943","","17671","20220510135811"
"133","History_of_spectroscopy","35980148","","51139","20230615001102"
"134","List_of_physicists","23633","","60953","20230701181907"
"135","List_of_textbooks_on_classical_mechanics_and_quantum_mechanics","61276647","","11743","20230718134023"
"136","Solar_Physics_Division","33342122","","2033","20230526014218"
"137","Klopsteg_Memorial_Award","12710750","","5897","20221021213532"
"138","Luigi_G._Napolitano_Award","5639053","","2126","20230602161111"
"139","Nanomechanical_resonator","50250122","","2100","20210507162116"
"140","Einstein's_thought_experiments","57264039","","108239","20230310004914"
"141","Stationary-action_principle","249438","","26426","20230702071007"
"142","Arctowski_Medal","28306556","","7090","20221025172015"
"143","Albert_Einstein_World_Award_of_Science","416820","","43168","20230204110425"
"144","Sznajd_model","44120932","","6912","20210705204445"
"145","Polynomial_Wigner–Ville_distribution","45116986","","6523","20230418101821"
"146","Specific_density","5341704","","2183","20230414214839"
"147","Exceptional_point","70917667","","3578","20230602230054"
"148","Marian_Smoluchowski_Medal","63175378","","4107","20230425135514"
"149","Frank–Van_der_Merwe_growth","59616019","","2397","20210204184922"
"150","MIRACL","578365","","11890","20230705214231"
"151","List_of_Slovenian_physicists","796647","","1433","20221029012912"
"152","Midwestern_Universities_Research_Association","35026878","","3727","20220612021554"
"153","Los_Alamos_Primer","4592501","","4008","20210904054856"
"154","Shortwave_radiation","154581","","3403","20230424191713"
"155","Outline_of_physics","24489","","35249","20230614210612"
"156","Feynman_diagram","11617","","93152","20230709043424"
"157","Active_and_passive_transformation","366436","","11033","20221010161417"
"158","Clockwork_universe","4297956","","4563","20230317162519"
"159","Potential_gradient","467428","","8948","20221104001238"
"160","Timeline_of_discovery_of_Solar_System_planets_and_their_moons","534079","","164719","20230719224553"
"161","Final_state_conjecture","71461171","","1116","20220809132527"
"162","Micronova","70582867","","4156","20230616191043"
"163","Mott_criterion","21162207","","968","20201202075534"
"164","Parabola_of_safety","26481832","","1813","20220106022024"
"165","Northwest_Nuclear_Consortium","48583145","","1284","20230717210213"
"166","Radiation_effect","33373776","","535","20181022013609"
"167","List_of_Proton_Synchrotron_experiments","55188089","","12514","20220313173257"
"168","Enrico_Fermi_Award","146276","","4224","20230704013201"
"169","Inherent_viscosity","38532467","","904","20220806120756"
"170","Conventional_superconductor","51070","","1857","20221205164626"
"171","Ruze's_equation","22630452","","3545","20221004135258"
"172","Inertia_damper","23586028","","2391","20230425090933"
"173","Moseley's_law","1983277","","8048","20230523110534"
"174","Institute_of_Optics_and_Electronics","62944559","","4347","20201216150945"
"175","List_of_baryons","2485377","","58718","20230702175704"
"176","A_B_Wood_Medal","11506718","","2172","20220620215109"
"177","History_of_optics","2627738","","45566","20230709234214"
"178","Physics_Galaxy","73766990","","3266","20230624191915"
"179","Ponderomotive_energy","8853472","","2864","20230413125630"
"180","Electrically_scanning_microwave_radiometer","25412886","","1388","20210525014123"
"181","Norwegian_Physical_Society","69719890","","1238","20230222095815"
"182","Andrew_Pritchard","31082764","","10962","20221014093811"
"183","Edison_Volta_Prize","37641022","","4132","20220927155600"
"184","Self-organization","286947","","60487","20230718181936"
"185","List_of_letters_used_in_mathematics_and_science","150144","","16250","20230709121702"
"186","CAP-CRM_Prize_in_Theoretical_and_Mathematical_Physics","54159288","","3014","20200710131318"
"187","Dasar","10536559","","471","20220805162158"
"188","Asymptotic_safety_in_quantum_gravity","37596615","","45527","20230621205726"
"189","Richtmyer_Memorial_Award","38188689","","9963","20220731215300"
"190","Sun_valve","10626173","","4696","20230717164626"
"191","Physical_Society_of_Japan","1664274","","3181","20230602023617"
"192","Mechanical_explanations_of_gravitation","11817317","","26065","20230620083956"
"193","List_of_particles","385334","","32052","20230702180724"
"194","Free_particle","1297539","","12503","20230616133753"
"195","Isotropic_radiation","1965987","","411","20230629235356"
"196","List_of_moments_of_inertia","468843","","22398","20230501104507"
"197","Environment_(systems)","22247762","","1701","20230209204312"
"198","Proof_mass","41565982","","2348","20220323024035"
"199","Nimrod_(synchrotron)","16239927","","1779","20210817164056"
"200","List_of_contributors_to_general_relativity","2388068","","20282","20220423060115"
"201","I._I._Rabi_Award","43678078","","2652","20230720124415"
"202","The_Internet_Pilot_to_Physics","2884065","","1809","20230612183027"
"203","Vector_space","32370","","96195","20230719051744"
"204","Ernest_Kempton_Adams_Lectures","73901890","","2664","20230709133656"
"205","State_space_(physics)","9718351","","2382","20230423071959"
"206","Identity_channel","33849734","","622","20161025020046"
"207","Air_lock","765175","","4142","20230716030555"
"208","M5-brane","53072781","","485","20170413222847"
