"number","title","pageid","namespace","length","touched"
"1","Head_of_state","13456","","154756","20230714003738"
"2","Dubai_Uncovered","70873058","","3025","20221021141034"
"3","Statement_of_1000","33258794","","1351","20230617210726"
"4","Apportionment_(OMB)","62348085","","1394","20210303162847"
"5","Royal_Lao_Government_in_Exile","14783569","","16089","20230718221003"
"6","Campaign_advertising","2188206","","43077","20230706233704"
"7","Canadian_Union_of_Public_Employees_v_Ontario_(Minister_of_Labour)","35312751","","5537","20221102062445"
"8","Prime_Minister_of_Northern_Cyprus","6155369","","2784","20230125170328"
"9","Yes,_Your_Grace","65301823","","12085","20230719131958"
"10","Cour_des_Comptes_(France)","1618081","","14395","20220918210238"
"11","Trial_court","306967","","4712","20230704224900"
"12","The_Establishment_(Pakistan)","62069463","","23125","20230625174536"
"13","Petition_for_review","49879674","","9071","20220331212456"
"14","Policy_by_press_release","8937262","","7022","20210805085219"
"15","Local_government_in_Spain","55780198","","8516","20230717105333"
"16","Slapsoftware","35195573","","6498","20220205122326"
"17","Households_Below_Average_Income","8098850","","740","20200825141803"
"18","President_of_the_Council_of_Ministers","623765","","3534","20220806092430"
"19","Sweden_Sans","44247271","","1345","20230501145237"
"20","Receiver_general","4377103","","583","20220322081841"
"21","Social_issue","2345894","","57034","20230719112930"
"22","Boris_Yeltsin_Presidential_Library","39468122","","3212","20230516200902"
"23","Usurper","4276586","","3083","20230522155134"
"24","Jobsworth","858391","","3701","20230608151841"
"25","List_of_state_chief_justices","63342440","","2674","20230628074249"
"26","Statistics_Estonia","31090617","","3258","20230415093738"
"27","Tungus_Republic","59358202","","14818","20230619022125"
"28","List_of_heads_of_state_and_government_deposed_by_foreign_power_in_the_20th_and_21st_century","52922475","","79009","20230716011329"
"29","Ministry_of_Industry,_Science,_Technology_and_Innovation_(Cambodia)","51893332","","3027","20230610100216"
"30","FE-Schrift","6590517","","30185","20230621225230"
"31","Elrod_v._Burns","53642027","","9820","20230413002518"
"32","Government_crisis","52674455","","62","20180121195603"
"33","Operation_Anarchist","49276905","","5239","20210822024315"
"34","Hamas–UNRWA_Holocaust_dispute","24298776","","17591","20230309062203"
"35","Euromyth","979287","","20369","20220628215031"
"36","Junta_of_National_Reconstruction","1729727","","5105","20221015150027"
"37","Provisional_Revolutionary_Government_of_the_Republic_of_South_Vietnam","68273","","17345","20230712100816"
"38","Kallikratis_Programme","45620559","","24334","20230312214046"
"39","Kong_Koan","61186734","","7128","20221221053617"
"40","Power_Politics_(video_game)","29383533","","4461","20230228041503"
"41","Global_feminism","10809813","","18063","20230714121217"
"42","Lord_of_Vermilion","14390726","","11968","20230630070129"
"43","Dog_whistle_(politics)","1853472","","39181","20230721195613"
"44","Propaganda_techniques","10744940","","41816","20230308163214"
"45","Governance_(journal)","21656818","","2796","20230429134145"
"46","Comptroller_and_Auditor_General_of_India","1920797","","41205","20230716122603"
"47","International_Code_of_Conduct_against_Ballistic_Missile_Proliferation","6689235","","4595","20230519075459"
"48","Political_decay","42308421","","10193","20230624022558"
"49","Non-simultaneity","31771913","","26025","20220824203311"
"50","Italian_Senior_Civil_Service","23858543","","12117","20220322081007"
"51","Special_membership_of_the_Commonwealth_of_Nations","21328896","","4509","20220610223121"
"52","Italian_public_administration","66535267","","14701","20220322081106"
"53","List_of_Philippine_government_and_military_acronyms","47766892","","41416","20230305103340"
"54","WinRed","63455259","","13707","20230609213918"
"55","List_of_overseas_visits_by_the_14th_Dalai_Lama_outside_India","49534489","","52675","20230114011758"
"56","Service-oriented_government","68172693","","4795","20230309205352"
"57","Van_Acker_I_Government","66861466","","17283","20230325183634"
"58","Nationalsozialistischer_Führungsoffizier","67773264","","4133","20220923162344"
"59","Ghost_detainee","1648647","","13527","20230510132958"
"60","State_Intellectual_Property_Office_(Croatia)","42854975","","4824","20220322072038"
"61","Present_age","23554608","","6228","20230512172535"
"62","British_Library","18934361","","156439","20230702213437"
"63","Anthony_Cronin","2244606","","11078","20230525075041"
"64","Comanagement_in_Canada","43450431","","15941","20230611065244"
"65","Crusader_Kings_III","62102218","","30236","20230707102313"
"66","Particracy","1697919","","13402","20230313050552"
"67","Ethical_socialism","43473082","","18140","20230514050144"
"68","Government_of_the_25th_Dáil","318618","","30222","20230321205006"
"69","SuperPower_2","1798512","","16087","20230703070059"
"70","Propaganda_kimono","52973427","","14163","20220924121045"
"71","Attaché","1653163","","7029","20230128171323"
"72","Warrant_sale","18832046","","2946","20230713213331"
"73","Hybrid_warfare","28836314","","41522","20230524081050"
"74","Public_trust","174363","","8972","20221005235021"
"75","Michael_Farris_(lawyer)","2199751","","11047","20230709184643"
"76","FragDenStaat","73445802","","2860","20230411093659"
"77","Liberal_Republican_Party_(United_States)","742475","","31520","20230513005838"
"78","Encyclopedia_of_World_Problems_and_Human_Potential","1749638","","47858","20230312215803"
"79","Rabia_sign","40942446","","21744","20230717133904"
"80","Governor_of_Machakos","56963631","","1599","20230214051426"
"81","SD_public_opinion_reports","69984661","","2020","20230305023521"
"82","Crown_Council_of_Ethiopia","4352330","","7739","20230606123455"
"83","Tractatus_Politicus","31148390","","3061","20220807004930"
"84","National_Library_of_Albania","18682020","","6957","20230130025601"
"85","Rada","1296112","","5487","20230128062657"
"86","Gold_commissioner","10769036","","5258","20230501221419"
"87","2nd_Politburo_of_the_Communist_Party_of_Cuba","67478092","","9597","20210423125656"
"88","Schermerhorn–Drees_cabinet","1399800","","20320","20230716003842"
"89","Uri_Rosenthal","27663140","","12378","20230425154454"
"90","Tripartisme","7350640","","13217","20230705122706"
"91","Computational_politics","61580753","","10062","20230705154906"
"92","State_Library_of_Turkmenistan","39069413","","3885","20230221131221"
"93","Netherlands_Space_Office","25292130","","4440","20230503140839"
"94","Denialism","7746391","","73157","20230622154315"
"95","Timeline_of_the_breakup_of_Yugoslavia","16732513","","96370","20230503115002"
"96","Non-ministerial_government_department","2826064","","4577","20230722044117"
"97","Ready,_Set,_PrEP","66322316","","9495","20230429003811"
"98","Cosmopolitanism","599178","","47865","20230714011558"
"99","List_of_countries_with_coalition_governments","27830442","","21920","20230528150521"
"100","Orange–blue_coalition","62677275","","8274","20230329000705"
"101","Voter_segments_in_political_polling","51552568","","9581","20230328230024"
"102","Majoritarian_democracy","3084768","","4474","20230225081919"
"103","Parisine","4716613","","8156","20230527004127"
"104","Courtesy_call","5399607","","5528","20230327034843"
"105","Sakigake_(drug_designation)","68109028","","3140","20221002132858"
"106","BlueTrace","63636485","","25669","20230625155213"
"107","Regulatory_state","8003324","","1899","20220221063130"
"108","Political_ReviewNet","21837800","","1174","20210107190613"
"109","State_architect","23115197","","5932","20221214112422"
"110","Governing_body","1537542","","3031","20230111075412"
"111","Grant-in-aid","2396604","","1774","20230419053606"
"112","2022_Sri_Lankan_political_crisis","70509254","","57327","20230705001304"
"113","Australian_Labor_Party_split_of_1931","47679367","","2721","20230428152233"
"114","Toronto_Subway_(typeface)","23422758","","8630","20230720234010"
"115","Targeted_Killings","39775858","","27563","20230531030916"
"116","Boris_Johnson_in_popular_culture","71659657","","164","20220902143301"
"117","Pieter_Oud","5384242","","31426","20230505071139"
"118","Third_Way","292269","","106284","20230611083206"
"119","Subject_matter_in_South_Park","5755366","","51242","20230617195509"
"120","Immigration_and_Naturalization_Service_v._Chadha","1275028","","17843","20230418185244"
"121","Civil_Service_(United_Kingdom)","65461","","62953","20230627124558"
"122","Governor","56231","","37704","20230715054027"
"123","Dominican_Postal_Institute","10845559","","843","20220726093516"
"124","Westland_affair","358375","","24922","20230614113912"
"125","Alliance_for_Democracy_and_Reforms","23972934","","4285","20220917184057"
"126","The_Engineering_of_Consent","7193665","","11976","20230621014137"
"127","Limitarianism_(ethical)","52756707","","12066","20230511161011"
"128","Career_Commendation_Medal","32804141","","1313","20201123040608"
