"number","title","pageid","namespace","length","touched"
"1","Innuitian_Region","14922675","","2750","20221225053846"
"2","Nunatsiavut","616289","","37433","20230401203249"
"3","New_Guinea","20611456","","63574","20230711025526"
"4","Geographic_Regions_of_the_Dominican_Republic","15305538","","7442","20230408091257"
"5","Fouta_Djallon","1364993","","16534","20230701150843"
"6","Polar_easterlies","786562","","1571","20211005093025"
"7","Nubia","21492837","","107998","20230719200105"
"8","Atlantic_Equatorial_mode","31794032","","13966","20220418120859"
"9","Vojvodina","176801","","60996","20230722224040"
"10","Judea","21491730","","41251","20230717120946"
"11","Mbaise","2983518","","7429","20221231183829"
"12","French_America","862859","","11076","20230619161114"
"13","Former_Region_10_(Johannesburg)","1336232","","909","20220703023344"
"14","Geshur","3021242","","10155","20230709081741"
"15","Baltic_Sea_States_Sub-regional_Co-operation","70651373","","6321","20230104105225"
"16","Savoy","27885","","29116","20230711190326"
"17","Barbary_Coast","507628","","6554","20230531122603"
"18","Il-Lunzjata_Valley","69328369","","2601","20230624174011"
"19","Tropics","66577","","16035","20230516131017"
"20","Arnhem_Land","632126","","34624","20230709072303"
"21","Thaidene_Nëné_National_Park_Reserve","14347142","","11854","20230509212255"
"22","English-speaking_world","622156","","20852","20230715232324"
"23","Tabaristan","12689405","","17375","20230625152604"
"24","Bioregionalism","191827","","13133","20230417153259"
"25","Bohemian_Forest_Region","7946174","","3360","20220915195434"
"26","Zanj","1572414","","16860","20230701233019"
"27","Duggar_(region)","22500160","","7275","20230323061127"
"28","Western_Heartlands","2295879","","203","20220427210014"
"29","Ocean_colonization","30449643","","33638","20230506014654"
"30","Ocean_Explorers_Grand_Slam","62880545","","6346","20220814173936"
"31","Seasonal_tropical_forest","48593539","","9939","20230720232006"
"32","Dhundhar","2388372","","6442","20230529023426"
"33","Alpine_steppe","19067707","","11933","20220103065707"
"34","Western_Tajikistan","68191946","","208","20221226191408"
"35","Fly_Tiwi","36629350","","6536","20230508005151"
"36","Moldavia","46007","","63615","20230711155437"
"37","Maghreb","346014","","77817","20230719025846"
"38","Ocean_development","65590528","","7003","20230130042223"
"39","Santa_Fe_de_Nuevo_México","53724","","21690","20230625191717"
"40","Moson_County","923461","","7127","20221126012816"
"41","Mingrelia","390716","","5780","20230429222514"
"42","Latter-day_Saint_settlements_in_Canada","42317560","","1914","20230715025052"
"43","Eastern_Mediterranean","20316339","","7669","20230717175651"
"44","Malay_world","36227514","","36308","20230721120914"
"45","Megathermal","1374427","","2381","20221003153912"
"46","Pozsony_County","923233","","9537","20220913183821"
"47","Congo_Basin","1866767","","18955","20230519012537"
"48","Wabanaki_Confederacy","13231954","","66901","20230717005455"
"49","Liverpool–Manchester_rivalry","26656355","","16561","20230702204559"
"50","Najd","178715","","44339","20230715214110"
"51","Holarctic_realm","1914921","","20626","20230507055606"
"52","Ophir","69654","","18278","20230629030044"
"53","Venera_Terra","47386433","","757","20201230134353"
"54","Tropic_of_Cancer","66676","","14461","20230720163456"
"55","Microregion_(Tyrol)","51837585","","571","20230507085022"
"56","Hispanic_America","452104","","43557","20230722071153"
"57","Nysa_(mythology)","461178","","3054","20230625124047"
"58","Poles_of_astronomical_bodies","11821775","","7456","20230204061659"
"59","Hejaz","184235","","45822","20230719103650"
"60","Biogeographic_realm","180210","","15268","20230614025114"
"61","Levantine_corridor","25833106","","4078","20221011003641"
"62","Internal_colonialism","1745301","","23563","20230606171934"
"63","BLNS_Countries","2943115","","416","20220426230247"
"64","Tropical_ecology","19826061","","19657","20230601104149"
"65","Bay_owl","4649281","","7106","20230517123134"
"66","East_Coast–West_Coast_hip_hop_rivalry","5076339","","29316","20230713163125"
"67","Bukunzi","25372489","","3030","20221115033108"
"68","Voyager_Terra","47388413","","1330","20210919224009"
"69","European_Atlas_of_the_Seas","32182414","","3943","20220927203810"
"70","Dawnland","67877570","","67","20210606190315"
"71","Isle_of_Ely","214929","","12374","20230513030450"
"72","Ukrainophilia","31300528","","10492","20230628144256"
"73","Bugahyeon-dong","17361878","","5292","20210613152814"
"74","Province_of_16_Szepes_Towns","69813087","","5668","20220611053515"
"75","Lubaland","12149171","","1116","20220816183334"
"76","Thorn_forest","29001609","","2886","20230501203230"
"77","Low_Countries","51402","","23815","20230712002238"
"78","Western_Mediterranean_oscillation","53197887","","3189","20230528065845"
"79","Khwarazm","317992","","45410","20230709080543"
"80","Kingdom_of_Rob","65829962","","8348","20230512160809"
"81","Odeh_Spring","64384675","","4780","20221113215108"
"82","Railway_Belt_(British_Columbia)","37929529","","2262","20200426133914"
"83","Life_zone","797966","","4647","20210303151152"
"84","List_of_beaches_in_Palestine","66993016","","3110","20230501093924"
"85","Arabia_Felix","1752957","","7235","20230702164119"
"86","List_of_Star_Trek_regions_of_space","14585649","","29771","20221206165712"
"87","Podlachia","431080","","33656","20230714212747"
"88","African_Great_Lakes","512047","","13558","20230712102218"
"89","Hexi_Corridor","874676","","14446","20230615154144"
"90","Talish-i_Gushtasbi","892271","","2388","20230203144220"
"91","Index_of_Africa-related_articles","8204998","","2659","20220720161216"
"92","Prlekija","16695729","","2946","20230712183455"
"93","Microregions_of_Brazil","8248132","","3452","20230602193258"
"94","Jibin","62620830","","2058","20230309154716"
"95","Southeast_Africa","41575400","","11929","20230416100337"
"96","Himalayas","37966","","63622","20230720182145"
"97","Bactria","45378","","37309","20230720041001"
"98","Southernization","19377423","","8090","20230425001254"
"99","Langkasuka","1056933","","22414","20230718114158"
"100","Tropical_marine_climate","7958748","","4705","20230103023554"
"101","La_Niña","78469","","34891","20230616171813"
"102","Index_of_Europe-related_articles","22723710","","80","20140904210747"
"103","Gothiscandza","1134720","","7316","20230325224403"
"104","Palliser's_Triangle","351186","","17388","20230423074955"
"105","Byzantine_commonwealth","6823113","","6658","20230409044510"
"106","Fiddler's_Green","429211","","11909","20230718123442"
"107","Former_Region_5_(Johannesburg)","1336196","","1163","20230106002324"
"108","Former_Region_2_(Johannesburg)","1138500","","1264","20171004045148"
"109","Morgoth_Macula","47386774","","1295","20230130232852"
"110","New_Castile_(Spain)","404331","","2763","20230602173000"
"111","Northern_Mexico","48157875","","25910","20230710211723"
"112","Arctic_Archipelago","70738","","37329","20230609181603"
"113","Anglo-America","534887","","14269","20230711223001"
"114","Bo_Plains","14293997","","1380","20230116141906"
"115","Middle_East","19323","","72178","20230705111804"
"116","Serica","7852748","","25421","20230526164124"
"117","Portland–Seattle_rivalry","47487953","","11258","20230507011251"
"118","Arabian_Peninsula","47858","","67809","20230711141431"
"119","North_macroregion,_Peru","37795637","","8989","20230319152330"
"120","Southern_Sudan_Autonomous_Region_(1972–1983)","30313689","","8105","20230705104524"
"121","Tao-Klarjeti_(historical_region)","49589095","","4251","20230707150203"
"122","Northern_England","714694","","241010","20230722185611"
"123","Kasaï_region","1171739","","1923","20221115042717"
"124","Wales","69894","","222383","20230718004614"
"125","Tropical_Atlantic_SST_Dipole","34028512","","12986","20220512115735"
"126","Shatter_belt_(geopolitics)","57460180","","5380","20230705172214"
"127","Slave_Coast_of_West_Africa","1342676","","15669","20230709071941"
"128","Butuan_(historical_polity)","20457903","","19587","20230709080002"
"129","Mainland_Southeast_Asia","52052","","10259","20230723040145"
"130","Nijmegen_Quarter","42876215","","2284","20210112154322"
"131","Barotseland","2428582","","24191","20230528154555"
"132","Nanyang_(region)","1825524","","30128","20221012135826"
"133","Sloboda_Ukraine","1508006","","17434","20230716155540"
"134","Svalbard","27441","","96995","20230702044625"
"135","Kalahari_High","40774203","","1108","20230328012533"
"136","Al-Wakwak","50612141","","13796","20230709071454"
"137","Magnus_Sinus","45678306","","12373","20221128024736"
"138","Brussels","3708","","250485","20230722115506"
"139","Sinai_Peninsula","27644","","38558","20230716152740"
"140","Gallia_Celtica","39228308","","8443","20230426010329"
"141","Central_Indo-Pacific","18706556","","5204","20220304072900"
"142","Siyi","3379361","","8892","20230617040857"
"143","East_Indies","76488","","9009","20230715200415"
"144","Greater_Upper_Nile","32344935","","3645","20230528000440"
"145","Near_East","214632","","57251","20230713123431"
"146","Futahuillimapu","63640284","","4553","20230209153313"
"147","Chilean_Iron_Belt","62484808","","6001","20230319214847"
"148","A_Field_Guide_to_the_Birds_of_Hawaii_and_the_Tropical_Pacific","9146522","","3939","20220109043831"
"149","Galmudug","8609912","","35457","20230715215649"
"150","Arctic_dipole_anomaly","28130762","","11111","20230528071258"
"151","Urban_climatology","2803548","","8311","20230528073656"
"152","Afrin_Canton","56089832","","22274","20230702122735"
"153","Maritime_Continent","14901447","","2724","20230601100630"
"154","Pacific_Centennial_Oscillation","59165649","","6024","20230528080716"
"155","Prussia","371248","","90313","20230711160559"
"156","Pantropical","2756802","","2796","20230123160834"
"157","La_Sila","7351766","","6870","20230708192317"
"158","Rhodesia_(region)","938876","","8385","20230411150841"
"159","Brie_(region)","277919","","2581","20230308110941"
"160","Virgin_Islands","32462","","20981","20230717194417"
"161","Karabakh","9322682","","53412","20230629212558"
"162","Middle_Belt","8547653","","15357","20230623034246"
"163","Index_of_Szabolcs-Szatmár-Bereg-related_articles","8253485","","5697","20220711155231"
"164","Provinces_of_Ireland","143100","","32077","20230717001937"
"165","Index_of_Asia-related_articles","29132996","","2559","20220711155355"
"166","Pioneer_Terra","47388378","","1265","20201230133947"
"167","Lists_of_mammals_by_region","3277758","","21969","20230202055728"
"168","Garlic_Belt","2300407","","55","20161003204147"
"169","Ferrond","3733746","","201","20220505172046"
"170","Western_Himalayas","44214061","","5490","20230701190832"
"171","Alpide_belt","2999955","","14005","20230515210419"
"172","Lists_of_mountains_by_region","36758721","","19998","20230720031921"
"173","Indomalayan_realm","201211","","9803","20230710230526"
"174","Savage_Frontier_(Forgotten_Realms)","2315638","","222","20220801153246"
"175","Cyclonic_Niño","59182557","","32380","20230325200726"
"176","Tropical_monsoon_climate","23962701","","8013","20230702143416"
"177","Korean_nationalism","908242","","60393","20230712074942"
"178","Bean_belt","25052672","","63","20220210040355"
"179","Province_of_11_Szepes_Towns","69803957","","3796","20220119225308"
"180","Carnatic_region","636251","","13656","20230403043404"
"181","Lenapehoking","435803","","37479","20230409095839"
"182","Ulster","32066","","70065","20230720125342"
"183","Deep_sea_mining","10431114","","71249","20230709221529"
"184","Silesian_Voivodeship_(1945–1950)","70680484","","12144","20230626034250"
"185","Banovina_(region)","4900276","","11206","20230612055803"
"186","List_of_anarchist_movements_by_region","6205696","","8677","20220725135954"
"187","Lukomorye","20984563","","6462","20230430053150"
"188","Barren_vegetation","14669196","","15189","20230411002745"
"189","Cross-regional_relations_between_North_and_Sub-Saharan_Africa","70418851","","25992","20220725184220"
"190","Ibero-America","441352","","6345","20230705203827"
"191","Geo-fence","21223477","","17408","20230714073243"
"192","Göcsej","6175703","","5773","20201102005409"
"193","Bashmur","48872394","","5537","20230709073749"
"194","Aha!_(airline_brand)","68847281","","7516","20230524200755"
"195","Finnmark","171192","","40779","20230714070747"
"196","Ecoregion_conservation_status","206272","","2732","20230130143237"
"197","Development_regions_of_Romania","2293510","","9362","20230514195111"
"198","Bagla_Hills","26985652","","4918","20230505003711"
"199","Quasi-biennial_oscillation","164318","","10141","20230709061102"
"200","Open_ocean_convection","67672691","","27146","20230220062939"
"201","Consular_district","51805067","","1655","20200215061406"
"202","Nitassinan","81438","","1368","20230625123858"
"203","History_of_Luzon","37757029","","42386","20230709080650"
"204","Twangiza-Namoya_gold_belt","67338086","","15406","20230319125406"
"205","Evergreen_forest","2334488","","3304","20230525091501"
"206","Lists_of_amphibians_by_region","9335756","","6123","20230119001554"
"207","Pontus_(region)","79629","","27518","20230709060522"
"208","Holdridge_life_zones_in_Guatemala","26925427","","6942","20210113132343"
"209","Khandesh","30873543","","11835","20230712011029"
"210","Persianate_society","882382","","52672","20230619143614"
"211","Granite_Belt","1712809","","14819","20230505192609"
"212","Air_China_Inner_Mongolia","62207067","","7433","20230511064820"
"213","North_Africa","21714","","49332","20230713131325"
"214","Mselliet","2476730","","963","20230625213925"
"215","Arabat_Spit","1207823","","11300","20230627131845"
"216","Pacific–North_American_teleconnection_pattern","13656257","","3054","20220227165940"
"217","Al-Ahsa_Water_Springs","64374743","","5460","20230405222829"
"218","Appalachian_Mountains","85023","","61842","20230712211731"
"219","Gorno-Badakhshan","861329","","40204","20230720084408"
"220","Crusader_states","256355","","137805","20230704173600"
"221","Abitibi_gold_belt","27202565","","12990","20221207234354"
"222","Kavirondo","3923079","","14579","20221224010651"
"223","Central_Belt","2110519","","6356","20221023122646"
"224","Goualougo_Triangle","1600152","","4762","20230625213901"
"225","Land_of_Punt","22216173","","34541","20230708182609"
"226","Banda_Oriental","2071032","","16519","20230623214126"
"227","Viking_Terra","47412272","","785","20201230134519"
"228","Former_Region_6_(Johannesburg)","1336207","","1185","20171108235654"
"229","Region","55633","","25708","20230718231450"
"230","Arctic_Ocean","18951556","","65930","20230715064449"
"231","Military_district","896115","","27378","20230508233031"
"232","Indo-Pacific","330456","","34546","20230604092858"
"233","Cambysene","67987123","","5115","20220706094032"
"234","Lists_of_reptiles_by_region","3251908","","5379","20230130172636"
"235","El_Indio_Gold_Belt","29828458","","8654","20210128235104"
"236","Old_World","143913","","4701","20230616021350"
"237","Historical_region","17627929","","4026","20230702163222"
"238","Effects_of_the_El_Niño–Southern_Oscillation_in_the_United_States","16459917","","10706","20230710223254"
"239","Zemo_Kartli","57934326","","2778","20200108020235"
"240","Krasnodar_Krai","474125","","36546","20230717001510"
"241","North_African_climate_cycles","33804934","","28358","20221124212405"
"242","Ala_Macula","47273867","","1544","20221104132301"
"243","Dobruja","255578","","89120","20230501001738"
"244","Coele-Syria","2008859","","55127","20230516062534"
"245","South_Atlantic_Convergence_Zone","23112262","","2599","20221221150801"
"246","Separation_barrier","370681","","32543","20230619055425"
"247","Inuvialuit_Settlement_Region","22010245","","16630","20230614215002"
"248","Subregion","719446","","34139","20230713091532"
"249","Golden_Chersonese","5817727","","14923","20230705163230"
"250","Sea","18842323","","180445","20230714125339"
"251","Ocean_governance","34071703","","29340","20230130034258"
"252","Mäslihat","65694188","","4294","20220613190342"
"253","Boeotia","79607","","36337","20230629192422"
"254","Greenland","12118","","150325","20230721051235"
"255","Jabal_al-Druze","703150","","3101","20230715082518"
"256","Machir_(biblical_region)","10409711","","2551","20210123174151"
"257","Red_states_and_blue_states","1130657","","87791","20230717130934"
"258","North_Atlantic_oscillation","348869","","25914","20230515001341"
"259","Monastic_community_of_Mount_Athos","62570093","","66624","20230613231642"
"260","Antarctic_oscillation","1277885","","9324","20221114101848"
"261","Unyamwezi","3912127","","6902","20221002110437"
"262","Valeriepieris_circle","59758307","","4114","20230704073554"
"263","Bible_Belt","247364","","52437","20230718041031"
"264","Mount_Lebanon","381121","","13999","20230712154851"
"265","Alpine_tundra","203104","","16473","20230720224107"
"266","California–Texas_rivalry","66418704","","6223","20230615234518"
"267","Wituland","2002253","","12440","20230601071340"
"268","Pradhaan_Air_Express","71973337","","4427","20230425055342"
"269","Inner_Asia","426875","","8158","20230716195107"
"270","Slovene_Lands","15437022","","11831","20230605174937"
"271","Bisfi_Vidyapati_Dih","73347034","","5492","20230514095251"
"272","Solomon_Islands_(archipelago)","21683245","","13406","20230605014000"
"273","Red_belt_(India)","54233040","","52","20180218175020"
"274","Dapitan_Kingdom","66198930","","15641","20230709072811"
"275","Thynia","842315","","999","20211101001534"
"276","Trnovo,_Bosnia_and_Herzegovina","31016235","","2627","20210702130753"
"277","Bukovina","224692","","88682","20230722202517"
"278","Gallic_Alps","68615850","","2010","20230419013539"
"279","Partition_of_India","265059","","221596","20230723034240"
"280","Klarjeti","2336332","","7173","20230707155207"
"281","Príncipe","470128","","11582","20230614000246"
"282","Iberian_Peninsula","14883","","129319","20230720095202"
"283","Tulgas","39882512","","1869","20221129045147"
"284","Aethiopia","8681060","","20127","20230617153042"
"285","Canadian_Arctic_tundra","52163976","","49176","20230717093840"
"286","Northeast_Africa","2462734","","2284","20230721193718"
"287","Akwesasne","1228415","","50543","20230614104906"
"288","Regionalism_(politics)","868284","","15004","20230617082004"
"289","Syria_Palaestina","433323","","38985","20230719012303"
"290","Mthwakazi","31989878","","16942","20230321174104"
"291","Andes","1354","","56049","20230712015527"
"292","Jutland","22235683","","30965","20230722060537"
"293","Kafiristan","307935","","20307","20230609112758"
"294","Anglo-Celtic","684142","","6272","20230605202721"
"295","Penguin_Islands","1686174","","8308","20230721120055"
"296","Assyrian_homeland","6390907","","45436","20230711163908"
"297","Talish_(region)","64704879","","8608","20230722215102"
"298","Sekhukhuneland","35032347","","9468","20230312043103"
"299","Urgellet","22620616","","5228","20230125152352"
"300","Szepes_County","7479355","","25519","20230209020900"
"301","Joint_Council_of_Municipalities","32798033","","66953","20230703213747"
"302","Gagauzia","389634","","37390","20230719211254"
"303","Mashonaland","1846607","","5637","20230503145213"
"304","Southern_Ural","48988447","","2491","20230319015213"
"305","Guela,_Republic_of_the_Congo","6004586","","323","20230625213904"
"306","Ocean_temperature","31961126","","26778","20230714123539"
"307","Red_belt_(Italy)","62032357","","265","20200102083721"
"308","Negev","142273","","52353","20230619171835"
"309","Quran_Belt","41062584","","2762","20230126174141"
"310","Mesoregion_(geography)","40364810","","975","20210901004156"
"311","South_Yemen","718749","","34663","20230709082001"
"312","Seven_Seas","1098542","","14328","20230722003556"
"313","Thrace","36857","","24278","20230715204308"
"314","Arabia_Petraea","1060851","","16045","20230709210238"
"315","Ardennes","143706","","21213","20230610013417"
"316","Taxation_districts_of_the_Achaemenid_Empire","11376059","","6787","20230709070736"
"317","Barwari","32522434","","14182","20230415212513"
"318","Pashtunistan","60759","","65877","20230613213428"
"319","List_of_Confucian_states_and_dynasties","64783893","","15759","20230711190609"
"320","South_Caucasus","353358","","22471","20230710203710"
"321","Important_Plant_Areas","31600854","","3646","20220830113943"
"322","Dubai_Coins_Museum","74237301","","8039","20230720131944"
"323","Pisidia","1791330","","10435","20220609023857"
"324","Bolshoy_Ussuriysky_Island","5874630","","9097","20230626230926"
"325","London_metropolitan_area","367460","","17438","20230618155045"
"326","Historic_counties_of_Wales","338147","","10659","20230511025839"
"327","Maedica","59813477","","74","20190130211930"
"328","Kansas_and_Missouri","40508818","","4081","20230404052000"
"329","Southern_Africa","459850","","38243","20230704012504"
"330","Sebatik_Island","1546596","","7057","20230311215225"
