"number","title","pageid","namespace","length","touched"
"1","Strike_tone","34375901","","11253","20230125223800"
"2","Cultural_nationalism","14690776","","5418","20221201162537"
"3","Kumar_(title)","54009307","","2492","20230214021539"
"4","Fictional_portrayals_of_psychopaths","17046772","","35487","20230527151129"
"5","List_of_ethnic_groups_in_Tanzania","2115716","","16766","20230618202959"
"6","Shopkeeper's_privilege","8380866","","7935","20230202012420"
"7","Iraq_Museum","209846","","44158","20230629232133"
"8","Ethnohistory","4153008","","12047","20230416100837"
"9","Infrastructure_asset_management","29332110","","22398","20230405130908"
"10","Neolocal_residence","14740426","","5407","20221009062727"
"11","R_v_Savage","38327248","","6623","20230409042540"
"12","Angel_F","24571654","","15425","20230308044841"
"13","John_Nelson_(physician)","1521029","","2197","20230416230644"
"14","Policy_alienation","34268968","","11348","20230617174320"
"15","Natural_morality","19940393","","5951","20210905025446"
"16","Country_life_movement","41397305","","13787","20230617215914"
"17","Reactions_to_the_1989_Tiananmen_Square_protests_and_massacre","29931454","","54319","20230606161850"
"18","Ticking_time_bomb_scenario","3101959","","22465","20230218135126"
"19","Geneviève_Lhermitte","38463109","","22389","20230610042903"
"20","Mattioli_Woods","30524817","","4944","20230320203734"
"21","Massage_parlor","749336","","22804","20230622011618"
"22","A_History_of_Economic_Thought","63599492","","7641","20230101185811"
"23","KAMER_Foundation","5944869","","4814","20230702033342"
"24","Colon_(rhetoric)","1645052","","1950","20230408214648"
"25","Center_for_the_Study_of_Religion_and_Society","7471277","","1600","20210408045211"
"26","Chicago_Bulls_championship_riots","56101234","","9227","20230511075351"
"27","Self-Injurious_Behavior_Inhibiting_System","25246176","","7129","20230402234616"
"28","Economics_of_marriage","34352219","","32453","20230114151248"
"29","Cleavage_(politics)","8410651","","23720","20230328232118"
"30","Ellen_Leonida","4299216","","3848","20211209142140"
"31","Centennial_Generation","64585090","","113","20220126193105"
"32","Standing_frame","3609638","","5873","20230617052630"
"33","Common_Component_Architecture","7698591","","916","20200109042522"
"34","Retraction_in_academic_publishing","582691","","25742","20230528205019"
"35","Humanist_of_the_Year","39579696","","286","20200307180922"
"36","Alice_Blanchard_Coleman","70952745","","12893","20221204015400"
"37","National_Institute_for_Research_into_Aquatic_Habitats","47918702","","4013","20220425034510"
"38","History_of_sport","398318","","42856","20230701103138"
"39","Critical_language_awareness","23789867","","5738","20220930140155"
"40","Comedy","20914042","","36457","20230501193134"
"41","International_Link_of_Orthodox_Christian_Scouts","28408126","","4323","20201019195826"
"42","Du-reformen","32060526","","11061","20230614194648"
"43","Impressum","15651067","","6932","20230120024534"
"44","Invoke_Malaysia","55284398","","5994","20230227203704"
"45","Group_size_measures","16621271","","6890","20211008201140"
"46","Veritism","22729045","","3949","20230202001636"
"47","Bookstore_tourism","2415368","","5603","20230515211322"
"48","Tones_and_I","60426038","","59584","20230619230720"
"49","Minorities_in_Iraq","4140740","","36002","20230530183853"
"50","Multidimensional_organization","16703785","","7000","20230416001651"
