"number","title","pageid","namespace","length","touched"
"1","Mother-in-law_language","6309898","","51","20190919231241"
"2","People's_science_movement","33753114","","1842","20220531013654"
"3","Tangible_symbol_systems","20004766","","16425","20230524170749"
"4","Casa_viva","17511649","","4224","20220217194749"
"5","Cultural_history_of_the_buttocks","31547233","","13187","20230524102907"
"6","Down-low_(sexual_slang)","391933","","33418","20230716231041"
"7","Internet_Security_Awareness_Training","28638783","","21233","20230722022732"
"8","Smirting","1613097","","5161","20220701015448"
"9","Demographic_profile","187101","","18411","20230707124543"
"10","Charter_of_Amiens","12745891","","5019","20230204211727"
"11","Tono_Maria","53877708","","3829","20230715183019"
"12","History_of_rape","5672823","","45866","20230511184229"
"13","Algorithmic_radicalization","67058442","","18955","20230714015912"
"14","List_of_strikes","146895","","88840","20230722035718"
"15","Concealing_objects_in_a_book","5762880","","14800","20230621064644"
"16","Family_cookbooks","3358295","","2038","20230129062349"
"17","Black_Friday_(partying)","20775117","","7853","20221215234509"
"18","Dissemination","19371086","","6183","20230426104315"
"19","Juan_Roque_(Zape_Confraternity)","33996477","","7061","20230516020950"
"20","Agritourism","45847","","11574","20221208071914"
"21","List_of_French_institutions","4944459","","647","20220321165541"
"22","List_of_popular_misconceptions_about_science","29260","","215","20120626013241"
"23","Storage_security","43573636","","11394","20230316054126"
"24","Hidden_compartment","27874156","","3872","20230202152358"
"25","Lesbian_feminism","790968","","77390","20230619081655"
"26","Columbia_Water_Center","24068565","","16026","20221206164237"
"27","Charrette","1558159","","12152","20230608061703"
"28","Social_and_behavior_change_communication","26877546","","11407","20220428110214"
"29","European_social_model","20311344","","20200","20230717031934"
"30","Public_interest_design","36071642","","18964","20230506001638"
"31","Neo-colonial_science","65351650","","22115","20230706091200"
"32","Alltagsgeschichte","3184347","","4510","20230622121426"
"33","Social_issues_in_Chinatowns","1392452","","22006","20220319150413"
"34","Settler","536698","","9603","20230627183816"
"35","Security_Fundamentals_Professional_Certification","45430538","","1845","20210711192807"
