"number","title","pageid","namespace","length","touched"
"1","ArtBabble","25396193","","3108","20220825135227"
"2","The_Shame_(performance_art)","63725627","","3870","20230223210649"
"3","2012_Turner_Prize","37825719","","1759","20220501204628"
"4","Western_Norway_Exhibition","51201505","","3635","20210312041030"
"5","Jindřich_Chalupecký_Award","32008438","","4607","20230315132924"
"6","Fax_art","2870042","","4003","20230317203838"
"7","Trichromy","37732144","","2152","20230207021503"
"8","St_John's_Wood_Art_School","36786946","","4173","20230717102354"
"9","Kokoromi","21864854","","2833","20230427081446"
"10","Tortilla_art","4359672","","3281","20230704001720"
"11","Havidol","9549300","","5699","20220520030311"
"12","Cresson_Traveling_Scholarship","39095600","","5628","20230316230539"
"13","World_Sensorium","36586999","","15891","20230607030749"
"14","Studio_pottery","2610498","","14804","20230226164614"
"15","Tagea_Brandt_Rejselegat","716597","","11851","20221030133339"
"16","Upside-down_painting","72165192","","7781","20230413003856"
"17","Megilp","7875632","","1913","20230220214224"
"18","Art_movement","228568","","19667","20230627110842"
"19","National_personification","1895870","","23914","20230722185925"
"20","Matchstick_model","970936","","1656","20201203145838"
"21","Night_and_Sleep","32485720","","1926","20230601210924"
"22","Visionary_art","248309","","5896","20230124212250"
"23","Kitsch","98141","","21219","20230718201846"
"24","New_media_art","30872739","","40329","20230702025945"
"25","Make_Something!!","28140255","","3540","20220830020557"
"26","Art_gallery","65393931","","16077","20230706005148"
"27","Kristjan_Raud_Art_Award","67438693","","965","20210806075725"
"28","Inkwell","60287","","5994","20230429193452"
"29","F.I.L.A._(company)","52196028","","4743","20230612024539"
"30","Supercut","37786896","","10100","20230417150440"
"31","Range-finder_painting","52765834","","3817","20230316034236"
"32","Line_art","3251497","","2557","20230515224905"
"33","Acrylic_paint","2838","","32648","20230705175515"
"34","Chinese_ritual_bronzes","17554380","","29406","20230420043110"
"35","Composition_(visual_arts)","1822919","","23178","20221005123725"
"36","Cloudscape_(art)","6539646","","3713","20210703041651"
"37","Kulttuurivihkot","44971312","","3449","20220619184410"
"38","Little_Constellation","50021514","","591","20220515203737"
"39","Stone_carving","615075","","15191","20230626123245"
"40","Suprematist_Composition","27341810","","2823","20230710044238"
"41","Binder_(material)","2076473","","6768","20230113100514"
"42","Al-Qatt_Al-Asiri","40012938","","5298","20220804074708"
"43","Picturesque_Ukraine","70100949","","1548","20230501225902"
"44","Transgressive_art","653401","","8424","20230626133107"
"45","Drybrush","6502938","","4854","20221119042213"
"46","Mino_washi","16987255","","3857","20211209175021"
"47","Animal_style","1132739","","10318","20230422054252"
"48","Abstract_impressionism","148895","","17870","20230505162529"
"49","Trouble_(magazine)","33053386","","2652","20221007084651"
"50","Visual_sociology","2380709","","9815","20230519095858"
"51","Singerie","7761118","","7036","20230425214341"
"52","Copal","170384","","4898","20230720030407"
"53","Tortillon","947187","","1234","20230405142025"
"54","Estuaire_(biennale)","11586986","","1006","20201109123729"
"55","Selfie_museum","65203585","","8541","20230719144536"
"56","Screentone","540098","","1657","20220219021310"
"57","Sharafat_(magazine)","60477412","","2726","20210817131716"
"58","ArtTactic","28306496","","10795","20220907075316"
"59","Brandywine_Workshop_and_Archives","70946802","","4503","20230226151350"
"60","Oslo_City_art_award","27192481","","1238","20210916094532"
"61","Virgilio_Ruiz_Fernandez","48593246","","3075","20220121123438"
"62","List_of_works_designed_with_the_golden_ratio","16182186","","36733","20230330023117"
"63","Art_jove","42052569","","2036","20230617200722"
"64","Maurice_Newman_(artist)","65263282","","3688","20230630222754"
"65","Art_finance","1865910","","5584","20230108234054"
"66","Databending","43390516","","7170","20230324193826"
"67","Art_medallion","7329956","","2786","20221210004817"
"68","Rubens_Vase","66587299","","3630","20220808234858"
"69","First_Things_First_1964_manifesto","368032","","1399","20201205224135"
"70","Untitled_(landscape)","24133614","","347","20220125014700"
"71","Hatching","1980381","","5453","20230303110331"
"72","Subtractive_drawing","42376669","","1979","20221130122847"
"73","Cobweb_art","58134615","","3416","20221120120009"
"74","Gallery_Climate_Coalition","65727506","","1661","20201031145049"
"75","My_Poland._On_Recalling_and_Forgetting","45473591","","38232","20220907005931"
"76","Rainy_Taxi","32004157","","3674","20230424232130"
"77","Poster_paint","2210527","","2363","20230719105015"
"78","Marbleizing","238893","","4716","20230402040424"
"79","5×5=25","22101279","","4145","20230602011857"
"80","Fête_galante","3163442","","6779","20230713061922"
"81","Claybord","6930514","","995","20211216105956"
"82","Solo_exhibition","9280638","","4753","20230411175911"
"83","Chadam","27714014","","2003","20210310005643"
"84","Site-specific_art","182607","","11211","20230319094415"
"85","Internet_aesthetic","71463510","","31619","20230722020405"
"86","Stuckism","58039","","50192","20230406101051"
"87","Flash_Art","5178105","","11686","20230620183319"
"88","Art+_Magazine","33437715","","7803","20220919034001"
"89","La_Joconde_nue","57893656","","2155","20210717161019"
"90","Underdrawing","8434834","","3382","20211207210123"
"91","Symmetry","53741","","38181","20230611005856"
"92","Performance_art_in_China","1225185","","2724","20230715140016"
"93","Prix_de_l'Indochine","36993028","","3592","20200808050455"
"94","Systems_art","16280135","","16947","20230122134510"
"95","Synthography","72537482","","10181","20230706231818"
"96","Rest_Energy_(performance_piece)","45324522","","3259","20220611140205"
"97","Genre_art","240347","","17151","20230424211056"
"98","Tessera","1690435","","5736","20230608211618"
"99","List_of_art_techniques","65046076","","6959","20230714185727"
"100","Tree_of_Science_(sculpture)","23602577","","1926","20210212043634"
"101","Cloisonnism","1371321","","3032","20220422180047"
"102","ArtFacts.Net","71179381","","6139","20230311001016"
"103","Top-left_lighting","19910219","","3018","20230227115857"
"104","Fresco_painting","176033","","210","20200314171114"
"105","Scenic_painting_(theatre)","325064","","2346","20220929175648"
"106","Andrea_M._Bronfman_Prize_for_the_Arts","60832181","","3033","20220516105600"
"107","I_Am_Chicago","31277017","","2782","20230307140235"
"108","Léviathan_Thot","12624446","","1479","20221119135749"
"109","International_TAKIFUJI_Art_Award","55203838","","1933","20200601035316"
"110","Came_glasswork","3453723","","14564","20221017025110"
"111","Pseudorealism","27264742","","4334","20230618233308"
"112","Pinxit","35513484","","3625","20211213024042"
"113","Asahi_Prize","4737702","","9277","20230322135007"
"114","Wood_stain","1750229","","9627","20220710155114"
"115","Teaching_artist","7945692","","3072","20201017130336"
"116","Nude_(art)","14775345","","72745","20230703013543"
"117","Ulrike_and_Eamon_Compliant","25034689","","2569","20220320204148"
"118","Sámi_drum","722971","","43542","20230314063602"
"119","Oblique_(Vasarely)","50513964","","2583","20220418010206"
"120","Over_the_River","64158800","","4579","20230627051013"
"121","Art_world","690245","","11536","20230318204820"
"122","The_Wounded_Philoctetes","38423740","","1528","20230619085120"
"123","Panoramic_painting","72901","","37209","20230702012029"
"124","Son_et_lumière_(show)","2155215","","8499","20210118193559"
"125","Contour_rivalry","3826242","","1673","20221103060038"
"126","Our_Lady_of_Berdyczow","43368467","","2810","20230116085600"
"127","Eraser","479373","","15486","20230705010041"
"128","Art_diary","1899192","","1862","20220303124111"
"129","Texture_(visual_arts)","20553720","","6463","20230623152111"
"130","Watercolor_paper","48633313","","10792","20230521213842"
"131","LazPaint","43589245","","12425","20230325175647"
"132","Collage","18938195","","39457","20230705234217"
"133","Burnishing_(pottery)","3557556","","2864","20221227032634"
"134","Downtown_Arts_Scene","72420188","","1963","20230321015333"
"135","New_Aesthetic","35492680","","8623","20230714171011"
"136","Chalkboard_art","54450622","","1867","20230618122421"
"137","Resist","52142710","","6481","20230314055759"
"138","Rock_art","928469","","66934","20230721205535"
"139","Prix_Godecharle","40233903","","10908","20230624142839"
"140","Asia_Cosmopolitan_Awards","38391679","","5463","20210103232013"
"141","Joe_Bonham_Project","41224195","","4067","20210323133727"
"142","François-Bernard_Lépicié","51858858","","2975","20230601092946"
"143","List_of_book_arts_centers","17805196","","44154","20230520210829"
"144","Sharks!","67746002","","7519","20220817083010"
"145","Société_Nationale_des_Beaux-Arts","4128205","","5339","20221127050109"
"146","Postmodernist_film","5378948","","68748","20230716114353"
"147","Neo-minimalism","21699369","","2904","20220515210008"
"148","CutUP_Collective","1323462","","3587","20230129230439"
"149","Reigning_Queens","60742472","","5817","20220618190204"
"150","Smith_Journal","56447783","","17387","20230414223152"
"151","Bastar_Wooden_Craft","49321495","","5251","20230320012432"
"152","Jack_and_Belle_Linsky_Collection","61591213","","1491","20191201011636"
"153","George_Besson","23911031","","851","20230520034042"
"154","Il_Selvaggio","68820504","","6859","20230620165733"
"155","Council_for_Art_Education,_Inc.","22530892","","977","20220416230858"
"156","Lead_sled","4977189","","8091","20230428062453"
"157","Circle:_International_Survey_of_Constructivist_Art","4193776","","2723","20230519125913"
"158","Contemporary_realism","24902075","","4854","20230606160906"
"159","Video_painting","2313855","","12568","20230623004039"
"160","Rag_painting","12550241","","1287","20220614124642"
"161","Tempera","31053","","17524","20230630142024"
"162","Redling_Fine_Art","47481546","","2820","20230715034050"
"163","The_Office_gallery","49176268","","9226","20230702131350"
"164","Crop_art","6935201","","5623","20211201024138"
"165","AIDS_photo_diary,_1986–1990","39134375","","4867","20210525214228"
"166","Art_fabrication","2925613","","10317","20230402124201"
"167","List_of_illuminated_manuscripts","1290163","","91645","20230619145121"
"168","March_Meeting","47764557","","3391","20210430163656"
"169","Linseed_oil","295711","","17832","20230610131145"
"170","Frame_conservation","40011898","","1421","20210618083756"
"171","En_résille","38973655","","3181","20210914162503"
"172","Wall_decal","31141798","","3379","20230715101006"
"173","Sidewalk_chalk","72664844","","6325","20230120152028"
"174","Art_methodology","2633923","","7053","20220808102235"
"175","Martha_J._Fleischman","53924257","","2065","20221129183828"
"176","Wheatfield_—_A_Confrontation","70693736","","3489","20230430184812"
"177","Chocolate_box_art","9905728","","4017","20230311154521"
"178","Colored_pencil","40516793","","14355","20230714031502"
"179","Color_Factory","58891273","","6857","20230604095618"
"180","Orange_peel_(effect)","4457435","","2172","20221118090649"
"181","Off-site_art_exhibit","22473954","","1733","20200314170505"
"182","Robotic_art","4936389","","18272","20230712052217"
"183","Tricia_(elephant)","44306181","","13319","20230618121453"
"184","Rapid_visualization","30808264","","1426","20211026070444"
"185","Blanco_y_Negro_(magazine)","19008605","","4664","20230602062045"
"186","Salon_des_Réalités_Nouvelles","26785258","","2053","20220317172817"
"187","Villa_Massimo","3092886","","11003","20220917125800"
"188","Muqarnas_(journal)","23608122","","2029","20230429224142"
"189","Out_of_Context_(exhibition)","59179040","","5550","20210104230014"
"190","Edward_Wolfe_(artist)","58184866","","3604","20220706054022"
"191","Algol_(magazine)","41986685","","2145","20220908165253"
"192","ChromaFlair","1949257","","3941","20210304212951"
"193","Perceptual_art","12302627","","3999","20230528162610"
"194","Blotting_paper","4098193","","8351","20230616175009"
"195","Pagodite","2450503","","1518","20220131165753"
"196","Art_in_the_San_Francisco_Bay_Area_(book)","37037027","","2973","20230107095906"
"197","List_of_Australian_rules_football_statues","44572599","","11390","20230527034942"
"198","Digital_painting","770084","","18015","20230527181837"
"199","Rickshaw_art","2407365","","6405","20230528004033"
"200","Magnani-Rocca_Foundation","60320262","","1654","20210709202441"
"201","Hypergraphy","5586111","","4791","20211129153435"
"202","Art","752","","129433","20230721224459"
"203","Manila_paper","2464563","","3284","20230630063826"
"204","Hunger_artist","10163154","","2765","20230504031225"
"205","Atelier_Lacourière-Frélaut","63168298","","1944","20210304182423"
"206","Wheatpaste","856800","","4938","20221219223736"
"207","Feeling_Her_Way","72124106","","2662","20221030145754"
"208","List_of_most_expensive_sculptures","33467288","","16695","20230502211838"
"209","Catharine_E._B._Cox_Award_for_Excellence_in_the_Visual_Arts","25193887","","2232","20200318225812"
"210","Animal_painter","20535140","","13122","20230520003106"
"211","Modern_sculpture","36836451","","29985","20230315205723"
"212","Crucifixion_in_the_arts","25245841","","43792","20230620040039"
"213","Reception_piece","41013596","","6303","20220616092327"
"214","Glitch_art","31815567","","28239","20230706185134"
"215","Chip_work","57705422","","795","20201206024019"
"216","The_Conceptual_Framework","4683592","","3809","20230316001211"
"217","L'Art_Moderne","61603070","","3728","20220919144938"
"218","Académie_Delécluse","55113020","","6494","20230419173721"
"219","Art_Interview_–_International_Online_Artist_Competition","15395861","","1276","20200314165315"
"220","List_of_art_reference_books","28697936","","12291","20230313201916"
"221","Maître_d'art","51437362","","2719","20220915081847"
"222","Mezzotint","174252","","20136","20230702005433"
"223","Grotesque","486086","","33614","20230623221607"
"224","The_Red_Baron_(custom_car)","42695110","","1554","20230316094300"
"225","Autistic_art","11547871","","13626","20230624130833"
"226","Bundeskunstsammlung","28718220","","2990","20230527210826"
"227","Art_market","44661257","","38994","20230623200341"
"228","Soros_Realism","24112829","","1173","20230401231110"
"229","PIPA_Prize","54492372","","26642","20230317115916"
"230","Chinese_pigment","49033095","","4481","20210313194829"
"231","A_Passion_for_Art:_Renoir,_Cezanne,_Matisse,_and_Dr._Barnes","57185932","","6045","20230411065731"
"232","Prix_Grand-Duc_Adolphe","14242157","","4709","20210125150957"
"233","American_Spirit_Dance_Company","56436008","","1145","20220118231309"
"234","Gandharvanpattu","56186561","","2602","20210812042951"
"235","Negative_space","1969927","","8242","20230705141406"
"236","List_of_art_critics","41390737","","48913","20230603162259"
"237","Construction_in_Process","22522873","","22051","20230612024311"
"238","Inpress","2611446","","5620","20230427144431"
"239","Hugo_Award_for_Best_Fan_Artist","547644","","59713","20230707025549"
"240","Room_13_International","41177389","","1466","20200314170236"
"241","List_of_found_objects","633637","","3539","20221206012241"
"242","LSD_art","26621214","","6292","20230714010815"
"243","Chaser's_pitch","60533362","","3859","20230314225342"
"244","William_Hodges_Fellowship","20368828","","6755","20230226202345"
"245","Chak-pur","41776880","","1192","20221002161913"
"246","Painted_enigma","25247489","","1249","20200314170025"
"247","Shape_and_form_(visual_arts)","20718494","","3659","20230531161336"
