"number","title","pageid","namespace","length","touched"
"1","Shashin_Shūhō","72111720","","3939","20230127044652"
"2","Parliamentary_immunity","320344","","19395","20230320014234"
"3","Rowe_v_Electoral_Commissioner","28335945","","13460","20220725014835"
"4","Idaho_State_Capitol","3593026","","15026","20230306071428"
"5","Kingston_and_St._Andrew_Corporation","61178107","","988","20210216090326"
"6","London_Club","2920666","","1325","20190329214753"
"7","2011_Slovenian_YouTube_incident","34006684","","22231","20210826031554"
"8","Zero-rated_supply","10114563","","1635","20220419091754"
"9","Motion_of_no_confidence","208101","","54879","20230703151648"
"10","Wartime_Information_Security_Program","19368461","","2820","20221221125640"
"11","Think_Equal_(charity)","62360993","","147","20201229191952"
"12","Officials_implicated_by_the_anti-corruption_campaign_in_China_(2012–2017)","48854418","","99406","20230430061927"
"13","49th_General_Assembly_of_Newfoundland_and_Labrador","61641914","","12395","20220912224624"
"14","Double_default","780410","","1798","20230106025224"
"15","Legal_status_of_Jainism_as_a_distinct_religion_in_India","7108487","","24248","20230326130627"
"16","Hopae","9589599","","3696","20230129225755"
"17","Dewan_Bahasa_dan_Pustaka_Library","17129084","","5635","20230703133401"
"18","Parliamentary_Under-Secretary_of_State_for_Children,_Families_and_Wellbeing","20896255","","9109","20230510212111"
"19","Purdah_(pre-election_period)","26516843","","15942","20230228131526"
"20","Future_of_rail_transport_in_India","49070451","","45874","20230522100408"
"21","Place_of_birth","11206044","","4182","20230704103449"
"22","Absolutism_(European_history)","12822783","","12780","20230624104329"
"23","Provisional_All-Russian_Government","8706827","","14565","20230626075559"
"24","Nansen_passport","36566","","9502","20230129130732"
"25","Religious_education_in_primary_and_secondary_education","2527137","","15726","20230119094023"
"26","1964_Gabonese_coup_d'état","18737478","","51622","20230608103336"
"27","Chicago_City_Council_Progressive_Reform_Caucus","60881220","","20893","20230530210805"
"28","Soviet_espionage_in_the_United_States","1934994","","49933","20230618010347"
"29","Kitchen_Cabinet_of_Israel","22471942","","4425","20230609161442"
"30","Alfred_McCormack","72580053","","8949","20230413233559"
"31","Home_rule","174102","","15358","20230524023600"
"32","Capability_Maturity_Model_Integration","1288948","","21906","20230415171958"
"33","First_Nation-municipal_service_agreement","35254761","","9006","20230501174017"
"34","Valence_politics","31453959","","1037","20230328224747"
"35","Spaak_method","15410571","","2002","20230320214835"
"36","Dimosia_Tileorasi","42379550","","6625","20230311212117"
"37","Sunyani_East_(Ghana_parliament_constituency)","31593511","","1504","20230223183106"
"38","Operation_Move-In","62336965","","3726","20211207202017"
"39","Bank_of_Tanzania","2291469","","12358","20230421110435"
"40","Government_of_Sierra_Leone","83639","","4903","20230404135215"
"41","Public_Service_Commission_(Singapore)","2442303","","3083","20221130124611"
"42","Domestic_policy_of_the_Nicolas_Sarkozy_administration","23005436","","25273","20220416114748"
"43","The_Left_Hand_of_God_(book)","12192482","","3753","20230104184448"
"44","R_v_Pan;_R_v_Sawyer","5231985","","5444","20200531004714"
"45","Bureau_of_Standards,_Metrology_and_Inspection","42245688","","3678","20220519183917"
"46","Central_Election_Commission_of_Belarus","28152004","","8918","20230413161034"
"47","Independent_Investigations_Office","47273411","","5886","20230624165117"
"48","Prince_Rudolf_of_Liechtenstein","64597559","","13777","20230505073855"
"49","Public_Audit_Act_2001","16366786","","1328","20230129113429"
"50","National_Critical_Information_Infrastructure_Protection_Centre","52752762","","12560","20230331105532"
"51","The_Death_of_Ivan_Ilyich","1453348","","13909","20230613021438"
"52","Local_government_in_the_Philippines","22088280","","28675","20230601114519"
"53","History_of_citizenship","34634219","","97430","20230604161557"
"54","Equal_Access_Act","1418775","","6853","20230506233603"
"55","Barbados_Police_Service","11591940","","8986","20230418061413"
"56","Department_of_Transport_(1930–1932)","41245679","","3984","20230630153250"
"57","Sicilian_Parliament","31875268","","6666","20230314070511"
