"number","title","pageid","namespace","length","touched"
"1","Battle_of_Noáin","5929391","","5407","20230305152214"
"2","Metabibliography","33447383","","3512","20230410063110"
"3","2016_in_Guyana","53463061","","461","20230627201406"
"4","History_of_Colorado","412152","","48699","20230704215050"
"5","Jean_de_Mailly","30441989","","1473","20220819021644"
"6","Bernard_Williams","552586","","50256","20230520121510"
"7","Thebes,_Egypt","65811","","37179","20230614155741"
"8","History_of_the_Shakespeare_authorship_question","26453663","","62887","20230622091421"
"9","List_of_cultural,_intellectual,_philosophical_and_technological_revolutions","30629972","","4005","20221106153358"
"10","City_of_Hormuz_Ardeshir","64409487","","2394","20221201051402"
"11","Outline_of_the_history_of_Western_civilization","35835705","","84972","20230703003441"
"12","List_of_manuscripts_from_Qumran_Cave_3","59961703","","6368","20221221014543"
"13","Criterion_of_contextual_credibility","69738869","","12299","20230521185253"
"14","Oltenia","172232","","14335","20230615144501"
"15","Melungeon_DNA_Project","15989226","","9350","20230613163303"
"16","Acontisma","58479332","","2515","20230621125821"
"17","Pyramid_Texts","1866773","","35352","20230414232406"
"18","Voting_rights_of_Indigenous_Australians","11686128","","21727","20230519000757"
"19","Humanistic_historiography","49859746","","2596","20210306082829"
"20","Meretseger_(queen)","9614932","","1598","20210827221404"
"21","Golden_Age_of_Armenia","7456177","","89","20200326105132"
"22","List_of_helicopter_prison_escapes","5531650","","69725","20230504222303"
"23","Lavici","44106025","","970","20220913152548"
"24","Historia_(classical_antiquity_history_journal)","26601072","","2335","20230429190841"
"25","Israel_Finkelstein","712865","","49992","20230614133246"
"26","Herod_of_Chalcis","7220734","","5162","20230601180348"
"27","Golden_Age_of_Detective_Fiction","3527094","","12676","20230704122323"
"28","Gascony","76446","","16039","20230520173547"
"29","Timeline_of_the_19th_century","56601044","","57970","20230619071216"
"30","Lists_of_renamed_places","56176805","","4042","20230504233712"
"31","Bavarian_Forest_Club","56847351","","4329","20220824024804"
"32","History_of_the_Indian_Tribes_of_North_America","34063832","","9477","20230703191124"
"33","I.A.Recordings","15333697","","6873","20201107110844"
"34","Epistemic_cultures","59691369","","3555","20230613182544"
"35","Tatsama","12533094","","6570","20230607230356"
"36","Ticelia","28138785","","570","20201202163340"
"37","John_Clarkson_(abolitionist)","9639717","","12818","20230524121211"
"38","Jews_Against_Zionism","13666652","","4044","20221111014508"
"39","Denial_of_Kurds_by_Turkey","65914725","","14973","20230613165605"
"40","World_War_II_in_the_Basque_Country","46228290","","11682","20230628163202"
"41","Le_Cygne_(journal)","3055261","","1598","20220627194530"
"42","Henikstein","2459491","","2325","20210902203059"
"43","Junta_(Habsburg)","7053575","","623","20201124152805"
"44","Moon_landing_conspiracy_theories","80740","","147043","20230629213817"
"45","Sierra_Forest_Reserve","19593298","","2242","20210929140357"
"46","Kurgan_stelae","8343529","","25742","20230521061115"
"47","Jessie_Furze","30015510","","2173","20230305161248"
"48","40th_century_BC","202620","","3957","20220322142550"
