"number","title","pageid","namespace","length","touched"
"1","ASCII","586","","109193","20230617110308"
"2","Apple_I","1344","","56351","20230703135121"
"3","ASCII_art","1884","","54206","20230509010648"
"4","A_Fire_Upon_the_Deep","2080","","20077","20230619042405"
"5","Akihabara","2802","","10296","20230523221759"
"6","Arbeit_macht_frei","2906","","11122","20230608181130"
"7","AIM_(software)","2923","","42940","20230701182335"
"8","BearShare","3340","","12601","20230512101359"
"9","Bulletin_board_system","3430","","49543","20230618023300"
"10","Binary-coded_decimal","3821","","115313","20230426053148"
"11","Braille","3933","","72783","20230524184237"
"12","Binary_prefix","4077","","108534","20230626230916"
"13","Backbone_cabal","4505","","4070","20230316195300"
"14","Burnt-in_timecode","4541","","3507","20220625105733"
"15","Bidirectional_text","4733","","13189","20230329163401"
"16","Bastard_Operator_From_Hell","4736","","8313","20221114164406"
"17","Baudot_code","4748","","58370","20230511232525"
"18","Badtrans","4834","","2662","20211209065125"
"19","Code","5225","","15608","20230603225842"
"20","Character_encoding","5295","","34151","20230528184221"
"21","Video_game","5363","","146074","20230629002528"
"22","Country_code","5375","","8523","20230620012955"
"23","Cult_film","5645","","133398","20230321075209"
"24","Color_code","6069","","5081","20220304151935"
"25","Capybara","6776","","37769","20230629011127"
"26","Internet_filter","7144","","41460","20230628091015"
"27","Counter-Strike_(video_game)","7431","","30901","20230625112004"
"28","Counter_(digital)","7647","","15393","20230427084243"
"29","David_D._Friedman","7935","","13358","20230703170628"
"30","Data_compression","8013","","67282","20230619141942"
"31","Douglas_Adams","8091","","68567","20230627210938"
"32","Dilbert","8127","","64774","20230613100139"
"33","Deus_Ex_(video_game)","8484","","109665","20230630161350"
"34","Doom_(1993_video_game)","8521","","110472","20230703002543"
"35","Diablo_II","8556","","70180","20230630000642"
"36","Duke_Nukem_3D","8569","","85519","20230618071503"
"37","Decipherment","8946","","5199","20230625154444"
"38","Digital_Access_Signalling_System_1","8966","","726","20220619145042"
"39","Digital_Access_Signalling_System_2","8967","","3271","20200609101114"
"40","Dot-com_bubble","9021","","48984","20230701004540"
"41","Dean_Kamen","9133","","28905","20230629130505"
"42","Telecommunications_in_El_Salvador","9362","","12387","20230628230752"
"43","Electronic_music","9510","","154004","20230614111651"
"44","Email","9738","","84192","20230622162041"
"45","Emoticon","9739","","64086","20230630140120"
"46","Enron","10166","","89005","20230515072253"
"47","Enhanced_Data_rates_for_GSM_Evolution","10213","","15966","20230617025255"
"48","ELIZA","10235","","31562","20230613133322"
"49","Editor_war","10268","","29008","20230629133224"
"50","Flaming_(Internet)","10680","","32316","20230606110143"
"51","Filk_music","10685","","22924","20230504154054"
"52","Fair_use","10772","","77717","20230622110040"
"53","Freenet","10997","","55687","20230622191015"
"54","FidoNet","11442","","51695","20230506120353"
"55","First_Fandom","11532","","5455","20230403235323"
"56","Gnutella","11856","","41272","20230703114752"
"57","Telecommunications_in_Georgia_(country)","12063","","7775","20230610142931"
"58","Telecommunications_in_Guatemala","12162","","10069","20230131154043"
"59","Geocaching","12533","","101880","20230703062253"
"60","GNU_Manifesto","12592","","7264","20230414153819"
"61","GIMP","12628","","68393","20230702095917"
"62","Godwin's_law","12656","","12684","20230615075529"
"63","Shock_site","12688","","24278","20230616121439"
"64","Goodtimes_virus","12709","","5466","20220115175312"
"65","Telecommunications_in_Haiti","13379","","17231","20230131160240"
"66","Telecommunications_in_Honduras","13400","","11030","20230414051659"
"67","HTTPS","13586","","41762","20230703161004"
"68","Hill_system","13703","","169","20180429085024"
"69","H.263","14024","","17284","20220520130428"
"70","History_of_Wikipedia","14072","","231189","20230702182504"
"71","Internet","14539","","148842","20230630155136"
"72","Troll_(slang)","14594","","81664","20230617235123"
"73","EFnet","14712","","10234","20230701014402"
"74","Undernet","14713","","5021","20220831222554"
"75","DALnet","14715","","6360","20220721224621"
"76","BitchX","14716","","7916","20230607174703"
"77","HexChat","14718","","3944","20230525145207"
"78","IRC_takeover","14720","","3701","20230317052553"
"79","Irssi","14722","","8259","20230417204212"
"80","Internet_Relay_Chat","14730","","74423","20230626071207"
"81","Ideogram","14731","","8856","20221227121817"
"82","Interactive_fiction","14789","","58897","20230604154708"
"83","International_Telecommunication_Union","14836","","43732","20230629235918"
"84","Internet_Message_Access_Protocol","14837","","24239","20230417004410"
"85","ISO/IEC_8859-1","15019","","41967","20230615194515"
"86","ISO/IEC_8859","15020","","45795","20230601144146"
"87","ICQ","15167","","24622","20230626142824"
"88","Internet_slang","15172","","41802","20230524155723"
"89","Internet_Explorer","15215","","79656","20230703143413"
"90","Integrated_Services_Digital_Network","15231","","45394","20230328152012"
"91","Interactive_Fiction_Competition","15266","","8807","20230414181644"
"92","Internet_Protocol","15323","","17392","20230628085738"
"93","ISO_4217","15403","","70277","20230703194509"
"94","ITU_prefix","15437","","16466","20230505013230"
"95","Telecommunications_in_Jamaica","15666","","12281","20230520163336"
"96","JANET","16438","","18326","20230606192839"
"97","Keanu_Reeves","16603","","157046","20230625025257"
"98","Telecommunications_in_Kyrgyzstan","16700","","5641","20230227124318"
"99","Kazaa","16871","","19517","20230429074804"
"100","Kermit_(protocol)","17027","","18291","20230505134322"
"101","Kermit_the_Frog","17029","","68948","20230630220934"
"102","KA9Q","17106","","1951","20211209162838"
"103","Killer_poke","17148","","12319","20230321034250"
"104","Kill_file","17149","","3327","20230215164451"
"105","Kremvax","17226","","4201","20230512190529"
"106","James_Parry","17249","","11414","20230130161216"
"107","Live_action_role-playing_game","17560","","71975","20230628080256"
"108","Mass_media_in_Liberia","17797","","20675","20230404100323"
"109","Telecommunications_in_Lithuania","17825","","13440","20220726021342"
"110","LimeWire","17956","","30527","20230530062252"
"111","Light-emitting_diode","18290","","142238","20230616091746"
"112","Lycos","18366","","15861","20230513165309"
"113","Linear_timecode","18379","","10658","20230323144406"
"114","Leet","18562","","30124","20230629143224"
"115","Morse_code","18935","","109599","20230703070150"
"116","MIME","19045","","27888","20230602172224"
"117","Telecommunications_in_North_Macedonia","19084","","10538","20230623150413"
"118","Spam_(Monty_Python_sketch)","19160","","13053","20230620102640"
"119","The_Spanish_Inquisition_(Monty_Python)","19165","","8916","20230702233438"
"120","Multi-user_dungeon","19537","","80493","20230627055638"
"121","MUSH","19542","","9517","20230628195202"
"122","Maya_numerals","19823","","8967","20230519150548"
"123","Megatokyo","19955","","60356","20230606043639"
"124","MIDI","19996","","115219","20230621141946"
"125","MPEG-2","20060","","38086","20230704020824"
"126","MPEG-4","20063","","42146","20230404155955"
"127","Microsoft_Word","20287","","93835","20230626175731"
"128","Micronation","20379","","78494","20230620212425"
"129","MIDI_timecode","20436","","6143","20221227020302"
"130","MeatballWiki","20512","","6404","20230420050809"
"131","Message_transfer_agent","20624","","4243","20230502140107"
"132","Mystery_Science_Theater_3000","20840","","167195","20230625013833"
"133","Massively_multiplayer_online_role-playing_game","20844","","53932","20230608203210"
"134","Matthew_F._Hale","20970","","22701","20230620193003"
"135","Napster","21113","","35179","20230624212120"
"136","Usenet_newsgroup","21125","","16233","20230615015422"
"137","Numeral_system","21170","","19158","20230513143518"
"138","Telecommunications_in_Nicaragua","21368","","11033","20230131154233"
"139","Nerd","21494","","24602","20230611174334"
"140","Naked_News","21813","","17263","20230612142400"
"141","Off_topic","22270","","1656","20221014095203"
"142","Open-source_license","22290","","38454","20230625095344"
"143","Open_Source_Initiative","22298","","17048","20230507124200"
"144","Ossian","22655","","38595","20230613185006"
"145","Otaku","22722","","37346","20230617063840"
"146","Post_Office_Protocol","23062","","14654","20230702062812"
"147","Pretty_Good_Privacy","23080","","46938","20230502144124"
"148","Personal_Telco","23306","","4045","20230305202415"
"149","Pokey_the_Penguin","23345","","10609","20230519124455"
"150","Communications_in_Papua_New_Guinea","23406","","8548","20221119184611"
"151","Telecommunications_in_Peru","23436","","14939","20230131170822"
"152","Point-to-Point_Protocol","23511","","21783","20230420095522"
"153","Philips","23550","","129557","20230704022809"
"154","Peer-to-peer","24107","","61662","20230625130235"
"155","PHP","24131","","135105","20230630173942"
"156","Public-key_cryptography","24222","","34289","20230630121706"
"157","Pasporta_Servo","24545","","2391","20220801020144"
"158","Penny_Arcade","24673","","61001","20230604200346"
"159","Planetary_nomenclature","24709","","42338","20230527025742"
"160","Adobe_Photoshop","24893","","71969","20230523052906"
"161","PaintShop_Pro","24894","","67913","20230612015045"
"162","Privacy","25009","","106687","20230704002208"
"163","Quake_III_Arena","25215","","62620","20230622121200"
"164","Quake_II","25216","","50047","20230629175159"
"165","Quake_(video_game)","25266","","93742","20230704020000"
"166","Rush_Limbaugh","25427","","199595","20230615151730"
"167","Roman_numerals","25657","","71665","20230630234757"
"168","RPGnet","26041","","12495","20230130042306"
"169","Real-time_Transport_Protocol","26163","","19522","20230607012134"
"170","Ryuichi_Sakamoto","26272","","71040","20230630184853"
"171","Adobe_RoboHelp","26472","","15122","20221214190252"
"172","Return_to_Castle_Wolfenstein","26569","","53238","20230703222446"
"173","Slashdot","26715","","61893","20230626171511"
"174","Smiley","26752","","44558","20230629214054"
"175","StarCraft_(video_game)","26809","","85954","20230703120327"
"176","Metric_prefix","26874","","31478","20230616074641"
"177","Telecommunications_in_Slovakia","27333","","11158","20230620092832"
"178","Telecommunications_in_Suriname","27437","","9035","20230514061622"
"179","Simple_Mail_Transfer_Protocol","27675","","59241","20230625092606"
"180","Steampunk","27684","","131729","20230629143856"
"181","String_(computer_science)","27701","","40878","20230624234617"
"182","Steve_Wozniak","27848","","114040","20230626233457"
"183","South_Park","27977","","169344","20230703193830"
"184","Spamming","28368","","64920","20230616173212"
