"number","title","pageid","namespace","length","touched"
"1","Aristotle","308","","159401","20230702005514"
"2","Alain_Connes","340","","20095","20230625184449"
"3","Arithmetic_mean","612","","13725","20230604170330"
"4","Abacus","655","","51280","20230624145211"
"5","Atomic_number","673","","14339","20230629211311"
"6","Ambiguity","677","","32320","20230603205221"
"7","Albert_Einstein","736","","224256","20230703191555"
"8","Algorithms_(journal)","742","","3756","20230525103606"
"9","Algorithm","775","","116665","20230701134917"
"10","Alfred_Korzybski","784","","15051","20230625044540"
"11","Andrey_Markov","915","","10498","20230625155716"
"12","Axiom","928","","35004","20230627142050"
"13","Ada_Lovelace","974","","82720","20230702025503"
"14","Absolute_value","991","","25673","20230525164311"
"15","Aspect_ratio","1021","","5779","20230618174401"
"16","Avicenna","1130","","117653","20230612132231"
"17","Analysis","1134","","22023","20230617033354"
"18","Automorphism","1160","","11761","20221209152628"
"19","Antisymmetric_relation","1176","","4312","20230624191457"
"20","Alan_Turing","1208","","139125","20230629212234"
"21","Advanced_Encryption_Standard","1260","","48795","20230619001921"
"22","Anisotropy","1264","","20612","20230614174806"
"23","Almost_all","1309","","25475","20230506012742"
"24","Associative_property","1335","","25922","20230116092127"
"25","Alcuin","1408","","41428","20230611093739"
"26","Adiabatic_process","1419","","41968","20230528220204"
"27","Kolmogorov_complexity","1635","","41669","20230703140219"
"28","Ibn_al-Haytham","1645","","130072","20230628093332"
"29","Ammonius_Hermiae","1723","","10944","20230702222542"
"30","Anaxagoras","1737","","25611","20230702184605"
"31","Alexander_Anderson_(mathematician)","1751","","5828","20230311163829"
"32","Arabic_numerals","1786","","31337","20230626044125"
"33","Augustin-Louis_Cauchy","1842","","42767","20230630014641"
"34","Archimedes","1844","","102250","20230701022500"
"35","Antiprism","1851","","19931","20230302021930"
"36","Anthemius_of_Tralles","1873","","6190","20230603042801"
"37","Algebraic_geometry","1997","","61944","20230617000821"
"38","A._J._Ayer","2018","","39352","20230607193614"
"39","André_Weil","2019","","33099","20230327102719"
"40","Atle_Selberg","2021","","12977","20230303041449"
"41","Andrew_Wiles","2027","","25948","20230526093906"
"42","Alexander_Grothendieck","2042","","76254","20230702113745"
"43","Associative_algebra","2112","","31379","20230606064100"
"44","Axiom_of_regularity","2113","","24378","20230318085252"
"45","Arthur_Eddington","2274","","52439","20230430143444"
"46","Abstract_data_type","2349","","33175","20230524121641"
"47","Albrecht_Dürer","2402","","65487","20230628032942"
"48","Automated_theorem_proving","2546","","24812","20230614130305"
"49","Annals_of_Mathematics","2785","","7575","20230526080653"
"50","Angular_momentum","2839","","91153","20230701210215"
"51","AI-complete","2862","","12624","20230618145805"
"52","Ackermann_function","2925","","51199","20230618165744"
"53","Agner_Krarup_Erlang","2948","","11843","20230207215812"
"54","Convex_uniform_honeycomb","2961","","68903","20230316225703"
"55","Abelian_group","2974","","36021","20230408112249"
"56","Arithmetic–geometric_mean","3090","","16063","20230509150459"
"57","Asymptote","3107","","29499","20230525184111"
"58","Arithmetic","3118","","40112","20230701140257"
