"number","title","pageid","namespace","length","touched"
"1","Apollo","594","","213113","20230623221013"
"2","Anatomy","674","","81159","20230703095957"
"3","Arthur_Schopenhauer","700","","162851","20230701150239"
"4","Abortion","765","","199950","20230702182420"
"5","Mouthwash","782","","65747","20230612082242"
"6","Acute_disseminated_encephalomyelitis","967","","49482","20230518082752"
"7","Albert_Schweitzer","1029","","82312","20230607000352"
"8","Ammonia","1365","","142289","20230701020419"
"9","Ambrosia","1369","","12568","20230630134037"
"10","Amber","1372","","60730","20230608180755"
"11","Acacia_sensu_lato","1445","","37731","20230610131622"
"12","Aspirin","1525","","158393","20230615154803"
"13","Acupuncture","1537","","132586","20230625160536"
"14","Ambergris","1697","","22510","20230608014655"
"15","Arthritis","1776","","60810","20230619150413"
"16","Adenosine_triphosphate","1800","","43919","20230703205635"
"17","Antibiotic","1805","","143442","20230630081740"
"18","Alternative_medicine","1845","","215521","20230627000314"
"19","Ampicillin","1912","","34357","20230622224259"
"20","Antimicrobial_resistance","1914","","184869","20230611221653"
"21","Alessandro_Volta","1923","","26419","20230626215059"
"22","Alexander_Technique","1957","","14552","20230608173827"
"23","Aphasia","2088","","97714","20230603054703"
"24","Analgesic","2246","","111836","20230629170501"
"25","Anointing_of_the_sick","2348","","42309","20230526115118"
"26","Antibody","2362","","103193","20230515221006"
"27","Alois_Alzheimer","2383","","16685","20230605194819"
"28","Apoptosis","2457","","92051","20230603145941"
"29","Amphetamine","2504","","255608","20230503061916"
"30","Agent_Orange","2547","","146738","20230625004153"
"31","Affection","2661","","10054","20230616101416"
"32","Ames_test","2766","","19204","20220328173541"
"33","Anatomical_Therapeutic_Chemical_Classification_System","2770","","14636","20230409154122"
"34","Antipsychotic","2870","","205199","20230619142807"
"35","Amoxicillin","2885","","39976","20230625150215"
"36","Albinism_in_humans","2909","","39667","20230614042113"
"37","Amyl_nitrite","3046","","16479","20230702000006"
"38","Amygdalin","3252","","33247","20230624125306"
"39","Beryllium","3378","","92167","20230622230608"
"40","Brain","3717","","121766","20230621202408"
"41","Blade_Runner","3746","","136394","20230628181600"
"42","Barium","3757","","34577","20230619115224"
"43","Brain_abscess","3840","","15269","20230325045557"
"44","Bluetongue_disease","3866","","25909","20221216080117"
"45","Biostatistics","3878","","54671","20230404145738"
"46","Biopolymer","3974","","24581","20230516202526"
"47","Blood","3997","","64045","20230426075134"
"48","Benzoic_acid","4106","","28471","20230609123858"
"49","BCG_vaccine","4191","","78712","20230612083858"
"50","Bipedalism","4210","","80087","20230620064016"
"51","Bioinformatics","4214","","135193","20230701233210"
"52","Bacterial_conjugation","4460","","22206","20230424011113"
"53","Black_Death","4501","","130655","20230622091827"
"54","Plague_(disease)","4746","","33387","20230617154503"
"55","Brit_milah","4768","","127920","20230628183823"
"56","Body_mass_index","4788","","64036","20230702230415"
"57","Biomedical_engineering","4827","","56747","20230609063324"
"58","Bipolar_I_disorder","4918","","21567","20230616203441"
"59","Zebrafish","5009","","104598","20230625155102"
"60","Charlize_Theron","5132","","107436","20230702215113"
"61","Colloid","5346","","42754","20230621210517"
"62","Coitus_interruptus","5373","","27439","20230608170455"
"63","Condom","5374","","131744","20230624223632"
"64","Cardiology","5421","","86456","20230702074006"
"65","Chlorine","5667","","108254","20230619112144"
"66","Calcium","5668","","47417","20230608115211"
"67","Chromium","5669","","103178","20230626231127"
