"number","title","pageid","namespace","length","touched"
"1","Albedo","39","","64210","20230625155404"
"2","Aristotle","308","","159401","20230702005514"
"3","Alchemy","573","","111255","20230622195358"
"4","Astronomer","580","","8687","20230620013722"
"5","Bitumen","657","","94084","20230625023033"
"6","Atomic_number","673","","14339","20230629211311"
"7","Android_(robot)","713","","30701","20230527102218"
"8","Albert_Einstein","736","","224256","20230703191555"
"9","Alexander_Graham_Bell","852","","144120","20230703180813"
"10","ABBA","880","","142623","20230628163126"
"11","Avicenna","1130","","117653","20230612132231"
"12","Augustin-Jean_Fresnel","1141","","207686","20230425153857"
"13","Automorphism","1160","","11761","20221209152628"
"14","Anaximander","1168","","60536","20230702184816"
"15","Acoustics","1198","","40528","20230624012804"
"16","Atomic_physics","1200","","9423","20230612063828"
"17","Atomic_orbital","1206","","83599","20230614205627"
"18","Astronomical_unit","1210","","54450","20230620160349"
"19","Acoustic_theory","1234","","11785","20210719002250"
"20","Anisotropy","1264","","20612","20230614174806"
"21","Alpha_decay","1267","","19192","20230511121122"
"22","Analytical_engine","1271","","40155","20230702124130"
"23","Alfred_Lawson","1293","","16516","20230503133121"
"24","Antimatter","1317","","74309","20230621205639"
"25","Antiparticle","1327","","20323","20230612114512"
"26","André-Marie_Ampère","1363","","20801","20230521135308"
"27","Amber","1372","","60730","20230608180755"
"28","Absolute_zero","1418","","39925","20230621121821"
"29","Adiabatic_process","1419","","41968","20230528220204"
"30","Ibn_al-Haytham","1645","","130072","20230628093332"
"31","Anaxagoras","1737","","25611","20230702184605"
"32","Allotropy","1839","","23373","20230320095609"
"33","Archimedes","1844","","102250","20230701022500"
"34","Alessandro_Volta","1923","","26419","20230626215059"
"35","Aeon","1941","","7377","20230612141916"
"36","Apparent_magnitude","1962","","63885","20230616063013"
"37","Aage_Bohr","2201","","24576","20230621205302"
"38","Abbe_number","2330","","8149","20230331223559"
"39","Auger_effect","2389","","5212","20230619125407"
"40","Analytical_chemistry","2408","","32343","20221009164901"
"41","Acceleration","2443","","22243","20230619061700"
"42","Aberration_(astronomy)","2703","","60606","20230522181556"
"43","Andrei_Sakharov","2786","","110299","20230623172659"
"44","Anthropic_principle","2792","","77122","20230702230546"
"45","Aerodynamics","2819","","41118","20230628195444"
"46","Angular_momentum","2839","","91153","20230701210215"
"47","Plum_pudding_model","2840","","13707","20230607112358"
"48","Atomic_theory","2844","","56268","20230624224312"
"49","Archaeoastronomy","2864","","118572","20230622173843"
"50","Amorphous_solid","2889","","22857","20230623010008"
"51","Bicycle","3973","","91278","20230625160702"
"52","Benjamin_Franklin","3986","","203093","20230702201409"
"53","Benoit_Mandelbrot","3999","","50088","20230510130609"
"54","Butterfly_effect","4024","","41306","20230703001433"
"55","Blaise_Pascal","4068","","54326","20230622111843"
"56","Boltzmann_distribution","4107","","19957","20230614205704"
"57","Boiling_point","4115","","18354","20230622133226"
"58","Big_Bang","4116","","152768","20230630054746"
