"number","title","pageid","namespace","length","touched"
"1","New_Korea_Party_of_Hope","49972173","","1298","20230424014406"
"2","Spartakiad_(Albania)","25909032","","2341","20210828020607"
"3","Tequila_Party","31756756","","2362","20200508023151"
"4","Wollheim's_paradox","49373387","","4581","20200823171814"
"5","New_Citizen_Party","28565908","","3678","20210131123221"
"6","The_Wretched_of_the_Earth","474159","","25074","20230514183917"
"7","Karelian_National_Movement","73321665","","15823","20230703014854"
"8","Tehran_Jewish_Committee","15335432","","3966","20221107082054"
"9","Basic_Principles_for_the_Treatment_of_Prisoners","56556388","","762","20230505155356"
"10","De-policing","1335652","","5429","20220828042656"
"11","Beutelsbach_consensus","53298220","","3285","20210502182435"
"12","Ministry_of_Cultures,_Arts_and_Heritage_(Chile)","66697238","","6308","20230517010655"
"13","Murals_in_Northern_Ireland","5770153","","14267","20230107175207"
"14","State_of_emergency","298608","","167857","20230701084341"
"15","Silent_protest","33767742","","2579","20221129144821"
"16","Legality_of_ridesharing_companies_by_jurisdiction","45374721","","155214","20230610071233"
"17","Vladimir_Bazarov","31580211","","21051","20230417091414"
"18","Britons_Publishing_Society","7967932","","3589","20220415064459"
"19","Community_Courts_of_Eritrea","6221021","","1653","20190916234831"
"20","Isaäc_Arend_Diepenhorst","59469600","","11215","20230112164658"
"21","Proposed_reforms_of_mass_surveillance_by_the_United_States","41775680","","33343","20230519165257"
"22","24_July_2019_Mogadishu_bombing","61422263","","2888","20230515083548"
"23","Western_European_Union","33607","","30388","20230524141051"
"24","Controlocracy","73799854","","2133","20230609003049"
"25","Anonymous_elector","31507795","","7056","20220417163326"
"26","Freedom_of_contract","1970945","","14432","20230325121953"
"27","Turkish_Policy_Quarterly","26232023","","4032","20221231164129"
"28","Znanie_(publishing_company)","32022641","","4296","20191220040831"
"29","Hwabaek","56368312","","1955","20220301161225"
"30","Black_Sea_Grain_Initiative","71377139","","60778","20230705012413"
"31","Esperanza_Guisán","25168204","","3318","20230210115351"
"32","Third_World_Liberation_Front","44470312","","15200","20220913002901"
"33","Radical_Peasants'_Party","44630942","","1740","20230309233213"
"34","Gun_buyback_program","11825603","","25682","20230625092041"
"35","World_Poverty_and_Human_Rights","20206407","","2992","20221008140823"
"36","Libel_trial_of_Joseph_Howe","34148995","","11203","20230205170046"
"37","Drug_pollution","41202666","","16196","20221002161946"
"38","Vetoed_United_Nations_Security_Council_resolutions_on_Syria","48515967","","18474","20220716135603"
"39","Roerich_Pact","216412","","26276","20230414095820"
"40","Basel_Congress_(1869)","53448828","","4451","20220129204928"
"41","Achievement_gaps_in_the_United_States","1040219","","58089","20230505064600"
"42","Parliamentary_constituencies_of_the_2014_Botswana_general_elections","28241548","","15896","20220628215235"
"43","Arab_Women's_Executive_Committee","66097542","","484","20230312081806"
"44","Drug_rehabilitation","427922","","76722","20230704143031"
"45","Patria_Grande","35555270","","11161","20230101035632"
"46","Issue_advocacy_ads","13926601","","11592","20230404093253"
"47","Chicago_Alternative_Policing_Strategy","6057947","","31897","20220823201516"
"48","Civilian_dictatorship","42470986","","5810","20230601053551"
"49","Press_secretary","456013","","1835","20221211010829"
"50","Corporate_anniversary","38480385","","13062","20230429001812"
"51","Love_Me,_I'm_a_Liberal","33342060","","7157","20211128101423"
"52","Masters_of_the_World","40638814","","2583","20220107215328"
"53","Timeline_of_libertarian_thinkers","13917072","","9231","20221212205121"
"54","Hong_Kong_Act_1985","61444306","","1907","20230412111726"
"55","Haldane_principle","2149716","","7206","20220821205050"
"56","Political_demography","34245192","","19555","20230506230007"
"57","National_Defence_Army","23004520","","1438","20230314221034"
"58","Anti-Communist_Action","56317609","","10332","20230626203420"
"59","Baby_kissing","3741665","","3450","20230514105918"
"60","Startup_Poland","60978708","","31211","20201006174320"
"61","Turner_Controversy","8912941","","4634","20230302195049"
"62","Trial_of_Saddam_Hussein","2943846","","43754","20230630133536"
"63","UNCF","45504","","27481","20230527015100"
"64","1926_Liechtenstein_fire_insurance_referendum","34319642","","1357","20221126031755"
"65","Francization_of_Brussels","15622490","","105139","20230524025028"
"66","Russian_nihilist_movement","1610469","","100898","20230516063616"
"67","Prickly_City","1338835","","5082","20230501172521"
"68","Timeline_of_1960s_counterculture","45684607","","440731","20230626054845"
"69","Psephos","6081447","","4771","20230321140446"
"70","Territorial_evolution_of_the_Caribbean","22625798","","78674","20230218160344"
"71","Bangkok_Rules","47657283","","5593","20230413012955"
"72","List_of_nicknames_used_by_Donald_Trump","55799611","","95682","20230704160318"
"73","Voting_rights_of_Indigenous_Australians","11686128","","21727","20230519000757"
"74","Nasser_Al_Saeed","67461873","","11920","20230201190710"
"75","Resource_depletion","155961","","26092","20230606043338"
"76","Counterrevolution_and_Revolt","20071950","","6129","20221121093744"
"77","Italian_Catholic_Electoral_Union","34159963","","5616","20230218221817"
"78","Regional_council_(Italy)","7267227","","3744","20230216110257"
"79","Timeline_of_the_Premiership_of_John_A._Macdonald","67015788","","14308","20230519073714"
"80","Actuel_Marx","24407772","","689","20210422153221"
"81","Union_of_Prosperity","8741191","","6536","20230212180943"
"82","Douglas_Moggach","27568835","","18494","20230614004536"
"83","Timeline_of_the_2019–2020_Hong_Kong_protests_(December_2019)","62461342","","57364","20230617165209"
"84","Allan_Gibbard","4465051","","17861","20230604034458"
"85","Legalism_(Chinese_philosophy)","226125","","273229","20230705021546"
"86","Social_media_and_political_communication_in_the_United_States","45241506","","41647","20230508051137"
"87","Childism","60714163","","2820","20230221215309"
"88","Triveni_Sangh","64438599","","9932","20230625182816"
"89","Casablanca_Uprisings_of_1952","68173732","","9346","20230526030905"
"90","Vice_President_of_Guatemala","17241067","","30386","20230605094108"
"91","Uneconomic_growth","170826","","8408","20230627064602"
"92","Ceremonial_pipe","30864698","","16445","20230403201205"
"93","Resistbot","57193450","","26902","20230124092653"
"94","Biopower","1218279","","30765","20230302162855"
"95","Muhammad_Iqbal's_political_philosophy","72924410","","109383","20230629191549"
"96","Cry_of_Dolores","220872","","21888","20230512204236"
"97","Italian_irredentism_in_Istria","37063462","","18562","20230606001639"
"98","History_of_the_Malaysian_Constitution","20019773","","6876","20230620233634"
"99","Court_of_Policy","46959919","","6259","20230119013734"
"100","Rohingya_National_Army","48843264","","2993","20201119225348"
"101","French_Second_Republic","304270","","30422","20230626145812"
"102","Student_riot","3063416","","3223","20220329134540"
"103","Crisis_situations_and_unrest_in_Europe_since_2000","29625592","","10730","20230613152154"
"104","High-fructose_corn_syrup","2366752","","44349","20230623013313"
"105","Case_of_the_Union_of_Liberation_of_Belarus","29349564","","7278","20230422025115"
"106","Amban","1790746","","10110","20230626115722"
"107","African-American_leftism","10907882","","2834","20230614013956"
"108","Patria_Institute","51518726","","3418","20230301172715"
"109","Clark_Martell","17829207","","3885","20220809085817"
"110","Lorella_Cedroni","40630925","","8925","20220314171205"
"111","Henri_Georges_Boulay_de_la_Meurthe","53155792","","2600","20230303085222"
"112","Rules_of_Procedure_of_the_European_Parliament","62201268","","1500","20221022141609"
"113","Soft_support","34440160","","3711","20220524225056"
"114","Great_Replacement","56303583","","141186","20230620043404"
"115","Club_for_Growth","216405","","124790","20230410032451"
"116","Argumentum_ad_lazarum","472557","","2118","20230227082716"
"117","Consortium_imperii","1976656","","3361","20220323093518"
"118","Gender_democracy","50066569","","12729","20230315064450"
"119","Parliamentary_system","182113","","66554","20230627121435"
"120","Divide_and_rule","201153","","25582","20230701173829"
"121","List_of_culture_jamming_organizations_and_people","40036162","","2804","20220407103255"
"122","Welfare_trap","19288516","","17728","20230621015810"
"123","Extra-parliamentary_opposition","4090674","","1412","20230609225233"
"124","1960_Commonwealth_Prime_Ministers'_Conference","40776425","","5003","20230213123238"
"125","Procedural_justice","125909","","15040","20220414112900"
"126","Charter_on_the_Orenburg_Kyrgyz","58625652","","2673","20191014235350"
"127","Krestintern","1039998","","14635","20221024182412"
"128","Workplace_safety_in_healthcare_settings","21010996","","37031","20230703064324"
"129","Abuse_of_corpse","11899488","","76","20180317114442"
"130","Man-made_law","34245779","","11749","20230510194022"
"131","The_Reckoning_(Within_Temptation_song)","58521669","","13292","20230627141041"
"132","English-only_movement","190008","","26689","20230703194805"
"133","Prime_years","48880810","","2798","20230218041556"
"134","Turkish_opposition_to_the_Armenian_Genocide","71664767","","22094","20230425135058"
"135","Earmark_(politics)","17649625","","27086","20230503190236"
"136","The_Crisis_of_Parliamentary_Democracy","23794667","","9269","20230328115443"
"137","Reflective_equilibrium","188496","","15357","20230510185055"
"138","The_23_objectives_of_the_Australian_Democrats","51482812","","10722","20210926184938"
"139","Life,_Liberty_and_the_pursuit_of_Happiness","332733","","22264","20230322235307"
"140","National_Coordination_Committee_for_Democratic_Change","33734706","","17879","20230306092512"
